index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,22.0,0,,30.0,0,,47.0,0,,0,0.2,35291,0,7,0.7,112.0,False,-0.0003959164050790419,0,0.2,35231.0,13,0,0.0,130.0,False,-0.0018381833092955516,0,0.2,51818,0,0,0.0,0.0,False,0.0,0,0.2,51818.0,0,0,0.0,0.0,False,0.0,0,0.2,67458,0,0,0.0,0.0,False,0.0,0,0.2,67458,0,0,0.0,0.0,False,0.0,0,0.2,99283,0,0,0.0,0.0,False,0.0,0,0.2,99283,0,0,0.0,0.0,False,0.0,0.0875,507640,0.0,0.0,8,0,0,218,0,0.0,708,926,90,0.0,0.0,0,0,90,200,5.9727532640099525,5.9727532640099525
1,90,0,0,0,10.0,20,10.0,16.0,0,,22.0,0,,30.0,0,,47.0,0,,0,0.2,35161,3,17,1.0,302.0,False,-0.0013857074177766465,0,0.2,35161.0,20,0,0.0,200.0,False,-0.002827974321993156,0,0.2,51818,0,0,0.0,0.0,False,0.0,0,0.2,51818.0,0,0,0.0,0.0,False,0.0,0,0.2,67458,0,0,0.0,0.0,False,0.0,0,0.2,67458,0,0,0.0,0.0,False,0.0,0,0.2,99283,0,0,0.0,0.0,False,0.0,0,0.2,99283,0,0,0.0,0.0,False,0.0,0.125,507440,0.0,0.0,7,0,0,47,0,0.0,33,80,58,1152.0,333.0,64,26,58,200,11.674128850980196,17.64688211499015
2,58,0,0,0,10.0,20,10.0,14.545454545454545,10,8.0,22.0,0,,28.6,5,16.0,47.0,0,,0,0.2,35101,0,26,0.9,378.1818181818182,False,-0.0020052908828677996,10,0.30000000000000004,34891.0,34,0,0.0,340.0,False,-0.00848392296597947,0,0.2,51738,0,10,1.0,220.0,False,0.0005789493998224556,0,0.2,51818.0,0,0,0.0,0.0,False,0.0,0,0.2,67458,0,0,0.0,0.0,False,0.0,5,0.25,67358,0,0,0.0,0.0,False,-0.0014824038661092828,0,0.2,99283,0,0,0.0,0.0,False,0.0,0,0.2,99203,0,5,0.5,235.0,False,0.00037770816756141535,0.3,506850,0.0,0.0,8,0,0,22,3,3.0,23,45,68,418.0,194.0,28,30,68,200,10.044379740022123,27.69126185501227
3,68,0,0,0,10.0,20,10.0,12.483221476510067,25,8.4,20.09090909090909,10,11.5,28.6,0,,47.0,0,,0,0.2,35001,0,36,1.0,449.3959731543624,False,-0.0038263061967371086,25,0.54,34326.0,44,0,0.0,440.0,False,-0.023047990724244224,0,0.2,51528,15,20,1.0,589.0665039658328,False,8.748411715846108e-05,10,0.30000000000000004,51643.0,0,0,0.0,0.0,False,-0.003377204832297657,0,0.2,67398,0,5,0.5,143.0,False,0.00017047644460256752,0,0.24500000000000002,67303,0,5,0.5,143.0,False,-0.0012378072282012511,0,0.2,99283,0,0,0.0,0.0,False,0.0,0,0.2,99203,0,5,0.0,235.0,False,0.00037770816756141535,0.375,505685,0.0,0.0,7,0,0,22,7,7.0,21,43,64,394.0,238.0,28,40,64,200,11.968827024975326,39.6600888799876
4,64,0,0,0,10.0,20,10.0,12.483221476510067,0,,17.241610738255034,25,11.6,27.34,5,16.0,47.0,11,47.0,0,0.2,34901,0,46,1.0,574.2281879194632,False,-0.004889169029164003,0,0.5150000000000001,34226.0,54,0,0.0,540.0,False,-0.024461977885240804,0,0.2,51528,5,30,1.0,579.6644295302013,False,-3.2379720348549207e-06,25,0.54,51003.0,0,0,0.0,0.0,False,-0.015728125361843374,0,0.2,67228,5,15,1.0,496.3080536912752,False,0.00026911599581435405,0,0.24500000000000002,67263,0,10,1.0,273.4,False,-0.000864241453941755,0,0.2,99283,0,0,0.0,0.0,False,0.0,6,0.26,99275,0,5,0.5,235.0,False,0.0011029078492793328,0.5625,504707,0.0,0.0,11,0,0,18,9,8.333333333333332,23,41,52,361.0,138.0,24,40,52,421,9.855538573989179,49.51562745397678
5,52,0,0,0,10.0,20,10.0,12.483221476510067,0,,15.97989661114302,20,11.75,26.005882352941175,6,16.0,47.00000000000001,10,47.0,0,0.2,34791,1,56,1.0,709.0604026845638,False,-0.0060934305776905555,0,0.5150000000000001,34136.0,63,0,0.0,630.0,False,-0.025734566330137723,0,0.2,51528,0,35,0.5,559.2963813900058,False,-0.00019977245947355442,20,0.7150000000000001,50548.0,0,0,0.0,0.0,False,-0.024508857925817282,0,0.2,67108,5,25,1.0,730.0465418792445,False,0.00022270554922503347,0,0.24500000000000002,67244,0,14,1.0,364.08235294117645,False,-0.0004737588355629696,0,0.2,99283,0,0,0.0,0.0,False,0.0,5,0.30400000000000005,99352,0,6,0.6,282.00000000000006,False,0.002115165738343926,0.5125,503990,0.0,0.0,10,0,0,20,7,6.333333333333333,18,38,38,381.0,113.0,22,30,38,437,8.439804663998075,57.95543211797485
6,38,0,0,0,10.0,20,10.0,17.840863654538186,58,24.03448275862069,15.594879606303826,7,11.285714285714286,27.969941060903736,5,46.0,47.0,9,47.0,2,0.22000000000000003,36027,3,10,1.0,208.40863654538185,False,0.021781180347634176,0,0.5150000000000001,34056.0,71,0,0.0,710.0,False,-0.026865756058934986,0,0.2,51298,0,45,1.0,701.7695822836721,False,-0.0032636382889761418,7,0.7650000000000001,49266.0,48,0,0.0,856.361455417833,False,-0.04098612976747622,0,0.2,67283,0,30,1.0,839.098231827112,False,0.00362520554883863,0,0.24500000000000002,67220,0,16,0.2,447.5190569744598,False,-0.00021110130025739243,0,0.2,99283,0,0,0.0,0.0,False,0.0,3,0.32900000000000007,99373,0,5,0.5,235.0,False,0.0020899851938398317,0.4625,503806,0.0,0.0,14,0,0,22,5,3.6333333333333333,12,34,30,249.0,70.0,18,20,30,1684,8.135521156946197,66.09095327492105
7,30,0,0,0,10.0,20,10.0,17.07017670047232,96,16.166666666666668,17.058537958207275,44,19.613636363636363,29.54739224562094,5,44.0,47.0,10,47.0,31,0.528,36141,2,10,1.0,190.7017670047232,False,0.024754698212786978,55,1.0650000000000002,32718.0,82,0,0.0,820.0,False,-0.06314866661010718,0,0.2,50377,39,55,1.0,1603.9564790198206,False,-0.012332042156974216,44,1.1980000000000002,47949.0,95,0,0.0,1621.6667865448703,False,-0.05901745738406665,0,0.2,66640,34,35,1.0,1614.1490191757803,False,-0.00016195989226043477,0,0.24500000000000002,67220,0,16,0.0,472.75827592993505,False,-2.4027721471688086e-05,0,0.2,99283,0,0,0.0,0.0,False,0.0,5,0.37600000000000006,99328,0,5,0.5,235.0,False,0.0016367353927661333,0.4375,499656,0.0,0.0,10,0,0,13,12,11.09090909090909,17,30,33,210.0,91.0,15,15,33,655,8.232283646008,74.32323692092905
8,33,0,0,0,10.0,20,10.0,16.244893242589335,20,8.5,20.196900660182678,75,24.746666666666666,30.971883932267538,5,44.0,47.0,11,47.0,0,0.4970000000000001,36031,3,20,1.0,354.8978648517867,False,0.02396563820100931,20,1.2100000000000002,32298.0,91,0,0.0,910.0,False,-0.07375357031758152,0,0.2,51200,49,34,1.0,1482.6943913330883,False,0.0023803928300309796,44,1.594,47263.0,95,0,0.0,1543.2648580459868,False,-0.07301261281749591,0,0.2,65777,68,45,1.0,2767.1240218444614,False,-0.004409232249366474,0,0.24500000000000002,66447,21,21,1.0,1074.5444764414547,False,-0.007022558655448895,0,0.2,99283,0,0,0.0,0.0,False,0.0,6,0.43100000000000005,99271,0,5,0.5,235.0,False,0.0010626189780727818,0.5625,497570,0.0,0.0,13,0,0,17,9,9.0,18,35,34,246.0,107.0,17,16,34,1648,11.073321111965925,85.39655803289497
9,34,0,0,0,10.000000000000002,20,10.0,16.388550494431712,57,16.85964912280702,19.74386417591802,55,18.381818181818183,31.923730788812936,6,39.166666666666664,47.0,11,47.0,12,0.6170000000000001,36469,0,10,1.0,163.88550494431712,False,0.03365127548633131,25,1.4400000000000002,31838.0,104,0,0.0,1040.0000000000002,False,-0.08492406888945449,0,0.2,51188,44,43,1.0,1570.0823813194702,False,0.0029920334760071107,54,2.0900000000000003,44987.0,147,0,0.0,2409.116922681462,False,-0.10858083173143052,0,0.2,64799,112,55,1.0,3967.1179810875296,False,-0.010012763637466773,0,0.24500000000000002,66649,12,25,1.0,1035.0196398313396,False,-0.004321061698899112,0,0.2,99283,0,0,0.0,0.0,False,0.0,6,0.48500000000000004,99189,0,6,0.6,282.0,False,0.0004733942366769739,0.575,494402,0.0,0.0,13,0,0,21,11,10.083333333333334,13,34,38,249.0,91.0,18,16,38,883,7.50672108103754,92.90327911393251
