index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,21.0,0,,25.0,0,,0,0.2,45710,3,10,1.0,190.0,False,-0.0007635253054101221,0,0.2,45770,7,0,0.0,70.0,False,-0.0007635253054101221,0,0.2,63118,0,0,0.0,0.0,False,0.0,0,0.2,63118,0,0,0.0,0.0,False,0.0,0,0.2,78986,0,0,0.0,0.0,False,0.0,0,0.2,78986,0,0,0.0,0.0,False,0.0,0.16666666666666666,375688,0.0,0.0,5,0,0,1,0,0.0,434,435,169,0.0,0.0,0,0,169,200,3.6049811113625765,3.6049811113625765
1,169,0,0,0,10.0,20,10.0,16.0,0,,21.0,0,,25.0,0,,0,0.2,45610,3,20,1.0,350.0,False,-0.001199825479930192,0,0.2,45670,17,0,0.0,170.0,False,-0.0018542757417102968,0,0.2,63118,0,0,0.0,0.0,False,0.0,0,0.2,63118,0,0,0.0,0.0,False,0.0,0,0.2,78986,0,0,0.0,0.0,False,0.0,0,0.2,78986,0,0,0.0,0.0,False,0.0,0.16666666666666666,375488,0.0,0.0,6,0,0,78,0,0.0,47,125,105,1967.0,294.0,115,54,105,200,13.551461516879499,17.156442628242075
2,105,0,0,0,10.0,20,10.0,12.90625,19,5.578947368421052,21.0,0,,25.0,0,,0,0.2,45585,4,20,1.0,298.125,False,-0.002311027486910995,9,0.29000000000000004,45410,26,0,0.0,260.0,False,-0.006544502617801047,0,0.2,63032,1,10,1.0,222.90625,False,0.0004032625400044361,0,0.2,63098,0,8,0.8,168.0,False,0.0010139738268005957,0,0.2,78986,0,0,0.0,0.0,False,0.0,0,0.2,78986,0,0,0.0,0.0,False,0.0,0.4666666666666666,375097,0.0,0.0,7,0,0,57,3,3.0,48,105,77,451.0,44.0,95,10,77,285,15.96731329895556,33.123755927197635
3,77,0,0,0,10.0,20,10.0,11.897196261682243,28,9.821428571428571,21.0,0,,25.0,20,25.0,0,0.2,45560,1,25,1.0,307.4299065420561,False,-0.0027549093963563577,23,0.5110000000000001,44981,39,0,0.0,390.0,False,-0.014485165794066317,0,0.2,62757,19,20,1.0,646.0467289719626,False,-0.0006016767881431031,0,0.2,63098,0,8,0.0,168.0,False,0.0010139738268005957,12,0.32000000000000006,78883,0,0,0.0,0.0,False,-0.0013040285620236497,8,0.28,78926,0,0,0.0,0.0,False,-0.0007596282885574658,0.3333333333333333,374205,0.0,0.0,6,0,0,44,8,8.0,19,63,55,389.0,151.0,53,24,55,245,5.610812588594854,38.73456851579249
4,55,0,0,0,10.0,20,10.0,11.350674373795762,6,4.333333333333333,21.72340425531915,2,38.0,25.0,20,25.0,0,0.2,45480,0,34,0.9,385.9229287090559,False,-0.0036439471126848105,6,0.548,44765,51,0,0.0,510.0,False,-0.01788830715532286,0,0.2,62731,15,30,1.0,821.9622432665109,False,0.00037994108864749783,0,0.2,63174,0,6,0.0,130.3404255319149,False,0.0019197410051959686,8,0.38800000000000007,78747,2,0,0.0,43.4468085106383,False,-0.002750824142818762,12,0.392,78806,0,0,0.0,0.0,False,-0.0022788848656723976,0.31666666666666665,373703,0.0,0.0,6,0,0,17,7,7.0,17,34,50,264.0,150.0,24,31,50,276,2.8190209111198783,41.55358942691237
5,50,0,0,0,10.0,20,10.0,9.753323485967506,39,6.6923076923076925,22.168591224018474,1,41.0,25.0,20,25.0,0,0.2,45370,1,44,1.0,439.14623338257024,False,-0.005463064644605404,39,0.9319999999999999,43895,60,0,0.0,600.0,False,-0.03588568935427574,0,0.2,62470,44,40,1.0,1315.8898823433092,False,0.00015756109464266858,0,0.2,63215,0,5,0.0,110.84295612009237,False,0.0024148654592991707,9,0.4700000000000001,78636,3,0,0.0,66.50577367205543,False,-0.004010167791304483,11,0.49000000000000005,78701,0,0,0.0,0.0,False,-0.003608234370647963,0.3333333333333333,372287,0.0,0.0,6,0,0,22,7,7.0,13,35,38,157.0,102.0,24,26,38,241,2.4704882195219398,44.02407764643431
6,38,0,0,0,10.0,20,10.0,11.03870066265358,11,23.0,22.168591224018474,0,,24.999999999999996,20,25.0,0,0.2,45553,0,41,0.8,452.5867271687968,False,-0.0013243158031325925,0,0.893,43765,73,0,0.0,730.0,False,-0.037303664921465966,0,0.2,62217,45,50,1.0,1605.1710910203349,False,-0.0015592137661179053,0,0.2,63215,0,5,0.0,110.84295612009237,False,0.0024148654592991707,7,0.5310000000000001,78589,3,0,0.0,66.50577367205543,False,-0.004605209950674498,13,0.6090000000000002,78573,0,0,0.0,0.0,False,-0.005228774719570557,0.3,371912,0.0,0.0,6,0,0,10,5,5.0,11,21,35,94.0,100.0,11,27,35,453,1.9044788796454668,45.928556526079774
7,35,0,0,0,10.0,20,10.0,11.521547224111659,11,16.0,21.711896201344377,25,21.0,24.999999999999996,20,25.0,0,0.2,45619,1,40,1.0,470.86188896446635,False,0.0003148111798044425,0,0.893,43675,82,0,0.0,820.0,False,-0.03828534031413613,0,0.2,62566,46,35,1.0,1289.9075393561895,False,0.0014726982743131461,0,0.2,63215,0,5,0.0,108.55948100672188,False,0.0023967765218061952,10,0.6240000000000001,78312,12,0,0.0,260.54275441613254,False,-0.006883860719519148,10,0.6960000000000002,78145,6,10,1.0,380.27137720806627,False,-0.008240249049147566,0.5,371532,0.0,0.0,8,0,0,10,6,6.0,10,20,13,88.0,128.0,9,26,13,901,2.3392667965963483,48.26782332267612
8,13,0,0,0,10.0,20,10.0,13.273747934769064,32,18.84375,22.19129236841125,23,23.391304347826086,25.0,20,25.0,0,0.2,46092,4,18,1.0,278.9274628258431,False,0.008539784716686765,0,0.8930000000000002,43605,89,0,0.0,890.0,False,-0.03904886561954625,0,0.2,62341,68,27,1.0,1501.7797535114,False,-0.0004136715872540859,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,10,0.7140000000000002,78222,12,0,0.0,266.295508420935,False,-0.007986886863362248,0,0.6860000000000002,77857,19,10,1.0,671.6345549998138,False,-0.010042067233434898,0.5,371492,0.0,0.0,13,0,0,11,3,3.0,7,18,13,103.0,43.0,8,5,13,1591,1.7908845646306872,50.05870788730681
9,13,0,0,0,10.000000000000002,20,10.0,11.161785863731781,32,3.21875,25.136159804321235,18,37.0,24.999999999999996,20,25.0,0,0.2,46022,1,28,1.0,322.5300041844899,False,0.007488329015973925,32,1.213,42750,102,0,0.0,1020.0000000000002,False,-0.056282722513089,0,0.2,62904,90,19,1.0,1482.1477640179637,False,0.008350611267926467,0,0.2,63375,0,0,0.0,0.0,False,0.004071738648246142,12,0.8240000000000001,77435,30,0,0.0,754.0847941296371,False,-0.014862856745944703,0,0.6860000000000002,78057,9,12,1.0,526.225438238891,False,-0.008430446925791417,0.5,370543,0.0,0.0,8,0,0,7,6,6.0,14,21,15,100.0,33.0,9,4,15,1066,1.922189636155963,51.98089752346277
