index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,18,10.0,21.0,0,,29.0,0,,33.0,0,,0,0.2,55160,0,6,0.6,126.0,False,5.432814197754437e-05,0,0.2,55100,12,0,0.0,120.0,False,-0.0010865628395508873,0,0.2,78996,0,0,0.0,0.0,False,0.0,0,0.2,78996,0,0,0.0,0.0,False,0.0,0,0.2,94181,0,0,0.0,0.0,False,0.0,0,0.2,94181,0,0,0.0,0.0,False,0.0,0.09999999999999999,456614,0.0,0.0,10,0,0,308,0,0.0,848,1156,166,0.0,0.0,0,0,166,180,6.372918080538511,6.372918080538511
1,166,0,0,0,10.0,12,10.0,21.0,0,,29.0,0,,33.0,0,,0,0.2,55120,0,10,0.4,210.0,False,9.054690329590728e-05,0,0.2,55020,20,0,0.0,200.0,False,-0.0018109380659181455,0,0.2,78996,0,0,0.0,0.0,False,0.0,0,0.2,78996,0,0,0.0,0.0,False,0.0,0,0.2,94181,0,0,0.0,0.0,False,0.0,0,0.2,94181,0,0,0.0,0.0,False,0.0,0.06666666666666667,456494,0.0,0.0,8,0,0,64,0,0.0,57,121,80,1359.0,248.0,99,67,80,120,9.97538030333817,16.34829838387668
2,80,0,0,0,10.0,12,10.0,17.654545454545456,10,2.6,29.0,0,,33.0,0,,0,0.2,55060,0,16,0.6,282.4727272727273,False,-0.0003397978334595047,10,0.30000000000000004,54703,26,0,0.0,260.0,False,-0.007008330315103223,0,0.2,78982,0,8,0.8,232.0,False,0.0012912046179553395,0,0.2,78984,0,2,0.2,58.0,False,0.00021520076965922326,0,0.2,94181,0,0,0.0,0.0,False,0.0,0,0.2,94181,0,0,0.0,0.0,False,0.0,0.26666666666666666,456091,0.0,0.0,8,0,0,24,4,4.0,37,61,39,566.0,140.0,40,40,39,120,3.633560667745769,19.98185905162245
3,39,0,0,0,10.0,14,10.0,16.484112149532713,4,2.0,26.446428571428573,11,16.0,33.0,20,33.0,0,0.2,55060,0,16,0.0,263.7457943925234,False,-0.0005093644115128072,4,0.33000000000000007,54471,40,0,0.0,400.0,False,-0.009942049981890619,3,0.23,79045,0,4,0.4,105.78571428571429,False,0.0012898483105835113,0,0.2,78984,0,2,0.0,52.892857142857146,False,0.00018287544396469198,9,0.29000000000000004,94079,0,0,0.0,0.0,False,-0.0010830209914950999,11,0.31000000000000005,93854,1,10,1.0,356.44642857142856,False,-0.0015796900193700415,0.2333333333333333,455493,0.0,0.0,7,0,0,20,13,12.272727272727273,18,38,34,248.0,87.0,17,22,34,140,2.499438072554767,22.481297124177217
4,34,0,0,0,10.0,11,10.0,14.465616797900266,9,3.6666666666666665,26.446428571428573,0,,33.0,20,33.0,0,0.2,55060,0,16,0.0,231.44986876640425,False,-0.0008017940169648517,9,0.41600000000000004,54145,51,0,0.0,510.0,False,-0.014849692140528795,0,0.227,79043,0,5,0.1,132.23214285714286,False,0.0014319215077797,0,0.2,78953,0,10,0.8,264.4642857142857,False,0.0011295779894823148,12,0.401,93911,0,0,0.0,0.0,False,-0.002866820271604676,0,0.29900000000000004,94118,0,3,0.1,99.0,False,-0.00014334101358023382,0.16666666666666666,455230,0.0,0.0,10,0,0,17,8,8.0,20,37,38,205.0,49.0,14,20,38,374,2.0861321855336428,24.56742930971086
5,38,0,0,0,10.000000000000002,6,10.0,13.396633294941084,5,2.4,31.5849358974359,12,53.166666666666664,33.0,20,33.0,0,0.2,55060,0,16,0.0,214.34613271905735,False,-0.0009566630503525912,5,0.4570000000000001,53966,57,0,0.0,570.0000000000001,False,-0.01754798985874683,0,0.227,79037,0,8,0.3,252.6794871794872,False,0.0021183318597112455,2,0.22000000000000003,79515,0,2,0.2,63.1698717948718,False,0.006969782468700154,12,0.5090000000000001,93102,12,0,0.0,379.01923076923083,False,-0.00944447802226978,5,0.34900000000000003,94172,0,0,0.0,0.0,False,-9.556067572015587e-05,0.08333333333333333,454852,0.0,0.0,5,0,0,22,13,12.4,16,38,37,225.0,94.0,18,20,37,532,2.3603472793474793,26.92777658905834
6,37,0,0,0,10.000000000000002,12,10.0,13.396633294941084,0,,31.5849358974359,0,,33.0,20,33.0,0,0.2,55060,0,16,0.0,214.34613271905735,False,-0.0009566630503525912,0,0.45200000000000007,53846,69,0,0.0,690.0000000000001,False,-0.018634552698297717,0,0.227,79037,0,8,0.0,252.6794871794872,False,0.0021183318597112455,0,0.21800000000000003,79515,0,2,0.0,63.1698717948718,False,0.006969782468700154,8,0.5770000000000002,93009,12,0,0.0,379.01923076923083,False,-0.010431938338044724,12,0.464,94016,0,0,0.0,0.0,False,-0.001751945721536191,0.0,454483,0.0,0.0,7,0,0,24,10,10.0,13,37,37,200.0,96.0,15,22,37,120,2.384638628922403,29.312415217980742
7,37,0,0,0,10.000000000000002,9,10.0,15.008551256621296,15,20.466666666666665,31.742257296009537,11,32.54545454545455,33.0,20,33.0,0,0.2,55360,0,6,0.0,90.05130753972777,False,0.0033506999958324165,5,0.5020000000000001,53629,78,0,0.0,780.0000000000001,False,-0.02174936617167693,0,0.227,79214,0,5,0.4,158.71128648004768,False,0.003764186075750948,2,0.23800000000000002,79319,1,10,1.0,332.4311242167166,False,0.006192915617352159,12,0.6890000000000001,92660,19,0,0.0,603.1028886241812,False,-0.012947925331944958,8,0.532,93751,0,4,0.4,132.0,False,-0.0038648984402374154,0.3,453933,0.0,0.0,6,0,0,26,15,14.5,14,40,29,238.0,83.0,19,18,29,572,2.40714939404279,31.719564612023532
8,29,0,0,0,10.000000000000002,9,10.0,14.149031433463138,6,5.666666666666667,29.846065207898704,22,24.636363636363637,33.0,20,33.0,0,0.2,55360,0,6,0.0,84.89418860077883,False,0.0033040038808473515,6,0.5570000000000002,53412,87,0,0.0,870.0000000000001,False,-0.02486417964505614,8,0.30700000000000005,79125,0,6,0.6,179.07639124739222,False,0.002766446346950429,0,0.23600000000000002,79636,0,2,0.1,59.69213041579741,False,0.008479493457996529,13,0.8070000000000002,92352,24,0,0.0,716.3055649895689,False,-0.01561723933176772,3,0.554,93432,7,10,1.0,538.9224564552909,False,-0.005091672118286594,0.2833333333333333,453317,0.0,0.0,11,0,0,23,12,12.0,12,35,29,188.0,61.0,13,16,29,652,3.487117437645793,35.206682049669325
9,29,0,0,0,10.000000000000002,6,10.0,14.29903473562402,4,16.5,29.75135881681027,20,29.4,32.99999999999999,20,33.0,0,0.2,55422,0,4,0.0,57.19613894249608,False,0.004175988219327216,2,0.5710000000000002,53305,93,0,0.0,930.0000000000001,False,-0.026258601955813112,6,0.35900000000000004,79103,0,2,0.2,59.50271763362054,False,0.0017311175099600945,6,0.29600000000000004,79749,0,2,0.2,59.50271763362054,False,0.009908746757010579,9,0.8840000000000001,92029,28,0,0.0,833.0380468706876,False,-0.01842708164666599,1,0.5610000000000002,93388,13,10,1.0,716.7676646185334,False,-0.004614690518159033,0.2333333333333333,452996,0.0,0.0,10,0,0,18,11,9.833333333333334,18,36,31,194.0,44.0,15,14,31,452,1.905539502389729,37.112221552059054
