index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,29.0,0,,0,0.2,41791,1,10,1.0,180.0,False,-0.00047731557719386174,0,0.2,41811,9,0,0.0,90.0,False,-0.0010739600486861889,0,0.2,67789,0,0,0.0,0.0,False,0.0,0,0.2,67789,0,0,0.0,0.0,False,0.0,0,0.2,78713,0,0,0.0,0.0,False,0.0,0,0.2,78713,0,0,0.0,0.0,False,0.0,0.16666666666666666,376606,0.0,0.0,8,0,0,0,0,0.0,1079,1079,106,0.0,0.0,0,0,106,200,7.046156851574779,7.046156851574779
1,106,0,0,0,10.0,20,10.0,16.0,3,1.0,24.0,0,,29.0,0,,0,0.2,41681,2,20,1.0,340.0,False,-0.0011932889429846544,3,0.23,41661,18,0,0.0,180.0,False,-0.003579866828953963,0,0.2,67786,0,3,0.3,72.0,False,0.00048680464382126894,0,0.2,67789,0,0,0.0,0.0,False,0.0,0,0.2,78713,0,0,0.0,0.0,False,0.0,0,0.2,78713,0,0,0.0,0.0,False,0.0,0.21666666666666667,376343,0.0,0.0,9,0,0,61,1,1.0,59,120,74,1517.0,15.0,101,5,74,200,11.25099918525666,18.29715603683144
2,74,0,0,0,10.0,20,10.0,17.013513513513512,16,19.75,24.0,0,,29.0,0,,0,0.2,41911,0,17,0.9,289.2297297297297,False,0.0036900041732862423,4,0.267,41463,31,0,0.0,310.0,False,-0.006754015417293143,0,0.2,67771,0,6,0.3,144.0,False,0.0007965894171620765,0,0.2,67488,3,10,1.0,291.0405405405405,False,-0.0022935834682578835,0,0.2,78713,0,0,0.0,0.0,False,0.0,0,0.2,78713,0,0,0.0,0.0,False,0.0,0.3666666666666667,376059,0.0,0.0,9,0,0,19,2,2.0,41,60,33,553.0,96.0,42,32,33,500,3.9600498052313924,22.25720584206283
3,33,0,0,0,10.0,20,10.0,17.07913669064748,19,17.263157894736842,24.0,0,,29.0,20,29.0,0,0.2,42071,0,16,0.9,273.2661870503597,False,0.0073180376011355965,9,0.35300000000000004,41236,42,0,0.0,420.0,False,-0.010858929381160355,0,0.2,67771,0,6,0.0,144.0,False,0.0007965894171620765,0,0.2,67160,12,20,1.0,684.9496402877697,False,-0.004226720852293471,9,0.29000000000000004,78620,0,0,0.0,0.0,False,-0.0011815075019374183,11,0.31000000000000005,78579,0,0,0.0,0.0,False,-0.0017023871533291832,0.31666666666666665,375437,0.0,0.0,8,0,0,15,12,12.0,21,36,32,212.0,39.0,20,13,32,450,2.8033468574285507,25.06055269949138
4,32,0,0,0,10.0,20,10.0,17.16023984790133,17,17.470588235294116,22.51923076923077,7,13.0,29.0,20,29.0,0,0.2,42246,0,15,1.0,257.40359771851996,False,0.011305262377013995,6,0.404,41032,52,0,0.0,520.0,False,-0.014534259325553089,0,0.2,67771,0,6,0.0,135.1153846153846,False,0.000731058022801455,0,0.2,66954,19,23,1.0,843.986864802433,False,-0.006092530758659756,10,0.38100000000000006,78508,0,0,0.0,0.0,False,-0.0026043982569588253,10,0.399,78385,0,7,0.7,203.0,False,-0.0028775424643959703,0.45,374896,0.0,0.0,12,0,0,12,10,10.0,21,33,28,170.0,51.0,15,17,28,566,2.60942670237273,27.66997940186411
5,28,0,0,0,10.0,20,10.0,17.732727264632686,16,20.375,20.851796407185628,20,16.95,28.999999999999996,20,29.0,0,0.2,42454,1,11,1.0,205.05999991095956,False,0.01564473401483204,2,0.41800000000000004,40908,61,0,0.0,610.0,False,-0.016419655855468843,0,0.2,67911,0,2,0.0,41.703592814371255,False,0.0021073005414916843,0,0.2,66827,25,17,1.0,797.7987205379728,False,-0.008306666859387394,8,0.45100000000000007,78297,4,0,0.0,83.40718562874251,False,-0.004755204441269242,5,0.43900000000000006,78347,6,10,1.0,415.1107784431137,False,-0.0020129408201751435,0.5,374744,0.0,0.0,15,0,0,15,8,7.5,17,32,21,154.0,40.0,13,15,21,1002,2.5115767726674676,30.18155617453158
6,21,0,0,0,10.0,20,10.0,16.39962614150444,7,1.0,19.929682912507342,8,13.0,29.0,20,29.0,0,0.2,42344,2,21,1.0,364.39214897159326,False,0.01492079125762615,7,0.4860000000000001,40669,70,0,0.0,700.0,False,-0.0210496169542493,0,0.2,67911,0,2,0.0,39.859365825014685,False,0.0020936978405421045,0,0.2,66924,22,19,1.0,739.4557504507372,False,-0.007306083948349107,10,0.543,78192,4,0,0.0,79.71873165002937,False,-0.006112594287792138,0,0.43400000000000005,78533,4,10,1.0,369.7187316500294,False,6.173523846146695e-05,0.5,374573,0.0,0.0,15,0,0,11,7,7.0,16,27,22,117.0,50.0,9,12,22,594,2.17543488740921,32.35699106194079
7,22,0,0,0,10.0,20,10.0,17.532796137481277,12,25.0,22.396587002782784,12,35.0,29.0,20,29.0,0,0.2,42534,3,19,1.0,363.1231266121443,False,0.019440146137468636,0,0.47900000000000004,40579,79,0,0.0,790.0,False,-0.02212357700293549,0,0.2,67911,0,2,0.0,44.79317400556557,False,0.0021300887607545414,0,0.2,67044,24,17,1.0,801.529086346858,False,-0.005078042998518532,12,0.6530000000000001,78040,4,0,0.0,89.58634801113114,False,-0.007980979329900212,0,0.43400000000000005,78345,6,12,1.0,482.3795220166967,False,-0.0016110456848506059,0.5,374453,0.0,0.0,15,0,0,12,6,6.0,12,24,21,129.0,54.0,9,13,21,1152,2.0857813954353333,34.44277245737612
8,21,0,0,0,10.0,20,10.0,16.405154050167507,6,1.0,22.53695282004997,20,23.0,29.0,20,29.0,0,0.2,42434,3,29,1.0,505.7494674548577,False,0.01875551260655892,6,0.5390000000000001,40353,89,0,0.0,890.0,False,-0.026323954082241474,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,1,0.21000000000000002,67377,20,10,1.0,553.4726092038499,False,-0.001995363486672898,8,0.7210000000000001,77507,24,0,0.0,540.8868676811992,False,-0.011885667757033794,0,0.43400000000000005,78693,0,6,0.6,174.0,False,0.0008511935766645916,0.43333333333333335,374367,0.0,0.0,16,0,0,13,6,5.142857142857142,13,26,22,105.0,66.0,9,12,22,868,2.187275381758809,36.63004783913493
9,22,0,0,0,10.000000000000002,20,10.0,17.04146863034065,15,20.4,25.15004215732739,12,42.0,29.0,20,29.0,0,0.2,42624,4,27,1.0,500.11965301919753,False,0.02322283063672938,3,0.5630000000000001,40206,98,0,0.0,980.0000000000002,False,-0.02875826352593017,0,0.2,68003,0,0,0.0,0.0,False,0.0031568543569015623,2,0.229,67517,25,10,1.0,677.5371373317901,False,0.0009849469481168795,10,0.8130000000000002,76897,36,0,0.0,905.4015176637861,False,-0.01731987398737317,4,0.47400000000000003,78837,0,0,0.0,0.0,False,0.0015753433359165577,0.3333333333333333,374084,0.0,0.0,12,0,0,16,8,6.666666666666667,16,32,16,198.0,51.0,15,7,16,616,2.029617534019053,38.659665373153985
