index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,44.0,0,,54.0,0,,0,0.2,51035,9,0,0.0,90.0,False,-0.0008801955990220049,0,0.2,51015,11,0,0.0,110.0,False,-0.0010757946210268948,0,0.2,78127,0,0,0.0,0.0,False,0.0,0,0.2,78127,0,0,0.0,0.0,False,0.0,0,0.2,115512,0,0,0.0,0.0,False,0.0,0,0.2,115512,0,0,0.0,0.0,False,0.0,0,0.2,153536,0,0,0.0,0.0,False,0.0,0,0.2,153536,0,0,0.0,0.0,False,0.0,0.0,796400,0.0,0.0,11,0,0,0,0,0.0,1352,1352,82,0.0,0.0,0,0,82,200,6.319980325177312,6.319980325177312
1,82,0,0,0,10.0,20,10.0,19.0,0,,29.0,0,,44.0,0,,54.0,0,,0,0.2,50925,20,0,0.0,200.0,False,-0.0019559902200488996,0,0.2,50925,20,0,0.0,200.0,False,-0.0019559902200488996,0,0.2,78127,0,0,0.0,0.0,False,0.0,0,0.2,78127,0,0,0.0,0.0,False,0.0,0,0.2,115512,0,0,0.0,0.0,False,0.0,0,0.2,115512,0,0,0.0,0.0,False,0.0,0,0.2,153536,0,0,0.0,0.0,False,0.0,0,0.2,153536,0,0,0.0,0.0,False,0.0,0.0,796200,0.0,0.0,10,0,0,19,0,0.0,81,100,81,1469.0,0.0,82,0,81,200,19.51245886925608,25.83243919443339
2,81,0,0,0,10.0,20,10.0,19.0,0,,21.383561643835616,28,9.142857142857142,35.0,30,21.5,54.0,0,,0,0.2,50855,27,0,0.0,270.0,False,-0.0026405867970660146,0,0.2,50795,33,0,0.0,330.0,False,-0.0032273838630806845,18,0.38000000000000006,77455,0,0,0.0,0.0,False,-0.008601379804677,10,0.30000000000000004,77937,0,0,0.0,0.0,False,-0.0024319377423937948,0,0.2,115328,9,10,1.0,542.4520547945206,False,0.0007551252458382182,30,0.5,113908,9,0,0.0,192.45205479452054,False,-0.013052963957015166,0,0.2,152891,20,10,1.0,1240.0,False,-0.0001628282617757399,0,0.2,153536,0,0,0.0,0.0,False,0.0,0.25,792705,0.0,0.0,9,0,0,11,7,7.0,89,100,98,1305.0,0.0,81,0,98,200,13.507281856611371,39.33972105104476
3,98,0,0,0,10.0,20,10.0,18.050632911392405,34,16.794117647058822,17.02949852507375,36,9.083333333333334,31.464088397790054,23,21.08695652173913,54.0,0,,20,0.4,50444,42,0,0.0,420.0,False,-0.009212713936430318,14,0.34,50596,38,0,0.0,380.0,False,-0.00663080684596577,25,0.6120000000000001,75967,28,0,0.0,505.4177215189874,False,-0.0244127016171171,11,0.4,77637,6,0,0.0,108.30379746835443,False,-0.005578712881152684,0,0.2,115328,0,19,0.9,597.817679558011,False,0.0009947783760908284,23,0.7000000000000002,112540,45,0,0.0,766.3274336283187,False,-0.022411838451293714,0,0.2,152868,11,20,1.0,1426.1049723756905,False,0.0002934327205856387,0,0.2,153074,12,10,1.0,917.5690607734807,False,-2.0942773116818527e-05,0.3625,788454,0.0,0.0,8,0,0,13,18,18.0,103,116,10,1563.0,6.0,96,2,10,200,9.73039051797241,49.07011156901717
4,10,0,0,0,10.0,20,10.0,17.834886817576564,4,14.0,16.35831675913326,4,1.0,29.238762687288546,22,21.0,54.0,20,54.0,1,0.39,50381,47,0,0.0,470.0,False,-0.0099559902200489,3,0.35600000000000004,50421,53,0,0.0,530.0,False,-0.00858679706601467,4,0.6270000000000001,75795,30,0,0.0,535.046604527297,False,-0.02642462526061857,0,0.389,77617,8,0,0.0,142.6790945406125,False,-0.005614710058362509,0,0.2,115328,0,19,0.0,555.5364910584824,False,0.000811761942735282,22,0.8970000000000002,111594,49,0,0.0,801.5575211975297,False,-0.030448968413681967,0,0.2,153273,10,19,1.0,1318.3876268728854,False,0.002580461998726239,0,0.2,153287,15,11,1.0,1032.5814403093282,False,0.00174089933406287,0.25,787696,0.0,0.0,19,0,0,9,6,6.0,13,22,14,108.0,27.0,6,4,14,1280,1.4315252816304564,50.50163685064763
5,14,0,0,0,10.0,20,10.0,17.66268936854806,7,16.0,14.965717166624655,37,11.72972972972973,28.53531581158676,14,23.857142857142858,54.0,20,54.0,0,0.389,50311,54,0,0.0,540.0,False,-0.010640586797066014,7,0.42300000000000004,50242,66,0,0.0,660.0,False,-0.010816625916870416,11,0.7330000000000001,75300,37,0,0.0,653.5195066362783,False,-0.032002255899776774,26,0.649,76764,8,0,0.0,141.3015149483845,False,-0.016541646838171196,0,0.2,115328,0,19,0.0,542.1710004201484,False,0.0007539086866305882,14,1.0150000000000001,110706,86,0,0.0,1287.0516763297203,False,-0.036034993436484,0,0.2,153471,12,20,1.0,1422.4237897390412,False,0.004208862383216401,0,0.2,153835,7,10,1.0,739.7472106811073,False,0.0043564610602109255,0.25,785957,0.0,0.0,21,0,0,10,9,9.0,19,29,10,131.0,30.0,9,5,10,1280,1.624734764918685,52.12637161556631
6,10,0,0,0,10.0,20,10.0,17.686071176054682,5,18.0,14.889397670974844,5,13.2,30.572692582210543,29,37.3448275862069,54.0,20,54.0,5,0.43900000000000006,50176,65,0,0.0,650.0,False,-0.012205378973105134,0,0.41600000000000004,50152,75,0,0.0,750.0,False,-0.01169682151589242,1,0.7320000000000002,75177,42,0,0.0,742.8149893942966,False,-0.03300513913631456,4,0.6630000000000001,76688,8,0,0.0,141.48856940843746,False,-0.01751322481723059,0,0.2,115931,0,10,0.0,305.72692582210544,False,0.004950684456256022,20,1.2010000000000003,109860,91,0,0.0,1354.9351880587108,False,-0.0430650703474154,0,0.2,153006,21,23,1.0,1884.0265442264213,False,0.0026834961970692538,3,0.23,154099,7,10,1.0,754.0088480754738,False,0.006122371457102777,0.25,785089,0.0,0.0,19,0,0,10,7,6.5,12,22,6,64.0,30.0,4,6,6,1667,1.6463582832366228,53.772729898802936
7,6,0,0,0,10.0,20,10.0,16.477230733119903,45,14.733333333333333,13.784412755522974,23,8.782608695652174,28.932457515722724,28,22.321428571428573,54.0,20,54.0,27,0.7040000000000002,49621,76,0,0.0,760.0,False,-0.021985330073349633,18,0.5960000000000001,49868,84,0,0.0,840.0,False,-0.01637163814180929,12,0.851,74236,71,0,0.0,1169.883382051513,False,-0.042316463053416145,11,0.7690000000000001,76335,24,0,0.0,395.4535375948777,False,-0.02040617496131378,0,0.2,115931,0,10,0.0,289.32457515722723,False,0.004879685985686443,28,1.4610000000000003,108215,114,0,0.0,1571.423054129619,False,-0.056368935460689745,0,0.2,153669,18,18,1.0,1492.784235283009,False,0.005727595597394207,0,0.227,153891,18,15,1.0,1330.784235283009,False,0.00664594699380938,0.25,781766,0.0,0.0,21,0,0,10,13,13.0,14,24,1,80.0,3.0,5,1,1,1280,1.084516590461135,54.85724648926407
8,1,0,0,0,10.0,20,10.0,16.26858688237282,21,15.285714285714286,13.109741816109882,29,10.448275862068966,31.314078292234548,13,54.53846153846154,54.0,20,54.0,20,0.877,49242,88,0,0.0,880.0,False,-0.028224938875305625,1,0.5880000000000001,49775,92,0,0.0,920.0,False,-0.01740831295843521,11,0.9490000000000003,73541,90,0,0.0,1464.1728194135537,False,-0.04932883113767606,18,0.9380000000000002,75838,26,0,0.0,422.9832589416933,False,-0.026591426402257187,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,3,1.463,107819,143,0,0.0,1874.693079703713,False,-0.05848442984406936,0,0.2,153276,19,23,1.0,1836.9674875524565,False,0.004288790536266531,0,0.227,154655,10,10,1.0,853.1407829223455,False,0.01006650161174686,0.25,780717,0.0,0.0,20,0,0,12,11,11.0,9,21,4,18.0,0.0,1,0,4,1920,1.014130413532257,55.87137690279633
9,4,0,0,0,10.000000000000002,20,10.0,15.918650701189245,52,15.192307692307692,13.302078998277937,37,13.972972972972974,30.55453182108636,10,21.0,54.0,20,54.0,11,0.9670000000000001,49075,97,0,0.0,970.0000000000002,False,-0.030611246943765283,41,0.9970000000000001,48860,103,0,0.0,1030.0000000000002,False,-0.034229828850855744,5,0.9880000000000002,72581,142,0,0.0,2260.448399568873,False,-0.056520483318386223,32,1.2400000000000002,74765,26,0,0.0,413.8849182309204,False,-0.04038370270053307,0,0.2,116571,0,0,0.0,0.0,False,0.0091678786619572,10,1.5600000000000003,106936,180,0,0.0,2394.3742196900284,False,-0.06387918908992121,0,0.2,153822,19,19,1.0,1606.536104600641,False,0.007094544942556286,0,0.227,154979,0,14,1.0,756.0,False,0.011860410587744894,0.25,777589,0.0,0.0,18,0,0,10,10,10.0,13,23,4,63.0,0.0,4,0,4,1280,1.1391314715147018,57.01050837431103
