index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,43.0,0,,62.0,0,,0,0.2,69120,11,0,0.0,110.0,False,-0.0007944532717030189,0,0.2,69140,9,0,0.0,90.0,False,-0.00065000722230247,0,0.2,94808,0,0,0.0,0.0,False,0.0,0,0.2,94808,0,0,0.0,0.0,False,0.0,0,0.2,145382,0,0,0.0,0.0,False,0.0,0,0.2,145382,0,0,0.0,0.0,False,0.0,0,0.2,199997,0,0,0.0,0.0,False,0.0,0,0.2,199997,0,0,0.0,0.0,False,0.0,0.0,1018634,0.0,0.0,6,0,0,241,0,0.0,741,982,34,0.0,0.0,0,0,34,200,1.1997182797640562,1.1997182797640562
1,34,0,0,0,10.0,20,10.0,20.0,0,,30.0,0,,40.03846153846154,7,21.0,62.0,0,,0,0.2,69040,19,0,0.0,190.0,False,-0.0013722374693052146,0,0.2,69020,21,0,0.0,210.0,False,-0.0015166835187057635,0,0.2,94808,0,0,0.0,0.0,False,0.0,0,0.2,94808,0,0,0.0,0.0,False,0.0,0,0.2,145382,0,0,0.0,0.0,False,0.0,7,0.27,145172,0,0,0.0,0.0,False,-0.0014444704296267764,0,0.2,199997,0,0,0.0,0.0,False,0.0,0,0.2,199850,0,7,0.7,434.0,False,0.0003500052500787512,0.0875,1018077,0.0,0.0,6,0,0,28,1,1.0,19,47,20,571.0,18.0,33,1,20,200,2.673444215208292,3.873162494972348
2,20,0,0,0,10.0,20,10.0,20.0,0,,28.040816326530614,4,6.0,40.53974895397489,1,64.0,62.0,0,,0,0.2,68900,33,0,0.0,330.0,False,-0.002383359815109057,0,0.2,68960,27,0,0.0,270.0,False,-0.00195002166690741,4,0.24000000000000002,94688,0,0,0.0,0.0,False,-0.0012657159733355835,0,0.2,94808,0,0,0.0,0.0,False,0.0,1,0.21000000000000002,145371,0,4,0.4,162.15899581589957,False,0.0004820369640529846,0,0.263,145172,0,0,0.0,0.0,False,-0.0014444704296267764,0,0.2,199933,0,1,0.1,62.0,False,-0.00016500247503712555,0,0.2,199850,0,7,0.0,434.0,False,0.0003500052500787512,0.0625,1017682,0.0,0.0,6,0,0,16,2,2.0,17,33,18,172.0,3.0,19,1,18,200,4.253262897953391,8.12642539292574
3,18,0,0,0,10.0,20,10.0,20.0,0,,24.229755178907723,9,5.555555555555555,41.0726942298955,1,64.0,62.0,0,,0,0.2,68800,43,0,0.0,430.0,False,-0.003105590062111801,0,0.2,68860,37,0,0.0,370.0,False,-0.0026722519139101546,9,0.32600000000000007,94386,0,0,0.0,0.0,False,-0.004451101172896802,0,0.2,94808,0,0,0.0,0.0,False,0.0,0,0.20900000000000002,145385,0,12,0.9,492.872330758746,False,0.0017157293569999058,0,0.263,145172,0,0,0.0,0.0,False,-0.0014444704296267764,0,0.2,199869,0,2,0.1,124.0,False,-0.0003300049500742511,0,0.2,199850,0,7,0.0,434.0,False,0.0003500052500787512,0.125,1017130,0.0,0.0,8,0,0,13,2,2.0,12,25,18,149.0,96.0,11,7,18,264,2.7009681975468993,10.827393590472639
4,18,0,0,0,10.0,20,10.0,20.0,0,,23.7436503248671,3,16.0,39.23844866789652,7,28.857142857142858,62.0,14,62.0,0,0.2,68690,54,0,0.0,540.0,False,-0.00390004333381482,0,0.2,68770,46,0,0.0,460.0,False,-0.0033222591362126247,0,0.31700000000000006,94386,0,0,0.0,0.0,False,-0.004451101172896802,3,0.23,94748,0,0,0.0,0.0,False,-0.0006328579866677918,0,0.20900000000000002,145539,0,8,0.3,313.90758934317216,False,0.0021595093936771525,0,0.263,145172,0,0,0.0,0.0,False,-0.0014444704296267764,12,0.32000000000000006,199488,0,7,0.7,434.0,False,-0.0014600219003285048,0,0.2,199850,0,7,0.0,434.0,False,0.0003500052500787512,0.125,1016643,0.0,0.0,8,0,0,18,6,5.333333333333333,11,29,8,232.0,54.0,15,3,8,402,2.1839953465387225,13.011388937011361
5,8,0,0,0,10.0,20,10.0,20.0,0,,22.89505564754459,2,3.5,36.63801890456039,8,23.0,62.00000000000001,12,62.0,0,0.2,68630,60,0,0.0,600.0,False,-0.0043333814820164665,0,0.2,68630,60,0,0.0,600.0,False,-0.0043333814820164665,2,0.337,94320,0,0,0.0,0.0,False,-0.005147244958231373,0,0.227,94748,0,0,0.0,0.0,False,-0.0006328579866677918,0,0.20900000000000002,145532,0,10,0.2,366.3801890456039,False,0.0022918249475369144,8,0.3430000000000001,144948,0,0,0.0,0.0,False,-0.002985238887895338,5,0.35800000000000004,199657,0,8,0.8,496.00000000000006,False,-0.00046000690010350155,0,0.2,199850,0,7,0.0,434.00000000000006,False,0.0003500052500787512,0.125,1016315,0.0,0.0,7,0,0,10,6,5.2,11,21,5,102.0,18.0,7,1,5,386,1.6789840031415224,14.690372940152884
6,5,0,0,0,10.0,20,10.0,20.0,0,,19.970379294659807,14,11.0,35.12316917275537,9,27.555555555555557,62.00000000000001,4,62.0,0,0.2,68500,73,0,0.0,730.0,False,-0.005272280803120035,0,0.2,68560,67,0,0.0,670.0,False,-0.004838942654918388,5,0.385,94141,0,0,0.0,0.0,False,-0.007035271285123618,9,0.31700000000000006,94538,0,0,0.0,0.0,False,-0.0028478609400050627,0,0.20900000000000002,145442,4,19,1.0,747.2217314609912,False,0.0029825622548217885,8,0.41500000000000004,144724,0,0,0.0,0.0,False,-0.004526007346163899,0,0.35300000000000004,199657,0,13,0.9,806.0000000000001,False,0.0003150047250708761,0,0.2,199850,0,7,0.0,434.00000000000006,False,0.0003500052500787512,0.2375,1015412,0.0,0.0,11,0,0,11,5,5.0,8,19,4,53.0,18.0,4,1,4,512,1.2656062990427017,15.955979239195585
7,4,0,0,0,10.0,20,10.0,20.0,0,,19.169933013555028,6,12.333333333333334,35.705780073900435,1,64.0,62.000000000000014,9,62.0,0,0.2,68390,84,0,0.0,840.0,False,-0.006066734074823054,0,0.2,68470,76,0,0.0,760.0,False,-0.005488949877220858,2,0.4,94079,0,0,0.0,0.0,False,-0.00768922453801367,4,0.3480000000000001,94458,0,0,0.0,0.0,False,-0.003691671588895452,0,0.20900000000000002,145432,0,28,1.0,999.7618420692122,False,0.003782317763097275,0,0.40700000000000003,144724,0,0,0.0,0.0,False,-0.004526007346163899,0,0.35300000000000004,200151,0,5,0.1,310.00000000000006,False,0.0015450231753476303,0,0.2,199850,0,7,0.0,434.0000000000001,False,0.0003500052500787512,0.1375,1015554,0.0,0.0,11,0,0,9,2,2.0,8,17,3,71.0,0.0,4,0,3,822,0.8712372304871678,16.827216469682753
8,3,0,0,0,10.0,20,10.0,20.0,0,,15.812194575168176,16,5.0,33.77363846563327,8,23.0,62.000000000000014,10,62.0,0,0.2,68280,95,0,0.0,950.0,False,-0.006861187346526072,0,0.2,68380,85,0,0.0,850.0,False,-0.006138957099523328,16,0.558,93487,0,0,0.0,0.0,False,-0.013933423339802548,0,0.34400000000000003,94458,0,0,0.0,0.0,False,-0.003691671588895452,0,0.20900000000000002,145568,0,28,0.8,945.6618770377315,False,0.0045317228991131105,0,0.40700000000000003,144692,8,0,0.0,126.49755660134541,False,-0.004311064792748208,5,0.403,200205,0,8,0.8,496.0000000000001,False,0.002280034200513008,0,0.2,199850,0,7,0.0,434.0000000000001,False,0.0003500052500787512,0.2,1014920,0.0,0.0,10,0,0,9,4,3.5,8,17,7,51.0,0.0,3,0,7,632,0.9075310500338674,17.73474751971662
9,7,0,0,0,10.000000000000002,20,10.0,20.0,0,,15.330294028865648,16,13.5,39.00499406044484,62,43.0,62.000000000000014,9,62.0,0,0.2,68160,107,0,0.0,1070.0000000000002,False,-0.007727863642929366,0,0.2,68300,93,0,0.0,930.0000000000001,False,-0.006716741297125524,5,0.5920000000000001,93347,0,0,0.0,0.0,False,-0.015410091975360729,11,0.45400000000000007,94196,0,0,0.0,0.0,False,-0.006455151464011476,0,0.20900000000000002,145448,0,38,1.0,1482.1897742969038,False,0.0055515461828042215,62,1.0270000000000001,144100,14,0,0.0,214.62411640411906,False,-0.008080009504601332,1,0.40800000000000003,198023,52,10,1.0,2648.2596911431315,False,-0.0032493995131349035,0,0.2,199850,0,7,0.0,434.0000000000001,False,0.0003500052500787512,0.25,1011424,0.0,0.0,9,0,0,12,5,4.5,9,21,8,104.0,0.0,7,0,8,634,1.6661167480051517,19.400864267721772
