index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,33.0,0,,44.0,0,,0,0.2,43589,10,0,0.0,100.0,False,-0.0011444528370985832,0,0.2,43589,10,0,0.0,100.0,False,-0.0011444528370985832,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,98300,0,0,0.0,0.0,False,0.0,0,0.2,98300,0,0,0.0,0.0,False,0.0,0.0,417158,0.0,0.0,13,0,0,4,0,0.0,1122,1126,58,0.0,0.0,0,0,58,200,4.73747728113085,4.73747728113085
1,58,0,0,0,10.0,20,10.0,20.0,0,,33.0,0,,44.0,0,,0,0.2,43479,21,0,0.0,210.0,False,-0.002403350957907025,0,0.2,43499,19,0,0.0,190.0,False,-0.002174460390487308,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,66690,0,0,0.0,0.0,False,0.0,0,0.2,98300,0,0,0.0,0.0,False,0.0,0,0.2,98300,0,0,0.0,0.0,False,0.0,0.0,416958,0.0,0.0,10,0,0,21,0,0.0,63,84,47,1037.0,0.0,58,0,47,200,9.575632397085428,14.313109678216279
2,47,0,0,0,10.0,20,10.0,11.032967032967033,46,2.260869565217391,26.723684210526315,31,17.612903225806452,44.0,0,,30,0.5,42402,27,0,0.0,270.0,False,-0.026368193366751357,16,0.36000000000000004,42952,33,0,0.0,330.0,False,-0.013092540456407792,0,0.2,66648,4,10,1.0,311.36871023713127,False,0.0017046686927359323,31,0.51,65386,32,0,0.0,353.05494505494505,False,-0.016906170752324496,0,0.2,98102,1,10,1.0,466.7236842105263,False,0.00035973389730688694,0,0.2,97952,10,10,1.0,707.2368421052631,False,5.7155860148791634e-05,0.5,413442,0.0,0.0,10,0,0,15,13,13.0,54,69,6,656.0,0.0,47,0,6,200,4.794818381778896,19.107928059995174
3,6,0,0,0,10.0,20,10.0,9.026535253980287,50,5.74,24.19385593220339,26,17.53846153846154,44.0,20,44.0,7,0.54,42118,40,0,0.0,400.0,False,-0.03138089679324315,43,0.774,41466,40,0,0.0,400.0,False,-0.04630456178900867,0,0.2,66648,0,14,0.4,338.71398305084745,False,0.001909686482612375,26,0.7390000000000001,64171,82,0,0.0,740.1758908263835,False,-0.03222240297775988,1,0.21000000000000002,98354,1,10,1.0,464.1938559322034,False,0.002910446876562641,0,0.2,98072,16,11,1.0,871.1016949152543,False,0.0021114023139127158,0.39999999999999997,410829,0.0,0.0,19,0,0,15,10,9.5,13,28,8,64.0,6.0,4,2,8,992,1.1511653754860163,20.25909343548119
4,8,0,0,0,10.0,20,10.0,7.5417927509918625,30,1.6666666666666667,22.472152126892574,26,16.846153846153847,44.0,20,44.0,9,0.623,41813,49,0,0.0,490.0,False,-0.037332051546155785,21,0.9410000000000003,40753,51,0,0.0,510.0,False,-0.06136556112522603,0,0.2,66648,0,14,0.0,314.610129776496,False,0.0017289708335319993,26,0.9730000000000003,63179,112,0,0.0,844.6807881110886,False,-0.04631368429966196,0,0.20900000000000002,98596,2,10,1.0,484.94430425378516,False,0.005477844884302084,0,0.2,98272,21,11,1.0,955.915194664744,False,0.004577391631051539,0.3333333333333333,409261,0.0,0.0,26,0,0,14,8,8.0,13,27,10,74.0,24.0,5,3,10,1080,1.3297448828816414,21.588838318362832
5,10,0,0,0,10.0,20,10.0,6.512166407494381,25,1.0,24.094511186126557,21,31.80952380952381,43.99999999999999,20,44.0,25,0.8640000000000001,40994,58,0,0.0,580.0,False,-0.05504818146444185,0,0.9200000000000004,40643,62,0,0.0,620.0,False,-0.06262445924603446,0,0.2,67128,0,4,0.0,96.37804474450623,False,0.0072902837362761805,11,1.0570000000000004,62863,137,0,0.0,892.1667978267302,False,-0.05069600541440444,0,0.20900000000000002,99036,0,2,0.2,87.99999999999999,False,0.007934893184130213,0,0.2,98044,32,11,1.0,1255.0243579560497,False,0.003779371098453959,0.19999999999999998,408708,0.0,0.0,23,0,0,13,4,4.0,14,27,8,72.0,33.0,4,6,8,1560,1.3288968810811639,22.917735199443996
6,8,0,0,0,10.0,20,10.0,5.836643080941062,21,1.2380952380952381,23.391101283158683,32,21.0,43.99999999999999,20,44.0,5,0.8890000000000002,40804,66,0,0.0,660.0,False,-0.0584815399757376,16,1.0800000000000003,40155,74,0,0.0,740.0,False,-0.07242097553159835,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,28,1.3260000000000003,61797,158,0,0.0,922.1896067886878,False,-0.0664553185875792,10,0.30900000000000005,98580,12,10,1.0,720.6932153979042,False,0.006514207606296613,0,0.2,98100,32,13,1.0,1320.5152410610776,False,0.004682173148835581,0.3333333333333333,406764,0.0,0.0,19,0,0,14,11,11.0,11,25,4,36.0,16.0,2,6,4,840,1.0224269926548004,23.940162192098796
7,4,0,0,0,10.0,20,10.0,5.078320015773767,37,2.054054054054054,22.315994502679246,26,17.076923076923077,43.99999999999999,20,44.0,0,0.8840000000000001,40694,77,0,0.0,770.0,False,-0.05974043809654604,37,1.4340000000000002,38797,83,0,0.0,830.0,False,-0.10247430703380714,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,26,1.5580000000000003,60724,195,0,0.0,990.2724030758845,False,-0.08203424499118396,0,0.29900000000000004,98976,2,11,1.0,528.6319890053585,False,0.009565778173984593,0,0.2,98140,48,12,1.0,1599.1677361286038,False,0.006506448301773209,0.3333333333333333,404659,0.0,0.0,24,0,0,12,7,7.0,14,26,2,39.0,3.0,3,1,2,1080,1.0778836170211434,25.01804580911994
8,2,0,0,0,10.0,20,10.0,5.177090782315073,9,7.0,21.620715044893913,17,16.0,43.99999999999999,20,44.0,0,0.8840000000000001,40584,88,0,0.0,880.0,False,-0.06099933621735448,9,1.4870000000000003,38554,92,0,0.0,920.0,False,-0.10700634026871753,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,17,1.7020000000000002,60150,204,0,0.0,1056.126519592275,False,-0.09014749947824055,0,0.29900000000000004,99460,0,2,0.2,87.99999999999999,False,0.01224821973550356,0,0.2,98264,55,13,1.0,1761.139327469165,False,0.008591756497808573,0.19999999999999998,404340,0.0,0.0,25,0,0,12,3,3.0,11,23,2,36.0,0.0,2,0,2,1080,0.9275209465995431,25.945566755719483
9,2,0,0,0,10.000000000000002,20,10.0,5.177090782315073,0,,20.876604889116383,29,17.310344827586206,43.99999999999999,20,44.0,0,0.8840000000000001,40504,96,0,0.0,960.0000000000002,False,-0.06191489848703335,0,1.4780000000000004,38434,104,0,0.0,1040.0000000000002,False,-0.10837968367323583,0,0.2,67328,0,0,0.0,0.0,False,0.00956665167191483,29,1.9750000000000003,59012,204,0,0.0,1056.126519592275,False,-0.10721152706858393,10,0.399,99197,0,10,1.0,439.99999999999994,False,0.011363173957273652,0,0.2,98294,64,15,1.0,1996.1027129034483,False,0.010092078905917918,0.3333333333333333,402769,0.0,0.0,17,0,0,10,10,10.0,13,23,2,36.0,0.0,2,0,2,640,0.9342662617564201,26.879833017475903
