index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,29.0,0,,44.0,0,,0,0.2,54115,10,0,0.0,100.0,False,-0.0009222539887485013,0,0.2,54115,10,0,0.0,100.0,False,-0.0009222539887485013,0,0.2,76615,0,0,0.0,0.0,False,0.0,0,0.2,76615,0,0,0.0,0.0,False,0.0,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.2,99013,0,0,0.0,0.0,False,0.0,0.0,459486,0.0,0.0,12,0,0,257,0,0.0,819,1076,34,0.0,0.0,0,0,34,200,1.3045105151832104,1.3045105151832104
1,34,0,0,0,10.0,20,10.0,21.0,0,,29.0,0,,44.0,0,,0,0.2,54025,19,0,0.0,190.0,False,-0.0017522825786221526,0,0.2,54005,21,0,0.0,210.0,False,-0.001936733376371853,0,0.2,76615,0,0,0.0,0.0,False,0.0,0,0.2,76615,0,0,0.0,0.0,False,0.0,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.2,99013,0,0,0.0,0.0,False,0.0,0.0,459286,0.0,0.0,14,0,0,26,0,0.0,24,50,26,443.0,108.0,28,6,26,200,2.698319299146533,4.002829814329743
2,26,0,0,0,10.0,20,10.0,18.725490196078432,6,1.6666666666666667,29.0,0,,44.0,0,,5,0.25,53791,30,0,0.0,300.0,False,-0.0050539518583417875,1,0.21000000000000002,53895,30,0,0.0,300.0,False,-0.0031356635617449044,0,0.2,76605,0,6,0.6,174.0,False,0.0010050251256281408,0,0.2,76615,0,0,0.0,0.0,False,0.0,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.2,99013,0,0,0.0,0.0,False,0.0,0.09999999999999999,458932,0.0,0.0,11,0,0,23,3,3.0,18,41,24,198.0,75.0,21,5,24,200,3.8419863218441606,7.844816136173904
3,24,0,0,0,10.0,20,10.0,18.725490196078432,0,,26.446428571428573,11,16.0,44.0,7,44.0,0,0.24500000000000002,53711,38,0,0.0,380.0,False,-0.005791755049340588,0,0.20900000000000002,53775,42,0,0.0,420.0,False,-0.004242368348243106,0,0.2,76605,0,6,0.0,158.67857142857144,False,0.0009050353809866197,11,0.31000000000000005,76406,0,0,0.0,0.0,False,-0.0027279253409906675,0,0.2,99013,0,0,0.0,0.0,False,0.0,7,0.27,98742,1,10,1.0,466.44642857142856,False,-0.0003815335937128445,0.16666666666666666,458252,0.0,0.0,13,0,0,19,5,5.0,19,38,19,232.0,144.0,16,8,19,200,2.356203661300242,10.201019797474146
4,19,0,0,0,10.0,20,10.0,16.550094517958414,7,2.2857142857142856,22.819690265486724,40,18.25,44.0,7,44.0,0,0.24500000000000002,53571,52,0,0.0,520.0,False,-0.00708291063358849,7,0.279,53544,48,0,0.0,480.0,False,-0.007949829383012082,0,0.2,76761,0,9,0.7,205.3772123893805,False,0.0032459519179623593,36,0.659,75005,0,0,0.0,0.0,False,-0.021014161717679305,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.263,98320,31,13,1.0,1279.4103982300885,False,-0.000538260641379909,0.2833333333333333,456214,0.0,0.0,17,0,0,18,6,6.0,18,36,15,176.0,129.0,11,8,15,680,1.7958693848922849,11.99688918236643
5,15,0,0,0,10.0,20,10.0,14.758286028199965,7,2.5714285714285716,21.000418900804288,38,17.105263157894736,44.00000000000001,13,44.0,2,0.265,53409,64,0,0.0,640.0,False,-0.008964308770635433,5,0.32200000000000006,53349,56,0,0.0,560.0,False,-0.010808816748132435,0,0.2,76930,0,11,0.7,231.00460790884716,False,0.005619034183311592,33,0.9530000000000003,73780,0,0,0.0,0.0,False,-0.037003197807217905,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.263,98242,59,10,1.0,1679.024715147453,False,0.0006919531533609064,0.2833333333333333,454723,0.0,0.0,17,0,0,19,6,6.0,12,31,17,139.0,93.0,9,6,17,959,1.690530757419765,13.687419939786196
6,17,0,0,0,10.0,20,10.0,13.352100672722987,6,1.8333333333333333,22.036843028447503,18,28.22222222222222,44.0,13,44.0,1,0.273,53305,72,0,0.0,720.0,False,-0.010144793876233515,5,0.36700000000000005,53114,68,0,0.0,680.0,False,-0.01403670570875219,0,0.2,77267,0,9,0.6,198.33158725602752,False,0.0098044220273838,10,1.0200000000000002,73590,0,0,0.0,0.0,False,-0.03948312993539124,0,0.2,99013,0,0,0.0,0.0,False,0.0,3,0.29300000000000004,98150,67,10,1.0,1916.4684829059827,False,0.0009618357332166974,0.26666666666666666,454439,0.0,0.0,19,0,0,18,4,3.75,16,34,12,174.0,108.0,11,6,12,944,1.660373249091208,15.347793188877404
7,12,0,0,0,10.0,20,10.0,11.915159601694135,8,3.0,22.036843028447503,0,,44.0,9,44.0,8,0.3520000000000001,53004,83,0,0.0,830.0,False,-0.014682283500876142,0,0.36200000000000004,53024,77,0,0.0,770.0,False,-0.014866734298625842,0,0.2,77243,0,17,0.8,374.62633148360754,False,0.010641691127609449,0,1.0100000000000002,73590,0,0,0.0,0.0,False,-0.03948312993539124,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,98546,57,11,1.0,1740.1000526215078,False,0.004070677853521793,0.3,454420,0.0,0.0,17,0,0,14,2,2.0,18,32,13,133.0,54.0,9,3,13,596,1.4427543822675943,16.790547571144998
8,13,0,0,0,10.0,20,10.0,11.500630846814573,3,4.333333333333333,25.008016132857833,76,29.42105263157895,44.0,7,44.0,1,0.35400000000000004,52904,91,0,0.0,910.0,False,-0.015788988287374343,2,0.382,52862,89,0,0.0,890.0,False,-0.016748132435672785,0,0.2,77421,0,15,0.3,375.1202419928675,False,0.012968219291214998,71,1.7200000000000002,73049,0,0,0.0,0.0,False,-0.04654441036350584,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,96618,123,14,1.0,3691.9859843415134,False,-0.005544797226922206,0.21666666666666667,451867,0.0,0.0,17,0,0,18,4,4.0,16,34,14,110.0,90.0,8,5,14,699,1.5385065851733088,18.329054156318307
9,14,0,0,0,10.000000000000002,20,10.0,10.427545882517903,7,2.857142857142857,23.77104937478922,25,15.36,44.0,11,44.0,1,0.36300000000000004,52834,96,0,0.0,960.0000000000002,False,-0.016619016877247993,6,0.44000000000000006,52568,104,0,0.0,1040.0000000000002,False,-0.02078760490639122,0,0.2,77401,0,22,0.7,522.9630862453629,False,0.013672016486623695,25,1.8990000000000002,72267,0,0,0.0,0.0,False,-0.05675128891209293,0,0.2,99013,0,0,0.0,0.0,False,0.0,0,0.29000000000000004,96718,138,13,1.0,3852.4048137209124,False,-0.003724739106375411,0.2833333333333333,450801,0.0,0.0,17,0,0,16,6,6.0,16,32,16,126.0,90.0,9,5,16,684,1.7666430966928601,20.095697253011167
