index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,52824,1,10,1.0,220.0,False,0.0,0,0.2,52844,0,9,0.9,189.0,False,8.501152378433522e-05,0,0.2,79695.0,0,0,0.0,0.0,False,0.0,0,0.2,79695.0,0,0,0.0,0.0,False,0.0,0,0.2,101017,0,0,0.0,0.0,False,0.0,0,0.2,101017,0,0,0.0,0.0,False,0.0,0.31666666666666665,467092,0.0,0.0,8,0,0,202,0,0.0,660,862,250,0.0,0.0,0,0,250,200,7.446365998010151,7.446365998010151
1,250,0,0,0,10.0,20,10.0,21.0,0,,25.306306306306308,66,22.106060606060606,40.0,0,,0,0.2,52734,0,20,1.0,420.0,False,0.0001889144972985227,0,0.2,52734,1,19,1.0,409.0,False,8.501152378433522e-05,36,0.56,78273.0,0,0,0.0,0.0,False,-0.017843026538678714,30,0.5,78873.0,0,0,0.0,0.0,False,-0.010314323357801618,0,0.2,100937,0,8,0.8,320.0,False,0.0007919459100943406,0,0.2,99638,58,0,0.0,1467.7657657657658,False,-0.006386223280409391,0.4666666666666666,463189,0.0,0.0,9,0,0,55,12,12.0,212,267,106,3563.0,17.0,249,1,106,200,18.667931418982334,26.114297416992486
2,106,0,0,0,10.0,20,10.0,21.0,0,,23.062708472314874,50,18.58,40.0,0,,0,0.2,52644,0,29,0.9,609.0,False,0.0002739260210828579,0,0.2,52624,2,29,1.0,629.0,False,8.501152378433522e-05,35,0.8740000000000001,76821.0,0,0,0.0,0.0,False,-0.03606248823640128,15,0.6200000000000001,78635.0,0,0,0.0,0.0,False,-0.013300708952882866,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,0,0.2,98709,108,0,0.0,2490.7725150100064,False,-0.010519157592236943,0.31666666666666665,460370,0.0,0.0,9,0,0,27,10,10.0,47,74,16,934.0,317.0,60,46,16,200,9.519016736012418,35.6333141530049
3,16,0,0,0,10.0,20,10.0,22.666666666666668,9,31.0,22.48834609580236,44,20.727272727272727,40.0,13,40.0,0,0.2,52823,0,30,1.0,680.0,False,0.00432614198813617,0,0.2,52524,2,39,1.0,904.0,False,0.0007934408886537953,21,1.0490000000000002,76084.0,0,0,0.0,0.0,False,-0.04531024531024531,23,0.8350000000000002,77900.0,9,0,0.0,204.0,False,-0.0212434908087082,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,13,0.33000000000000007,97573,152,0,0.0,3418.2286065619587,False,-0.017174195399972503,0.3333333333333333,457841,0.0,0.0,9,0,0,8,13,13.0,21,29,21,184.0,25.0,13,3,21,479,2.805702102021314,38.43901625502622
4,21,0,0,0,10.0,20,10.0,25.096209912536448,20,31.0,21.640185285951475,54,19.11111111111111,40.0,15,40.0,0,0.2,53343,0,20,1.0,501.924198250729,False,0.012467640819234545,0,0.2,52424,2,49,1.0,1249.714285714286,False,0.002169817940400214,34,1.3680000000000003,74648.0,0,0,0.0,0.0,False,-0.06332894158981116,20,1.0120000000000002,76920.0,29,0,0.0,727.790087463557,False,-0.030254155922808414,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,15,0.4670000000000001,96241,206,0,0.0,4457.878168906003,False,-0.025214180935357426,0.3333333333333333,454513,0.0,0.0,10,0,0,9,15,15.0,24,33,16,254.0,23.0,16,5,16,820,2.627239911002107,41.066256166028325
5,16,0,0,0,10.0,20,10.0,26.64724146166707,22,31.0,22.207695457351257,49,24.448979591836736,40.0,7,40.0,2,0.22000000000000003,53865,1,10,1.0,276.4724146166707,False,0.02019942205970331,0,0.2,52334,1,59,1.0,1582.187246238357,False,0.0036100355748513403,13,1.4640000000000002,73999.0,11,0,0.0,293.11965607833775,False,-0.06963347979121436,36,1.3520000000000003,75485.0,40,0,0.0,1065.8896584666827,False,-0.0461390949340192,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,7,0.522,94967,255,0,0.0,5662.96234162457,False,-0.03186116029171043,0.3333333333333333,451587,0.0,0.0,8,0,0,14,12,11.181818181818182,15,29,15,206.0,6.0,14,2,15,541,2.1548583449912257,43.22111451101955
6,15,0,0,0,10.0,20,10.0,29.034616324765434,31,34.83870967741935,22.364203414280798,38,23.263157894736842,40.0,10,40.0,0,0.21800000000000003,53775,0,20,1.0,580.6923264953086,False,0.02137276917005429,0,0.2,53304,2,38,1.0,1123.3154203410866,False,0.017600364797116044,13,1.5810000000000002,72875.0,32,0,0.0,929.1077223924939,False,-0.07974711260184152,25,1.5660000000000005,74698.0,50,0,0.0,1451.7308162382717,False,-0.05359350764641277,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,10,0.6150000000000001,93933,293,0,0.0,6552.711600384274,False,-0.03769310313915347,0.3333333333333333,449522,0.0,0.0,11,0,0,11,11,11.0,19,30,20,156.0,17.0,12,3,20,1280,2.373926152999047,45.5950406640186
7,20,0,0,0,10.0,20,10.0,27.527767592769134,27,22.185185185185187,21.942001973245695,28,18.464285714285715,40.0,7,40.0,0,0.21800000000000003,53784,1,19,1.0,533.0275842626136,False,0.021092564176735315,0,0.2,53694,1,32,1.0,890.8885629686123,False,0.022772590045798655,28,1.8480000000000003,71939.0,33,0,0.0,908.4163305613814,False,-0.0916217056869227,0,1.5410000000000004,74118.0,76,0,0.0,2092.1103370504543,False,-0.05685356460850457,0,0.2,100937,0,8,0.0,320.0,False,0.0007919459100943406,7,0.675,93332,321,0,0.0,7043.3826334118685,False,-0.04121394105243732,0.3333333333333333,447804,0.0,0.0,12,0,0,11,7,7.0,20,31,16,205.0,28.0,14,6,16,799,2.1859762190142646,47.78101688303286
8,16,0,0,0,10.0,20,10.0,29.036750990704,36,33.666666666666664,22.05455559462081,33,22.848484848484848,40.00000000000001,8,40.0,3,0.24800000000000003,54253,0,9,0.9,261.330758916336,False,0.027386280641141143,0,0.2,54162,3,28,1.0,843.029027739712,False,0.03116172051743411,12,1.9400000000000004,70917.0,53,0,0.0,1538.947802507312,False,-0.10048969318961466,21,1.7510000000000006,73247.0,92,0,0.0,2671.381091144768,False,-0.06414843408529532,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,8,0.7480000000000002,92474,354,0,0.0,7807.3126804957665,False,-0.04592636546078503,0.31666666666666665,445990,0.0,0.0,10,0,0,10,9,8.5,19,29,19,196.0,25.0,12,4,19,1316,2.334807795006782,50.115824678039644
9,19,0,0,0,10.000000000000002,20,10.0,29.52250345319148,21,32.57142857142857,22.382139379808283,20,26.3,40.00000000000001,10,40.0,1,0.255,54470,0,9,0.9,265.7025310787233,False,0.03152701978953724,0,0.2,54404,4,27,1.0,837.1075932361699,False,0.035677519110932206,11,2.0380000000000007,70662.0,55,0,0.0,1623.7376899255314,False,-0.10315742712889434,9,1.8200000000000003,72584.0,111,0,0.0,3276.997883304254,False,-0.06866806020889482,0,0.2,100937,0,8,0.0,320.00000000000006,False,0.0007919459100943406,10,0.8400000000000001,91798,374,0,0.0,8370.920128048298,False,-0.04982864206990749,0.31666666666666665,444855,0.0,0.0,9,0,0,15,8,7.5,18,33,22,243.0,20.0,17,2,22,800,1.9148603749927133,52.03068505303236
