index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,36.0,0,,0,0.2,41235,3,10,1.0,210.0,False,-0.0006043756799226399,0,0.2,41295,0,7,0.7,126.0,False,-0.00016922519037833919,0,0.2,63673.0,0,0,0.0,0.0,False,0.0,0,0.2,63673,0,0,0.0,0.0,False,0.0,0,0.2,92184,0,0,0.0,0.0,False,0.0,0,0.2,92184,0,0,0.0,0.0,False,0.0,0.2833333333333333,394244,0.0,0.0,9,0,0,368,0,0.0,1172,1540,328,0.0,0.0,0,0,328,200,10.685961589973886,10.685961589973886
1,328,0,0,0,10.0,20,10.0,18.0,0,,20.261363636363637,43,14.255813953488373,36.0,0,,0,0.2,41135,3,20,1.0,390.0,False,-0.0008461259518916959,0,0.2,41195,0,17,1.0,306.0,False,-0.0004109754623473951,43,0.6300000000000001,61961.0,0,0,0.0,0.0,False,-0.0268873776954125,0,0.2,63673,0,0,0.0,0.0,False,0.0,0,0.2,92157,0,9,0.9,324.0,False,0.0014644623795886489,0,0.2,91598,34,0,0.0,688.8863636363636,False,-0.002620376835262339,0.48333333333333334,391719,0.0,0.0,10,0,0,77,7,7.0,186,263,152,3612.0,383.0,242,86,152,200,22.175886192009784,32.86184778198367
2,152,0,0,0,10.0,20,10.0,16.454545454545453,10,9.5,18.49505928853755,22,12.136363636363637,36.0,0,,0,0.2,41015,5,30,1.0,543.6363636363636,False,-0.001890047580848935,0,0.2,41210,0,15,0.8,246.8181818181818,False,-0.0007637110864477635,22,0.8070000000000002,61301.0,0,0,0.0,0.0,False,-0.03725283872284956,0,0.2,63578,0,10,1.0,184.9505928853755,False,-3.9651085347196186e-05,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,0,0.2,91331,56,0,0.0,1035.7233201581028,False,-0.003635536968681598,0.4666666666666666,390592,0.0,0.0,14,0,0,45,5,5.0,59,104,81,717.0,235.0,81,71,81,295,14.428108038962819,47.28995582094649
3,81,0,0,0,10.0,20,10.0,14.87596899224806,15,9.666666666666666,17.184192004504506,51,14.843137254901961,36.0,11,36.0,0,0.2,41010,5,30,1.0,496.2790697674418,False,-0.002583354650460106,0,0.2,41160,0,20,1.0,297.5193798449612,False,-0.0013596110256864282,51,1.2950000000000002,59035.0,0,0,0.0,0.0,False,-0.0728409215837168,0,0.2,63433,5,20,1.0,418.0636850513304,False,-0.0004863624687754182,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,11,0.31000000000000005,90415,107,0,0.0,1838.7085444819822,False,-0.009216845957639165,0.5,387210,0.0,0.0,16,0,0,42,13,13.0,23,65,72,468.0,99.0,42,39,72,345,9.162472594995052,56.45242841594154
4,72,0,0,0,10.0,20,10.0,14.87596899224806,0,,16.20422818966414,26,11.384615384615385,36.0,11,36.0,0,0.2,40910,5,40,1.0,645.0387596899224,False,-0.003202722595310968,0,0.2,41060,0,30,1.0,446.2790697674418,False,-0.001978978970537466,26,1.5040000000000002,58167.0,0,0,0.0,0.0,False,-0.08647307335919463,0,0.2,63433,0,25,0.5,405.10570474160346,False,-0.0005881165899077264,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,11,0.40900000000000003,89954,133,0,0.0,2155.1623492253307,False,-0.012501289002292469,0.4166666666666667,385681,0.0,0.0,14,0,0,35,12,12.0,21,56,70,421.0,106.0,36,36,70,200,7.254573629994411,63.70700204593595
5,70,0,0,0,10.0,20,10.0,17.639288158795342,15,28.333333333333332,15.390345597941183,30,11.633333333333333,36.00000000000001,10,36.0,0,0.2,41050,7,40,1.0,775.5715263518136,False,0.001759597804324995,0,0.2,41145,0,33,0.8,582.0965092402463,False,0.0017175934877341659,30,1.7780000000000005,56977.0,5,0,0.0,88.1964407939767,False,-0.10446974038608216,0,0.2,63173,0,35,1.0,538.6620959279414,False,-0.003622712170559429,0,0.2,92157,0,9,0.0,324.00000000000006,False,0.0014644623795886489,10,0.49800000000000005,89462,163,0,0.0,2508.626332464413,False,-0.01592127520792966,0.4666666666666666,383964,0.0,0.0,13,0,0,36,11,11.0,26,62,66,521.0,280.0,41,29,66,625,9.968306555994786,73.67530860193074
6,66,0,0,0,10.0,20,10.0,19.77618871708269,29,24.620689655172413,15.541742976276442,13,17.307692307692307,36.0,12,36.0,0,0.2,41480,5,27,1.0,583.9570953612326,False,0.009838717458735977,0,0.2,41229,2,37,1.0,751.7189825320595,False,0.00579860972479213,13,1.8780000000000003,56414.0,19,0,0.0,375.7475856245711,False,-0.11105376230408044,0,0.2,62783,5,45,1.0,798.2593775178533,False,-0.007709238001053399,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,12,0.6080000000000001,89044,176,0,0.0,2735.346763824654,False,-0.01922596782617013,0.5,383107,0.0,0.0,14,0,0,33,10,10.0,25,58,67,524.0,336.0,34,32,67,914,5.359509875008371,79.03481847693911
7,67,0,0,0,10.0,20,10.0,20.85347707560838,40,23.150000000000002,16.019226737721223,13,21.46153846153846,36.00000000000001,12,36.0,0,0.2,41876,9,12,1.0,340.2417249073006,False,0.016466115374196837,0,0.2,41559,0,30,0.8,625.6043122682514,False,0.012251955907992818,13,1.9950000000000003,56078.0,29,0,0.0,604.7508351926431,False,-0.1145324483282346,0,0.2,62003,25,55,1.0,1402.3943974648769,False,-0.015215284363349678,0,0.2,92157,0,9,0.0,324.00000000000006,False,0.0014644623795886489,12,0.7160000000000002,88581,189,0,0.0,3027.633853429311,False,-0.022663185295553907,0.4666666666666666,382254,0.0,0.0,17,0,0,35,9,9.0,23,58,68,490.0,102.0,35,32,68,1126,4.597734879003838,83.63255335594295
8,68,0,0,0,10.0,20,10.0,22.922410932417495,42,28.476190476190474,15.48600915039547,11,8.454545454545455,36.00000000000001,7,36.0,17,0.37000000000000005,42078,12,10,1.0,349.22410932417495,False,0.02145804556175723,0,0.2,41931,0,24,0.7,550.1378623780199,False,0.020332864285966618,11,2.0920000000000005,55338.0,42,0,0.0,962.7412591615348,False,-0.12334316539850856,0,0.2,61249,44,65,1.0,2015.1766758020754,False,-0.02224509073074865,0,0.2,92157,0,9,0.0,324.00000000000006,False,0.0014644623795886489,7,0.7740000000000002,88408,200,0,0.0,3097.2018300790937,False,-0.02416253455003536,0.45,381161,0.0,0.0,12,0,0,38,9,8.294117647058822,20,58,60,538.0,93.0,37,31,60,642,4.4594005109975114,88.09195386694046
9,60,0,0,0,10.000000000000002,20,10.0,24.409612537013256,29,31.551724137931036,14.64945086414497,10,2.9,36.0,9,36.0,0,0.35300000000000004,41974,16,18,1.0,599.3730256662386,False,0.021967521161201962,3,0.23,42684,0,6,0.6,146.45767522207953,False,0.033657170013563095,10,2.1810000000000005,54114.0,71,0,0.0,1733.0824901279411,False,-0.1365171855407477,0,0.2,61249,34,75,1.0,1928.6356410693234,False,-0.022924664763170212,0,0.2,92157,0,9,0.0,324.0,False,0.0014644623795886489,9,0.8570000000000002,88262,210,0,0.0,3076.384681470444,False,-0.025859234349396694,0.43333333333333335,380440,0.0,0.0,12,0,0,32,8,7.230769230769231,23,55,62,487.0,129.0,32,28,62,660,4.399700523004867,92.49165438994532
