index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,28.0,0,,38.0,0,,0,0.2,74973,0,9,0.9,189.0,False,5.9949642300467605e-05,0,0.2,74953,1,10,1.0,220.0,False,0.0,0,0.2,104671.0,0,0,0.0,0.0,False,0.0,0,0.2,104671,0,0,0.0,0.0,False,0.0,0,0.2,140117,0,0,0.0,0.0,False,0.0,0,0.2,140117,0,0,0.0,0.0,False,0.0,0.31666666666666665,639502,0.0,0.0,5,0,0,95,0,0.0,313,408,192,0.0,0.0,0,0,192,200,5.657299577025697,5.657299577025697
1,192,0,0,0,10.0,19,10.0,21.0,0,,23.178217821782177,56,19.303571428571427,38.0,0,,0,0.2,74903,0,16,0.7,336.0,False,0.00010657714186749797,0,0.2,74833,3,20,1.0,450.0,False,-6.661071366718623e-05,29,0.49000000000000005,103688.0,0,0,0.0,0.0,False,-0.00939133093215886,27,0.4700000000000001,103977,0,0,0.0,0.0,False,-0.006630298745593335,0,0.2,140117,0,0,0.0,0.0,False,0.0,0,0.2,139036,56,0,0.0,1297.980198019802,False,-0.0030832083258283275,0.2833333333333333,636554,0.0,0.0,4,0,0,24,12,12.0,175,199,124,2761.0,33.0,190,2,124,190,15.304500391008332,20.96179996803403
2,124,0,0,0,10.0,17,10.0,21.0,0,,19.512856150104238,53,13.226415094339623,38.0,0,,0,0.2,74803,0,26,1.0,546.0,False,0.0001731878555346842,0,0.2,74763,0,30,1.0,630.0,False,0.0001998321410015587,30,0.7610000000000001,102339.0,0,0,0.0,0.0,False,-0.022279332384328037,23,0.673,103478,0,0,0.0,0.0,False,-0.011397617296099206,0,0.2,140072,2,10,1.0,419.02571230020845,False,0.0011741106086349566,0,0.2,138380,97,0,0.0,1892.7470465601111,False,-0.005642616361468961,0.5,633835,0.0,0.0,3,0,0,8,13,13.0,15,23,14,182.0,392.0,13,111,14,170,4.707549935032148,25.669349903066177
3,14,0,0,0,10.0,15,10.0,24.142857142857142,18,32.0,19.098612695934175,37,17.64864864864865,38.0,20,38.0,0,0.2,74693,1,36,1.0,879.1428571428571,False,0.0009268405015977887,0,0.2,75299,0,16,0.4,386.2857142857143,False,0.0057171023958921844,29,1.0210000000000001,101372.0,0,0,0.0,0.0,False,-0.031517803403043824,8,0.7300000000000002,102782,18,0,0.0,434.57142857142856,False,-0.01597113131348979,3,0.23,140387,0,6,0.6,228.0,False,0.0027405668120213823,7,0.27,137698,130,0,0.0,2482.819650471443,False,-0.008404334768545418,0.3333333333333333,632231,0.0,0.0,8,0,0,7,14,14.0,14,21,18,186.0,6.0,12,2,18,1106,1.828124844992999,27.497474748059176
4,18,0,0,0,10.000000000000002,12,10.0,24.640791476407916,9,27.77777777777778,18.30465498427924,82,16.853658536585368,38.0,20,38.0,0,0.2,74599,3,44,1.0,1114.1948249619484,False,0.0012402570171852006,0,0.2,75523,0,9,0.0,221.76712328767124,False,0.007605392292392124,33,1.322,99957.0,2,0,0.0,49.28158295281583,False,-0.04480094016989985,49,1.2120000000000002,100487,25,0,0.0,616.0197869101979,False,-0.03703021951204148,5,0.277,140311,13,10,1.0,617.9605147956302,False,0.0035897161472041835,9,0.35300000000000004,136474,189,0,0.0,3459.579792028776,False,-0.013654375300538982,0.3333333333333333,627351,0.0,0.0,6,0,0,11,21,20.5,10,21,16,143.0,26.0,12,6,16,522,2.2865054280264303,29.783980176085606
5,16,0,0,0,10.000000000000002,12,10.0,27.505296481188363,23,34.869565217391305,18.15288961207806,24,16.833333333333332,38.0,20,38.0,0,0.2,75250,5,32,1.0,930.1694873980276,False,0.008687166029855125,0,0.2,75554,0,8,0.0,220.0423718495069,False,0.008006890024709246,14,1.4290000000000003,99348.0,7,0,0.0,192.53707536831854,False,-0.04993485743248699,10,1.2630000000000001,99835,43,0,0.0,1182.7277486910996,False,-0.04055216942280525,0,0.272,140650,6,11,1.0,526.9173376724684,False,0.0056842400910399665,11,0.45400000000000007,135924,210,0,0.0,3812.1068185363924,False,-0.016321692519335938,0.3333333333333333,626561,0.0,0.0,8,0,0,8,7,7.0,15,23,20,168.0,9.0,13,3,20,1264,2.1300395790021867,31.914019755087793
6,20,0,0,0,10.000000000000002,12,10.0,28.736496012570363,19,33.526315789473685,18.35200433012597,52,19.153846153846153,38.0,20,38.0,0,0.2,75691,7,25,1.0,788.4124003142591,False,0.013617976901497837,0,0.2,75630,0,6,0.0,172.41897607542217,False,0.008702150034473865,24,1.6550000000000002,98439.0,9,0,0.0,258.62846411313325,False,-0.058303501141132044,28,1.5330000000000004,98682,60,0,0.0,1724.1897607542219,False,-0.04898114205102543,0,0.272,140978,9,11,1.0,583.1680389711337,False,0.00822586852049052,10,0.543,134862,249,0,0.0,4569.649078201366,False,-0.021197823682346233,0.3333333333333333,624282,0.0,0.0,7,0,0,10,13,13.0,9,19,18,97.0,53.0,9,11,18,1137,1.9484592379885726,33.862478993076365
7,18,0,0,0,10.000000000000002,11,10.0,29.36099665446428,16,32.625,18.010006118389096,46,16.26086956521739,38.0,20,38.0,0,0.2,75912,8,24,1.0,784.6639197071427,False,0.016537201548746713,0,0.2,75821,0,1,0.0,29.36099665446428,False,0.010293759886058783,15,1.7810000000000006,97741.0,14,0,0.0,411.0539531624999,False,-0.06424389776937972,31,1.8150000000000002,97424,71,0,0.0,2084.630762466964,False,-0.059277972110388946,0,0.272,141074,22,12,1.0,852.2201346045601,False,0.009871108197451229,11,0.643,134207,272,0,0.0,4898.721664201834,False,-0.02469821055188943,0.3333333333333333,622179,0.0,0.0,9,0,0,10,12,12.0,13,23,17,178.0,15.0,13,5,17,974,2.179624797019642,36.04210379009601
8,17,0,0,0,10.000000000000002,11,10.0,30.494341412202136,21,35.333333333333336,17.24627916109624,46,13.043478260869565,38.0,20,38.0,0,0.2,76544,9,13,1.0,486.42643835862776,False,0.02297021460878623,0,0.2,75821,0,1,0.0,30.494341412202136,False,0.010301309176373246,34,2.1060000000000008,95972.0,24,0,0.0,731.8641938928513,False,-0.07961200239850168,12,1.9040000000000006,96773,82,0,0.0,2500.535995800575,False,-0.06351073365210722,0,0.272,141312,35,10,1.0,983.6197706383684,False,0.012038581223685754,8,0.712,133739,295,0,0.0,5087.652352523391,False,-0.02736408732515181,0.3333333333333333,620161,0.0,0.0,8,0,0,9,14,14.0,14,23,15,160.0,12.0,13,4,15,1308,2.1882870569825172,38.230390847078525
9,15,0,0,0,10.000000000000002,7,10.0,30.50803132646537,17,30.58823529411765,17.146268438880508,20,15.8,37.99999999999999,20,38.0,3,0.23,76879,6,10,1.0,365.0803132646537,False,0.02662483722516189,0,0.2,75861,0,0,0.0,0.0,False,0.010631069901282921,18,2.2520000000000007,95472.0,25,0,0.0,762.7007831616343,False,-0.08424157224464454,2,1.9120000000000004,96255,98,0,0.0,2989.7870699936066,False,-0.06612248344816798,0,0.272,141641,30,10,1.0,894.3880531664151,False,0.014068200336741398,10,0.804,133356,310,0,0.0,5315.343216052957,False,-0.02928501460903039,0.3333333333333333,619464,0.0,0.0,5,0,0,7,8,7.1875,14,21,16,152.0,12.0,11,4,16,490,1.7174782430520281,39.94786909013055
