index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,23.0,0,,33.0,0,,42.0,0,,0,0.2,64313,11,0,0.0,110.0,False,-0.0008537323626655077,0,0.2,64333,9,0,0.0,90.0,False,-0.0006985082967263244,0,0.2,84554,0,0,0.0,0.0,False,0.0,0,0.2,84554,0,0,0.0,0.0,False,0.0,0,0.2,111934,0,0,0.0,0.0,False,0.0,0,0.2,111934,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0.0,821588,0.0,0.0,7,0,0,0,0,0.0,507,507,140,0.0,0.0,0,0,140,200,2.516146818990819,2.516146818990819
1,140,0,0,0,10.0,20,10.0,18.0,0,,23.0,0,,33.0,0,,42.0,0,,0,0.2,64183,24,0,0.0,240.0,False,-0.0018626887912701986,0,0.2,64263,16,0,0.0,160.0,False,-0.0012417925275134657,0,0.2,84554,0,0,0.0,0.0,False,0.0,0,0.2,84554,0,0,0.0,0.0,False,0.0,0,0.2,111934,0,0,0.0,0.0,False,0.0,0,0.2,111934,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0.0,821388,0.0,0.0,7,0,0,56,0,0.0,48,104,58,1550.0,332.0,89,51,58,200,8.488221284002066,11.004368102992885
2,58,0,0,0,10.0,20,10.0,12.893939393939394,21,1.9523809523809523,22.76086956521739,1,12.0,33.0,0,,42.0,0,,11,0.31000000000000005,63863,31,0,0.0,310.0,False,-0.00628657467053692,10,0.30000000000000004,63933,29,0,0.0,290.0,False,-0.005355230274901821,0,0.2,84534,0,10,1.0,227.6086956521739,False,0.0011094016584204253,1,0.21000000000000002,84517,1,10,1.0,240.5026350461133,False,0.0009845934849097152,0,0.2,111922,0,1,0.1,33.0,False,4.020226204727786e-05,0,0.2,111934,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0.2625,820669,0.0,0.0,8,0,0,18,5,5.0,27,45,46,463.0,186.0,29,29,46,200,2.6505945040262304,13.654962607019115
3,46,0,0,0,10.0,20,10.0,9.271812080536911,30,2.1,22.76086956521739,0,,33.0,0,,42.0,0,,20,0.49900000000000005,63243,43,0,0.0,430.0,False,-0.01497912236313118,10,0.39,63620,37,0,0.0,370.0,False,-0.009592847275041522,0,0.2,84488,9,20,1.0,538.6637000291801,False,0.0024047573150245208,0,0.20900000000000002,84500,2,20,1.0,473.7610154654216,False,0.002162884165535781,0,0.2,111922,0,1,0.0,33.0,False,4.020226204727786e-05,0,0.2,111934,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0,0.2,149983,0,0,0.0,0.0,False,0.0,0.25,819673,0.0,0.0,7,0,0,15,6,6.0,24,39,42,326.0,115.0,24,22,42,200,2.68405979196541,16.339022398984525
4,42,0,0,0,10.0,20,10.0,8.443431803896917,15,4.0,23.719409282700425,6,30.333333333333332,32.65217391304348,1,17.0,42.0,20,42.0,10,0.5790000000000001,62963,51,0,0.0,510.0,False,-0.018704499945671575,5,0.43000000000000005,63410,49,0,0.0,490.0,False,-0.011921208264129271,0,0.2,84488,0,29,0.9,687.8628691983123,False,0.0032870288170773567,0,0.20900000000000002,84622,7,24,1.0,628.3698454120886,False,0.004520009966483487,0,0.2,111757,0,6,0.6,195.91304347826087,False,-0.0007061614724825746,0,0.2,111934,0,0,0.0,0.0,False,0.0,7,0.27,149897,0,0,0.0,0.0,False,-0.0005733983184760939,13,0.33000000000000007,149740,0,1,0.1,42.0,False,-0.0014801677523452658,0.32499999999999996,818811,0.0,0.0,11,0,0,15,10,10.0,21,36,44,335.0,168.0,21,21,44,399,2.3086538840434514,18.647676283027977
5,44,0,0,0,10.0,20,10.0,7.7797690540910684,9,1.4444444444444444,24.534936292642836,6,30.333333333333332,32.88850174216028,16,33.5,42.0,20,42.0,9,0.659,62652,62,0,0.0,620.0,False,-0.022678236033714667,0,0.42500000000000004,63320,58,0,0.0,580.0,False,-0.012619716560855596,0,0.2,84488,0,29,0.0,711.5131524866423,False,0.0034268819481434627,0,0.20900000000000002,84791,6,28,1.0,733.6568305185458,False,0.007141334712246231,2,0.22000000000000003,111641,0,6,0.6,197.33101045296166,False,-0.0017361525074911714,8,0.28,111986,0,0,0.0,0.0,False,0.0004645594725463219,10,0.36300000000000004,149549,4,0,0.0,131.55400696864112,False,-0.0024550982212363237,9,0.4070000000000001,149316,2,10,1.0,485.7770034843206,False,-0.002827730464504936,0.325,817743,0.0,0.0,10,0,0,18,12,11.05,21,39,51,367.0,135.0,24,20,51,382,2.6359069530153647,21.28358323604334
6,51,0,0,0,10.0,20,10.0,7.056424796776585,14,2.642857142857143,26.387385210246507,10,34.5,31.28495902722707,24,27.833333333333332,42.0,20,42.0,9,0.7400000000000002,62327,74,0,0.0,740.0,False,-0.02679167378110302,5,0.4750000000000001,63155,66,0,0.0,660.0,False,-0.014560017385095386,0,0.2,84488,0,29,0.0,765.2341710971486,False,0.0037445547880475064,0,0.20900000000000002,85099,10,28,1.0,809.411033854668,False,0.011231940735238276,10,0.31800000000000006,111491,0,0,0.0,0.0,False,-0.003957689352654243,8,0.35200000000000004,111697,0,10,1.0,312.8495902722707,False,-0.0007198456667667361,13,0.4830000000000001,149165,12,0,0.0,375.41950832672484,False,-0.004202411245518691,0,0.398,149086,8,13,1.0,796.2796722178166,False,-0.003326111385231032,0.375,816508,0.0,0.0,12,0,0,22,13,12.25,18,40,42,406.0,172.0,27,24,42,839,2.4322931629722007,23.715876399015542
7,42,0,0,0,10.0,20,10.0,6.371235197032615,17,2.764705882352941,28.03036997789153,15,33.333333333333336,30.707242764160092,33,29.515151515151516,41.99999999999999,20,42.0,8,0.8110000000000002,62040,86,0,0.0,860.0,False,-0.03031526007792248,9,0.56,62886,74,0,0.0,740.0,False,-0.01811464849510268,0,0.2,84818,0,19,0.0,532.5770295799391,False,0.0062715958415919424,0,0.20900000000000002,85222,17,33,1.0,1033.313207619975,False,0.014010651226553261,21,0.518,110540,0,10,1.0,307.07242764160094,False,-0.011082100042696587,2,0.364,112045,0,5,0.5,153.53621382080047,False,0.0016774894751407088,12,0.5900000000000001,148368,32,0,0.0,982.631768453123,False,-0.007492076540497558,0,0.398,149060,11,15,1.0,967.779670405761,False,-0.0029277329083770036,0.4375,814979,0.0,0.0,14,0,0,17,12,11.5,21,38,47,321.0,172.0,22,20,47,1436,4.008084473025519,27.72396087204106
8,47,0,0,0,10.0,20,10.0,6.2818734028409775,2,2.0,28.77129697521244,10,33.0,32.91643799169973,12,49.666666666666664,42.0,20,42.0,0,0.8030000000000002,61990,91,0,0.0,910.0,False,-0.03070332024277044,2,0.5710000000000002,62696,89,0,0.0,890.0,False,-0.019899725253403288,0,0.2,85148,0,9,0.0,258.94167277691196,False,0.008556317103726098,0,0.20900000000000002,85218,9,43,1.0,1293.7026305597037,False,0.015503125993801062,0,0.4970000000000001,110740,0,6,0.0,197.4986279501984,False,-0.009784790019340841,3,0.392,111994,0,10,1.0,329.1643799169973,False,0.0020063804559695797,9,0.6680000000000001,148034,36,0,0.0,1184.9917677011904,False,-0.009044385804720638,0,0.398,149126,9,14,1.0,884.2479419252976,False,-0.0027661536910006243,0.375,814946,0.0,0.0,15,0,0,20,6,5.75,21,41,38,423.0,195.0,27,20,38,1392,2.4281241900171153,30.152085062058177
9,38,0,0,0,10.000000000000002,20,10.0,5.738764545523293,16,2.75,28.77129697521244,0,,31.502394298104225,26,26.46153846153846,42.00000000000001,20,42.0,7,0.8730000000000002,61735,101,0,0.0,1010.0000000000002,False,-0.0338854135945237,9,0.659,62419,99,0,0.0,990.0000000000002,False,-0.023423311550222748,0,0.2,85148,0,9,0.0,258.94167277691196,False,0.008556317103726098,0,0.20900000000000002,85174,15,53,1.0,1610.9602078691087,False,0.016858813349274398,12,0.6170000000000001,110520,0,0,0.0,0.0,False,-0.012632444118855755,0,0.389,112394,0,2,0.0,63.00478859620845,False,0.004391001789430433,12,0.7790000000000001,147631,40,0,0.0,1260.095771924169,False,-0.011480981938205712,0,0.398,148974,21,16,1.0,1333.5502802601889,False,-0.002281757665001323,0.25,813995,0.0,0.0,12,0,0,18,10,9.25,16,34,29,307.0,129.0,19,19,29,936,2.0784230239805765,32.23050808603875
