index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,36.0,0,,47.0,0,,0,0.2,59426,9,0,0.0,90.0,False,-0.0007560992002150683,0,0.2,59406,11,0,0.0,110.0,False,-0.0009241212447073056,0,0.2,99391,0,0,0.0,0.0,False,0.0,0,0.2,99391,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0.0,888170,0.0,0.0,7,0,0,0,0,0.0,706,706,130,0.0,0.0,0,0,130,200,14.228585045959335,14.228585045959335
1,130,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,36.0,0,,47.0,0,,0,0.2,59316,20,0,0.0,200.0,False,-0.0016802204449223737,0,0.2,59316,20,0,0.0,200.0,False,-0.0016802204449223737,0,0.2,99391,0,0,0.0,0.0,False,0.0,0,0.2,99391,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0.0,887970,0.0,0.0,7,0,0,63,0,0.0,56,119,92,1813.0,276.0,105,25,92,200,43.28827012400143,57.51685516996076
2,92,0,0,0,10.0,20,10.0,13.56060606060606,21,1.9047619047619047,30.0,0,,36.0,0,,47.0,0,,13,0.33000000000000007,58869,32,0,0.0,320.0,False,-0.00818267356677196,8,0.28,59048,28,0,0.0,280.0,False,-0.005511123059345386,0,0.2,99380,0,6,0.6,180.0,False,0.0007948405791268827,0,0.2,99362,5,10,1.0,367.8030303030303,False,0.0015585064558312077,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0.2,887215,0.0,0.0,7,0,0,25,6,6.0,40,65,51,803.0,320.0,51,41,51,200,13.951376861019526,71.46823203098029
3,51,0,0,0,10.0,20,10.0,11.837175792507203,10,1.6,30.0,0,,36.0,0,,47.0,0,,5,0.3670000000000001,58619,46,0,0.0,460.0,False,-0.011207070367632233,5,0.322,58874,34,0,0.0,340.0,False,-0.007930640500033604,0,0.2,99370,0,10,0.4,300.0,False,0.001297904236802125,0,0.2,99356,1,20,1.0,611.8371757925072,False,0.0027257859151860815,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0,0.2,154939,0,0,0.0,0.0,False,0.0,0.175,886775,0.0,0.0,7,0,0,18,4,4.0,23,41,37,461.0,225.0,29,22,37,200,8.633553775027394,80.10178580600768
4,37,0,0,0,10.0,20,10.0,10.110118298514976,17,3.764705882352941,30.0,0,,36.0,0,,47.0,20,47.0,4,0.4020000000000001,58447,56,0,0.0,560.0,False,-0.013256939310437529,13,0.44700000000000006,58460,44,0,0.0,440.0,False,-0.014046642919551044,0,0.2,99310,3,20,1.0,630.3303548955449,False,0.0023559998133410426,0,0.2,99352,0,25,0.5,750.0,False,0.0033805877795776277,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,130339,0,0,0.0,0.0,False,0.0,12,0.32000000000000006,154705,0,0,0.0,0.0,False,-0.0015102717843796592,8,0.28,154819,0,0,0.0,0.0,False,-0.0007744983509639277,0.1875,885771,0.0,0.0,6,0,0,13,12,12.0,19,32,36,296.0,180.0,19,18,36,200,6.718381956976373,86.82016776298406
5,36,0,0,0,10.0,20,10.0,8.68806064577355,17,2.7058823529411766,31.4,5,44.0,36.0,0,,47.0,20,47.0,11,0.5080000000000001,58054,69,0,0.0,690.0,False,-0.018768062369782915,6,0.4940000000000001,58265,51,0,0.0,510.0,False,-0.016734995631426844,0,0.2,99281,3,30,1.0,968.0641819373207,False,0.0037632390354122216,0,0.2,99555,0,27,0.7,847.8,False,0.0059150224869454395,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,130119,0,5,0.5,180.0,False,-0.0009973990900651378,10,0.40800000000000003,154552,0,0,0.0,0.0,False,-0.0024977571818586668,10,0.372,154653,0,0,0.0,0.0,False,-0.0018458877364640278,0.275,884818,0.0,0.0,7,0,0,16,11,11.0,16,32,28,292.0,138.0,18,18,28,420,6.589338431018405,93.40950619400246
6,28,0,0,0,10.0,20,10.0,6.924334251117941,33,2.6666666666666665,32.86,5,46.0,36.0,0,,47.0,20,47.0,19,0.687,57446,78,0,0.0,780.0,False,-0.02822770347469588,14,0.6280000000000001,57800,62,0,0.0,620.0,False,-0.023623899455608575,0,0.2,99494,2,35,1.0,1163.9486685022357,False,0.006891713880040658,0,0.2,99484,14,37,1.0,1312.7606795156512,False,0.007539720294169798,0,0.2,130339,0,0,0.0,0.0,False,0.0,0,0.2,129889,0,10,0.5,360.0,False,-0.0020715211870583634,7,0.4680000000000001,154462,0,0,0.0,0.0,False,-0.003078630945081613,13,0.49200000000000005,154407,0,0,0.0,0.0,False,-0.0034336093559400797,0.3125,883321,0.0,0.0,8,0,0,9,15,15.0,18,27,21,205.0,86.0,14,14,21,430,5.533969911979511,98.94347610598197
7,21,0,0,0,10.0,20,10.0,6.432075735921581,16,3.3125,33.601960784313725,6,39.166666666666664,30.363636363636363,21,18.285714285714285,47.00000000000001,20,47.0,1,0.6780000000000002,57326,88,0,0.0,880.0,False,-0.029403857786141543,15,0.7640000000000002,57335,72,0,0.0,720.0,False,-0.030596814302036427,0,0.2,99454,2,45,1.0,1524.9523867659607,False,0.00830534146334162,0,0.2,99706,10,41,1.0,1442.0011495160786,False,0.010423484769828692,0,0.2,130339,0,0,0.0,0.0,False,0.0,11,0.31000000000000005,129529,0,6,0.6,182.1818181818182,False,-0.005515686716248309,8,0.5410000000000001,154150,12,0,0.0,364.3636363636364,False,-0.003916497342942555,12,0.5990000000000002,154001,0,9,0.9,423.00000000000006,False,-0.004688942099794113,0.4375,881840,0.0,0.0,8,0,0,11,12,11.166666666666668,14,25,24,181.0,71.0,12,9,24,435,6.053974048001692,104.99745015398366
8,24,0,0,0,10.0,20,10.0,5.717662082680424,16,1.0,35.46207513416816,10,44.0,31.350746268656717,21,34.142857142857146,47.00000000000001,20,47.0,3,0.7070000000000001,57150,99,0,0.0,990.0,False,-0.03143692452449762,13,0.8790000000000002,56907,81,0,0.0,810.0,False,-0.037032058606089116,0,0.2,99667,0,49,0.9,1737.6416815742398,False,0.011518355190984228,0,0.2,99917,9,46,1.0,1682.7144149158592,False,0.013757354362647804,0,0.2,130339,0,0,0.0,0.0,False,0.0,15,0.44900000000000007,129084,0,10,1.0,313.5074626865672,False,-0.00842607560788955,8,0.613,153851,23,0,0.0,721.0671641791045,False,-0.004695179508777286,3,0.6170000000000001,153867,0,10,1.0,470.00000000000006,False,-0.005402125997973396,0.4875,880782,0.0,0.0,12,0,0,9,10,9.4,16,25,32,180.0,99.0,12,12,32,1063,15.29461426002672,120.29206441401038
9,32,0,0,0,10.000000000000002,20,10.0,5.245756946402504,19,2.526315789473684,37.42301332108406,15,44.0,35.296932234432234,15,54.333333333333336,47.00000000000001,20,47.0,5,0.7540000000000002,56960,108,0,0.0,1080.0000000000002,False,-0.03387324416963505,14,1.0060000000000002,56445,92,0,0.0,920.0000000000001,False,-0.04387055581692318,0,0.2,100070,3,49,1.0,1849.4649235723266,False,0.01613559036317332,0,0.2,100126,5,51,1.0,1934.8024641072998,False,0.017128323812555028,0,0.2,130339,0,0,0.0,0.0,False,0.0,5,0.48400000000000004,129024,5,10,1.0,540.0843889497427,False,-0.008017230495286392,12,0.7250000000000001,152817,38,0,0.0,1341.2834249084249,False,-0.009367288336350397,0,0.6140000000000001,154243,0,2,0.0,94.00000000000001,False,-0.004188745248129909,0.375,880024,0.0,0.0,15,0,0,17,9,9.0,17,34,27,319.0,123.0,21,11,27,1776,6.435034701018594,126.72709911502898
