index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,40.0,0,,55.0,0,,0,0.2,43275,0,8,0.8,136.0,False,-0.0002767846845807865,0,0.2,43235,2,10,1.0,190.0,False,-0.0005766347595433052,0,0.2,80207,0,0,0.0,0.0,False,0.0,0,0.2,80207,0,0,0.0,0.0,False,0.0,0,0.2,108387.0,0,0,0.0,0.0,False,0.0,0,0.2,108387,0,0,0.0,0.0,False,0.0,0,0.2,147406,0,0,0.0,0.0,False,0.0,0,0.2,147406,0,0,0.0,0.0,False,0.0,0.225,758510,0.0,0.0,7,0,0,0,0,0.0,453,453,204,0.0,0.0,0,0,204,200,4.358689027838409,4.358689027838409
1,204,0,0,0,10.0,20,10.0,17.0,0,,30.0,0,,33.333333333333336,24,20.833333333333332,55.0,0,,0,0.2,43215,0,14,0.6,238.0,False,-0.00048437319801637643,0,0.2,43095,6,20,1.0,400.0,False,-0.0013839234229039326,0,0.2,80207,0,0,0.0,0.0,False,0.0,0,0.2,80207,0,0,0.0,0.0,False,0.0,20,0.4,107569.0,0,0,0.0,0.0,False,-0.007547030547943942,4,0.24000000000000002,108267,0,0,0.0,0.0,False,-0.001107143845664148,0,0.2,147406,0,0,0.0,0.0,False,0.0,0,0.2,146906,24,0,0.0,800.0,False,-0.0006783984369700012,0.2,756872,0.0,0.0,7,0,0,78,8,8.0,120,198,143,3330.0,162.0,185,19,143,200,22.182569097727537,26.541258125565946
2,143,0,0,0,10.0,20,10.0,18.454545454545453,10,25.0,30.0,0,,28.73198847262248,42,21.928571428571427,55.0,0,,0,0.2,43355,1,14,1.0,268.3636363636364,False,0.0030949560184942034,0,0.2,43005,5,30,1.0,603.6363636363636,False,-0.0011113324456652335,0,0.2,79957,0,10,1.0,300.0,False,-0.0012467739723465534,0,0.2,80207,0,0,0.0,0.0,False,0.0,30,0.6800000000000002,106203.0,0,0,0.0,0.0,False,-0.020150017991087493,12,0.35600000000000004,107894,0,0,0.0,0.0,False,-0.004548515965936874,0,0.2,147406,0,0,0.0,0.0,False,0.0,0,0.2,145985,66,0,0.0,1896.3112391930836,False,-0.0032077688859575688,0.375,754012,0.0,0.0,8,0,0,33,6,6.0,34,67,122,457.0,443.0,54,89,122,450,15.414913126267493,41.95617125183344
3,122,0,0,0,10.0,20,10.0,17.91428571428571,3,9.0,30.0,0,,26.899518509748205,33,21.696969696969695,55.0,0,,0,0.2,43302,0,20,0.9,358.2857142857142,False,0.0029095342438670295,0,0.2,42885,7,40,1.0,786.5714285714284,False,-0.0017694449478556705,0,0.2,79957,0,10,0.0,300.0,False,-0.0012467739723465534,0,0.2,80180,0,3,0.3,90.0,False,0.00022441931502237958,17,0.8200000000000001,105645.0,0,0,0.0,0.0,False,-0.02529823687342578,16,0.5040000000000001,107336,0,0,0.0,0.0,False,-0.009696734848275162,0,0.2,147322,0,4,0.4,220.0,False,0.0001763835936122003,0,0.2,145353,95,0,0.0,2555.4542584260794,False,-0.005259439037671151,0.32499999999999996,751980,0.0,0.0,8,0,0,60,6,6.0,26,86,82,855.0,215.0,75,47,82,227,11.30497297924012,53.26114423107356
4,82,0,0,0,10.0,20,10.0,19.71355311355311,21,23.761904761904763,26.0,20,17.0,25.75418501554907,22,19.818181818181817,55.0,20,55.0,0,0.2,43201,1,29,1.0,581.6930402930402,False,0.0031564184095611205,0,0.2,43285,6,30,1.0,651.4065934065933,False,0.0058978963603573695,10,0.30000000000000004,79438,11,10,1.0,476.8490842490842,False,-0.006615076712449746,0,0.2,80180,0,3,0.0,78.0,False,0.0001496128766815864,5,0.8530000000000002,105502.0,0,0,0.0,0.0,False,-0.02661758328950889,17,0.6580000000000001,106401,20,0,0.0,520.0,False,-0.015924418980135996,6,0.26,147383,0,4,0.4,220.0,False,0.0005902066401639011,10,0.30000000000000004,144821,113,0,0.0,2910.2229067570447,False,-0.007665146239783219,0.425,750211,0.0,0.0,12,0,0,23,11,10.0,20,43,73,405.0,201.0,30,52,73,864,5.9047544579952955,59.165898689068854
5,73,0,0,0,10.0,20,10.0,20.206986899563315,13,22.53846153846154,26.878048780487806,3,44.0,24.566506900376154,36,20.52777777777778,55.0,20,55.0,0,0.2,43099,3,37,1.0,777.6585152838427,False,0.003063758681626547,0,0.2,43480,4,29,1.0,626.0026200873361,False,0.010102671203867373,0,0.29000000000000004,79145,14,20,1.0,820.4587922036426,False,-0.008126106248808522,0,0.2,80312,0,0,0.0,0.0,False,0.0013091126709638809,21,1.058,104572.0,3,0,0.0,80.63414634146342,False,-0.03482597476477128,15,0.7910000000000001,105918,20,0,0.0,537.5609756097562,False,-0.0202996624336417,8,0.3340000000000001,147397,0,4,0.4,220.0,False,0.0006851824213397012,8,0.37000000000000005,144033,145,0,0.0,3562.1435005545422,False,-0.010799616363802864,0.425,747956,0.0,0.0,12,0,0,19,10,10.0,25,44,58,385.0,265.0,30,43,58,845,5.576460042968392,64.74235873203725
6,58,0,0,0,10.0,20,10.0,20.206986899563315,0,,26.878048780487806,0,,23.298337059146164,53,19.88679245283019,55.0,20,55.0,0,0.2,42979,5,47,1.0,999.7283842794758,False,0.00285697594602089,0,0.2,43400,2,39,1.0,808.0724890829692,False,0.01035719627589636,0,0.29000000000000004,79145,4,30,1.0,887.1694110128874,False,-0.007710240932756033,0,0.2,80312,0,0,0.0,0.0,False,0.0013091126709638809,17,1.207,104022.0,3,0,0.0,80.63414634146342,False,-0.03990038405739862,36,1.1360000000000001,104016,20,0,0.0,537.5609756097562,False,-0.03784789238741844,8,0.406,147419,0,4,0.4,220.0,False,0.0008344300774731015,8,0.44200000000000006,142923,194,0,0.0,4519.877389474355,False,-0.015081213147787863,0.425,744216,0.0,0.0,9,0,0,16,10,10.0,20,36,61,384.0,180.0,23,35,61,420,4.807293988764286,69.54965272080153
7,61,0,0,0,10.0,20,10.0,19.43358338481452,18,16.555555555555557,26.878048780487806,0,,22.437858661357296,65,20.107692307692307,55.0,20,55.0,0,0.2,42888,5,56,1.0,1138.280669549613,False,0.0023559066953017073,0,0.2,43589,2,32,1.0,641.8746683140646,False,0.012799846249729713,0,0.29000000000000004,78847,12,40,1.0,1308.3249518372866,False,-0.008800198537301757,0,0.2,80312,0,0,0.0,0.0,False,0.0013091126709638809,28,1.4700000000000002,102720.0,3,0,0.0,80.63414634146342,False,-0.05191289478285462,37,1.4700000000000002,102029,20,0,0.0,537.5609756097562,False,-0.056180349231873955,11,0.508,147079,5,10,1.0,662.1892933067865,False,2.77780188960645e-05,5,0.48400000000000004,141893,244,0,0.0,5474.837513371181,False,-0.01882949977147743,0.5,739357,0.0,0.0,9,0,0,19,12,12.0,18,37,43,375.0,198.0,25,36,43,718,4.487726803869009,74.03737952467054
8,43,0,0,0,10.0,20,10.0,18.989719485667475,5,12.2,25.656776263031276,7,16.0,21.989894039553,82,20.804878048780488,55.0,20,55.0,0,0.2,42805,6,63,1.0,1256.352327597051,False,0.0018031637365592324,0,0.2,43533,1,40,1.0,769.588779426699,False,0.012981072303387195,0,0.29000000000000004,78898,7,43,1.0,1236.1694157100171,False,-0.008614152033425833,0,0.2,80312,0,0,0.0,0.0,False,0.0013091126709638809,44,1.8820000000000001,99981.0,10,0,0.0,256.56776263031276,False,-0.07637185380797364,38,1.8130000000000004,99894,20,0,0.0,513.1355252606255,False,-0.07599096051528036,0,0.4970000000000001,147296,3,13,1.0,780.969682118659,False,0.0019028047776843574,13,0.6090000000000001,140073,318,0,0.0,6992.786304577854,False,-0.026027480887556017,0.5,732792,0.0,0.0,11,0,0,12,13,13.0,19,31,44,276.0,123.0,17,26,44,758,4.099663650617003,78.13704317528754
9,44,0,0,0,10.000000000000002,20,10.0,18.514677639393238,23,17.0,25.656776263031276,0,,21.62288960339265,67,20.149253731343283,55.00000000000001,20,55.0,0,0.2,43086,7,50,1.0,995.7338819696619,False,0.005278905339287968,0,0.2,43443,0,50,1.0,925.7338819696619,False,0.01270596104220574,0,0.29000000000000004,78507,20,53,1.0,1730.1026947285222,False,-0.01040992248352059,0,0.2,80312,0,0,0.0,0.0,False,0.0013091126709638809,20,2.0380000000000007,99203.0,10,0,0.0,256.56776263031276,False,-0.08354983640736287,47,2.2450000000000006,96886,20,0,0.0,513.1355252606255,False,-0.103743366246595,0,0.4970000000000001,147846,0,6,0.3,330.00000000000006,False,0.004104310543668508,10,0.6960000000000002,138535,385,0,0.0,8324.812497306171,False,-0.031943026412404686,0.4125,727818,0.0,0.0,11,0,0,16,10,10.0,16,32,27,297.0,135.0,19,25,27,1141,3.2156988326460123,81.35274200793356
