index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,13.0,0,,21.0,0,,32.0,0,,40.0,0,,0,0.2,48752,2,10,1.0,150.0,False,-0.0009207726305450974,0,0.2,48792,0,8,0.8,104.0,False,-0.0005729251923391717,0,0.2,69032,0,0,0.0,0.0,False,0.0,0,0.2,69032,0,0,0.0,0.0,False,0.0,0,0.2,118921,0,0,0.0,0.0,False,0.0,0,0.2,118921,0,0,0.0,0.0,False,0.0,0,0.2,143154,0,0,0.0,0.0,False,0.0,0,0.2,143154,0,0,0.0,0.0,False,0.0,0.225,759758,0.0,0.0,5,0,0,0,0,0.0,334,334,132,0.0,0.0,0,0,132,200,3.468428739346564,3.468428739346564
1,132,0,0,0,10.0,20,10.0,13.0,0,,21.0,0,,23.294117647058822,57,16.421052631578952,40.0,0,,0,0.2,48632,4,20,1.0,300.0,False,-0.0018415452610901948,0,0.2,48712,0,16,0.8,208.0,False,-0.0011458503846783433,0,0.2,69032,0,0,0.0,0.0,False,0.0,0,0.2,69032,0,0,0.0,0.0,False,0.0,41,0.6100000000000001,116887,0,0,0.0,0.0,False,-0.017103791592738036,16,0.36000000000000004,118419,0,0,0.0,0.0,False,-0.00422128976379277,0,0.2,143154,0,0,0.0,0.0,False,0.0,0,0.2,142218,57,0,0.0,1327.764705882353,False,-0.0019008735142491669,0.225,756086,0.0,0.0,5,0,0,32,12,12.0,102,134,77,2232.0,69.0,124,8,77,200,14.502288562245667,17.97071730159223
2,77,0,0,0,10.0,20,10.0,12.869565217391305,1,7.0,21.0,0,,21.88436482084691,31,17.70967741935484,40.0,0,,0,0.2,48562,1,30,1.0,396.0869565217391,False,-0.0022908111339648104,0,0.2,48589,3,25,1.0,351.7391304347826,False,-0.0021920616054716007,0,0.2,69032,0,0,0.0,0.0,False,0.0,0,0.2,69025,0,1,0.1,21.0,False,5.0701124116351834e-05,20,0.7690000000000001,116286,0,0,0.0,0.0,False,-0.022157566788035755,11,0.45400000000000007,118199,0,0,0.0,0.0,False,-0.006071257389359323,0,0.2,143086,0,4,0.4,160.0,False,8.382580996688881e-05,0,0.2,141737,84,0,0.0,1838.2866449511403,False,-0.0034777699367424266,0.3125,754516,0.0,0.0,6,0,0,41,4,4.0,32,73,44,1122.0,51.0,64,13,44,207,7.118878836743534,25.089596138335764
3,44,0,0,0,10.0,20,10.0,11.148936170212767,15,6.4,21.0,0,,20.54761300152362,47,17.404255319148938,40.0,0,,0,0.2,48510,0,35,0.9,390.21276595744683,False,-0.0034149127725748166,0,0.2,48537,5,24,1.0,317.57446808510645,False,-0.0036055976010281373,0,0.2,68950,3,10,1.0,243.4468085106383,False,0.0005754346427065317,0,0.2,69011,0,3,0.2,63.0,False,0.0001521033723490555,26,1.0090000000000001,115374,0,0,0.0,0.0,False,-0.029826523490384373,21,0.653,117564,0,0,0.0,0.0,False,-0.011410936672244599,0,0.2,142950,0,12,0.8,480.0,False,0.0002514774299006664,0,0.2,141055,123,0,0.0,2527.3563991874053,False,-0.00583512720850479,0.48749999999999993,751951,0.0,0.0,8,0,0,12,7,7.0,20,32,25,381.0,62.0,22,22,25,296,2.9213821087032557,28.01097824703902
4,25,0,0,0,10.0,20,10.0,11.148936170212767,0,,21.0,0,,20.12834643710191,19,17.0,40.0,20,40.0,0,0.2,48450,0,41,0.6,457.10638297872345,False,-0.003958233927619943,0,0.2,48397,9,34,1.0,469.0638297872341,False,-0.0049203651396787975,0,0.2,68950,0,13,0.3,273.0,False,0.0007894889326689071,0,0.2,69011,0,3,0.0,63.0,False,0.0001521033723490555,5,1.0330000000000004,115269,0,0,0.0,0.0,False,-0.030709462584404774,14,0.7720000000000002,117160,0,0,0.0,0.0,False,-0.014808149948284995,1,0.21000000000000002,143337,0,5,0.5,200.0,False,0.0019768920183857942,7,0.27,140741,137,0,0.0,2757.5834618829617,False,-0.007224445485690396,0.30000000000000004,751315,0.0,0.0,7,0,0,5,7,6.333333333333333,18,23,29,252.0,48.0,14,11,29,600,2.531412683427334,30.542390930466354
5,29,0,0,0,10.0,20,10.0,12.290302655960472,14,16.428571428571427,21.0,0,,19.533866617207963,30,16.666666666666668,40.0,20,40.0,0,0.2,48559,0,40,1.0,491.6121062384189,False,-0.0013748966050251773,0,0.2,48318,9,41,1.0,593.9024088943793,False,-0.005259633236880174,0,0.2,68950,0,13,0.0,273.0,False,0.0007894889326689071,0,0.2,68781,4,13,1.0,322.1612106238419,False,-0.0013025755401565092,10,1.1280000000000003,115014,0,0,0.0,0.0,False,-0.03285374324131146,20,0.9580000000000002,116493,0,0,0.0,0.0,False,-0.02041691543125268,4,0.24900000000000003,143335,0,10,1.0,400.0,False,0.0026614694664487196,11,0.37300000000000005,140243,157,0,0.0,3066.81705890165,False,-0.009623143401855164,0.5,749693,0.0,0.0,7,0,0,10,10,9.8,17,27,27,324.0,45.0,18,11,27,590,2.6862006625160575,33.22859159298241
6,27,0,0,0,10.0,20,10.0,15.566414790380117,46,19.717391304347824,21.151515151515152,21,21.476190476190474,19.11842875320264,28,16.785714285714285,40.0,20,40.0,0,0.2,48979,2,23,1.0,378.0275401787427,False,0.006056919505839096,0,0.2,48605,7,32,1.0,568.1252732921637,False,0.00034912908508099357,0,0.2,69301,0,2,0.0,42.303030303030305,False,0.0042031451377842095,0,0.2,67974,40,13,1.0,897.6262885849017,False,-0.008824702394651038,11,1.2280000000000002,114415,10,0,0.0,211.51515151515153,False,-0.037001391043149916,17,1.1080000000000003,115843,11,0,0.0,232.66666666666669,False,-0.02490448841387704,0,0.24500000000000002,143735,0,0,0.0,0.0,False,0.0040585662992302,10,0.4620000000000001,139643,185,0,0.0,3536.9093193424883,False,-0.012172522879757243,0.375,748495,0.0,0.0,13,0,0,11,7,7.0,18,29,29,297.0,39.0,19,8,29,1958,2.6802345728501678,35.90882616583258
7,29,0,0,0,10.0,20,10.0,16.439051273537597,23,20.0,18.448979591836736,19,10.0,18.495475801798218,34,15.441176470588236,40.0,20,40.0,0,0.2,48919,0,31,0.8,509.6105894796655,False,0.006175423447778521,0,0.2,48925,11,19,1.0,422.34197419721437,False,0.005405364771210688,0,0.2,69301,0,2,0.0,36.89795918367347,False,0.004163996111829794,6,0.26,67554,53,10,1.0,1055.75951341586,False,-0.013763475537317028,17,1.3870000000000005,113934,10,0,0.0,184.48979591836735,False,-0.041159720335691874,17,1.2610000000000001,115177,30,0,0.0,553.469387755102,False,-0.029156038934439295,13,0.37500000000000006,143523,0,0,0.0,0.0,False,0.002577643656481831,7,0.522,139042,219,0,0.0,4050.5092005938095,False,-0.014576926943732603,0.35,746375,0.0,0.0,7,0,0,14,10,9.31578947368421,16,30,29,345.0,42.0,20,9,29,660,2.7311205519363284,38.63994671776891
8,29,0,0,0,10.0,20,10.0,17.502706579182426,50,19.74,15.20391061452514,44,10.0,18.237491249395624,32,16.78125,40.0,20,40.0,0,0.2,49036,1,29,1.0,517.5784907962903,False,0.008650950347809536,19,0.39,49291,10,10,1.0,275.02706579182427,False,0.011387165102633717,0,0.2,69301,0,2,0.0,30.40782122905028,False,0.00411698792754844,34,0.5940000000000001,65722,93,10,1.0,1779.7908180092172,False,-0.03505772092646015,11,1.4800000000000002,113529,23,0,0.0,349.68994413407825,False,-0.04387076317835342,21,1.4540000000000002,114181,61,0,0.0,927.4385474860336,False,-0.035959004097316574,10,0.4620000000000001,143327,0,4,0.4,160.0,False,0.0017673274934685724,10,0.6150000000000001,138443,247,0,0.0,4504.660338600719,False,-0.017174999166629127,0.425,742830,0.0,0.0,8,0,0,16,14,13.23076923076923,15,31,29,303.0,55.0,21,8,29,807,2.779601577669382,41.41954829543829
9,29,0,0,0,10.000000000000002,20,10.0,17.894668178614005,26,20.0,19.96041534636572,61,28.0,18.151206399147224,10,16.5,40.0,20,40.0,0,0.2,49426,4,13,1.0,272.63068632198207,False,0.014124966098399694,0,0.37100000000000005,49221,7,20,1.0,427.8933635722801,False,0.011518797712107943,0,0.2,69301,0,2,0.0,39.92083069273144,False,0.00418589082376809,51,1.0700000000000003,64630,109,10,1.0,2150.1229849325837,False,-0.048194149199410494,5,1.5190000000000003,112641,47,0,0.0,938.1395212791889,False,-0.04886378553292019,5,1.4830000000000003,113146,98,0,0.0,1956.1207039438407,False,-0.04033719568476623,8,0.532,143314,0,5,0.5,200.0,False,0.001816225882615924,8,0.685,138269,252,0,0.0,4574.1040125851005,False,-0.018147924568698296,0.4375,739948,0.0,0.0,8,0,0,13,12,11.166666666666668,17,30,35,315.0,73.0,20,9,35,880,2.7026879442855716,44.12223623972386
