index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,43.0,0,,56.0,0,,0,0.2,48715,0,5,0.5,90.0,False,-0.00010253255408592229,0,0.2,48615,5,10,1.0,230.0,False,-0.000717727878601456,0,0.2,75260,0,0,0.0,0.0,False,0.0,0,0.2,75260.0,0,0,0.0,0.0,False,0.0,0,0.2,113297,0,0,0.0,0.0,False,0.0,0,0.2,113297,0,0,0.0,0.0,False,0.0,0,0.2,165962,0,0,0.0,0.0,False,0.0,0,0.2,165962,0,0,0.0,0.0,False,0.0,0.1875,806368,0.0,0.0,8,0,0,265,0,0.0,821,1086,80,0.0,0.0,0,0,80,200,2.6495565199875273,2.6495565199875273
1,80,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,43.0,0,,56.0,0,,0,0.2,48575,4,15,1.0,310.0,False,-0.000717727878601456,0,0.2,48555,1,20,1.0,370.0,False,-0.0005126627704296114,0,0.2,75260,0,0,0.0,0.0,False,0.0,0,0.2,75260.0,0,0,0.0,0.0,False,0.0,0,0.2,113297,0,0,0.0,0.0,False,0.0,0,0.2,113297,0,0,0.0,0.0,False,0.0,0,0.2,165962,0,0,0.0,0.0,False,0.0,0,0.2,165962,0,0,0.0,0.0,False,0.0,0.25,806168,0.0,0.0,9,0,0,39,0,0.0,44,83,40,1082.0,108.0,68,12,40,200,4.83440565696219,7.483962176949717
2,40,0,0,0,10.0,20,10.0,18.0,0,,23.82456140350877,12,8.166666666666666,43.0,0,,56.0,0,,0,0.2,48445,7,25,1.0,520.0,False,-0.0012303906490310674,0,0.2,48485,0,28,0.8,504.0,False,-0.0005741823028811648,6,0.26,75134,0,0,0.0,0.0,False,-0.0016741961201169279,6,0.26,75050.0,0,0,0.0,0.0,False,-0.0027903268668615466,0,0.2,113246,0,7,0.7,301.0,False,0.0008782227243439809,0,0.2,113250,0,5,0.5,215.0,False,0.0005339947218372949,0,0.2,165962,0,0,0.0,0.0,False,0.0,0,0.2,165962,0,0,0.0,0.0,False,0.0,0.375,805534,0.0,0.0,8,0,0,23,5,5.0,21,44,29,395.0,48.0,28,12,29,200,4.05463377898559,11.538595955935307
3,29,0,0,0,10.0,20,10.0,18.0,0,,19.66615620214395,14,4.428571428571429,43.0,0,,56.0,0,,0,0.2,48325,9,35,1.0,720.0,False,-0.0016405208653747566,0,0.2,48405,0,36,0.8,648.0,False,-0.0007382343894186404,3,0.28400000000000003,75077,0,0,0.0,0.0,False,-0.0024315705554079194,11,0.364,74639.0,0,0,0.0,0.0,False,-0.008251395163433432,0,0.2,113232,0,15,0.8,645.0,False,0.0022727874524479906,0,0.2,113202,0,11,0.6,473.0,False,0.0012489298039665658,0,0.2,165962,0,0,0.0,0.0,False,0.0,0,0.2,165962,0,0,0.0,0.0,False,0.0,0.4,804804,0.0,0.0,8,0,0,15,4,4.0,14,29,39,192.0,45.0,13,16,39,200,3.219332849024795,14.757928804960102
4,39,0,0,0,10.0,20,10.0,23.16883116883117,32,30.4375,19.174847106790022,5,13.4,40.85454545454545,10,31.2,56.0,7,56.0,0,0.2,48737,11,26,1.0,712.3896103896104,False,0.006730130322871028,0,0.2,48767,0,31,0.8,718.2337662337662,False,0.007405247269904304,4,0.32100000000000006,74469,19,0,0.0,440.2077922077922,False,-0.0075856511280374544,1,0.36300000000000004,74170.0,13,0,0.0,301.1948051948052,False,-0.012482096696819038,0,0.2,113480,0,6,0.0,245.12727272727273,False,0.00269701436369568,0,0.2,113199,0,15,0.5,612.8181818181818,False,0.0018394934632787123,0,0.2,165962,0,0,0.0,0.0,False,0.0,7,0.27,165545,0,10,1.0,560.0,False,-0.0008254901724491149,0.4125,804329,0.0,0.0,14,0,0,21,4,4.0,15,36,33,253.0,67.0,20,19,33,1486,3.642844526038971,18.400773330999073
5,33,0,0,0,10.0,20,10.0,25.361823361823365,36,29.583333333333332,16.956086914480682,15,8.466666666666667,39.23193277310925,10,31.2,56.0,12,56.0,9,0.29000000000000004,49488,9,10,1.0,343.61823361823366,False,0.01834941283316148,0,0.2,48683,2,40,1.0,1034.4729344729346,False,0.008925181323417693,8,0.3970000000000001,73829,37,0,0.0,938.3874643874645,False,-0.01277978033226509,7,0.43200000000000005,73332.0,31,0,0.0,786.2165242165244,False,-0.020394522161729198,0,0.2,113484,0,9,0.4,353.08739495798324,False,0.003208767200181751,0,0.2,113380,1,16,1.0,644.6670112842287,False,0.0035776190511851167,0,0.2,165962,0,0,0.0,0.0,False,0.0,2,0.28300000000000003,165771,0,10,1.0,560.0,False,0.0005362673383063593,0.55,803929,0.0,0.0,15,0,0,13,6,5.029411764705882,16,29,43,184.0,94.0,13,20,43,1464,3.1119247659808025,21.512698096979875
6,43,0,0,0,10.0,20,10.0,25.433548749648782,12,26.0,14.758628221674455,20,7.6,40.141674167416745,2,64.5,56.00000000000001,8,56.0,0,0.281,49458,2,20,1.0,528.6709749929756,False,0.01963161053002125,0,0.2,48825,9,38,1.0,1056.4748524866536,False,0.01206269714433158,8,0.46900000000000003,73345,49,0,0.0,1246.2438887327903,False,-0.017165533558777552,12,0.5450000000000002,72900.0,31,0,0.0,788.4400112391122,False,-0.026119851107898513,0,0.2,113539,0,13,0.5,521.8417641764177,False,0.004438960273336495,0,0.2,113302,6,25,1.0,1092.0936235154654,False,0.004863737007667685,0,0.2,165962,0,0,0.0,0.0,False,0.0,0,0.281,166090,0,4,0.2,224.00000000000003,False,0.0014461141707137778,0.4625,803421,0.0,0.0,16,0,0,18,6,6.0,20,38,41,301.0,59.0,23,20,41,1089,3.591456692025531,25.104154789005406
7,41,0,0,0,10.0,20,10.0,26.633138049688544,28,30.75,14.024988810501094,9,7.777777777777778,41.09785556303491,2,65.0,56.0,10,56.0,0,0.281,49844,1,13,1.0,356.23079464595105,False,0.0257790504936527,0,0.2,49100,10,37,1.0,1085.4261078384761,False,0.01799883223457883,4,0.5010000000000001,72793,66,0,0.0,1757.787111279444,False,-0.02110160037683073,5,0.5830000000000001,72355.0,42,0,0.0,1118.5917980869187,False,-0.03116800559336359,0,0.2,113534,0,21,0.9,863.0549668237331,False,0.0059006635957868335,0,0.2,113367,0,30,0.6,1232.9356668910473,False,0.006059011566462694,0,0.2,165962,0,0,0.0,0.0,False,0.0,6,0.341,166090,0,2,0.2,112.0,False,0.001108687530880563,0.4625,803045,0.0,0.0,12,0,0,18,5,4.25,17,35,33,267.0,74.0,18,23,33,1247,3.0638140389928594,28.167968827998266
8,33,0,0,0,10.0,20,10.0,27.228141683919905,55,28.436363636363637,12.277173886988736,17,4.352941176470588,42.51779176833248,3,64.66666666666667,56.0,8,56.0,12,0.401,50294,0,8,0.8,217.82513347135924,False,0.03358787176736755,0,0.2,49750,13,17,1.0,592.8784086266384,False,0.026277846904815324,3,0.5270000000000001,71592,109,0,0.0,2967.8674435472694,False,-0.029020280072101622,14,0.7180000000000002,71394.0,54,0,0.0,1470.319650931675,False,-0.041600321213581835,0,0.2,113587,0,23,0.3,977.909210671647,False,0.006875333021490603,0,0.2,113434,4,38,1.0,1664.7847827445892,False,0.00855620529557091,0,0.2,165962,0,0,0.0,0.0,False,0.0,6,0.395,165908,0,3,0.3,168.0,False,0.00018076427133922223,0.42500000000000004,801921,0.0,0.0,14,0,0,17,10,9.333333333333332,16,33,37,212.0,60.0,17,16,37,1538,3.672487450996414,31.84045627899468
9,37,0,0,0,10.000000000000002,20,10.0,27.228141683919905,0,,11.57035508417769,12,6.583333333333333,43.43552208168369,2,64.0,56.00000000000001,13,56.0,0,0.389,50174,2,18,1.0,510.1065503105583,False,0.03412392648734301,0,0.2,49670,11,27,1.0,845.1598254658375,False,0.027224031841134328,4,0.5640000000000001,71516,109,0,0.0,2967.8674435472694,False,-0.03003011265248961,8,0.7840000000000003,71121.0,54,0,0.0,1470.319650931675,False,-0.045227746140501845,0,0.2,113641,0,27,0.5,1172.7590962054596,False,0.008211863933755824,0,0.2,113429,1,47,1.0,2053.0398929233115,False,0.01022551300088846,0,0.2,165962,0,0,0.0,0.0,False,0.0,10,0.48900000000000005,165730,0,2,0.2,112.00000000000001,False,-0.0010604837251901038,0.4625,801243,0.0,0.0,9,0,0,19,9,8.25,16,35,34,256.0,61.0,19,18,34,328,3.1604057740187272,35.00086205301341
