index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,14.0,0,,23.0,0,,31.0,0,,42.0,0,,0,0.2,44912,0,10,1.0,140.0,False,-0.0006664889362836577,0,0.2,44912,0,10,1.0,140.0,False,-0.0006664889362836577,0,0.2,71643,0,0,0.0,0.0,False,0.0,0,0.2,71643.0,0,0,0.0,0.0,False,0.0,0,0.2,102776,0,0,0.0,0.0,False,0.0,0,0.2,102776,0,0,0.0,0.0,False,0.0,0,0.2,128470,0,0,0.0,0.0,False,0.0,0,0.2,128470,0,0,0.0,0.0,False,0.0,0.25,695602,0.0,0.0,4,0,0,0,0,0.0,449,449,103,0.0,0.0,0,0,103,200,3.002620025014039,3.002620025014039
1,103,0,0,0,10.0,20,10.0,14.0,0,,23.0,0,,31.0,0,,42.0,0,,0,0.2,44842,0,17,0.7,238.0,False,-0.0011330311916822181,0,0.2,44782,3,20,1.0,310.0,False,-0.0016662223407091442,0,0.2,71643,0,0,0.0,0.0,False,0.0,0,0.2,71643.0,0,0,0.0,0.0,False,0.0,0,0.2,102776,0,0,0.0,0.0,False,0.0,0,0.2,102776,0,0,0.0,0.0,False,0.0,0,0.2,128470,0,0,0.0,0.0,False,0.0,0,0.2,128470,0,0,0.0,0.0,False,0.0,0.2125,695402,0.0,0.0,5,0,0,22,0,0.0,31,53,28,710.0,260.0,43,60,28,200,4.51589276001323,7.518512785027269
2,28,0,0,0,10.0,20,10.0,14.0,0,,18.94736842105263,12,3.75,32.224489795918366,4,46.0,42.0,0,,0,0.2,44762,0,25,0.8,350.0,False,-0.0016662223407091442,0,0.2,44662,5,30,1.0,470.0,False,-0.002554874255754021,1,0.21000000000000002,71627,0,0,0.0,0.0,False,-0.0002233295646469299,11,0.31000000000000005,71357.0,0,0,0.0,0.0,False,-0.003992015968063872,4,0.24000000000000002,102812,0,0,0.0,0.0,False,0.000350276329104071,0,0.2,102731,2,10,1.0,360.13963480128893,False,0.001314215550329253,0,0.2,128286,0,4,0.4,168.0,False,-0.0007783918424534911,0,0.2,128470,0,0,0.0,0.0,False,0.0,0.4,694707,0.0,0.0,5,0,0,9,4,4.0,18,27,22,259.0,57.0,17,11,22,200,1.9099817060050555,9.428494491032325
3,22,0,0,0,10.0,20,10.0,14.0,0,,16.57672849915683,8,1.375,33.37006237006237,4,46.0,42.0,0,,0,0.2,44612,5,35,1.0,540.0,False,-0.00288811872389585,0,0.2,44612,0,40,1.0,560.0,False,-0.002665955745134631,0,0.20900000000000002,71627,0,0,0.0,0.0,False,-0.0002233295646469299,8,0.379,71129.0,0,0,0.0,0.0,False,-0.007174462264282624,4,0.276,102837,0,8,0.8,266.96049896049897,False,0.001892272996421757,0,0.2,102731,0,12,0.2,400.44074844074845,False,0.0015102784134464371,0,0.2,128286,0,4,0.0,168.0,False,-0.0007783918424534911,0,0.2,128286,0,4,0.4,168.0,False,-0.0007783918424534911,0.425,694120,0.0,0.0,4,0,0,10,3,3.0,11,21,25,167.0,58.0,11,11,25,200,1.6966508529731072,11.125145344005432
4,25,0,0,0,10.0,20,10.0,15.833333333333334,9,25.0,16.57672849915683,0,,34.43835906111229,4,46.0,42.0,20,42.0,0,0.2,44522,4,45,1.0,752.5,False,-0.002527103883408869,0,0.2,44727,1,41,1.0,659.1666666666667,False,0.000990476613643823,0,0.20900000000000002,71627,0,0,0.0,0.0,False,-0.0002233295646469299,0,0.37100000000000005,70904.0,9,0,0.0,142.5,False,-0.009320519799561717,0,0.272,103021,0,4,0.0,137.75343624444915,False,0.003053988461530134,0,0.2,102731,0,12,0.0,413.2603087333474,False,0.0015726449206690059,3,0.23,128430,0,0,0.0,0.0,False,-0.0003113567369813964,9,0.29000000000000004,128162,0,4,0.4,168.0,False,-0.0017435977270958201,0.3,694124,0.0,0.0,9,0,0,10,3,2.2,12,22,26,191.0,95.0,12,13,26,777,1.8473620840231888,12.97250742802862
5,26,0,0,0,10.0,20,10.0,15.833333333333334,0,,15.345211581291759,5,2.2,36.267696445877256,8,46.0,42.0,20,42.0,0,0.2,44442,2,55,1.0,890.8333333333334,False,-0.002767780443733577,0,0.2,44607,3,51,1.0,837.5,False,0.00030547409579667644,0,0.20900000000000002,71627,0,0,0.0,0.0,False,-0.0002233295646469299,5,0.42100000000000004,70771.0,9,0,0.0,142.5,False,-0.011176946805689321,4,0.31200000000000006,103230,0,5,0.5,181.33848222938627,False,0.005299576176487644,0,0.2,102731,0,12,0.0,435.2123573505271,False,0.001679440517973738,9,0.31700000000000006,128157,0,4,0.4,168.0,False,-0.0017825173192184947,7,0.35100000000000003,128060,0,4,0.4,168.0,False,-0.002537557406398381,0.4125,693625,0.0,0.0,6,0,0,10,8,7.2,11,21,28,157.0,97.0,11,15,28,384,1.6788949889596552,14.651402416988276
6,28,0,0,0,10.0,20,10.0,20.242077464788732,65,23.53846153846154,12.513525226119413,19,4.684210526315789,38.93176589523013,18,45.666666666666664,42.0,20,42.0,0,0.2,44860,1,41,1.0,839.925176056338,False,0.005953136675290308,0,0.2,45519,4,20,1.0,444.84154929577466,False,0.016205029206609038,1,0.21900000000000003,70729,41,0,0.0,829.925176056338,False,-0.006965612997387499,18,0.5960000000000001,69556.0,33,0,0.0,667.9885563380282,False,-0.024468625292505635,3,0.338,103402,9,10,1.0,501.939385987376,False,0.008532825688815393,0,0.2,103181,0,2,0.0,77.86353179046026,False,0.004319410814735298,7,0.37800000000000006,127601,4,10,1.0,575.7270635809205,False,-0.004523518862065421,5,0.394,128004,0,4,0.4,168.0,False,-0.002973456838172336,0.55,692852,0.0,0.0,13,0,0,10,11,10.011904761904763,11,21,25,180.0,111.0,12,16,25,2490,1.672124663949944,16.32352708093822
7,25,0,0,0,10.0,20,10.0,21.213544403573305,50,23.2,12.34740440224948,2,7.0,38.93176589523013,0,,41.99999999999999,20,42.0,0,0.2,45243,1,30,1.0,646.4063321071992,False,0.012312342620936669,9,0.29000000000000004,45943,4,10,1.0,252.13544403573306,False,0.023484131387582634,1,0.228,70101,70,0,0.0,1484.9481082501313,False,-0.011159861338510883,1,0.5880000000000001,68982.0,54,0,0.0,1145.5313977929584,False,-0.02914777858413978,0,0.3350000000000001,103388,1,20,1.0,790.982722306852,False,0.00980278821080241,0,0.2,103181,0,2,0.0,77.86353179046026,False,0.004319410814735298,0,0.37100000000000005,127979,0,5,0.4,209.99999999999997,False,-0.0030045925118704756,7,0.4590000000000001,128092,0,0,0.0,0.0,False,-0.0029423211644741963,0.425,692909,0.0,0.0,11,0,0,11,5,4.3625,10,21,26,193.0,66.0,12,13,26,1512,1.795970956038218,18.119498036976438
8,26,0,0,0,10.0,20,10.0,21.809269562096194,19,26.105263157894736,11.524724098377087,6,3.3333333333333335,39.45949458101223,4,47.0,42.0,20,42.0,0,0.2,45437,3,28,1.0,640.6595477386934,False,0.01655846827222393,0,0.281,46045,2,13,1.0,303.5205043072505,False,0.026320986673634243,1,0.23700000000000002,70085,70,0,0.0,1526.6488693467336,False,-0.011092159252496825,5,0.6370000000000001,68350.0,73,0,0.0,1592.076678033022,False,-0.03485283504296989,0,0.3350000000000001,103556,0,23,0.7,907.5683753632812,False,0.012004594337993679,0,0.2,103181,0,2,0.0,78.91898916202446,False,0.004324545561035743,2,0.391,127983,0,4,0.4,168.0,False,-0.003136919125087569,13,0.5820000000000001,127871,0,0,0.0,0.0,False,-0.004662567136296412,0.3875,692508,0.0,0.0,8,0,0,9,8,7.166666666666667,11,20,26,152.0,119.0,10,16,26,884,1.8115998390130699,19.931097875989508
9,26,0,0,0,10.000000000000002,20,10.0,21.508466615681318,28,20.0,10.717819765277453,8,4.75,39.97037785331245,4,47.0,42.00000000000001,20,42.0,0,0.2,45687,4,20,1.0,470.16933231362634,False,0.020218712035830755,0,0.281,46155,1,13,1.0,289.6100660038571,False,0.02861026021953979,1,0.24600000000000002,69509,98,0,0.0,2107.829728336769,False,-0.015075933947930907,7,0.7020000000000002,68168.0,73,0,0.0,1570.1180629447363,False,-0.03754645908920108,0,0.3350000000000001,103706,0,27,0.8,1079.2002020394361,False,0.01429905912878222,0,0.2,103181,0,2,0.0,79.9407557066249,False,0.004329516403180848,6,0.44900000000000007,127899,0,4,0.4,168.00000000000003,False,-0.0037907682727485017,10,0.669,127743,0,0,0.0,0.0,False,-0.00565890869463688,0.4,692048,0.0,0.0,8,0,0,10,7,6.333333333333333,12,22,18,208.0,97.0,13,13,18,948,1.8495171520044096,21.780615027993917
