index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,29.0,0,,37.0,0,,52.0,0,,0,0.2,45762,0,8,0.8,168.0,False,8.725622791326731e-05,0,0.2,45722,2,10,1.0,230.0,False,-0.00010907028489158413,0,0.2,64052.0,0,0,0.0,0.0,False,0.0,0,0.2,64052.0,0,0,0.0,0.0,False,0.0,0,0.2,75385,0,0,0.0,0.0,False,0.0,0,0.2,75385,0,0,0.0,0.0,False,0.0,0,0.2,108365,0,0,0.0,0.0,False,0.0,0,0.2,108365,0,0,0.0,0.0,False,0.0,0.225,587088,0.0,0.0,11,0,0,13,0,0.0,1426,1439,58,0.0,0.0,0,0,58,200,2.8237762119970284,2.8237762119970284
1,58,0,0,0,10.0,20,10.0,21.0,0,,29.0,0,,37.0,0,,52.0,0,,0,0.2,45642,2,18,1.0,398.0,False,-2.1814056978316828e-05,0,0.2,45642,0,20,1.0,420.0,False,0.00021814056978316826,0,0.2,64052.0,0,0,0.0,0.0,False,0.0,0,0.2,64052.0,0,0,0.0,0.0,False,0.0,0,0.2,75385,0,0,0.0,0.0,False,0.0,0,0.2,75385,0,0,0.0,0.0,False,0.0,0,0.2,108365,0,0,0.0,0.0,False,0.0,0,0.2,108365,0,0,0.0,0.0,False,0.0,0.25,586888,0.0,0.0,10,0,0,31,0,0.0,42,73,27,842.0,83.0,52,6,27,200,4.310412514023483,7.134188726020511
2,27,0,0,0,10.0,20,10.0,21.0,0,,20.053333333333335,30,6.633333333333334,37.0,0,,52.0,0,,0,0.2,45552,1,28,1.0,598.0,False,0.00019632651280485146,0,0.2,45532,1,30,1.0,640.0,False,0.00021814056978316826,10,0.30000000000000004,63862.0,0,0,0.0,0.0,False,-0.0029663398488727908,20,0.4,63195.0,0,0,0.0,0.0,False,-0.013379753949915694,0,0.2,75216,9,10,1.0,550.48,False,0.0014092989321483748,0,0.2,75355,1,10,1.0,390.05333333333334,False,0.0021891180827309426,0,0.2,108365,0,0,0.0,0.0,False,0.0,0,0.2,108365,0,0,0.0,0.0,False,0.0,0.5,585442,0.0,0.0,9,0,0,25,5,5.0,23,48,19,325.0,15.0,26,1,19,200,3.8368739529978484,10.97106267901836
3,19,0,0,0,10.0,20,10.0,21.0,0,,19.97956204379562,1,15.0,37.0,0,,52.0,0,,0,0.2,45422,4,38,1.0,838.0,False,-2.1814056978316828e-05,0,0.2,45462,0,38,0.8,798.0,False,0.0004144670825880197,1,0.30000000000000004,63842.0,0,0,0.0,0.0,False,-0.003278586148754137,0,0.38000000000000006,63195.0,0,0,0.0,0.0,False,-0.013379753949915694,0,0.2,75216,0,19,0.9,703.0,False,0.0024209060157856337,0,0.2,75340,0,12,0.2,444.0,False,0.0023479472043509983,0,0.2,108365,0,0,0.0,0.0,False,0.0,0,0.2,108365,0,0,0.0,0.0,False,0.0,0.36250000000000004,585207,0.0,0.0,10,0,0,18,1,1.0,19,37,12,234.0,55.0,14,5,12,200,2.2271260249544866,13.198188703972846
4,12,0,0,0,10.0,20,10.0,24.428571428571427,18,33.0,18.555738934733686,5,1.0,34.166666666666664,9,20.0,52.0,20,52.0,0,0.2,45936,2,30,1.0,752.8571428571428,False,0.010261955661371067,0,0.2,45342,2,48,1.0,1192.5714285714284,False,0.002100382057626574,0,0.29900000000000004,63248.0,18,0,0.0,439.71428571428567,False,-0.009119822287248721,5,0.43000000000000005,63021.0,0,0,0.0,0.0,False,-0.016096296758883407,0,0.2,75216,0,19,0.0,649.1666666666666,False,0.0020638500143706105,0,0.2,75515,0,8,0.5,273.3333333333333,False,0.0035373969180429996,7,0.27,108252,0,0,0.0,0.0,False,-0.0010427721127670374,13,0.33000000000000007,107876,0,9,0.9,468.0,False,-0.002353158307571633,0.425,584406,0.0,0.0,10,0,0,16,13,13.0,12,28,16,96.0,31.0,6,6,16,974,1.7074029700015672,14.905591673974413
5,16,0,0,0,10.0,20,10.0,29.153846153846157,46,34.97826086956522,18.205216588443488,5,14.0,33.540955631399314,10,30.5,52.0,20,52.0,0,0.2,46904,0,11,1.0,320.69230769230774,False,0.026664328647226475,0,0.2,45783,4,41,1.0,1235.3076923076924,False,0.012186506831155795,5,0.34900000000000003,62272.0,45,0,0.0,1311.9230769230771,False,-0.017548842526985277,0,0.42500000000000004,62283.0,19,0,0.0,553.923076923077,False,-0.02329417444480205,0,0.2,75216,0,19,0.0,637.278156996587,False,0.001984998056619939,2,0.22000000000000003,75662,0,5,0.5,167.70477815699655,False,0.004786792983730185,9,0.35300000000000004,107938,0,7,0.7,364.0,False,-0.002260877589627647,2,0.3370000000000001,108157,0,3,0.3,156.0,False,-0.0011996493332718128,0.4375,584215,0.0,0.0,21,0,0,14,10,8.785714285714285,16,30,20,146.0,32.0,9,7,20,2390,2.0624171660165302,16.968008839990944
6,20,0,0,0,10.0,20,10.0,32.308843022154896,66,36.72727272727273,17.327893224936588,4,4.5,35.783963227783445,6,55.5,52.0,20,52.0,11,0.31000000000000005,47410,0,6,0.6,193.8530581329294,False,0.03631880216976708,3,0.23,47151,8,10,1.0,403.08843022154895,False,0.03295109757669323,0,0.3440000000000001,61711.0,62,0,0.0,2003.1482673736036,False,-0.02091153853608316,4,0.4650000000000001,60292.0,68,0,0.0,2197.001325506533,False,-0.041552166009597456,0,0.2,75216,0,19,0.0,679.8953013278855,False,0.0022676613472699817,1,0.228,75933,0,4,0.4,143.13585291113378,False,0.008218716275858136,2,0.364,108117,0,3,0.3,156.0,False,-0.0015687722050477552,8,0.41500000000000004,108006,0,3,0.3,156.0,False,-0.0025930881742259955,0.325,583836,0.0,0.0,20,0,0,16,10,7.689291101055807,15,31,21,147.0,51.0,10,10,21,2166,2.396655942022335,19.36466478201328
7,21,0,0,0,10.0,20,10.0,32.94162127797441,21,37.23809523809524,17.0561745717722,5,14.0,37.84451126286821,6,56.0,52.0,20,52.0,0,0.29900000000000004,47300,1,16,1.0,537.0659404475906,False,0.03766268858740444,11,0.337,47568,7,10,1.0,399.4162127797441,False,0.042007506356395295,5,0.394,61286.0,72,0,0.0,2371.796732014158,False,-0.024669044432537927,0,0.4610000000000001,59830.0,79,0,0.0,2602.3880809599787,False,-0.04560054267657544,0,0.2,75216,0,19,0.0,719.0457139944959,False,0.0025273311268455695,2,0.24700000000000003,76111,0,5,0.5,189.22255631434103,False,0.010885604273491702,3,0.392,108071,0,3,0.3,156.0,False,-0.001993263507590089,11,0.5170000000000001,107765,0,3,0.3,156.0,False,-0.004817053476676048,0.3875,583147,0.0,0.0,15,0,0,17,10,8.916666666666666,18,35,28,194.0,24.0,13,8,28,896,2.966050182993058,22.330714965006337
8,28,0,0,0,10.0,20,10.0,33.13194368676736,15,35.0,17.0561745717722,0,,39.69147702418133,6,56.0,52.0,20,52.0,0,0.29900000000000004,47510,2,16,1.0,550.1110989882777,False,0.0423859244686998,0,0.32600000000000007,47683,6,15,1.0,556.9791553015103,False,0.04623466641182223,0,0.389,60966.0,82,0,0.0,2716.819382314923,False,-0.026971684082347784,0,0.4610000000000001,59625.0,84,0,0.0,2783.083269688458,False,-0.047390532148188495,0,0.2,75216,0,19,0.0,754.1380634594453,False,0.0027600853184284236,1,0.255,76403,0,0,0.0,0.0,False,0.013504012734628906,5,0.43900000000000006,107991,0,3,0.3,156.0,False,-0.002731509251141974,9,0.5960000000000001,107583,0,3,0.3,156.0,False,-0.006496562543256586,0.325,582977,0.0,0.0,15,0,0,15,10,8.583333333333332,17,32,31,193.0,71.0,12,16,31,1049,3.2098046399769373,25.540519604983274
9,31,0,0,0,10.000000000000002,20,10.0,33.563575228343254,39,35.17948717948718,16.06888879016639,6,7.0,41.34768419737766,6,56.0,52.0,20,52.0,0,0.29900000000000004,47782,2,14,1.0,489.8900531968055,False,0.04766251530470758,12,0.44600000000000006,48283,6,10,1.0,395.63575228343257,False,0.05756332350555636,0,0.389,60460.0,98,0,0.0,3289.230372377639,False,-0.030403185127883266,6,0.5210000000000001,58586.0,107,0,0.0,3591.302549432728,False,-0.05730264043720157,0,0.2,75216,0,19,0.0,785.6059997501756,False,0.0029688001575258506,6,0.31400000000000006,76415,0,6,0.6,248.08610518426596,False,0.015308656265731116,4,0.47400000000000003,107933,0,3,0.3,156.0,False,-0.0032667374152170903,10,0.687,107364,0,3,0.3,156.0,False,-0.00851751026622987,0.4,582039,0.0,0.0,16,0,0,23,14,12.872549019607844,18,41,23,230.0,47.0,17,14,23,1100,3.5431287679821253,29.0836483729654
10,23,0,0,0,10.000000000000002,20,10.0,33.52865040819179,11,33.0,15.610352675042344,2,3.0,43.052197440878864,7,56.0,51.99999999999999,20,52.0,0,0.29900000000000004,48065,0,13,1.0,435.87245530649324,False,0.053246721950465696,0,0.43400000000000005,48163,8,20,1.0,750.5730081638358,False,0.0588169474299096,0,0.389,60460.0,98,0,0.0,3285.807740002795,False,-0.030429902735255747,2,0.5350000000000001,58159.0,118,0,0.0,3956.380748166631,False,-0.061119241021618136,0,0.2,75440,0,15,0.0,645.7829616131829,False,0.005012820598349662,0,0.30800000000000005,76577,0,5,0.2,215.26098720439433,False,0.01723990838498629,10,0.5700000000000001,107508,0,7,0.7,363.99999999999994,False,-0.006228948461219028,4,0.7170000000000001,107472,0,0,0.0,0.0,False,-0.008240668112397915,0.3625,581844,0.0,0.0,16,0,0,21,7,6.8,16,37,13,243.0,42.0,16,7,13,1215,3.0299472129554488,32.11359558592085
