index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,28.0,0,,36.0,0,,44.0,0,,0,0.2,41856,13,0,0.0,130.0,False,-0.0015481350926499309,0,0.2,41916,7,0,0.0,70.0,False,-0.0008336112037345782,0,0.2,62848,0,0,0.0,0.0,False,0.0,0,0.2,62848,0,0,0.0,0.0,False,0.0,0,0.2,76886,0,0,0.0,0.0,False,0.0,0,0.2,76886.0,0,0,0.0,0.0,False,0.0,0,0.2,103652,0,0,0.0,0.0,False,0.0,0,0.2,103652,0,0,0.0,0.0,False,0.0,0.0,570544,0.0,0.0,11,0,0,0,0,0.0,1153,1153,147,0.0,0.0,0,0,147,200,7.914489073038567,7.914489073038567
1,147,0,0,0,10.0,20,10.0,16.818181818181817,10,7.0,28.0,0,,36.0,0,,44.0,0,,10,0.30000000000000004,41596,23,0,0.0,230.0,False,-0.0065498023150574,0,0.2,41816,17,0,0.0,170.0,False,-0.0020244843519268327,0,0.2,62778,0,10,1.0,280.0,False,0.0011137983706720977,0,0.2,62848,0,0,0.0,0.0,False,0.0,0,0.2,76886,0,0,0.0,0.0,False,0.0,0,0.2,76886.0,0,0,0.0,0.0,False,0.0,0,0.2,103652,0,0,0.0,0.0,False,0.0,0,0.2,103652,0,0,0.0,0.0,False,0.0,0.125,570114,0.0,0.0,11,0,0,27,1,1.0,72,99,53,1403.0,491.0,78,69,53,200,26.047238970000762,33.96172804303933
2,53,0,0,0,10.0,20,10.0,16.818181818181817,0,,23.130434782608695,24,14.0,33.92156862745098,6,18.333333333333332,44.0,0,,0,0.29000000000000004,41516,31,0,0.0,310.0,False,-0.007502500833611204,0,0.2,41696,29,0,0.0,290.0,False,-0.003453532129757538,0,0.2,62778,0,10,0.0,231.30434782608694,False,0.0007263902417426222,24,0.44000000000000006,62092,0,0,0.0,0.0,False,-0.012029022403258656,0,0.2,76886,0,0,0.0,0.0,False,0.0,6,0.26,76388.0,24,0,0.0,555.1304347826087,False,-0.002867034084341606,0,0.2,103542,0,6,0.6,264.0,False,0.0002122486782695944,0,0.2,103652,0,0,0.0,0.0,False,0.0,0.075,568550,0.0,0.0,11,0,0,15,7,7.0,45,60,60,682.0,99.0,40,13,60,200,11.00910688797012,44.97083493100945
3,60,0,0,0,10.0,20,10.0,12.51020408163265,24,3.625,22.577912254160367,4,14.0,32.725450901803605,4,19.0,44.0,0,,19,0.48000000000000004,40874,43,0,0.0,430.0,False,-0.021364264278569047,5,0.25,41543,37,0,0.0,370.0,False,-0.0061449054446720336,0,0.2,62711,3,20,1.0,489.0888573281053,False,0.0017111829917269585,4,0.45600000000000007,61992,11,0,0.0,137.61224489795916,False,-0.012525360831705395,0,0.2,76886,0,0,0.0,0.0,False,0.0,4,0.29400000000000004,76236.0,28,0,0.0,632.1815431164903,False,-0.0043429132539312305,0,0.2,103542,0,6,0.0,264.0,False,0.0002122486782695944,0,0.2,103576,0,4,0.4,176.0,False,0.00011577200632886968,0.175,567360,0.0,0.0,10,0,0,17,9,9.0,50,67,15,731.0,50.0,47,13,15,200,10.211434122989886,55.182269053999335
4,15,0,0,0,10.0,20,10.0,12.289801907556857,2,5.0,22.100488265868645,4,15.0,32.29344016024036,15,31.0,44.0,20,44.0,2,0.4810000000000001,40738,53,0,0.0,530.0,False,-0.023412566093459725,0,0.24500000000000002,41443,47,0,0.0,470.0,False,-0.007335778592864288,0,0.2,62711,0,23,0.3,508.31123011497885,False,0.0018641104738017225,4,0.4920000000000001,61906,13,0,0.0,159.76742479823915,False,-0.013717481663710573,5,0.25,76886,0,4,0.4,129.17376064096143,False,0.0008400343407184585,10,0.39,75951.0,28,0,0.0,618.813671444322,False,-0.008136632992714474,2,0.22000000000000003,103695,0,5,0.5,220.0,False,0.0014760930806930884,8,0.28,103264,0,10,1.0,440.0,False,-0.0016208080886041755,0.27499999999999997,566594,0.0,0.0,14,0,0,13,11,10.5,15,28,15,132.0,31.0,9,6,15,552,2.709620217967313,57.89188927196665
5,15,0,0,0,10.0,20,10.0,11.442553727862856,18,8.555555555555555,22.349119602093925,8,24.125,34.7064886114342,14,44.0,44.0,20,44.0,1,0.4890000000000001,40606,64,0,0.0,640.0,False,-0.025246510741675797,17,0.41500000000000004,41115,56,0,0.0,560.0,False,-0.014076120611632449,0,0.2,62834,0,20,0.0,446.9823920418785,False,0.0033332993256896463,5,0.538,61652,31,0,0.0,354.71916556374856,False,-0.016208000528547102,6,0.30500000000000005,77158,0,0,0.0,0.0,False,0.003537705173893817,4,0.42000000000000004,75662.0,36,0,0.0,804.5683056753813,False,-0.010687457367561215,6,0.278,103494,0,9,0.9,396.0,False,0.0003859066877628989,0,0.272,103385,0,6,0.5,264.0,False,-0.001302435071199784,0.175,565906,0.0,0.0,18,0,0,12,11,10.2,14,26,20,111.0,38.0,7,8,20,939,2.892504339979496,60.78439361194614
6,20,0,0,0,10.0,20,10.0,9.834132094808739,13,1.0,23.814763881314356,5,41.0,31.970948777390834,27,25.77777777777778,43.99999999999999,20,44.0,13,0.6180000000000001,40190,77,0,0.0,770.0,False,-0.033606440241985426,0,0.398,41045,63,0,0.0,630.0,False,-0.014909731815367026,0,0.2,63039,0,15,0.0,357.2214582197153,False,0.005881026112364111,0,0.533,61639,44,0,0.0,432.7018121715845,False,-0.015794442049296867,5,0.34900000000000003,77208,0,0,0.0,0.0,False,0.004188018624977239,22,0.6360000000000001,74699.0,41,0,0.0,976.4053191338886,False,-0.022095015222967185,2,0.29200000000000004,103435,4,10,1.0,567.8837951095633,False,0.0006458331489482956,3,0.30200000000000005,103360,3,10,1.0,535.9128463321724,False,-0.00023196442744865943,0.25,564615,0.0,0.0,17,0,0,10,9,8.5,17,27,17,142.0,48.0,8,12,17,1021,2.7329007429652847,63.51729435491143
7,17,0,0,0,10.0,20,10.0,7.87889362492194,70,5.757142857142857,22.18654684721013,12,14.416666666666666,32.8965531487105,33,35.121212121212125,43.99999999999999,20,44.0,29,0.8950000000000002,39330,90,0,0.0,900.0,False,-0.05254132329824227,41,0.808,40003,70,0,0.0,700.0,False,-0.038893917019959034,0,0.2,63039,0,15,0.0,332.79820270815196,False,0.005686721953826257,12,0.6530000000000001,60952,114,0,0.0,898.1938732411011,False,-0.023022261064464207,15,0.49400000000000005,77233,0,0,0.0,0.0,False,0.00451317535051895,18,0.794,73959.0,53,0,0.0,1175.8869829021369,False,-0.030422398207071977,0,0.29000000000000004,103673,0,12,1.0,527.9999999999999,False,0.0027495851503106547,2,0.31900000000000006,102739,20,10,1.0,1097.93106297421,False,-0.0035120833993834643,0.25,560928,0.0,0.0,20,0,0,14,14,13.666666666666666,14,28,15,106.0,63.0,6,11,15,948,2.500433075998444,66.01772743090987
8,15,0,0,0,10.0,20,10.0,6.812985198941723,48,3.8958333333333335,21.483202835617426,39,20.358974358974358,34.38095382017248,13,45.92307692307692,43.99999999999999,20,44.0,31,1.1760000000000004,38325,99,0,0.0,990.0,False,-0.07540608774353356,17,0.9370000000000003,39655,81,0,0.0,810.0,False,-0.045872433668365645,0,0.2,63333,0,8,0.0,171.8656226849394,False,0.00908434335766406,32,0.9610000000000001,59889,162,0,0.0,1103.703602228559,False,-0.03830111059835985,10,0.5790000000000001,76944,1,10,1.0,365.2927410373422,False,0.0031299114340540037,3,0.806,73447.0,81,0,0.0,1740.1394296850115,False,-0.03341219838666975,2,0.31000000000000005,103850,0,8,0.8,351.99999999999994,False,0.003608227530583105,0,0.31700000000000006,102738,15,14,1.0,1131.714307302587,False,-0.0033587663175694634,0.35,558181,0.0,0.0,21,0,0,12,12,12.0,14,26,15,98.0,90.0,6,9,15,1286,2.691592128947377,68.70931955985725
9,15,0,0,0,10.000000000000002,20,10.0,6.488804495398024,15,3.0,22.422239081302397,34,24.941176470588236,34.6512999943131,71,35.04225352112676,43.99999999999999,20,44.0,15,1.2950000000000004,37915,110,0,0.0,1100.0000000000002,False,-0.08386128709569857,0,0.9200000000000002,39565,90,0,0.0,900.0000000000001,False,-0.046944219501738674,0,0.2,63374,0,7,0.0,156.95567356911678,False,0.009618091853114775,33,1.2590000000000001,59201,177,0,0.0,1148.5183956854503,False,-0.04889162427057786,0,0.5690000000000001,76212,19,20,1.0,1119.0485424310075,False,-0.0014889021250227433,71,1.5130000000000003,72297.0,87,0,0.0,1950.7348000733086,False,-0.0469998777405944,4,0.3480000000000001,104084,0,4,0.4,175.99999999999997,False,0.005016786940917686,0,0.31700000000000006,100678,72,16,1.0,3198.893599590543,False,-0.013261231816122465,0.3,553326,0.0,0.0,19,0,0,13,8,7.666666666666667,16,29,15,129.0,51.0,8,7,15,901,2.5965356320375577,71.3058551918948
