index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,28.0,0,,38.0,0,,0,0.2,39709,3,10,1.0,200.0,False,-0.0007530309495720274,0,0.2,39769,0,7,0.7,119.0,False,-0.00026356083235020957,0,0.2,67442,0,0,0.0,0.0,False,0.0,0,0.2,67442,0,0,0.0,0.0,False,0.0,0,0.2,90776,0,0,0.0,0.0,False,0.0,0,0.2,90776,0,0,0.0,0.0,False,0.0,0.2833333333333333,395914,0.0,0.0,8,0,0,0,0,0.0,1511,1511,368,0.0,0.0,0,0,368,200,12.432151450018864,12.432151450018864
1,368,0,0,0,10.0,20,10.0,17.0,0,,28.0,0,,38.0,0,,0,0.2,39619,2,20,1.0,360.0,False,-0.0010040412660960365,0,0.2,39659,1,17,1.0,299.0,False,-0.0007655814653982279,0,0.2,67442,0,0,0.0,0.0,False,0.0,0,0.2,67442,0,0,0.0,0.0,False,0.0,0,0.2,90776,0,0,0.0,0.0,False,0.0,0,0.2,90776,0,0,0.0,0.0,False,0.0,0.3333333333333333,395714,0.0,0.0,9,0,0,117,0,0.0,95,212,184,3475.0,975.0,193,175,184,200,39.20499611599371,51.63714756601257
2,184,0,0,0,10.0,20,10.0,15.79245283018868,8,9.0,28.0,0,,38.0,0,,0,0.2,39535,4,26,1.0,450.60377358490564,False,-0.0019754038306068235,0,0.2,39615,0,22,0.9,347.433962264151,False,-0.001262155648181977,0,0.2,67388,0,6,0.6,168.0,False,0.0004448266658758637,0,0.2,67424,0,2,0.2,56.0,False,0.00014827555529195457,0,0.2,90776,0,0,0.0,0.0,False,0.0,0,0.2,90776,0,0,0.0,0.0,False,0.0,0.45,395514,0.0,0.0,13,0,0,57,0,0.0,50,107,148,435.0,293.0,90,94,148,272,39.61779899598332,91.2549465619959
3,148,0,0,0,10.0,20,10.0,15.519114688128774,2,9.0,28.0,0,,38.0,20,38.0,0,0.2,39434,5,35,1.0,593.1690140845071,False,-0.0027213407203431047,0,0.2,39534,0,30,0.9,465.5734406438632,False,-0.0018126278189229538,0,0.2,67388,0,6,0.0,168.0,False,0.0004448266658758637,0,0.2,67406,0,4,0.2,112.0,False,0.00029655111058390915,12,0.32000000000000006,90582,0,0,0.0,0.0,False,-0.0021371287564995152,8,0.28,90682,0,0,0.0,0.0,False,-0.001035515995417291,0.35000000000000003,395026,0.0,0.0,13,0,0,88,9,9.0,27,115,90,780.0,369.0,95,53,90,218,28.088173535012174,119.34312009700807
4,90,0,0,0,10.0,20,10.0,17.099774813788326,13,22.53846153846154,28.0,0,,38.0,20,38.0,0,0.2,39293,10,44,1.0,852.3900918066863,False,-0.0030072279448947106,0,0.2,39768,0,23,0.5,393.2948207171315,False,0.003153879624452527,0,0.2,67388,0,6,0.0,168.0,False,0.0004448266658758637,0,0.2,67113,3,14,1.0,443.299324441365,False,-0.001591743094500816,9,0.398,90457,0,0,0.0,0.0,False,-0.0035141447078522957,11,0.382,90509,0,0,0.0,0.0,False,-0.002941306072089539,0.4166666666666667,394528,0.0,0.0,14,0,0,35,11,11.0,23,58,73,515.0,180.0,40,50,73,493,11.922423804993741,131.2655439020018
5,73,0,0,0,10.0,20,10.0,17.69559862678387,13,20.076923076923077,28.0,0,,38.0,20,38.0,0,0.2,39436,10,43,1.0,860.9107409517064,False,0.000689158123342728,0,0.2,39686,0,31,1.0,548.5635574303,False,0.003044297766388482,0,0.2,67388,0,6,0.0,168.0,False,0.0004448266658758637,0,0.2,66852,6,24,1.0,778.1735917607032,False,-0.0029790516906325823,12,0.5090000000000001,90261,0,0,0.0,0.0,False,-0.0056733057195734555,8,0.451,90413,0,0,0.0,0.0,False,-0.003998854322728475,0.5,394036,0.0,0.0,13,0,0,36,8,8.0,23,59,59,512.0,144.0,40,33,59,461,11.415129787987098,142.6806736899889
6,59,0,0,0,10.0,20,10.0,18.939583856670257,12,25.0,28.0,0,,38.0,20,38.0,0,0.2,39306,13,53,1.0,1133.7979444035236,False,0.0008508991742203618,0,0.2,39916,0,26,0.7,492.4291802734267,False,0.008113019657539376,0,0.2,67388,0,6,0.0,168.0,False,0.0004448266658758637,0,0.2,66552,8,34,1.0,1103.516670853362,False,-0.005015297063748367,11,0.6070000000000001,90090,0,0,0.0,0.0,False,-0.007557063541024059,9,0.5330000000000001,90288,0,0,0.0,0.0,False,-0.005375870274081255,0.45,393540,0.0,0.0,12,0,0,26,10,10.0,25,51,52,467.0,338.0,31,28,52,500,9.125313135969918,151.80598682595883
7,52,0,0,0,10.0,20,10.0,19.34718936115235,35,20.085714285714285,28.0,0,,38.0,20,38.0,0,0.2,39577,15,40,1.0,923.8875744460939,False,0.005018795331786648,0,0.2,40148,0,22,0.8,425.63816594535166,False,0.013098197318523899,0,0.2,67388,0,6,0.0,168.0,False,0.0004448266658758637,0,0.2,65849,33,44,1.0,1870.4572489180275,False,-0.009753141596349355,11,0.706,89918,0,0,0.0,0.0,False,-0.009451837490085485,9,0.6140000000000001,90175,0,0,0.0,0.0,False,-0.006620692694104168,0.4666666666666666,393055,0.0,0.0,11,0,0,20,10,10.0,24,44,42,438.0,314.0,27,25,42,903,5.954752936027944,157.76073976198677
8,42,0,0,0,10.0,20,10.0,20.082131937049652,11,26.0,28.304347826086957,1,42.0,38.0,20,38.0,0,0.2,39457,17,50,1.0,1174.1065968524827,False,0.005147049334226237,0,0.2,40354,0,19,0.8,381.5605068039434,False,0.017715812480282436,0,0.2,67430,0,5,0.0,141.52173913043478,False,0.0008712800564220534,0,0.2,65563,34,54,1.0,2211.227268468384,False,-0.01146742928391518,11,0.8050000000000002,89708,1,0,0.0,28.304347826086957,False,-0.011609322134561555,9,0.6950000000000002,90050,0,0,0.0,0.0,False,-0.00799770864545695,0.4666666666666666,392562,0.0,0.0,12,0,0,14,11,11.0,24,38,44,327.0,174.0,19,23,44,528,5.541650426981505,163.30239018896827
9,44,0,0,0,10.000000000000002,20,10.0,21.148341600806926,30,24.333333333333332,32.1241134751773,15,42.666666666666664,37.99999999999999,20,38.0,0,0.2,40077,18,30,1.0,814.4502480242078,False,0.01619581626075213,0,0.2,40264,0,28,0.9,592.1535648225939,False,0.018099771139117423,0,0.2,67640,0,0,0.0,0.0,False,0.0029358559947807003,0,0.2,65263,54,54,1.0,2876.7125741031487,False,-0.010981935781092281,9,0.8840000000000001,89373,6,0,0.0,192.74468085106383,False,-0.01439397703770238,11,0.796,89460,10,0,0.0,321.241134751773,False,-0.012727807268706691,0.48333333333333334,392077,0.0,0.0,14,0,0,19,10,10.0,21,40,40,330.0,102.0,20,24,40,1570,8.109790799033362,171.41218098800164
