index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,22.0,0,,0,0.2,54619,0,8,0.8,136.0,False,-0.00021938243843580321,0,0.2,54579,2,10,1.0,190.0,False,-0.0004570467467412567,0,0.2,71499,0,0,0.0,0.0,False,0.0,0,0.2,71499,0,0,0.0,0.0,False,0.0,0,0.2,90253,0,0,0.0,0.0,False,0.0,0,0.2,90253,0,0,0.0,0.0,False,0.0,0.3,432702,0.0,0.0,5,0,0,0,0,0.0,789,789,133,0.0,0.0,0,0,133,200,8.749578601971734,8.749578601971734
1,133,0,0,0,10.0,20,10.0,17.0,0,,21.0,0,,22.0,0,,0,0.2,54519,0,18,1.0,306.0,False,-0.0004936104864805572,0,0.2,54479,2,20,1.0,360.0,False,-0.0007312747947860107,0,0.2,71499,0,0,0.0,0.0,False,0.0,0,0.2,71499,0,0,0.0,0.0,False,0.0,0,0.2,90253,0,0,0.0,0.0,False,0.0,0,0.2,90253,0,0,0.0,0.0,False,0.0,0.3333333333333333,432502,0.0,0.0,6,0,0,66,0,0.0,65,131,93,1799.0,51.0,121,12,93,200,13.242249033995904,21.99182763596764
2,93,0,0,0,10.0,20,10.0,18.2,15,21.8,21.0,0,,22.0,0,,0,0.2,54486,0,21,0.6,382.2,False,-0.00040037295014536746,0,0.2,54639,6,18,1.0,387.59999999999997,False,0.002446114188559259,0,0.2,71199,2,10,1.0,246.4,False,-0.002472761856809227,0,0.2,71472,0,3,0.3,63.0,False,6.293794318801662e-05,0,0.2,90253,0,0,0.0,0.0,False,0.0,0,0.2,90253,0,0,0.0,0.0,False,0.0,0.48333333333333334,432302,0.0,0.0,7,0,0,18,0,0.0,28,46,29,552.0,200.0,36,57,29,527,4.416826057014987,26.408653692982625
3,29,0,0,0,10.0,20,10.0,17.56551724137931,4,9.0,20.782608695652176,1,11.0,22.0,20,22.0,0,0.2,54413,0,28,1.0,491.8344827586207,False,-0.0007327877771200012,0,0.2,54548,6,27,1.0,534.2689655172414,False,0.0021231555011722654,0,0.2,71174,0,15,0.6,311.7391304347826,False,-0.002365493710158297,0,0.2,71472,0,3,0.0,62.34782608695653,False,5.83772226670662e-05,10,0.30000000000000004,90172,0,1,0.1,22.0,False,-0.0007755974870641419,10,0.30000000000000004,90177,0,0,0.0,0.0,False,-0.0008420772716696398,0.45,431956,0.0,0.0,9,0,0,12,5,5.0,15,27,41,209.0,51.0,17,12,41,247,4.487848592980299,30.896502285962924
4,41,0,0,0,10.0,20,10.0,19.907086614173227,24,25.0,18.684824902723737,10,10.0,22.0,20,22.0,0,0.2,54623,0,25,0.9,497.67716535433067,False,0.003159812476958679,0,0.2,54738,7,25,1.0,567.6771653543307,False,0.005902092957406219,0,0.2,70674,14,15,1.0,558.9715861392813,False,-0.007629676036453023,0,0.2,71472,0,3,0.0,56.05447470817121,False,1.4367156940366459e-05,12,0.41000000000000003,89990,0,10,1.0,220.0,False,-0.0016952345074401959,7,0.36000000000000004,90133,0,0,0.0,0.0,False,-0.0013295956921099575,0.65,431630,0.0,0.0,8,0,0,7,5,4.75,19,26,37,238.0,93.0,15,26,37,900,2.3912433729856275,33.28774565894855
5,37,0,0,0,10.0,20,10.0,19.907086614173227,0,,17.673979075261563,13,14.076923076923077,21.999999999999996,20,22.0,0,0.2,54513,1,35,1.0,706.7480314960629,False,0.0030599099754662403,0,0.2,54648,6,35,1.0,756.7480314960629,False,0.005985009154610283,0,0.2,70818,4,13,1.0,309.39007443509325,False,-0.007361011521594025,0,0.2,71511,0,2,0.0,35.34795815052313,False,0.00041502649093360386,0,0.398,90000,2,13,1.0,321.3479581505231,False,-0.0010229689974265482,13,0.4830000000000001,89981,1,0,0.0,17.673979075261563,False,-0.0029158367086121947,0.6666666666666666,431471,0.0,0.0,9,0,0,11,3,3.0,15,26,37,218.0,93.0,16,21,37,537,2.149990929989144,35.437736588937696
6,37,0,0,0,10.0,20,10.0,21.97689359372148,41,25.4390243902439,17.673979075261563,0,,21.999999999999996,20,22.0,0,0.2,54947,1,24,1.0,537.4454462493155,False,0.009446657582856321,0,0.2,55057,6,25,1.0,609.422339843037,False,0.012115599369668852,0,0.2,69775,35,23,1.0,1175.692794511268,False,-0.015890482422752282,0,0.2,71511,0,2,0.0,35.34795815052313,False,0.00041502649093360386,0,0.398,90198,0,6,0.2,131.99999999999997,False,0.00012187960511007944,11,0.5800000000000001,89890,1,0,0.0,17.673979075261563,False,-0.003924113441795579,0.5333333333333333,431378,0.0,0.0,11,0,0,15,3,3.0,12,27,26,210.0,108.0,16,21,26,1441,2.2143439240171574,37.65208051295485
7,26,0,0,0,10.0,20,10.0,22.666448108822234,24,25.5,17.97736981119771,8,20.0,21.999999999999996,20,22.0,0,0.2,55179,0,21,0.9,475.9954102852669,False,0.013126340612125125,0,0.2,55237,8,23,1.0,601.3283065029113,False,0.01533234891408353,0,0.2,69323,49,25,1.0,1560.0902026122324,False,-0.01952411780156212,0,0.2,71511,0,2,0.0,35.95473962239542,False,0.0004192697773562804,3,0.42800000000000005,90318,0,0,0.0,0.0,False,0.0007201976665595604,11,0.679,89639,9,0,0.0,161.7963283007794,False,-0.005906749203346233,0.48333333333333334,431207,0.0,0.0,9,0,0,9,4,3.75,11,20,26,166.0,93.0,10,16,26,1082,1.870456511969678,39.52253702492453
8,26,0,0,0,10.0,20,10.0,23.1560707422244,19,26.0,18.731632034393435,21,20.714285714285715,21.999999999999996,20,22.0,0,0.2,55359,0,19,0.8,439.9653441022636,False,0.016087728697985953,0,0.2,55351,10,24,1.0,655.7456978133856,False,0.017913907912515632,0,0.2,69186,58,16,1.0,1642.75821559931,False,-0.020862122438080846,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,13,0.5550000000000002,90085,0,10,1.0,219.99999999999997,False,-0.0006426379178531462,7,0.738,89281,20,0,0.0,374.63264068786873,False,-0.008694267001164144,0.6333333333333333,430851,0.0,0.0,11,0,0,11,5,5.0,9,20,23,145.0,75.0,10,16,23,1129,1.7306418960215524,41.253178920946084
9,23,0,0,0,10.000000000000002,20,10.0,23.503241617996174,25,25.12,21.88311176971481,61,25.42622950819672,21.999999999999996,20,22.0,0,0.2,55542,2,17,1.0,419.555107505935,False,0.019246742239400483,0,0.2,55596,8,21,1.0,573.5680739779197,False,0.021641785718001426,45,0.6500000000000001,68079,73,10,1.0,1934.567755810869,False,-0.03430420176638234,0,0.2,71589,0,0,0.0,0.0,False,0.0012587588637603324,0,0.542,89728,25,10,1.0,767.0777942428703,False,-0.001567383941570457,10,0.8310000000000002,88228,46,0,0.0,1006.6231414068812,False,-0.016860253169385563,0.6666666666666666,428762,0.0,0.0,11,0,0,7,11,10.272727272727273,11,18,23,117.0,88.0,8,15,23,1048,1.7591108169872314,43.012289737933315
