index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ind@0,spot_market_loss_01Ind@0,balance_01Ind@0,inventory_01Ind@0_input,inventory_01Ind@0_output,productivity_01Ind@0,assets_01Ind@0,bankrupt_01Ind@0,score_01Ind@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,29.0,0,,36.0,0,,49.0,0,,0,0.2,58859,0,9,0.9,198.0,False,0.00015267434562079085,0,0.2,58839,1,10,1.0,230.0,False,8.481908090043936e-05,0,0.2,86863,0,0,0.0,0.0,False,0.0,0,0.2,86863.0,0,0,0.0,0.0,False,0.0,0,0.2,108188,0,0,0.0,0.0,False,0.0,0,0.2,108188.0,0,0,0.0,0.0,False,0.0,0,0.2,145117,0,0,0.0,0.0,False,0.0,0,0.2,145117,0,0,0.0,0.0,False,0.0,0.2375,798034,0.0,0.0,9,0,0,0,0,0.0,825,825,218,0.0,0.0,0,0,218,200,8.23325782455504,8.23325782455504
1,218,0,0,0,10.0,20,10.0,22.0,0,,25.705882352941178,6,1.0,26.672131147540984,77,21.22077922077922,49.0,0,,0,0.2,58789,0,16,0.7,352.0,False,0.000271421058881406,0,0.2,58709,4,20,1.0,480.0,False,0.0,0,0.2,86863,0,0,0.0,0.0,False,0.0,6,0.26,86659.0,0,0,0.0,0.0,False,-0.0023485258395404256,0,0.2,108182,0,6,0.6,160.0327868852459,False,0.0006841460554093214,77,0.9700000000000002,101615.0,0,0,0.0,0.0,False,-0.06075535179502348,0,0.2,143887,50,0,0.0,1333.6065573770493,False,-0.003880983766970679,0,0.2,144713,27,0,0.0,720.1475409836065,False,-0.00030269527007990946,0.2875,789417,0.0,0.0,10,0,0,53,14,14.0,168,221,109,2923.0,139.0,203,15,109,200,13.461486572399735,21.694744396954775
2,109,0,0,0,10.0,20,10.0,20.49056603773585,8,12.0,23.95492487479132,14,18.214285714285715,24.950819672131146,61,21.852459016393443,49.0,0,,0,0.2,58737,0,22,1.0,450.79245283018867,False,0.00022725112241255615,0,0.2,58657,4,26,1.0,572.7547169811321,False,-9.53814570125905e-05,0,0.2,86767,0,8,0.8,191.63939899833056,False,-2.0756881622846407e-06,14,0.394,86331.0,0,0,0.0,0.0,False,-0.006124586993311306,0,0.2,108175,0,7,0.1,174.655737704918,False,0.0006870250753545566,61,1.5030000000000003,97155.0,13,0,0.0,311.41402337228715,False,-0.1005406605937244,0,0.2,143027,87,0,0.0,2170.72131147541,False,-0.0069229610883790905,0,0.2,144240,51,0,0.0,1272.4918032786884,False,-0.0016590344229873795,0.3625,783089,0.0,0.0,11,0,0,24,15,15.0,63,87,83,538.0,166.0,65,44,83,296,8.01921533420682,29.713959731161594
3,83,0,0,0,10.0,20,10.0,20.49056603773585,0,,23.762286242489605,11,22.818181818181817,25.112480739599384,28,26.0,49.0,0,,0,0.2,58627,1,32,1.0,665.6981132075472,False,0.00018404140195376722,0,0.2,58567,3,36,1.0,767.6603773584906,False,3.1046984329622735e-05,0,0.2,86767,0,8,0.0,190.09828993991684,False,-1.0946605920103247e-05,11,0.49000000000000005,86171.0,0,0,0.0,0.0,False,-0.007966568043931248,0,0.2,108530,0,2,0.0,50.22496147919877,False,0.003393282810844061,23,1.6720000000000002,95929.0,24,0,0.0,570.2948698197505,False,-0.11067634640708884,0,0.2,142859,96,0,0.0,2410.7981510015406,False,-0.007253463925654586,0,0.2,143680,70,0,0.0,1757.873651771957,False,-0.003845608537345794,0.25,781130,0.0,0.0,11,0,0,26,7,7.0,35,61,67,527.0,116.0,42,41,67,555,7.54363067727536,37.257590408436954
4,67,0,0,0,10.0,20,10.0,23.54776299879081,35,27.714285714285715,20.97894573683463,19,12.421052631578947,23.55813999642765,38,16.86842105263158,49.0,20,49.0,0,0.2,58977,0,26,0.9,612.2418379685611,False,0.005667965851571317,0,0.2,58987,5,26,1.0,662.2418379685611,False,0.006261699417874392,0,0.2,86167,15,18,1.0,730.8374682448855,False,-0.0038057776714775448,19,0.669,85195.0,10,0,0.0,235.47762998790807,False,-0.017847198289329742,0,0.2,108530,0,2,0.0,47.1162799928553,False,0.0033789157762083456,38,2.0290000000000004,93575.0,43,0,0.0,902.094666683889,False,-0.13090132608660895,11,0.31000000000000005,142129,121,0,0.0,2850.5349395677454,False,-0.010768776437055158,9,0.29000000000000004,143402,83,0,0.0,1955.3256197034948,False,-0.005080984241324214,0.3625,776962,0.0,0.0,14,0,0,24,24,24.0,32,56,60,448.0,107.0,35,32,60,1170,4.462951702065766,41.72054211050272
5,60,0,0,0,10.0,20,10.0,26.161209997233236,34,31.88235294117647,19.86239146749832,16,15.0,22.729451384730318,21,15.571428571428571,49.0,20,49.0,0,0.2,59347,1,24,1.0,637.8690399335976,False,0.012161945409876373,0,0.2,59501,4,14,1.0,406.2569399612653,False,0.01280986055710249,0,0.2,85563,27,28,1.0,1262.4996310152503,False,-0.007698907296459576,16,0.81,84285.0,22,0,0.0,575.5466199391312,False,-0.026365963529125618,0,0.2,108530,0,2,0.0,45.458902769460636,False,0.0033712560670751844,21,2.201000000000001,92463.0,59,0,0.0,1171.881096582401,False,-0.13993288952294897,8,0.379,141775,129,0,0.0,2932.099228630211,False,-0.012927157987588664,12,0.401,143056,96,0,0.0,2182.0273329341107,False,-0.00668416748921875,0.375,774520,0.0,0.0,12,0,0,29,17,17.0,27,56,55,459.0,129.0,37,23,55,1284,5.130541304126382,46.8510834146291
6,55,0,0,0,10.0,20,10.0,28.235351048833348,45,32.733333333333334,20.115758360406854,4,25.0,22.097203311105606,12,12.5,49.0,20,49.0,16,0.36000000000000004,60199,3,10,1.0,312.3535104883335,False,0.023854123992674465,0,0.2,59476,2,19,1.0,556.4716699278337,False,0.013659872685947481,0,0.2,84690,47,38,1.0,2091.4603169906277,False,-0.01297756054366866,4,0.8340000000000001,83645.0,37,0,0.0,1044.7079888068338,False,-0.03103330538430157,0,0.2,108530,0,2,0.0,44.19440662221121,False,0.003365412091092385,12,2.3000000000000007,91911.0,63,0,0.0,1267.292776705632,False,-0.14459416581919604,12,0.4910000000000001,141443,137,0,0.0,3027.316853621468,False,-0.014886895216888955,8,0.46900000000000003,142858,100,0,0.0,2209.7203311105604,False,-0.007953167681558383,0.375,772752,0.0,0.0,12,0,0,24,17,16.11111111111111,31,55,63,421.0,78.0,34,21,63,767,3.9938871329650283,50.84497054759413
7,63,0,0,0,10.0,20,10.0,28.60565748343794,14,32.0,17.438850644238872,26,9.923076923076923,22.00984026389967,27,21.444444444444443,49.00000000000001,20,49.0,0,0.3440000000000001,60049,8,20,1.0,652.1131496687589,False,0.024191361597896144,0,0.2,59874,0,12,0.7,343.2678898012553,False,0.018603096658138838,0,0.2,84242,51,48,1.0,2295.953362578801,False,-0.01695800650116397,26,1.09,82697.0,37,0,0.0,1058.4093268872039,False,-0.04186817559324917,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,25,2.5380000000000003,90558.0,89,0,0.0,1552.0577073372597,False,-0.15578410864727485,11,0.5890000000000002,140790,154,0,0.0,3389.515400640549,False,-0.018138759068060426,9,0.551,142559,110,0,0.0,2421.0824290289634,False,-0.009285326911977958,0.3375,769419,0.0,0.0,14,0,0,23,22,22.0,32,55,55,475.0,116.0,34,29,55,768,3.6768922600895166,54.52186280768365
8,55,0,0,0,10.0,20,10.0,27.98183243952631,5,12.0,16.831038735930946,5,6.0,21.5818401679731,27,18.703703703703706,49.00000000000001,20,49.0,0,0.3440000000000001,59949,8,30,1.0,919.4549731857893,False,0.024762548755583504,0,0.2,59834,0,17,1.0,475.6911514719473,False,0.01904774594541005,0,0.2,84182,46,58,1.0,2263.364538902205,False,-0.017836336881628466,5,1.1140000000000003,82552.0,37,0,0.0,1035.3278002624736,False,-0.04367033259119253,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,27,2.783000000000001,89357.0,94,0,0.0,1582.1176411775089,False,-0.1667462304452549,10,0.6780000000000002,140332,173,0,0.0,3733.658349059346,False,-0.020109090082280685,10,0.6420000000000001,142133,118,0,0.0,2546.6571398208257,False,-0.011788222124834432,0.375,766989,0.0,0.0,11,0,0,19,18,18.0,28,47,50,390.0,91.0,29,26,50,260,3.462708859704435,57.98457166738808
9,50,0,0,0,10.000000000000002,20,10.0,28.517261858039912,50,29.8,16.779799364311376,3,15.333333333333334,20.996796830066163,57,19.070175438596486,49.00000000000001,20,49.0,0,0.3440000000000001,60623,9,18,1.0,603.3107134447184,False,0.03351465430664405,11,0.31000000000000005,60164,0,9,0.9,256.6553567223592,False,0.022787963805343262,0,0.2,82932,80,68,1.0,3422.4073054163664,False,-0.0255551425496681,3,1.1390000000000002,82251.0,43,0,0.0,1226.2422598957162,False,-0.046036619389753286,0,0.2,108650,0,0,0.0,0.0,False,0.004270344215624653,57,3.3260000000000005,85378.0,97,0,0.0,1627.6405383382034,False,-0.20331441315886145,12,0.7880000000000003,139822,189,0,0.0,3968.3946008825046,False,-0.022814712952712344,8,0.712,141177,159,0,0.0,3338.49069598052,False,-0.015647750794253967,0.3625,760997,0.0,0.0,14,0,0,17,23,22.578947368421055,26,43,38,385.0,72.0,26,24,38,1272,3.0789291840046644,61.063500851392746
