index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,12.0,0,,21.0,0,,32.0,0,,46.0,0,,0,0.2,47092,0,9,0.9,108.0,False,-0.0007630028400661269,0,0.2,47072,11,0,0.0,110.0,False,-0.0011656987834343605,0,0.2,81282,0,0,0.0,0.0,False,0.0,0,0.2,81282,0,0,0.0,0.0,False,0.0,0,0.2,121815,0,0,0.0,0.0,False,0.0,0,0.2,121815,0,0,0.0,0.0,False,0.0,0,0.2,161062,0,0,0.0,0.0,False,0.0,0,0.2,161062,0,0,0.0,0.0,False,0.0,0.1125,822482,0.0,0.0,8,0,0,201,0,0.0,618,819,148,0.0,0.0,0,0,148,200,8.409820109023713,8.409820109023713
1,148,0,0,0,10.0,20,10.0,12.0,0,,21.0,0,,22.254545454545454,65,15.507692307692308,46.0,0,,0,0.2,47022,0,16,0.7,192.0,False,-0.0013564494934508924,0,0.2,46942,24,0,0.0,240.0,False,-0.002543342800220423,0,0.2,81282,0,0,0.0,0.0,False,0.0,0,0.2,81282,0,0,0.0,0.0,False,0.0,35,0.55,120155,0,0,0.0,0.0,False,-0.0136272216065345,30,0.5,120645,0,0,0.0,0.0,False,-0.009604728481714075,0,0.2,160920,1,10,1.0,482.25454545454545,False,0.000615460336561442,0,0.2,160196,54,0,0.0,1201.7454545454545,False,-0.00164611933744309,0.2125,818444,0.0,0.0,7,0,0,19,14,14.0,139,158,105,1876.0,40.0,144,4,105,200,12.208264435001183,20.618084544024896
2,105,0,0,0,10.0,20,10.0,10.428571428571429,11,4.0,15.914634146341463,37,9.72972972972973,21.688549618320614,32,19.9375,46.0,0,,0,0.2,46967,0,20,0.9,208.57142857142858,False,-0.0023465365121080623,6,0.26,46751,35,0,0.0,350.0,False,-0.0054257979738035695,0,0.2,81238,1,10,1.0,169.57491289198603,False,0.0005018018312294551,37,0.5700000000000001,80132,0,0,0.0,0.0,False,-0.014148273910582909,9,0.6050000000000001,119777,25,0,0.0,397.8658536585366,False,-0.015097213587577358,23,0.7000000000000002,119713,12,0,0.0,190.97560975609755,False,-0.016471798999482395,0,0.2,160920,0,11,0.1,506.0,False,0.000689175596975078,0,0.2,159558,86,0,0.0,1865.2152671755728,False,-0.003547654731794043,0.25,815056,0.0,0.0,8,0,0,34,16,16.0,86,120,79,1405.0,13.0,104,1,79,235,5.627702066034544,26.24578661005944
3,79,0,0,0,10.0,20,10.0,8.842233009708737,32,6.34375,15.35063752276867,36,14.194444444444445,20.034581347855685,29,13.310344827586206,46.0,0,,0,0.2,46952,1,15,1.0,142.63349514563106,False,-0.0033632158964685957,17,0.42400000000000004,46469,44,0,0.0,440.0,False,-0.010448900004238905,0,0.2,81128,11,20,1.0,404.2773135621695,False,0.0005922425233272328,36,0.8930000000000002,79120,12,0,0.0,106.10679611650485,False,-0.025946047119186844,10,0.6960000000000002,119201,45,0,0.0,690.7786885245902,False,-0.01862340972571281,19,0.8670000000000002,118842,28,0,0.0,429.8178506375228,False,-0.022641637521497716,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,0,0.2,159172,115,0,0.0,2303.9768550034037,False,-0.004582158252712026,0.25,811804,0.0,0.0,11,0,0,12,15,15.0,56,68,21,708.0,121.0,53,26,21,295,2.8605392220197245,29.106325832079165
4,21,0,0,0,10.0,20,10.0,8.141542678151918,28,6.285714285714286,14.917852749956072,15,12.066666666666666,18.880938218955166,46,15.565217391304348,46.0,12,46.0,0,0.2,46962,0,20,1.0,162.83085356303837,False,-0.0029372339709737303,23,0.637,45964,55,0,0.0,550.0,False,-0.01998643550506549,0,0.2,81097,16,30,1.0,577.8002653491128,False,0.0012782674229786328,15,1.0070000000000001,78694,25,0,0.0,203.53856695379795,False,-0.03058771581067276,25,0.9360000000000002,118125,50,0,0.0,745.8926374978037,False,-0.027230256382638412,21,1.058,118079,38,0,0.0,566.8784044983307,False,-0.028342657289749485,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,12,0.32000000000000006,158224,161,0,0.0,3039.8310532517817,False,-0.008183708592803367,0.25,808065,0.0,0.0,8,0,0,8,29,29.0,24,32,27,250.0,35.0,18,3,27,300,2.2783165920409374,31.384642424120102
5,27,0,0,0,10.0,20,10.0,9.166088085647656,59,10.76271186440678,13.732484374790882,47,11.148936170212766,19.10809198041254,33,20.21212121212121,46.0,4,46.0,2,0.22000000000000003,47328,1,10,1.0,101.66088085647657,False,0.004171727362728137,37,0.9840000000000002,45245,64,0,0.0,640.0,False,-0.0342715442329702,0,0.2,81061,18,40,1.0,714.2889605332931,False,0.001674964694110036,47,1.4620000000000004,76477,72,0,0.0,659.9583421666313,False,-0.05505549603745837,9,1.0010000000000001,117797,78,0,0.0,1071.1337812336888,False,-0.028587884163552575,24,1.2770000000000001,116970,57,0,0.0,782.7516093630803,False,-0.03656055654327025,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,4,0.3480000000000001,157515,194,0,0.0,3706.9698442000326,False,-0.010514678061243472,0.25,803313,0.0,0.0,9,0,0,8,18,17.2,29,37,25,296.0,36.0,23,4,25,476,2.351455188996624,33.736097613116726
6,25,0,0,0,10.0,20,10.0,11.584512928329945,35,20.97142857142857,13.356222028990132,41,12.121951219512196,18.049803155868137,24,10.375,46.0,10,46.0,25,0.4680000000000001,47509,0,8,0.8,92.67610342663956,False,0.007912722048944918,0,0.9470000000000003,45115,77,0,0.0,770.0,False,-0.03564918824975626,0,0.2,80687,28,50,1.0,992.1774634427451,False,-0.0012168901882166005,41,1.8250000000000006,74977,87,0,0.0,1007.8526247647052,False,-0.07136972131120854,11,1.1020000000000003,117467,85,0,0.0,1135.2788724641612,False,-0.031033621177752442,13,1.3830000000000002,115993,91,0,0.0,1215.416204638102,False,-0.04280500675352744,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,10,0.44400000000000006,157096,218,0,0.0,3934.8570879792537,False,-0.012408708795435089,0.225,799764,0.0,0.0,7,0,0,12,19,18.333333333333332,25,37,28,280.0,32.0,22,3,28,200,2.2464510209974833,35.98254863411421
7,28,0,0,0,10.0,20,10.0,12.134135278217116,26,15.384615384615385,13.513641507643165,10,16.0,16.856564921186788,44,12.022727272727273,46.0,12,46.0,8,0.523,47663,1,10,1.0,131.34135278217116,False,0.011586424407424108,10,1.0470000000000002,44877,86,0,0.0,860.0,False,-0.03973973125344411,0,0.2,80684,21,60,1.0,1065.6353313011493,False,-0.0008019282787017113,10,1.8840000000000003,74481,110,0,0.0,1334.7548806038826,False,-0.07546101916412079,21,1.3010000000000002,116688,86,0,0.0,1162.1731696573122,False,-0.037318174405215586,23,1.6000000000000003,114902,100,0,0.0,1351.3641507643165,False,-0.051203200957335694,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,12,0.554,156344,262,0,0.0,4416.420009350938,False,-0.015582756921710496,0.25,796559,0.0,0.0,8,0,0,11,21,20.5,26,37,27,280.0,29.0,23,5,27,200,2.1434593059821054,38.126007940096315
8,27,0,0,0,10.0,20,10.0,11.317994679032548,19,4.368421052631579,13.964630886133433,33,16.03030303030303,16.922419424937786,28,17.392857142857142,45.99999999999999,9,46.0,0,0.5150000000000001,47563,1,20,1.0,236.35989358065098,False,0.010579881030696571,19,1.227,44533,96,0,0.0,960.0,False,-0.045970921113984146,0,0.2,81019,11,57,1.0,920.4819019789637,False,0.0024266252182460904,20,2.0740000000000003,73968,129,0,0.0,1460.0213135951988,False,-0.08100181274085771,16,1.4400000000000002,116156,95,0,0.0,1326.6399341826761,False,-0.041010384869750595,12,1.697,114104,124,0,0.0,1731.6142298805457,False,-0.056193349629025426,0,0.2,160920,0,11,0.0,505.99999999999994,False,0.000689175596975078,9,0.6320000000000001,155709,290,0,0.0,4907.501633231958,False,-0.01800082690755133,0.25,793972,0.0,0.0,11,0,0,12,17,17.0,25,37,26,287.0,42.0,24,3,26,535,2.0371967990067787,40.163204739103094
9,26,0,0,0,10.000000000000002,20,10.0,11.46495155801452,26,12.384615384615385,14.420982052440282,27,17.222222222222225,17.24266383563792,30,19.433333333333334,46.0,4,46.0,0,0.5150000000000001,47689,4,15,1.0,211.9742733702178,False,0.012991970172631671,11,1.3180000000000003,44351,103,0,0.0,1030.0000000000002,False,-0.049086516044254166,0,0.2,80978,18,56,1.0,1013.9441229809172,False,0.0024971341931850277,16,2.2140000000000004,73660,138,0,0.0,1582.1633150060036,False,-0.08403974240910651,12,1.5440000000000003,115679,106,0,0.0,1528.62409755867,False,-0.04409709765809355,18,1.8650000000000002,113342,140,0,0.0,2018.9374873416396,False,-0.0612693942152377,0,0.2,160920,0,11,0.0,506.0,False,0.000689175596975078,4,0.663,155083,320,0,0.0,5517.652427404135,False,-0.01999338010392231,0.25,791702,0.0,0.0,11,0,0,15,14,14.0,22,37,10,270.0,34.0,21,5,10,662,4.1063895910046995,44.26959433010779
