index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,10,10.0,16.0,0,,22.0,0,,34.0,0,,39.0,0,,0,0.2,51303,0,0,0.0,0.0,False,0.0,0,0.2,51203,10,0,0.0,100.0,False,-0.0009746018751340078,0,0.2,65227,0,0,0.0,0.0,False,0.0,0,0.2,65227,0,0,0.0,0.0,False,0.0,0,0.2,101139.0,0,0,0.0,0.0,False,0.0,0,0.2,101139.0,0,0,0.0,0.0,False,0.0,0,0.2,125507,0,0,0.0,0.0,False,0.0,0,0.2,125507,0,0,0.0,0.0,False,0.0,0.0,686252,0.0,0.0,2,0,0,211,0,0.0,630,841,379,0.0,0.0,0,0,379,100,27.567103900015354,27.567103900015354
1,379,0,0,0,10.0,16,10.0,16.0,0,,22.0,0,,27.923076923076923,33,19.636363636363637,39.0,0,,0,0.2,51243,0,6,0.6,96.0,False,-0.00023390445003216187,0,0.2,51103,20,0,0.0,200.0,False,-0.0019492037502680155,0,0.2,65227,0,0,0.0,0.0,False,0.0,0,0.2,65227,0,0,0.0,0.0,False,0.0,17,0.37000000000000005,100510.0,0,0,0.0,0.0,False,-0.00621916372517031,16,0.36000000000000004,100721.0,0,0,0.0,0.0,False,-0.0041329259731656435,0,0.2,125507,0,0,0.0,0.0,False,0.0,0,0.2,124859,33,0,0.0,921.4615384615385,False,-0.0014921018809248418,0.075,684397,0.0,0.0,3,0,0,23,12,12.0,363,386,222,4942.0,36.0,376,3,222,160,52.56312175304629,80.13022565306164
2,222,0,0,0,10.0,15,10.0,14.5,5,1.0,17.7,35,12.17142857142857,18.924944812362032,111,13.234234234234235,39.0,0,,0,0.2,51223,0,8,0.2,116.0,False,-0.00042882482505896344,5,0.25,50883,33,0,0.0,330.0,False,-0.00497046956318344,0,0.2,65222,0,5,0.5,88.5,False,0.0006017446762843607,35,0.55,64190,0,0,0.0,0.0,False,-0.01589832431355114,66,1.0130000000000001,95055.0,23,0,0.0,407.09999999999997,False,-0.058142259662444726,45,0.794,98000.0,12,0,0.0,212.39999999999998,False,-0.029986454285686064,0,0.2,125381,13,10,1.0,636.0242825607064,False,0.0015298918887421136,0,0.2,123516,121,0,0.0,2289.918322295806,False,-0.006740985274543274,0.2125,673470,0.0,0.0,4,0,0,14,30,30.0,112,126,76,1515.0,342.0,117,105,76,150,12.620496571995318,92.75072222505696
3,76,0,0,0,10.0,16,10.0,12.234939759036145,38,9.552631578947366,15.151304347826088,43,10.883720930232558,18.162742899850524,51,15.725490196078429,39.0,0,,0,0.2,51143,0,16,0.8,195.75903614457832,False,-0.0012108547634195233,38,0.6250000000000001,49955,41,0,0.0,410.0,False,-0.02227939886556342,0,0.2,65347,0,10,1.0,151.51304347826087,False,0.0030011578294131436,38,0.8950000000000002,62553,28,0,0.0,342.5783132530121,False,-0.03836924652940496,23,1.1770000000000003,93846.0,58,0,0.0,878.775652173913,False,-0.06776428651571646,28,1.0290000000000001,96532.0,20,0,0.0,303.02608695652174,False,-0.044053104702654146,0,0.2,125315,21,20,1.0,1161.4176008968611,False,0.003097108531384105,0,0.2,122780,154,0,0.0,2797.0624065769807,False,-0.010584818350462542,0.35,667471,0.0,0.0,4,0,0,5,32,32.0,44,49,25,558.0,125.0,41,35,25,335,4.1203578319982626,96.87108005705522
4,25,0,0,0,10.0,10,10.0,10.671514543630893,25,6.0,15.179130434782609,23,15.304347826086957,17.812948314004156,46,16.347826086956523,39.0,20,39.0,0,0.2,51173,0,15,0.0,160.0727181544634,False,-0.000973893162637035,24,0.8270000000000002,49407,51,0,0.0,510.0,False,-0.03198643354189813,0,0.2,65391,0,9,0.0,136.61217391304348,False,0.0035615019387143874,22,1.0770000000000002,61931,53,0,0.0,565.5902708124373,False,-0.046195668428622855,16,1.314,92875.0,69,0,0.0,1047.36,False,-0.07653150614500842,30,1.3010000000000002,95283.0,32,0,0.0,485.7321739130435,False,-0.05549920320591937,0,0.2,125802,31,17,1.0,1215.201397734129,False,0.007191636314046791,7,0.27,121971,180,0,0.0,3206.330696520748,False,-0.015400213946151431,0.125,663833,0.0,0.0,7,0,0,7,21,21.0,20,27,30,240.0,21.0,18,7,30,681,10.105710563017055,106.97679062007228
5,30,0,0,0,10.000000000000002,14,10.0,11.989018499954433,20,17.9,14.115075075075074,36,10.75,15.790102211097206,69,9.492753623188406,39.0,20,39.0,0,0.2,51407,0,7,0.0,83.92312949968104,False,0.0028450882940538194,12,0.9230000000000003,49136,65,0,0.0,650.0000000000001,False,-0.035904333079936845,0,0.2,65558,0,6,0.2,84.69045045045044,False,0.005723783482687106,31,1.3650000000000002,60577,71,0,0.0,851.2203134967648,False,-0.064764435636341,25,1.5480000000000003,91278.0,86,0,0.0,1213.8964564564565,False,-0.09149835149419881,44,1.7110000000000003,92587.0,51,0,0.0,719.8688288288288,False,-0.08099808763766289,0,0.2,126066,47,18,1.0,1444.1348039215686,False,0.010207139059660282,11,0.37300000000000005,121251,223,0,0.0,3521.192793074677,False,-0.01988258506268704,0.15,657860,0.0,0.0,8,0,0,13,26,26.0,17,30,26,245.0,36.0,20,10,26,940,2.7157542019849643,109.69254482205724
6,26,0,0,0,10.0,11,10.0,11.643781765879911,25,10.28,14.035848568993483,47,13.808510638297872,16.099473868637492,40,18.075,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,18,1.0910000000000002,48692,76,0,0.0,760.0,False,-0.04348673566847942,0,0.2,65648,3,10,1.0,175.2898309875746,False,0.0077980731214648425,41,1.7440000000000002,59093,83,0,0.0,966.4338865680327,False,-0.08663257633673146,28,1.8030000000000004,89787.0,109,0,0.0,1529.9074940202897,False,-0.10467817808154965,12,1.7870000000000004,91918.0,75,0,0.0,1052.6886426745111,False,-0.08596738823463498,0,0.2,126505,45,16,1.0,1348.4763240886873,False,0.013323863705166632,8,0.44200000000000006,120468,255,0,0.0,4105.36583650256,False,-0.023794028076113093,0.25,653679,0.0,0.0,9,0,0,8,24,24.0,18,26,24,174.0,39.0,16,10,24,998,2.7781332719605416,112.47067809401779
7,24,0,0,0,10.0,13,10.0,11.27692070025868,32,10.0,14.08549831542266,57,14.228070175438596,16.331706280927786,49,17.591836734693878,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,32,1.3930000000000002,47970,89,0,0.0,890.0,False,-0.056293004307740285,0,0.2,65855,0,9,0.4,126.76948483880393,False,0.010599671032231982,52,2.2230000000000008,56847,114,0,0.0,1285.5689598294896,False,-0.11861982798665058,42,2.1950000000000003,87301.0,138,0,0.0,1943.798767528327,False,-0.12721206078996072,7,1.8450000000000002,91215.0,103,0,0.0,1450.806326488534,False,-0.09095004732848591,0,0.2,126961,42,13,1.0,1192.931663798967,False,0.016337461909690112,7,0.504,119581,297,0,0.0,4850.516765435553,False,-0.027892799742502226,0.175,647298,0.0,0.0,7,0,0,13,24,24.0,15,28,20,211.0,18.0,18,6,20,847,2.9784047980210744,115.44908289203886
8,20,0,0,0,10.0,10,10.0,10.983225549281759,6,4.666666666666667,14.028192955351475,49,13.795918367346939,15.813119768704162,43,12.395348837209303,39.0,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,6,1.421,47776,99,0,0.0,990.0,False,-0.05909985770812623,0,0.2,66062,0,8,0.4,112.2255436428118,False,0.013661716341720637,44,2.6110000000000007,55291,116,0,0.0,1274.0541637166841,False,-0.14256324709310034,21,2.363000000000001,86234.0,156,0,0.0,2188.3981010348302,False,-0.1365526745319074,22,2.0580000000000007,89770.0,134,0,0.0,1879.7778560170977,False,-0.10311661250349971,0,0.2,127351,43,12,1.0,1147.964150054279,False,0.019265714860742002,9,0.5870000000000002,118982,329,0,0.0,5202.516403903669,False,-0.03126313112454421,0.175,643034,0.0,0.0,6,0,0,12,24,24.0,15,27,23,185.0,6.0,18,2,23,744,2.819993194018025,118.26907608605688
9,23,0,0,0,9.999999999999998,14,10.0,11.015377686515652,6,11.666666666666666,14.134668030656428,54,14.574074074074074,15.87638623751693,29,16.517241379310345,38.99999999999999,20,39.0,0,0.2,51568,0,0,0.0,0.0,False,0.0051653899382102415,6,1.4750000000000003,47581,113,0,0.0,1129.9999999999998,False,-0.06153636239596125,0,0.2,66250,0,5,0.2,70.67334015328214,False,0.01622543839325179,49,3.0570000000000013,53553,120,0,0.0,1321.8453223818783,False,-0.16884230976143408,14,2.4820000000000007,85489.0,169,0,0.0,2388.7588971809364,False,-0.14292825271566392,15,2.186000000000001,88748.0,175,0,0.0,2473.566905364875,False,-0.11028600784383429,0,0.2,127546,41,16,1.0,1274.931835738194,False,0.0213252322011449,14,0.7180000000000002,118312,350,0,0.0,5556.735183130926,False,-0.03519032729994773,0.15,639047,0.0,0.0,6,0,0,9,21,21.0,20,29,21,242.0,25.0,19,4,21,584,2.776023628015537,121.04509971407242
