index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,25.0,0,,32.0,0,,0,0.2,48406,0,8,0.8,168.0,False,8.249804067153405e-05,0,0.2,48366,2,10,1.0,230.0,False,-0.00010312255083941757,0,0.2,65884.0,0,0,0.0,0.0,False,0.0,0,0.2,65884.0,0,0,0.0,0.0,False,0.0,0,0.2,84137,0,0,0.0,0.0,False,0.0,0,0.2,84137,0,0,0.0,0.0,False,0.0,0.3,396814,0.0,0.0,5,0,0,144,0,0.0,451,595,262,0.0,0.0,0,0,262,200,6.943379734002519,6.943379734002519
1,262,0,0,0,10.0,20,10.0,21.0,0,,15.122641509433961,61,7.836065573770492,32.0,0,,0,0.2,48296,1,18,1.0,388.0,False,8.249804067153405e-05,0,0.2,48276,1,20,1.0,430.0,False,0.00010312255083941757,51,0.7100000000000002,63313.0,0,0,0.0,0.0,False,-0.03902313156456803,10,0.30000000000000004,65703.0,0,0,0.0,0.0,False,-0.0027472527472527475,0,0.2,84025,0,10,1.0,320.0,False,0.0005704981161676789,0,0.2,83771,51,0,0.0,771.254716981132,False,0.00023327856342123058,0.5,393384,0.0,0.0,5,0,0,54,11,11.0,214,268,114,4086.0,73.0,257,5,114,200,27.167155138973612,34.11053487297613
2,114,0,0,0,10.0,20,10.0,21.0,0,,11.619951040391676,68,6.705882352941177,32.0,0,,0,0.2,48196,1,28,1.0,598.0,False,0.0001856205915109516,0,0.2,48176,1,30,1.0,640.0,False,0.00020624510167883514,48,1.1390000000000002,60886.0,0,0,0.0,0.0,False,-0.07586060348491287,20,0.49000000000000005,65263.0,0,0,0.0,0.0,False,-0.009425657215712464,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,0,0.2,83315,119,0,0.0,1382.7741738066095,False,-0.0015523837681008588,0.3333333333333333,389861,0.0,0.0,5,0,0,32,8,8.0,42,74,21,1040.0,189.0,64,50,21,200,14.08544613601407,48.1959810089902
3,21,0,0,0,10.0,20,10.0,21.0,0,,10.936866611887154,72,9.541666666666666,32.0,7,32.0,0,0.2,48086,2,38,1.0,818.0,False,0.0001856205915109516,0,0.2,48086,0,40,1.0,840.0,False,0.0004124902033576703,38,1.471,59276.0,0,0,0.0,0.0,False,-0.10029749256268593,34,0.81,64211.0,0,0,0.0,0.0,False,-0.025393115172120697,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,7,0.27,82566,191,0,0.0,2088.9415228704465,False,-0.0062579987230918285,0.3333333333333333,386250,0.0,0.0,5,0,0,9,11,11.0,18,27,16,255.0,26.0,17,4,16,200,2.5527729999739677,50.74875400896417
4,16,0,0,0,10.0,20,10.0,18.23076923076923,20,12.0,10.459614198562903,72,9.152777777777779,32.0,12,32.0,0,0.2,48076,5,38,1.0,742.7692307692307,False,-0.000796423392636698,0,0.2,48136,0,37,0.7,674.5384615384615,False,-0.0002625658794449093,23,1.6630000000000003,58406.0,0,0,0.0,0.0,False,-0.11350251957986765,49,1.266,61931.0,20,0,0.0,364.6153846153846,False,-0.05723229172017948,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,12,0.38300000000000006,81760,263,0,0.0,2750.8785342220435,False,-0.011903927319597498,0.2833333333333333,382334,0.0,0.0,7,0,0,11,12,12.0,14,25,18,206.0,13.0,14,2,18,440,2.9475784649839625,53.69633247394813
5,18,0,0,0,10.0,20,10.0,19.595419847328245,7,31.0,10.411551725316876,21,9.857142857142858,32.0,13,32.0,0,0.2,48223,2,41,1.0,823.412213740458,False,0.003066990613171461,0,0.2,48006,3,47,1.0,950.9847328244275,False,-9.296773476445396e-05,9,1.7300000000000002,58199.0,0,0,0.0,0.0,False,-0.11664440531843846,12,1.3370000000000002,61498.0,27,0,0.0,529.0763358778626,False,-0.06255633889959729,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,13,0.5010000000000001,81404,284,0,0.0,2956.880689989993,False,-0.014910914995840243,0.3333333333333333,381355,0.0,0.0,6,0,0,13,5,5.0,15,28,12,252.0,3.0,17,1,12,417,2.9804168959963135,56.676749369944446
6,12,0,0,0,10.0,20,10.0,25.212610734757686,37,34.16216216216216,10.651243732780056,51,11.764705882352942,32.0,8,32.0,0,0.2,48443,1,41,1.0,1043.717040125065,False,0.009876222416007325,0,0.2,48850,4,30,1.0,796.3783220427306,False,0.01571977810133573,11,1.8310000000000002,57213.0,18,0,0.0,453.8269932256383,False,-0.1281659659915485,40,1.7250000000000003,59524.0,46,0,0.0,1159.7800937988536,False,-0.08773161849767128,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,8,0.5680000000000001,80731,335,0,0.0,3568.166650481319,False,-0.01927709182356562,0.3333333333333333,378786,0.0,0.0,8,0,0,7,8,8.0,13,20,17,144.0,6.0,10,2,17,1464,3.164901021984406,59.84165039192885
7,17,0,0,0,10.0,20,10.0,28.184157839175853,51,33.2156862745098,9.928721760203544,53,6.39622641509434,32.0,8,32.0,0,0.2,49113,3,25,1.0,734.6039459793964,False,0.02050699115187268,0,0.2,49674,2,15,1.0,442.7623675876378,False,0.029067796555579326,33,2.1500000000000004,55244.0,34,0,0.0,958.261366531979,False,-0.1542236251097992,20,1.8850000000000002,57965.0,81,0,0.0,2282.916784973244,False,-0.10287082762906588,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,8,0.6400000000000001,80320,388,0,0.0,3852.344042958975,False,-0.02247320416131439,0.3333333333333333,376341,0.0,0.0,10,0,0,11,7,7.0,15,26,19,213.0,14.0,16,1,19,1894,2.9932190580293536,62.834869449958205
8,19,0,0,0,10.0,20,10.0,30.580493660099815,53,36.16981132075472,10.082753289036855,33,11.393939393939394,32.0,10,32.0,0,0.2,49584,2,18,1.0,570.4488858817966,False,0.028528326587899527,21,0.41000000000000003,50275,3,10,1.0,335.80493660099813,False,0.04036015485501995,4,2.1570000000000005,53776.0,70,0,0.0,2140.634556206987,False,-0.16753206729853234,29,2.1550000000000002,56547.0,98,0,0.0,2996.888378689782,False,-0.11897510489124993,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,10,0.7320000000000002,79837,421,0,0.0,4244.8391346845165,False,-0.02588136530489243,0.3333333333333333,374044,0.0,0.0,7,0,0,13,9,9.0,13,26,21,258.0,9.0,16,3,21,1361,3.4064027100102976,66.2412721599685
9,21,0,0,0,10.000000000000002,20,10.0,31.218816104765892,39,33.82051282051282,10.100666028305596,59,10.186440677966102,32.0,12,32.0,7,0.27,50058,3,10,1.0,342.1881610476589,False,0.03595046158734125,4,0.42900000000000005,50645,2,10,1.0,332.1881610476589,False,0.047953926505049455,28,2.4330000000000007,52203.0,84,0,0.0,2622.380552800335,False,-0.18775134666383092,31,2.4360000000000004,54884.0,123,0,0.0,3839.9143808862045,False,-0.13781863289352347,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,12,0.8420000000000001,79099,480,0,0.0,4848.319693586686,False,-0.031066476736829975,0.3333333333333333,370914,0.0,0.0,6,0,0,10,12,10.723214285714285,16,26,21,233.0,15.0,16,5,21,479,2.92382364399964,69.16509580396814
10,21,0,0,0,10.000000000000002,20,10.0,31.504341682872205,30,33.2,10.22455904778261,13,13.153846153846153,32.0,11,32.0,8,0.3430000000000001,50338,0,9,0.9,283.53907514584984,False,0.041120520100089174,2,0.44500000000000006,50911,6,10,1.0,375.04341682872206,False,0.05388198053900835,1,2.415000000000001,51720.0,96,0,0.0,3024.4168015557316,False,-0.19203132170515044,12,2.525000000000001,54152.0,141,0,0.0,4442.112177284981,False,-0.144358932538363,0,0.2,84025,0,10,0.0,320.0,False,0.0005704981161676789,11,0.9400000000000002,78807,493,0,0.0,5040.707610556827,False,-0.03339370544138235,0.31666666666666665,369953,0.0,0.0,6,0,0,12,7,5.611111111111111,15,27,19,245.0,12.0,17,4,19,200,2.7341166870319284,71.89921249100007
