index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01MyA@0,spot_market_loss_01MyA@0,balance_01MyA@0,inventory_01MyA@0_input,inventory_01MyA@0_output,productivity_01MyA@0,assets_01MyA@0,bankrupt_01MyA@0,score_01MyA@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,20.0,0,,31.0,0,,49.0,0,,0,0.2,64734,0,9,0.9,180.0,False,0.0,0,0.2,64754,0,7,0.7,140.0,False,0.0,0,0.2,107341.0,0,0,0.0,0.0,False,0.0,0,0.2,107341,0,0,0.0,0.0,False,0.0,0,0.2,148523,0,0,0.0,0.0,False,0.0,0,0.2,148523,0,0,0.0,0.0,False,0.0,0.26666666666666666,641216,0.0,0.0,7,0,0,432,0,0.0,1304,1736,364,0.0,0.0,0,0,364,160,17.614165991020855,17.614165991020855
1,364,0,0,0,10.0,18,10.0,20.0,0,,19.536082474226806,52,9.615384615384615,49.0,0,,0,0.2,64654,0,17,0.8,340.0,False,0.0,0,0.2,64654,0,17,1.0,340.0,False,0.0,33,0.53,105664.0,0,0,0.0,0.0,False,-0.015623107666222599,19,0.39,106772,0,0,0.0,0.0,False,-0.005300863602910351,0,0.2,148523,0,0,0.0,0.0,False,0.0,0,0.2,148023,52,0,0.0,1015.8762886597939,False,5.344723934950283e-05,0.3,638290,0.0,0.0,7,0,0,33,9,9.0,352,385,212,5661.0,17.0,363,1,212,180,70.91475919098593,88.52892518200679
2,212,0,0,0,9.999999999999998,19,10.0,20.0,0,,16.968121968121967,57,13.035087719298245,49.0,0,,0,0.2,64544,1,27,1.0,550.0,False,-7.713192644699494e-05,0,0.2,64574,0,25,0.8,500.0,False,0.0,19,0.687,104875.0,0,0,0.0,0.0,False,-0.02297351431419495,38,0.7510000000000001,105097,0,0,0.0,0.0,False,-0.020905339059632388,0,0.2,148260,9,10,1.0,642.7130977130977,False,0.0003929125378327693,0,0.2,147543,90,0,0.0,1527.130977130977,False,-0.001457245756108614,0.4666666666666666,634893,0.0,0.0,10,0,0,11,11,11.0,17,28,13,187.0,603.0,11,201,13,190,20.672024422965478,109.20094960497227
3,13,0,0,0,9.999999999999998,18,10.0,23.70149253731343,22,31.272727272727273,13.019649567618961,91,7.384615384615385,49.0,20,49.0,0,0.2,64434,2,37,1.0,896.9552238805969,False,0.0009020981725949633,0,0.2,65192,0,10,0.7,237.0149253731343,False,0.0075050515655709004,56,1.2280000000000002,100604.0,7,0,0.0,165.910447761194,False,-0.0619897781473939,35,1.0630000000000004,103240,15,0,0.0,355.5223880597015,False,-0.03654930367678844,3,0.23,148595,22,10,1.0,776.4322904876171,False,0.0030986187004289965,7,0.27,146891,158,0,0.0,2057.104631683796,False,-0.004062991483865162,0.45,628956,0.0,0.0,19,0,0,15,17,17.0,19,34,19,188.0,0.0,13,0,19,1358,3.723743988026399,112.92469359299866
4,19,0,0,0,9.999999999999998,10,10.0,23.533417402269855,19,23.0,12.659784677063247,116,12.043103448275861,49.0,20,49.0,0,0.2,64771,2,28,1.0,678.9356872635559,False,0.0044191633288870975,0,0.2,65192,0,10,0.0,235.33417402269856,False,0.007492087606617181,44,1.612,97917.0,7,0,0.0,164.73392181588898,False,-0.08702763193087495,72,1.748,97776,34,0,0.0,800.136191677175,False,-0.08538146564836742,2,0.24700000000000003,148306,66,10,1.0,1325.5457886861743,False,0.0030013728132551815,8,0.3430000000000001,146126,220,0,0.0,2785.1526289539142,False,-0.006762748433057783,0.3333333333333333,620088,0.0,0.0,12,0,0,20,22,21.5,14,34,21,196.0,15.0,14,5,21,978,4.678069990011863,117.60276358301053
5,21,0,0,0,9.999999999999998,9,10.0,24.993119030502204,26,29.0,12.118350263130042,54,9.277777777777775,49.0,20,49.0,0,0.2,65435,1,12,1.0,309.91742836602646,False,0.011815974240759787,0,0.2,65192,0,10,0.0,249.93119030502203,False,0.007604677205240541,27,1.838,96531.0,7,0,0.0,174.9518332135154,False,-0.09989215754831096,27,1.9460000000000002,96050,60,0,0.0,1499.5871418301322,False,-0.09820298328769937,0,0.24500000000000002,148486,74,14,1.0,1582.7579194716232,False,0.005079206316434473,14,0.4750000000000001,145415,256,0,0.0,3102.2976673612907,False,-0.010482222728596675,0.3333333333333333,617109,0.0,0.0,11,0,0,14,16,16.0,21,35,19,165.0,27.0,14,7,19,1138,3.9186784109915607,121.52144199400209
6,19,0,0,0,9.999999999999998,8,10.0,26.863940737184155,29,32.51724137931034,11.94783026692007,62,11.112903225806452,49.00000000000001,20,49.0,14,0.34,65872,0,9,0.9,241.7754666346574,False,0.01803171253420538,0,0.2,65282,0,7,0.0,188.0475851602891,False,0.008515731713256527,30,2.111,94630.0,18,0,0.0,483.5509332693148,False,-0.11616460190761536,32,2.2390000000000008,94222,78,0,0.0,2095.387377500364,False,-0.11245755406834126,0,0.24500000000000002,148613,89,14,1.0,1749.3568937558862,False,0.006495145175346253,10,0.5610000000000002,144907,293,0,0.0,3500.7142682075805,False,-0.012561306100039697,0.31666666666666665,613526,0.0,0.0,12,0,0,18,15,14.933333333333334,18,36,22,179.0,19.0,15,4,22,1078,3.864331477030646,125.38577347103273
7,22,0,0,0,9.999999999999998,9,10.0,27.176100319997282,7,31.857142857142858,11.555175741935518,85,10.03529411764706,49.00000000000001,20,49.0,0,0.32600000000000007,65782,0,18,0.9,489.1698057599511,False,0.0185515380550409,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,47,2.551000000000001,91542.0,20,0,0.0,543.5220063999457,False,-0.14465338497684968,38,2.5870000000000006,92387,83,0,0.0,2255.6163265597743,False,-0.12880625144837587,0,0.24500000000000002,148831,110,14,1.0,1957.0693316129073,False,0.008662191484190677,10,0.651,144146,347,0,0.0,4009.6459824516246,False,-0.01597178220729577,0.31666666666666665,608193,0.0,0.0,11,0,0,17,21,21.0,23,40,14,255.0,6.0,20,2,14,803,4.25063503702404,129.63640850805677
8,14,0,0,0,9.999999999999998,10,10.0,27.39857995884562,14,29.0,11.357830802997922,49,9.857142857142854,49.00000000000001,20,49.0,0,0.32600000000000007,66088,0,14,1.0,383.58011942383865,False,0.02245757836159316,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,24,2.744000000000001,90390.0,20,0,0.0,547.9715991769124,False,-0.15536481121297127,25,2.7990000000000004,91147,97,0,0.0,2657.662256008025,False,-0.1384854703421432,0,0.24500000000000002,149208,109,16,1.0,2022.0035575267734,False,0.011419118781356414,12,0.7610000000000001,143420,387,0,0.0,4395.480520760196,False,-0.019561008999413643,0.3333333333333333,605758,0.0,0.0,9,0,0,14,16,16.0,15,29,14,129.0,12.0,10,4,14,898,3.047329762019217,132.683738270076
9,14,0,0,0,10.0,13,10.0,26.77996767676043,5,14.0,10.400114961173713,76,5.618421052631579,49.0,20,49.0,0,0.32600000000000007,66028,3,19,1.0,538.8193858584482,False,0.022729385612261326,0,0.2,65505,0,0,0.0,0.0,False,0.01050536838208071,57,3.290000000000001,86032.0,25,0,0.0,669.4991919190107,False,-0.19539831382268183,19,2.964000000000001,90572,97,0,0.0,2597.6568646457617,False,-0.14412173882931137,0,0.24500000000000002,149417,157,16,1.0,2416.818048904273,False,0.014155444102611383,10,0.8490000000000002,143087,405,0,0.0,4212.0465592753535,False,-0.02242061310613386,0.3333333333333333,600641,0.0,0.0,11,0,0,14,21,21.0,19,33,16,159.0,9.0,11,3,16,690,3.0558793360251,135.7396176061011
