index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Dec@3,spot_market_loss_07Dec@3,balance_07Dec@3,inventory_07Dec@3_input,inventory_07Dec@3_output,productivity_07Dec@3,assets_07Dec@3,bankrupt_07Dec@3,score_07Dec@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,28.0,0,,39.0,0,,46.0,0,,0,0.2,65245,0,8,0.8,176.0,False,0.00012246460007654038,0,0.2,65205,2,10,1.0,240.0,False,0.0,0,0.2,87281,0,0,0.0,0.0,False,0.0,0,0.2,87281.0,0,0,0.0,0.0,False,0.0,0,0.2,124842,0,0,0.0,0.0,False,0.0,0,0.2,124842,0,0,0.0,0.0,False,0.0,0,0.2,152424,0,0,0.0,0.0,False,0.0,0,0.2,152424,0,0,0.0,0.0,False,0.0,0.225,859544,0.0,0.0,8,0,0,0,0,0.0,956,956,139,0.0,0.0,0,0,139,200,7.287051833001897,7.287051833001897
1,139,0,0,0,10.0,20,10.0,22.0,0,,28.0,0,,39.0,0,,46.0,0,,0,0.2,65155,0,17,0.9,374.0,False,0.0002602372751626483,0,0.2,65095,3,20,1.0,470.0,False,7.654037504783774e-05,0,0.2,87281,0,0,0.0,0.0,False,0.0,0,0.2,87281.0,0,0,0.0,0.0,False,0.0,0,0.2,124842,0,0,0.0,0.0,False,0.0,0,0.2,124842,0,0,0.0,0.0,False,0.0,0,0.2,152424,0,0,0.0,0.0,False,0.0,0,0.2,152424,0,0,0.0,0.0,False,0.0,0.2375,859344,0.0,0.0,7,0,0,28,0,0.0,43,71,61,972.0,690.0,54,85,61,200,10.815611027996056,18.102662860997953
2,61,0,0,0,10.0,20,10.0,21.183673469387756,4,12.0,25.0,13,14.615384615384615,39.0,0,,46.0,0,,0,0.2,65035,2,27,1.0,591.9591836734694,False,9.153604036338475e-05,0,0.2,65063,1,26,1.0,560.7755102040817,False,0.0002814811343596083,0,0.2,87233,0,4,0.4,100.0,False,2.2914494563536166e-05,13,0.33000000000000007,86953.0,0,0,0.0,0.0,False,-0.003757977108419931,0,0.2,124797,0,3,0.3,117.0,False,0.0001081366847695487,0,0.2,124697,0,10,1.0,390.0,False,0.0004005062398872174,0,0.2,152424,0,0,0.0,0.0,False,0.0,0,0.2,152424,0,0,0.0,0.0,False,0.0,0.4625,858626,0.0,0.0,9,0,0,19,3,3.0,19,38,54,354.0,217.0,23,38,54,248,4.007182367960922,22.109845228958875
3,54,0,0,0,10.0,20,10.0,24.19312602291326,17,32.0,24.456521739130434,3,15.0,39.0,0,,46.0,0,,0,0.2,65419,8,20,1.0,563.8625204582652,False,0.00575478393002881,0,0.2,65023,0,31,0.5,749.986906710311,False,0.0011173892591681105,0,0.2,86689,7,14,1.0,511.74318650821886,False,-0.0038511062745143956,3,0.3470000000000001,86896.0,0,0,0.0,0.0,False,-0.004411040203480712,0,0.2,124752,0,6,0.3,234.0,False,0.0002162733695390974,0,0.2,124697,0,10,0.0,390.0,False,0.0004005062398872174,0,0.2,152424,0,0,0.0,0.0,False,0.0,0,0.2,152424,0,0,0.0,0.0,False,0.0,0.35,858324,0.0,0.0,9,0,0,19,1,1.0,13,32,37,279.0,132.0,18,36,37,744,3.451242576993536,25.56108780595241
4,37,0,0,0,10.0,20,10.0,25.723916532905296,26,28.96153846153846,23.75186289120715,4,15.0,39.0,0,,46.0,20,46.0,0,0.2,65999,6,10,1.0,317.239165329053,False,0.012745803025863409,0,0.2,64996,2,35,1.0,920.3370786516854,False,0.0020079378388954444,0,0.2,86629,2,24,1.0,621.4925424547822,False,-0.003909828356373271,4,0.38400000000000006,86127.0,21,0,0.0,540.2022471910112,False,-0.010127047999043223,0,0.2,124692,0,10,0.4,390.0,False,0.0003604556158984957,0,0.2,124697,0,10,0.0,390.0,False,0.0004005062398872174,9,0.29000000000000004,152287,0,0,0.0,0.0,False,-0.0008988085865742928,11,0.31000000000000005,152217,0,0,0.0,0.0,False,-0.001358053849787435,0.425,857644,0.0,0.0,12,0,0,15,9,9.0,11,26,36,153.0,133.0,11,26,36,953,2.7550972549943253,28.316185060946736
5,36,0,0,0,10.0,20,10.0,27.947684049215617,40,32.0,23.95204775966106,14,24.642857142857142,39.808510638297875,2,58.0,46.0,20,46.0,0,0.2,65929,3,20,1.0,588.9536809843123,False,0.013753950868613292,5,0.25,66016,5,10,1.0,329.47684049215616,False,0.013099707925695854,0,0.2,86300,9,29,1.0,946.1385414731113,False,-0.005819487967180115,9,0.4700000000000001,85190.0,44,0,0.0,1229.6980981654872,False,-0.01691262646987616,0,0.2,124678,0,17,0.9,676.7446808510639,False,0.0013967442080832478,0,0.2,124482,0,15,0.5,597.1276595744681,False,-0.0004921113904997069,11,0.39100000000000007,151976,0,2,0.2,92.0,False,-0.0026373799401669027,9,0.389,152068,0,0,0.0,0.0,False,-0.002335590195769695,0.575,856639,0.0,0.0,11,0,0,13,11,10.5,17,30,44,186.0,126.0,14,22,44,1491,3.5003969150129706,31.816581975959707
6,44,0,0,0,10.0,20,10.0,29.435039260865004,48,32.583333333333336,23.356047189784423,4,15.0,44.06690777576854,13,57.92307692307692,45.99999999999999,20,46.0,0,0.2,66285,5,16,1.0,520.9606281738401,False,0.018683204195743115,24,0.48500000000000004,66264,3,10,1.0,324.35039260865005,False,0.016856872503701808,0,0.2,85756,16,39,1.0,1381.8464685754325,False,-0.009556223756742909,4,0.5010000000000001,84094.0,75,0,0.0,2207.627944564875,False,-0.023867577453484244,0,0.2,125086,0,13,0.4,572.8698010849911,False,0.004248849750424443,0,0.2,124767,0,10,0.0,440.6690777576854,False,0.0011641477938421675,8,0.4600000000000001,151723,0,4,0.4,183.99999999999997,False,-0.003995433789954338,10,0.48000000000000004,151376,0,9,0.9,413.99999999999994,False,-0.005517503805175038,0.5875,855351,0.0,0.0,13,0,0,16,10,8.911764705882353,15,31,37,228.0,159.0,16,28,37,1429,2.974386899964884,34.79096887592459
7,37,0,0,0,10.0,20,10.0,30.102845870587714,30,33.1,28.427301487819694,58,33.1551724137931,45.177794309094295,4,59.0,45.99999999999999,20,46.0,0,0.2,66664,2,12,1.0,381.23415044705257,False,0.02341549292343696,6,0.5210000000000001,66522,6,10,1.0,361.02845870587714,False,0.021087091149681367,0,0.2,86283,19,26,1.0,1311.0639102244786,False,-0.003923741076382747,35,0.8470000000000002,83307.0,92,0,0.0,2769.4618200940695,False,-0.02966589624262978,0,0.2,123399,48,19,1.0,2222.888563288137,False,-0.0026558026814367643,0,0.2,124767,0,10,0.0,451.7779430909429,False,0.0012086394926825233,5,0.502,151727,0,2,0.2,91.99999999999999,False,-0.004270980947882223,2,0.49000000000000005,151654,0,2,0.2,91.99999999999999,False,-0.004749908150947358,0.55,854323,0.0,0.0,18,0,0,15,6,5.041666666666666,16,31,28,237.0,159.0,14,23,28,2380,2.6847389299655333,37.475707805890124
8,28,0,0,0,10.0,20,10.0,30.599631813008518,34,32.76470588235294,29.228831899217756,40,31.25,46.233065485847355,4,59.0,45.99999999999999,20,46.0,13,0.33000000000000007,67048,0,10,1.0,305.99631813008517,False,0.028717920536778296,0,0.5150000000000001,66690,8,11,1.0,416.5959499430937,False,0.024084163413265136,0,0.2,85963,31,26,1.0,1708.5382155829257,False,-0.005313079504228134,30,1.1120000000000003,82743.0,104,0,0.0,3182.361708552886,False,-0.033762435647203305,0,0.2,122385,78,25,1.0,3435.675525285169,False,-0.005920781767012872,0,0.2,124767,0,10,0.0,462.33065485847357,False,0.001250903761788765,9,0.5870000000000002,151566,0,2,0.2,91.99999999999999,False,-0.00532724505327245,7,0.558,151533,0,2,0.2,91.99999999999999,False,-0.005543746391644361,0.55,852695,0.0,0.0,15,0,0,14,9,7.743589743589743,13,27,21,183.0,110.0,11,17,21,1272,2.1507580769830383,39.62646588287316
9,21,0,0,0,10.000000000000002,20,10.0,31.442080258318256,54,34.0,28.59817246327289,25,25.4,46.752535414424564,2,59.0,46.0,20,46.0,44,0.7570000000000001,67041,0,9,0.9,282.9787223248643,False,0.028434586470148158,0,0.5150000000000001,66580,9,21,1.0,750.2836854246834,False,0.0249543336044752,0,0.2,85249,42,36,1.0,2350.1015795271906,False,-0.009818279009594321,25,1.332,81266.0,137,0,0.0,4307.564995389601,False,-0.04423892373260156,0,0.2,121868,93,33,1.0,4202.463707760389,False,-0.006990981769915638,0,0.2,124767,0,10,0.0,467.5253541442456,False,0.0012717088565717097,2,0.5980000000000001,151640,0,0,0.0,0.0,False,-0.005143546947987194,14,0.6910000000000001,151197,0,2,0.2,92.0,False,-0.007748123655067444,0.5125,849608,0.0,0.0,11,0,0,15,13,11.666666666666668,12,27,23,138.0,46.0,11,10,23,410,2.2316393809742294,41.85810526384739
