index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,37.0,0,,0,0.2,46368,0,7,0.7,126.0,False,-0.00015073861923424781,0,0.2,46308,13,0,0.0,130.0,False,-0.0013997157500323012,0,0.2,68728,0,0,0.0,0.0,False,0.0,0,0.2,68728,0,0,0.0,0.0,False,0.0,0,0.2,98139,0,0,0.0,0.0,False,0.0,0,0.2,98139,0,0,0.0,0.0,False,0.0,0.11666666666666665,426410,0.0,0.0,8,0,0,1,0,0.0,1059,1060,114,0.0,0.0,0,0,114,200,9.116470250301063,9.116470250301063
1,114,0,0,0,10.0,20,10.0,14.909090909090908,10,1.0,26.0,0,,37.0,0,,0,0.2,46258,1,17,1.0,263.45454545454544,False,-0.0010395091793946323,10,0.30000000000000004,46008,22,0,0.0,220.0,False,-0.006890908307851329,0,0.2,68728,0,0,0.0,0.0,False,0.0,0,0.2,68718,0,10,1.0,260.0,False,0.0017460132697008498,0,0.2,98139,0,0,0.0,0.0,False,0.0,0,0.2,98139,0,0,0.0,0.0,False,0.0,0.3333333333333333,425990,0.0,0.0,6,0,0,62,1,1.0,61,123,91,1559.0,98.0,108,6,91,200,15.7411122713238,24.857582521624863
2,91,0,0,0,10.0,20,10.0,12.258992805755396,20,5.7,26.0,0,,37.0,0,,0,0.2,46238,0,20,0.8,245.17985611510792,False,-0.0016669553370611556,15,0.44000000000000006,45551,35,0,0.0,350.0,False,-0.015332270984969205,0,0.2,68670,3,10,1.0,296.7769784172662,False,0.001315162513220744,0,0.2,68662,0,17,0.7,442.0,False,0.0022552671400302643,0,0.2,98139,0,0,0.0,0.0,False,0.0,0,0.2,98139,0,0,0.0,0.0,False,0.0,0.4166666666666667,425399,0.0,0.0,8,0,0,14,3,3.0,47,61,38,633.0,208.0,46,45,38,250,5.833153864368796,30.69073638599366
3,38,0,0,0,10.0,20,10.0,11.929978118161925,6,8.5,26.0,0,,37.0,20,37.0,0,0.2,46198,0,24,0.9,286.3194748358862,False,-0.0020853667811288157,1,0.43500000000000005,45420,46,0,0.0,460.0,False,-0.016968861708083895,0,0.2,68619,0,19,0.9,494.0,False,0.0020079152601559774,0,0.2,68662,0,17,0.0,442.0,False,0.0022552671400302643,10,0.30000000000000004,98003,0,0,0.0,0.0,False,-0.0013857895434027246,10,0.30000000000000004,98004,0,0,0.0,0.0,False,-0.0013755999144071164,0.3,424906,0.0,0.0,9,0,0,12,9,9.0,22,34,39,257.0,87.0,19,19,39,250,3.284960082732141,33.9756964687258
4,39,0,0,0,10.0,20,10.0,11.034573113035881,7,3.142857142857143,26.0,0,,37.0,20,37.0,0,0.2,46108,0,33,0.9,364.1409127301841,False,-0.003185527878782586,7,0.504,45169,57,0,0.0,570.0,False,-0.021189543046642837,0,0.2,68597,0,26,0.7,676.0,False,0.0030118728902339656,0,0.2,68662,0,17,0.0,442.0,False,0.0022552671400302643,10,0.39,97867,0,0,0.0,0.0,False,-0.0027715790868054493,10,0.39,97868,0,0,0.0,0.0,False,-0.002761389457809841,0.26666666666666666,424271,0.0,0.0,8,0,0,12,11,11.0,18,30,28,187.0,83.0,15,24,28,200,2.43289056699723,36.40858703572303
5,28,0,0,0,10.0,20,10.0,13.861087187800798,27,20.333333333333332,25.547169811320753,8,23.0,37.0,20,37.0,0,0.2,46548,0,23,1.0,318.80500531941834,False,0.005801337324167885,7,0.5670000000000002,44915,67,0,0.0,670.0,False,-0.025582497092898056,0,0.2,68232,17,28,1.0,950.9592369095947,False,-0.00029857382064365134,0,0.2,68662,0,17,0.0,434.3018867924528,False,0.0021992629408133526,12,0.5,97680,0,0,0.0,0.0,False,-0.004677039708984196,8,0.4600000000000001,97598,8,0,0.0,204.37735849056602,False,-0.004471324557563394,0.3333333333333333,423635,0.0,0.0,10,0,0,6,10,10.0,19,25,31,121.0,84.0,9,19,31,924,2.316180035471916,38.72476707119495
6,31,0,0,0,10.0,20,10.0,17.802474850716134,46,24.652173913043477,25.547169811320753,0,,37.0,20,37.0,19,0.39,47082,0,10,1.0,178.02474850716135,False,0.015784753310943186,4,0.6000000000000001,44734,77,0,0.0,770.0,False,-0.028403462681424695,0,0.2,67098,53,38,1.0,1914.3236199181438,False,-0.009789870068108041,0,0.2,68662,0,17,0.0,434.3018867924528,False,0.0021992629408133526,12,0.6080000000000001,97505,0,0,0.0,0.0,False,-0.006460224783215643,8,0.532,97503,8,0,0.0,204.37735849056602,False,-0.00543933931214618,0.3333333333333333,422584,0.0,0.0,9,0,0,9,11,10.5,14,23,24,133.0,109.0,9,22,24,648,2.521989207714796,41.24675627890974
7,24,0,0,0,10.0,20,10.0,17.802474850716134,0,,25.374301675977655,6,24.0,37.00000000000001,20,37.0,0,0.37100000000000005,46962,2,20,1.0,376.0494970143227,False,0.015332803921511684,0,0.5960000000000001,44654,85,0,0.0,850.0,False,-0.02926482621990611,0,0.2,67242,43,42,1.0,1831.2270889718552,False,-0.008299186001543408,0,0.2,68662,0,17,0.0,431.36312849162016,False,0.002177883311689698,11,0.7060000000000002,97357,0,0,0.0,0.0,False,-0.007968289874565666,9,0.6140000000000001,97246,14,0,0.0,355.2402234636872,False,-0.007289455652372233,0.3333333333333333,422123,0.0,0.0,9,0,0,14,8,8.0,17,31,21,191.0,54.0,16,8,21,344,2.5364640206098557,43.7832202995196
8,21,0,0,0,10.0,20,10.0,19.338923913675018,32,24.78125,32.40053733348259,41,40.68292682926829,37.00000000000001,20,37.0,9,0.4610000000000001,47466,0,10,1.0,193.38923913675018,False,0.024219273430560698,3,0.6260000000000001,44477,97,0,0.0,970.0,False,-0.03178431456996425,0,0.2,67301,65,27,1.0,2131.844562392906,False,-0.005253720736869146,0,0.2,69478,0,1,0.0,32.40053733348259,False,0.011148298636170704,5,0.7450000000000001,97216,0,7,0.7,259.00000000000006,False,-0.008085470608015162,15,0.7550000000000001,95399,48,0,0.0,1555.2257920071643,False,-0.019995996535489603,0.45,421337,0.0,0.0,14,0,0,10,11,10.642857142857142,16,26,17,144.0,43.0,11,10,17,2258,2.3496474465355277,46.132867746055126
9,17,0,0,0,10.000000000000002,20,10.0,20.024154999414506,15,26.0,36.233780239711756,42,43.57142857142857,37.00000000000001,20,37.0,5,0.5020000000000001,47626,2,10,1.0,220.24154999414506,False,0.027953847603192878,0,0.623,44397,105,0,0.0,1050.0000000000002,False,-0.03264567810844567,14,0.34,68220,70,10,1.0,1764.028652356133,False,0.005441949804709308,0,0.2,69529,0,0,0.0,0.0,False,0.011654638575253172,0,0.7400000000000002,97401,0,2,0.0,74.00000000000001,False,-0.007142929925921397,15,0.8900000000000001,93294,90,0,0.0,3261.040221574058,False,-0.0327543574849242,0.3333333333333333,420467,0.0,0.0,10,0,0,10,9,7.402298850574713,17,27,18,129.0,15.0,12,5,18,436,2.248804031871259,48.381671777926385
