index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,14,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,76448,0,8,0.8,168.0,False,5.226845076311938e-05,0,0.2,76468,6,0,0.0,60.0,False,-0.0003920133807233954,0,0.2,114581,0,0,0.0,0.0,False,0.0,0,0.2,114581,0,0,0.0,0.0,False,0.0,0,0.2,156246,0,0,0.0,0.0,False,0.0,0,0.2,156246,0,0,0.0,0.0,False,0.0,0.13333333333333333,694570,0.0,0.0,4,0,0,150,0,0.0,462,612,114,0.0,0.0,0,0,114,140,28.368179814016912,28.368179814016912
1,114,0,0,0,10.0,13,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,76418,0,11,0.3,231.0,False,7.186911979928915e-05,0,0.2,76368,16,0,0.0,160.0,False,-0.0010453690152623877,0,0.2,114581,0,0,0.0,0.0,False,0.0,0,0.2,114581,0,0,0.0,0.0,False,0.0,0,0.2,156246,0,0,0.0,0.0,False,0.0,0,0.2,156246,0,0,0.0,0.0,False,0.0,0.049999999999999996,694440,0.0,0.0,4,0,0,23,0,0.0,104,127,103,1759.0,0.0,114,0,103,130,8.496393927023746,36.86457374104066
2,103,0,0,0,10.0,20,10.0,21.016666666666666,15,21.066666666666666,22.014705882352942,23,6.391304347826087,40.0,0,,0,0.2,76574,0,13,1.0,273.21666666666664,False,0.002386163669942207,7,0.27,76135,26,0,0.0,260.0,False,-0.0034366506376750992,7,0.27,114163,9,0,0.0,189.14999999999998,False,-0.002822675661758956,16,0.36000000000000004,113859,6,0,0.0,126.1,False,-0.0057509534739616265,0,0.2,156152,6,10,1.0,532.0882352941177,False,0.0011011105413709697,0,0.2,156193,0,7,0.7,280.0,False,0.0005568142544449138,0.45,693076,0.0,0.0,6,0,0,9,10,10.0,56,65,5,723.0,150.0,53,50,5,456,3.5180371399619617,40.38261088100262
3,5,0,0,0,10.0,6,10.0,16.844047619047622,30,9.333333333333334,14.27676950998185,49,4.612244897959184,40.0,20,40.0,0,0.2,76574,0,13,0.0,218.97261904761908,False,0.002031757128421109,30,0.5630000000000001,75210,32,0,0.0,320.0,False,-0.015131716495923061,10,0.36300000000000004,113909,13,0,0.0,218.97261904761908,False,-0.004909310361021368,39,0.7340000000000002,111267,32,0,0.0,539.0095238095239,False,-0.026570681335432847,0,0.2,156543,0,9,0.9,360.0,False,0.003052878153680734,3,0.23,156228,36,10,1.0,913.9637023593466,False,0.002809555772177698,0.31666666666666665,689731,0.0,0.0,6,0,0,10,21,20.4,5,15,13,36.0,18.0,3,2,13,620,0.883710355963558,41.26632123696618
4,13,0,0,0,10.0,10,10.0,14.971724890829696,16,6.125,13.609414331263634,20,10.3,40.0,20,40.0,0,0.2,76574,0,13,0.0,194.63242358078605,False,0.00187272908988082,16,0.6930000000000001,74778,42,0,0.0,420.0,False,-0.020123353543800963,10,0.45300000000000007,113571,29,0,0.0,434.18002183406117,False,-0.006920082640952405,10,0.7950000000000002,110918,32,0,0.0,479.0951965065503,False,-0.02987801120383588,0,0.2,156863,0,1,0.0,40.0,False,0.00407690436875184,2,0.24700000000000003,156406,46,10,1.0,1026.0330592381272,False,0.0043074160594130636,0.16666666666666666,689110,0.0,0.0,9,0,0,12,8,7.4,8,20,7,117.0,30.0,9,4,7,700,1.0032445160322823,42.26956575299846
5,7,0,0,0,10.0,10,10.0,11.549106295476117,44,5.136363636363637,13.608611485391686,10,13.6,40.0,20,40.0,0,0.2,76574,0,13,0.0,150.13838184118953,False,0.0015820247611409224,44,1.1170000000000002,72999,52,0,0.0,520.0,False,-0.04271639138615931,8,0.523,113353,59,0,0.0,681.3972714330909,False,-0.007743878690912593,2,0.8050000000000002,110665,46,0,0.0,531.2588895919014,False,-0.031858428144317545,7,0.27,156815,0,2,0.2,80.0,False,0.0038976997811143964,2,0.265,156662,44,10,1.0,998.7789053572342,False,0.005858642478390596,0.19999999999999998,687068,0.0,0.0,7,0,0,11,12,12.0,7,18,10,65.0,20.0,5,2,10,540,0.8531214409740642,43.122687193972524
6,10,0,0,0,10.0,9,10.0,14.06955946665036,17,30.941176470588236,12.090136958596801,25,5.68,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,4,1.1130000000000002,72811,61,0,0.0,610.0,False,-0.04458498850094083,4,0.5550000000000002,113269,61,0,0.0,858.2431274656719,False,-0.007705277805806876,21,1.0130000000000003,109244,61,0,0.0,858.2431274656719,False,-0.04283326586665466,7,0.3330000000000001,156744,8,10,1.0,496.7210956687744,False,0.0047768297929828354,1,0.273,156987,41,10,1.0,895.6956153024689,False,0.00760882075477926,0.3333333333333333,686149,0.0,0.0,7,0,0,9,11,9.75,8,17,9,92.0,19.0,6,4,9,890,0.8645389899611473,43.98722618393367
7,9,0,0,0,10.0,9,10.0,13.642984067329225,5,3.6,11.438245804783902,31,8.96774193548387,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,5,1.1590000000000003,72610,70,0,0.0,700.0,False,-0.046623458080702486,5,0.601,113157,65,0,0.0,886.7939643763997,False,-0.008558164248974912,26,1.2520000000000002,108188,62,0,0.0,845.865012174412,False,-0.052103468235682994,0,0.32600000000000007,156956,19,11,1.0,657.3266702908941,False,0.006647615523888299,1,0.28200000000000003,157249,41,10,1.0,868.96807799614,False,0.009200133373002073,0.3333333333333333,685254,0.0,0.0,8,0,0,11,7,6.166666666666667,6,17,10,86.0,24.0,5,4,10,650,0.8758534070220776,44.86307959095575
8,10,0,0,0,10.0,10,10.0,13.209832420462066,4,1.25,10.530389195691937,27,6.037037037037037,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,4,1.1940000000000002,72412,80,0,0.0,800.0,False,-0.048557390758937904,7,0.6660000000000001,112994,69,0,0.0,911.4784370118825,False,-0.009873022416404609,20,1.4260000000000004,107346,62,0,0.0,819.009610068648,False,-0.059569171110094014,0,0.32600000000000007,157294,20,12,1.0,690.6077839138387,False,0.008917373193278053,1,0.29100000000000004,157500,47,10,1.0,894.928292197521,False,0.010889649310054416,0.3333333333333333,684640,0.0,0.0,8,0,0,11,9,8.25,9,20,4,130.0,6.0,8,2,4,740,0.8875751240411773,45.75065471499693
9,4,0,0,0,10.0,8,10.0,12.796480515450305,7,6.714285714285714,9.64873055753784,30,5.4,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,7,1.2600000000000002,72183,88,0,0.0,880.0,False,-0.0510270750574953,0,0.659,112980,72,0,0.0,921.3465971124219,False,-0.009952144783548651,30,1.7060000000000004,105856,66,0,0.0,844.5677140197201,False,-0.07246154373753193,0,0.32600000000000007,157666,23,10,1.0,621.9208028233703,False,0.011078430176847356,0,0.29000000000000004,157766,54,12,1.0,1001.0314501070434,False,0.012931631690113838,0.3333333333333333,683545,0.0,0.0,9,0,0,10,11,11.0,4,14,6,34.0,6.0,2,2,6,880,0.7372571940068156,46.48791190900374
10,6,0,0,0,10.0,13,10.0,13.046649106600851,5,18.0,10.078733381433088,31,12.258064516129032,40.0,20,40.0,0,0.2,77094,0,0,0.0,0.0,False,0.007395985782981392,5,1.3030000000000002,72018,101,0,0.0,1010.0,False,-0.05233378632657328,23,0.889,112213,72,0,0.0,939.3587356752613,False,-0.016567499255220088,8,1.7560000000000004,105460,71,0,0.0,926.3120865686604,False,-0.07556090413520282,0,0.32600000000000007,157946,18,11,1.0,621.4172008657956,False,0.012868864485701414,0,0.29000000000000004,157906,70,11,1.0,1145.5113367003162,False,0.014290002101494734,0.3333333333333333,682637,0.0,0.0,10,0,0,12,9,9.0,5,17,9,73.0,3.0,5,1,9,930,0.8468904820038006,47.33480239100754
