index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,23.0,0,,31.0,0,,0,0.2,53418,1,10,1.0,170.0,False,-0.0004670452847108056,0,0.2,53438,9,0,0.0,90.0,False,-0.00084068151247945,0,0.2,84821,0,0,0.0,0.0,False,0.0,0,0.2,84821,0,0,0.0,0.0,False,0.0,0,0.2,104792,0,0,0.0,0.0,False,0.0,0,0.2,104792,0,0,0.0,0.0,False,0.0,0.16666666666666666,486082,0.0,0.0,9,0,0,289,0,0.0,886,1175,146,0.0,0.0,0,0,146,200,4.354341841011774,4.354341841011774
1,146,0,0,0,10.0,20,10.0,16.0,0,,20.725490196078432,6,3.6666666666666665,31.0,0,,0,0.2,53338,0,19,0.9,304.0,False,-0.0007099088327604244,0,0.2,53318,21,0,0.0,210.0,False,-0.001961590195785383,1,0.21000000000000002,84805,0,0,0.0,0.0,False,-0.00018863253203805662,5,0.25,84691,0,0,0.0,0.0,False,-0.00153263932280921,0,0.2,104792,0,0,0.0,0.0,False,0.0,0,0.2,104770,0,6,0.6,186.0,False,0.00067753263607909,0.25,485714,0.0,0.0,10,0,0,22,2,2.0,138,160,140,2210.0,61.0,142,4,140,200,12.993883859948255,17.34822570096003
2,140,0,0,0,10.0,20,10.0,11.792207792207792,32,5.875,15.61454046639232,27,6.925925925925926,31.0,0,,0,0.2,53268,0,26,0.7,306.5974025974026,False,-0.001993373537238462,32,0.52,52402,34,0,0.0,340.0,False,-0.017859811687341205,10,0.30900000000000005,84638,12,0,0.0,141.5064935064935,False,-0.0013233368298741616,17,0.41500000000000004,84021,20,0,0.0,235.84415584415584,False,-0.008041380343050922,0,0.2,104605,17,10,1.0,575.4471879286695,False,0.0009611763680846702,0,0.2,104770,0,6,0.0,186.0,False,0.00067753263607909,0.2833333333333333,483704,0.0,0.0,10,0,0,11,13,13.0,81,92,13,1026.0,238.0,74,66,13,200,5.5609340950031765,22.909159795963205
3,13,0,0,0,10.0,20,10.0,10.429418742586003,15,4.133333333333334,13.777338094778496,38,10.605263157894736,31.0,12,31.0,0,0.2,53168,0,36,1.0,375.45907473309614,False,-0.0032183242907161216,15,0.6380000000000001,52015,44,0,0.0,440.0,False,-0.024155582125242863,34,0.639,83603,12,0,0.0,125.15302491103205,False,-0.013621903626984847,4,0.43800000000000006,83848,35,0,0.0,365.0296559905101,False,-0.009319451220862104,2,0.22000000000000003,104500,45,10,1.0,929.9802142650324,False,0.0016507949760717882,0,0.2,104770,0,6,0.0,186.0,False,0.00067753263607909,0.3333333333333333,481904,0.0,0.0,13,0,0,15,12,12.0,13,28,6,182.0,19.0,11,2,6,510,1.2116358680068515,24.120795663970057
4,6,0,0,0,10.0,20,10.0,8.37989491424606,25,2.16,12.778689681785242,13,5.615384615384615,30.999999999999996,8,31.0,0,0.2,53078,0,45,0.9,377.0952711410727,False,-0.0048844037593308255,25,0.8730000000000002,51291,55,0,0.0,550.0,False,-0.03665371394410402,5,0.655,83483,36,0,0.0,301.6762169128582,False,-0.013996084596309502,8,0.514,83608,36,0,0.0,301.6762169128582,False,-0.012522392939762185,0,0.21800000000000003,104675,48,12,1.0,985.3771047256917,False,0.003585088101790636,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.31666666666666665,480905,0.0,0.0,13,0,0,11,8,8.0,12,23,5,53.0,3.0,5,1,5,448,0.9255873519578017,25.04638301592786
5,5,0,0,0,10.0,20,10.0,7.829826351543901,18,5.055555555555555,10.597823128804242,26,2.576923076923077,30.999999999999996,9,31.0,0,0.2,52988,0,54,0.9,422.81062298337065,False,-0.006138743993953027,18,1.0280000000000002,50858,66,0,0.0,660.0,False,-0.0437154386489314,1,0.6600000000000001,83378,53,0,0.0,414.98079663182676,False,-0.014566081532687465,25,0.7560000000000002,82711,37,0,0.0,289.70357500712436,False,-0.02316818019707901,0,0.21800000000000003,104887,64,13,1.0,1081.2606802434714,False,0.006065638026965132,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.31666666666666665,479592,0.0,0.0,15,0,0,11,8,8.0,12,23,8,21.0,21.0,2,3,8,479,0.9633971650036983,26.009780180931557
6,8,0,0,0,10.0,20,10.0,10.612348800252574,63,14.936507936507937,10.431730613990304,12,8.916666666666666,30.999999999999996,11,31.0,0,0.2,53680,1,34,1.0,370.8198592085875,False,0.006303428665451565,33,1.34,49924,75,0,0.0,750.0,False,-0.06032356897324764,8,0.7390000000000001,82845,88,0,0.0,933.8866944222266,False,-0.017791073587777647,4,0.7710000000000001,82067,65,0,0.0,689.8026720164173,False,-0.028402148807392006,0,0.21800000000000003,105121,66,12,1.0,1060.49422052336,False,0.008199548727590692,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.3333333333333333,478407,0.0,0.0,19,0,0,13,10,10.0,12,25,5,88.0,6.0,6,2,5,1343,1.0175732059869915,27.02735338691855
7,5,0,0,0,10.0,20,10.0,13.62313032205574,69,19.942028985507246,9.495250852615674,27,5.703703703703703,30.999999999999996,9,31.0,11,0.31000000000000005,54663,2,10,1.0,156.2313032205574,False,0.022663197795738273,24,1.5470000000000002,49328,84,0,0.0,840.0,False,-0.0706172470482738,7,0.8010000000000002,82490,98,0,0.0,1335.0667715614625,False,-0.019611494962559657,20,0.9670000000000001,80278,124,0,0.0,1689.2681599349119,False,-0.04360200799368728,0,0.21800000000000003,105246,83,13,1.0,1191.105820767101,False,0.010015582395445677,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.3333333333333333,476775,0.0,0.0,17,0,0,11,11,10.166666666666668,12,23,7,37.0,15.0,3,2,7,1157,0.951573055004701,27.97892644192325
8,7,0,0,0,10.0,20,10.0,14.167797564168932,19,19.68421052631579,9.106923498844617,6,1.1666666666666667,30.999999999999993,9,31.0,2,0.31900000000000006,54885,2,10,1.0,161.67797564168933,False,0.026861436777403363,7,1.5930000000000004,49104,94,0,0.0,940.0,False,-0.073867882229861,0,0.794,82478,104,0,0.0,1473.450946673569,False,-0.018937226944544534,6,1.0070000000000001,79746,137,0,0.0,1940.9882662911436,False,-0.04839020840186301,0,0.21800000000000003,105518,79,14,1.0,1153.4469564087246,False,0.012431516510844023,0,0.2,104770,0,6,0.0,185.99999999999994,False,0.00067753263607909,0.3333333333333333,476501,0.0,0.0,13,0,0,9,6,5.166666666666667,13,22,10,52.0,31.0,4,3,10,479,1.0805173139669932,29.059443755890243
9,10,0,0,0,10.000000000000002,20,10.0,16.87736922592969,62,25.193548387096776,9.257387902488142,10,11.0,30.999999999999996,11,31.0,43,0.7470000000000001,54990,0,9,0.9,151.89632303336722,False,0.02873165747864072,9,1.6760000000000002,48814,107,0,0.0,1070.0000000000002,False,-0.07807128979225826,10,0.8940000000000001,82284,104,0,0.0,1755.246399496688,False,-0.019563277964792434,0,1.0010000000000001,78184,199,0,0.0,3358.5964759600083,False,-0.05844898977871036,0,0.21800000000000003,105749,79,13,1.0,1134.3336442965633,False,0.014544686828653746,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.31666666666666665,474791,0.0,0.0,15,0,0,11,8,7.285714285714286,12,23,7,90.0,19.0,7,3,7,541,1.0527544830110855,30.11219823890133
10,7,0,0,0,10.000000000000002,20,10.0,16.63713145614471,4,3.0,8.613697507954418,21,5.142857142857143,30.999999999999993,12,31.0,0,0.7040000000000002,54900,0,18,0.9,299.4683662106048,False,0.028428750992103298,4,1.7070000000000005,48640,118,0,0.0,1180.0000000000002,False,-0.08029442534748168,6,0.9440000000000002,82170,108,0,0.0,1796.8101972636289,False,-0.020662275867629268,15,1.1510000000000002,77725,199,0,0.0,3310.7891597727976,False,-0.06414219851350018,0,0.21800000000000003,106013,90,11,1.0,1116.2327757158976,False,0.016977597410660676,0,0.2,104770,0,6,0.0,185.99999999999994,False,0.00067753263607909,0.31666666666666665,474218,0.0,0.0,17,0,0,9,5,5.0,16,25,5,86.0,0.0,7,0,5,572,0.979067476990167,31.091265715891495
11,5,0,0,0,10.000000000000002,20,10.0,15.036268367838854,25,1.72,7.304117442244956,27,1.4444444444444444,30.999999999999993,6,31.0,0,0.7040000000000002,54790,1,28,1.0,431.0155142994879,False,0.027602521244017072,25,1.9530000000000005,47919,127,0,0.0,1270.0000000000002,False,-0.09292332984606187,0,0.9380000000000002,82147,131,0,0.0,1969.7511561868898,False,-0.019913988539472013,27,1.406,76667,201,0,0.0,3022.2899419356095,False,-0.07831616025550514,0,0.21800000000000003,106160,107,15,1.0,1246.54056632021,False,0.019002121184442566,0,0.2,104770,0,6,0.0,185.99999999999994,False,0.00067753263607909,0.3333333333333333,472453,0.0,0.0,13,0,0,10,11,11.0,13,23,4,66.0,0.0,5,0,4,386,0.9158954690210521,32.00716118491255
12,4,0,0,0,10.000000000000002,20,10.0,13.05196722444327,39,2.3846153846153846,7.164204867834317,22,6.318181818181818,30.999999999999996,14,31.0,0,0.7040000000000002,54720,2,33,1.0,450.71491840662793,False,0.026478804722823775,34,2.2680000000000007,46843,136,0,0.0,1360.0000000000002,False,-0.11218427738753549,10,1.0380000000000003,81871,161,0,0.0,2101.3667231353666,False,-0.02239205666559357,12,1.4989999999999999,76299,210,0,0.0,2740.913117133087,False,-0.08431335920860943,0,0.21800000000000003,106455,119,11,1.0,1193.5403792722836,False,0.02156433878193125,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.3333333333333333,470958,0.0,0.0,16,0,0,9,11,11.0,11,20,11,25.0,17.0,2,2,11,674,0.9156865919940174,32.922847776906565
13,11,0,0,0,10.000000000000002,20,10.0,12.732079365220729,9,4.777777777777778,7.407120506700667,15,9.666666666666666,30.999999999999996,9,31.0,0,0.7040000000000002,54620,2,43,1.0,567.4794127044913,False,0.025701309713649752,9,2.3240000000000003,46587,146,0,0.0,1460.0000000000002,False,-0.11603273053355254,11,1.1380000000000003,81649,166,0,0.0,2113.525174626641,False,-0.024937661813544735,4,1.5270000000000001,76173,214,0,0.0,2724.664984157236,False,-0.08589461935041293,0,0.21800000000000003,106589,124,12,1.0,1290.4829428308826,False,0.023305609888306777,0,0.2,104770,0,6,0.0,185.99999999999997,False,0.00067753263607909,0.3333333333333333,470388,0.0,0.0,12,0,0,12,7,7.0,15,27,9,113.0,31.0,8,3,9,479,1.0596863209502771,33.98253409785684
14,9,0,0,0,10.000000000000002,20,10.0,14.444065743842208,48,21.916666666666668,7.307566284024286,6,5.0,30.999999999999993,11,31.0,0,0.7040000000000002,55448,2,16,1.0,251.10505190147532,False,0.03821462647494286,11,2.4250000000000007,46374,156,0,0.0,1560.0000000000002,False,-0.11907786578986698,0,1.1270000000000002,81217,186,0,0.0,2686.5962283546505,False,-0.02665262005662136,6,1.583,75407,242,0,0.0,3495.4639100098143,False,-0.09038172203811658,0,0.21800000000000003,106900,120,11,1.0,1217.9079540829143,False,0.025927112537612183,0,0.2,104770,0,6,0.0,185.99999999999994,False,0.00067753263607909,0.3333333333333333,470116,0.0,0.0,18,0,0,11,5,5.0,11,22,14,78.0,33.0,6,3,14,1469,1.0639308040263131,35.046464901883155
15,14,0,0,0,10.000000000000002,20,10.0,15.230992780469531,20,24.35,7.570248543013074,10,11.0,31.0,10,31.0,0,0.7040000000000002,55798,5,10,1.0,202.30992780469532,False,0.04429746980836853,4,2.454000000000001,46232,163,0,0.0,1630.0000000000002,False,-0.12107681960842924,10,1.227,81016,190,0,0.0,2893.888628289211,False,-0.027800375919352402,0,1.5770000000000002,74927,258,0,0.0,3929.596137361139,False,-0.09348158983411457,0,0.21800000000000003,107100,120,11,1.0,1249.4298251615687,False,0.027986057261821295,0,0.2,104770,0,6,0.0,186.0,False,0.00067753263607909,0.3333333333333333,469843,0.0,0.0,16,0,0,13,4,4.0,17,30,9,161.0,20.0,11,3,9,990,1.13949611998396,36.185961021867115
16,9,0,0,0,10.000000000000002,20,10.0,15.786803352392663,56,18.035714285714285,7.560118572523883,13,7.461538461538462,31.0,10,31.0,22,0.9240000000000002,56064,5,10,1.0,207.86803352392664,False,0.04931874937905333,24,2.690000000000001,45645,173,0,0.0,1730.0000000000002,False,-0.13110895232401734,8,1.2970000000000002,80466,223,0,0.0,3520.457147583564,False,-0.03059114401160344,5,1.6270000000000002,74184,281,0,0.0,4436.091742022339,False,-0.0992555396539634,0,0.21800000000000003,107313,123,11,1.0,1270.8945844204377,False,0.030121071190646366,0,0.2,104770,0,6,0.0,186.0,False,0.00067753263607909,0.3333333333333333,468442,0.0,0.0,13,0,0,12,9,8.375,14,26,11,70.0,19.0,6,3,11,510,1.0133639259729534,37.19932494784007
17,11,0,0,0,10.000000000000002,20,10.0,15.49617123189628,22,12.136363636363637,6.922474672279252,25,3.72,31.0,13,31.0,0,0.9020000000000001,56134,4,15,1.0,272.44256847844423,False,0.0512296608175016,17,2.8360000000000007,45247,184,0,0.0,1840.0000000000002,False,-0.1375168136302496,5,1.3390000000000002,80373,232,0,0.0,3595.111725799937,False,-0.03124749928791253,20,1.8220000000000005,73235,294,0,0.0,4555.874342177506,False,-0.10973771623667783,2,0.23800000000000002,107549,138,10,1.0,1265.3015047745366,False,0.032346464924681954,0,0.2,104770,0,6,0.0,186.0,False,0.00067753263607909,0.3333333333333333,467308,0.0,0.0,15,0,0,11,11,10.666666666666666,14,25,10,108.0,22.0,7,4,10,670,1.0133915049955249,38.21271645283559
18,10,0,0,0,10.000000000000002,20,10.0,15.298364713519144,4,3.0,6.8210219191650845,7,4.857142857142857,31.0,10,31.0,0,0.9020000000000001,55994,8,25,1.0,462.45911783797857,False,0.05038913389102879,4,2.859000000000001,45123,190,0,0.0,1900.0000000000002,False,-0.13927290390076222,1,1.3440000000000003,80345,236,0,0.0,3610.414072390518,False,-0.03148740245699456,6,1.8620000000000005,73081,294,0,0.0,4497.719225774628,False,-0.11189611519685788,0,0.23600000000000002,107825,135,10,1.0,1230.8379590872864,False,0.03481581589762233,0,0.2,104770,0,6,0.0,186.0,False,0.00067753263607909,0.3333333333333333,467138,0.0,0.0,13,0,0,12,4,4.0,12,24,13,64.0,44.0,5,5,13,510,0.9524906189762987,39.16520707181189
19,13,0,0,0,10.000000000000002,20,10.0,14.177277032381706,28,5.071428571428571,6.913532083262718,10,8.1,31.000000000000004,11,31.0,0,0.9020000000000001,55997,8,28,1.0,476.96375690668776,False,0.050580665790863504,21,3.0650000000000013,44546,200,0,0.0,2000.0000000000005,False,-0.149118218502466,5,1.3930000000000002,80201,256,0,0.0,3629.382920289717,False,-0.03307327831380376,5,1.9060000000000001,72876,302,0,0.0,4281.537663779275,False,-0.11558730937044318,1,0.24600000000000002,108048,135,10,1.0,1243.3268312404668,False,0.037003429800177824,0,0.2,104770,0,6,0.0,186.00000000000003,False,0.00067753263607909,0.3333333333333333,466438,0.0,0.0,15,0,0,14,8,7.333333333333333,14,28,7,116.0,35.0,9,4,7,551,2.231525901996065,41.39673297380796
20,7,0,0,0,10.000000000000002,20,10.0,14.492603612623416,66,15.590909090909092,6.760495250898643,4,2.0,31.000000000000004,11,31.0,5,0.9520000000000002,56687,8,10,1.0,224.92603612623418,False,0.061116855067686326,33,3.374000000000001,43622,210,0,0.0,2100.0000000000005,False,-0.16544612165595576,0,1.3880000000000003,79652,295,0,0.0,4275.318065723907,False,-0.03573809513137136,4,1.9410000000000003,72292,329,0,0.0,4768.066588553103,False,-0.11960442232139974,1,0.255,108344,129,10,1.0,1182.103887365925,False,0.039535956405860787,0,0.2,104770,0,6,0.0,186.00000000000003,False,0.00067753263607909,0.3333333333333333,465367,0.0,0.0,17,0,0,12,8,6.7631578947368425,11,23,7,65.0,11.0,5,2,7,889,0.95921147800982,42.35594445181778
21,7,0,0,0,10.000000000000002,20,10.0,15.654838457793197,42,23.023809523809526,7.130610225022997,17,9.647058823529411,31.000000000000004,9,31.0,23,1.1770000000000003,56956,9,10,1.0,246.54838457793198,False,0.06634423464894951,9,3.431000000000001,43413,219,0,0.0,2190.0000000000005,False,-0.16850993872365866,9,1.4780000000000004,79158,311,0,0.0,4868.654760373684,False,-0.03806454321233128,8,2.0170000000000003,71471,355,0,0.0,5557.467652516585,False,-0.1246302940750723,0,0.254,108459,136,11,1.0,1310.7629906031275,False,0.04124724688241057,0,0.2,104770,0,6,0.0,186.00000000000003,False,0.00067753263607909,0.3333333333333333,464227,0.0,0.0,13,0,0,13,9,8.285714285714285,12,25,6,78.0,21.0,5,2,6,479,0.9733460540301166,43.329290505847894
22,6,0,0,0,10.000000000000002,20,10.0,15.926727219020215,6,28.5,7.171745965494078,18,7.444444444444445,31.000000000000007,9,31.0,0,1.1540000000000004,56996,11,15,1.0,348.9009082853032,False,0.06804757237600229,1,3.432000000000001,43325,227,0,0.0,2270.0000000000005,False,-0.16940666567030338,8,1.5490000000000004,79030,311,0,0.0,4953.212165115287,False,-0.03907515730116784,10,2.1090000000000004,71030,361,0,0.0,5749.548526066297,False,-0.1286972063164411,0,0.254,108604,144,12,1.0,1404.7314190311472,False,0.0430792971745513,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,463755,0.0,0.0,14,0,0,11,4,4.0,14,25,7,96.0,0.0,6,0,7,639,0.9558414460043423,44.285131951852236
23,7,0,0,0,10.000000000000002,20,10.0,16.91344888705004,20,29.5,7.295645681742104,26,7.884615384615385,31.000000000000004,11,31.0,4,1.1940000000000002,57399,12,10,1.0,289.13448887050043,False,0.07501806987810591,1,3.4410000000000003,43217,236,0,0.0,2360.0000000000005,False,-0.17058361978777462,6,1.6010000000000002,78928,312,0,0.0,5276.996052759613,False,-0.038369059237926856,20,2.299000000000001,69871,380,0,0.0,6427.1105770790155,False,-0.1383672051904658,0,0.254,108740,160,11,1.0,1508.3033090787367,False,0.04487128458793961,0,0.2,104770,0,6,0.0,186.00000000000003,False,0.00067753263607909,0.3333333333333333,462925,0.0,0.0,17,0,0,13,7,6.2105263157894735,11,24,9,73.0,14.0,6,1,9,541,0.981167635996826,45.26629958784906
24,9,0,0,0,10.000000000000002,20,10.0,16.491774074422022,11,7.0,7.279063650546483,8,7.0,31.000000000000007,8,31.0,0,1.1900000000000002,57394,10,11,1.0,281.40951481864226,False,0.07485250256705506,2,3.460000000000001,43061,248,0,0.0,2480.0000000000005,False,-0.1723770736810641,4,1.6350000000000002,78787,323,0,0.0,5326.843026038313,False,-0.03973754715201237,4,2.3190000000000004,69767,380,0,0.0,6266.874148280368,False,-0.14053787300149514,0,0.254,108932,158,13,1.0,1553.0920567863445,False,0.04691718860593533,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,462711,0.0,0.0,15,0,0,14,3,3.0,12,26,7,106.0,15.0,8,1,7,523,1.0280341579928063,46.29433374584187
25,7,0,0,0,10.000000000000002,20,10.0,16.491774074422022,0,,7.582365153848032,19,9.631578947368421,31.000000000000007,8,31.0,0,1.1900000000000004,57324,7,21,1.0,416.32725556286243,False,0.07480502966263325,0,3.458,42931,261,0,0.0,2610.0000000000005,False,-0.17359139142131222,15,1.7810000000000006,78470,323,0,0.0,5326.843026038313,False,-0.043474829193016366,4,2.3550000000000004,69667,380,0,0.0,6266.874148280368,False,-0.141716826326733,0,0.254,108997,167,15,1.0,1731.2549806926213,False,0.04838754380435821,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,462159,0.0,0.0,14,0,0,13,4,4.0,12,25,10,73.0,14.0,5,2,10,448,0.9490497700171545,47.24338351585902
26,10,0,0,0,10.000000000000002,20,10.0,16.05545718106729,46,13.847826086956522,7.1208778977777625,10,1.0,31.000000000000007,7,31.0,0,1.1900000000000004,57827,4,10,1.0,200.55457181067288,False,0.08218646850069751,25,3.708000000000001,42211,274,0,0.0,2740.0000000000005,False,-0.18582797788073532,0,1.7660000000000002,78181,357,0,0.0,5731.798213641023,False,-0.04449488797797117,10,2.451000000000001,69024,392,0,0.0,6293.739214978377,False,-0.14913913290943054,0,0.254,109204,167,18,1.0,1747.1866089288865,False,0.05043890091289839,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,461217,0.0,0.0,15,0,0,13,6,6.0,14,27,9,111.0,17.0,8,2,9,990,0.9651191729935817,48.208502688852604
27,9,0,0,0,10.000000000000002,20,10.0,16.298877964588744,60,17.316666666666666,7.1208778977777625,0,,31.00000000000001,12,31.0,29,1.4800000000000002,57960,7,10,1.0,232.98877964588746,False,0.0849741142920144,21,3.893000000000001,41660,281,0,0.0,2810.0000000000005,False,-0.19546779255716634,0,1.7660000000000002,77494,404,0,0.0,6584.746697693852,False,-0.047566365064701785,0,2.4410000000000007,68672,405,0,0.0,6601.0455756584415,False,-0.1514775493353153,0,0.254,109576,157,16,1.0,1613.977829951109,False,0.053353203631723294,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,460132,0.0,0.0,15,0,0,11,7,6.090909090909091,12,23,13,89.0,9.0,6,3,13,572,0.9951956769800745,49.20369836583268
28,13,0,0,0,10.000000000000002,20,10.0,15.839954613330631,10,3.0,6.947440883762993,14,5.357142857142857,31.00000000000001,8,31.0,0,1.4510000000000003,57880,5,20,1.0,366.7990922666126,False,0.08472947889204348,10,3.9720000000000013,41380,293,0,0.0,2930.0000000000005,False,-0.19957779106262144,6,1.8260000000000003,77356,414,0,0.0,6557.741209918881,False,-0.04935251170158985,8,2.5210000000000004,68455,405,0,0.0,6415.181618398906,False,-0.15513150270334647,0,0.254,109749,161,18,1.0,1676.537982285842,False,0.05530258980783761,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,459590,0.0,0.0,10,0,0,9,4,4.0,18,27,11,123.0,26.0,8,5,11,448,1.0175269700121135,50.22122533584479
29,11,0,0,0,10.000000000000002,20,10.0,15.787091188734605,1,2.0,7.017275742726717,3,10.0,31.00000000000001,11,31.0,0,1.4510000000000003,57780,5,30,1.0,523.6127356620382,False,0.08432607920772345,1,3.972000000000001,41263,303,0,0.0,3030.0000000000005,False,-0.2008294724256464,3,1.8500000000000005,77300,415,0,0.0,6551.642843324861,False,-0.050048674011595795,0,2.5130000000000003,68455,405,0,0.0,6393.771931437515,False,-0.1552577078115236,0,0.254,110060,154,17,1.0,1607.6604643799146,False,0.05794173440901933,0,0.2,104770,0,6,0.0,186.00000000000006,False,0.00067753263607909,0.3333333333333333,459628,0.0,0.0,14,0,0,12,2,2.0,16,28,13,126.0,6.0,9,2,13,541,1.0003533500130288,51.22157868585782
