index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,20.0,0,,25.0,0,,0,0.2,63568,0,7,0.7,112.0,False,-0.00021999434300260852,0,0.2,63508,13,0,0.0,130.0,False,-0.0010214023067978252,0,0.2,83954,0,0,0.0,0.0,False,0.0,0,0.2,83954,0,0,0.0,0.0,False,0.0,0,0.2,104757,0,0,0.0,0.0,False,0.0,0,0.2,104757,0,0,0.0,0.0,False,0.0,0.11666666666666665,504498,0.0,0.0,5,0,0,244,0,0.0,762,1006,220,0.0,0.0,0,0,220,200,2.8583243129542097,2.8583243129542097
1,220,0,0,0,10.0,20,10.0,16.0,0,,17.229508196721312,16,9.4375,25.0,0,,0,0.2,63488,0,15,0.8,240.0,False,-0.0004714164492913039,0,0.2,63388,25,0,0.0,250.0,False,-0.001964235205380433,7,0.27,83856,0,0,0.0,0.0,False,-0.0011673059056149797,9,0.29000000000000004,83819,0,0,0.0,0.0,False,-0.0016080234414083904,0,0.2,104606,6,10,1.0,353.37704918032784,False,0.00024522012457558817,0,0.2,104757,0,0,0.0,0.0,False,0.0,0.3,503914,0.0,0.0,5,0,0,86,2,2.0,144,230,5,3433.0,12.0,219,1,5,200,7.152627209026832,10.010951521981042
2,5,0,0,0,10.0,20,10.0,16.0,0,,16.61576354679803,6,11.0,25.0,0,,0,0.2,63368,2,25,1.0,420.0,False,-0.0009428328985826078,0,0.2,63308,33,0,0.0,330.0,False,-0.002592790471102172,0,0.263,83856,0,0,0.0,0.0,False,-0.0011673059056149797,6,0.341,83741,0,0,0.0,0.0,False,-0.0025371036519999048,0,0.2,104606,0,16,0.6,400.0,False,0.0004677491718930477,0,0.2,104691,0,6,0.6,150.0,False,8.59131132048455e-05,0.3666666666666667,503570,0.0,0.0,5,0,0,7,1,1.0,7,14,11,46.0,16.0,3,2,11,200,0.9149314410169609,10.925882962998003
3,11,0,0,0,10.0,20,10.0,16.0,0,,16.407633040673712,1,5.0,25.0,9,25.0,0,0.2,63258,3,35,1.0,590.0,False,-0.0013356799396586946,0,0.2,63218,42,0,0.0,420.0,False,-0.0032999151450391275,0,0.263,83856,0,0,0.0,0.0,False,-0.0011673059056149797,1,0.34500000000000003,83722,0,0,0.0,0.0,False,-0.0027634180622721966,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,3,0.23,104821,0,1,0.1,25.0,False,0.0007302614622411868,0.18333333333333335,503481,0.0,0.0,6,0,0,6,2,2.0,13,19,6,147.0,18.0,9,2,6,350,1.6684678879682906,12.594350850966293
4,6,0,0,0,10.0,20,10.0,16.0,0,,13.982284281658334,10,1.8,25.0,9,25.0,0,0.2,63208,0,43,0.8,688.0,False,-0.001351393821301738,0,0.2,63068,57,0,0.0,570.0,False,-0.004478456268267387,0,0.263,83856,0,0,0.0,0.0,False,-0.0011673059056149797,10,0.44400000000000006,83484,0,0,0.0,0.0,False,-0.005598303833051433,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,8,0.30700000000000005,104768,0,10,1.0,250.0,False,0.0012982425995398876,0.3,502990,0.0,0.0,5,0,0,6,4,3.8,12,18,4,83.0,0.0,6,0,4,200,0.9320462649920955,13.526397115958389
5,4,0,0,0,10.0,20,10.0,17.56896551724138,13,23.0,11.843048473278465,13,2.923076923076923,25.0,11,25.0,0,0.2,63397,1,40,1.0,712.7586206896552,False,0.0018130568268145775,0,0.2,62978,66,0,0.0,660.0,False,-0.005185580942204344,0,0.263,83557,13,0,0.0,228.39655172413796,False,-0.0033685318643296032,13,0.5640000000000001,83168,0,0,0.0,0.0,False,-0.009362269814422184,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,1,0.30900000000000005,104975,3,10,1.0,285.5291454198354,False,0.0034438230639471847,0.3333333333333333,502681,0.0,0.0,8,0,0,6,3,2.25,7,13,6,60.0,0.0,4,0,6,674,0.9948738079983741,14.521270923956763
6,6,0,0,0,10.0,20,10.0,17.56896551724138,0,,11.682961134407483,1,2.0,24.999999999999996,9,25.0,0,0.2,63317,0,49,0.9,860.8793103448277,False,0.001719721788434788,0,0.2,62858,78,0,0.0,780.0,False,-0.0061284138407869514,0,0.263,83557,13,0,0.0,228.39655172413796,False,-0.0033685318643296032,1,0.5610000000000002,83146,0,0,0.0,0.0,False,-0.009624318078947995,0,0.2,104606,0,16,0.0,399.99999999999994,False,0.0004677491718930477,0,0.30800000000000005,105198,0,5,0.4,124.99999999999999,False,0.004806361388737745,0.21666666666666667,502682,0.0,0.0,7,0,0,6,1,1.0,11,17,6,94.0,0.0,6,0,6,425,0.9361612439970486,15.457432167953812
7,6,0,0,0,10.0,20,10.0,19.672535211267608,33,23.0,10.422360709299268,16,6.0625,25.0,8,25.0,0,0.2,63986,0,25,0.9,491.8133802816902,False,0.009332579435884914,0,0.2,62748,89,0,0.0,890.0,False,-0.006992677331154342,8,0.3430000000000001,82694,46,0,0.0,904.93661971831,False,-0.009618739906863894,8,0.6400000000000001,82956,0,0,0.0,0.0,False,-0.011887462181670916,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,3,0.3380000000000001,105211,6,10,1.0,312.5341642557956,False,0.005825549434671693,0.31666666666666665,502201,0.0,0.0,8,0,0,8,4,3.75,10,18,6,101.0,0.0,6,0,6,1059,0.9856689249863848,16.443101092940196
8,6,0,0,0,10.0,20,10.0,21.31456289027654,13,31.0,9.177721563292996,22,5.545454545454546,25.0,8,25.0,0,0.2,64309,0,20,0.8,426.2912578055308,False,0.013893359767792244,0,0.2,62628,101,0,0.0,1010.0,False,-0.00793551022973695,7,0.405,82603,46,0,0.0,980.4698929527209,False,-0.010252817656379044,15,0.782,82170,13,0,0.0,277.08931757359505,False,-0.019599487114529482,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.3350000000000001,105289,18,12,1.0,465.1989881392739,False,0.0072987914322636205,0.3,501605,0.0,0.0,8,0,0,6,4,4.0,10,16,4,93.0,0.0,6,0,4,803,0.9640272880205885,17.407128380960785
9,4,0,0,0,10.000000000000002,20,10.0,21.593401025725868,16,23.0,9.367141203006529,9,11.0,25.0,9,25.0,0,0.2,64577,0,14,1.0,302.3076143601621,False,0.01713054789874104,0,0.2,62528,111,0,0.0,1110.0000000000002,False,-0.008721204311889124,9,0.4880000000000001,82118,62,0,0.0,1338.7908635950039,False,-0.0138957592038795,0,0.7670000000000001,82170,13,0,0.0,280.7142133344363,False,-0.019577898531729095,0,0.2,104606,0,16,0.0,400.0,False,0.0004677491718930477,0,0.3350000000000001,105415,17,13,1.0,484.24140045111096,False,0.00859246351294476,0.3333333333333333,501414,0.0,0.0,9,0,0,5,1,1.0,9,14,6,60.0,0.0,4,0,6,793,0.9114572069956921,18.318585587956477
