index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,34.0,0,,48.0,0,,0,0.2,53104,8,0,0.0,80.0,False,-0.0007521058965102287,0,0.2,53064,12,0,0.0,120.0,False,-0.001128158844765343,0,0.2,82967,0,0,0.0,0.0,False,0.0,0,0.2,82967,0,0,0.0,0.0,False,0.0,0,0.2,110091,0,0,0.0,0.0,False,0.0,0,0.2,110091,0,0,0.0,0.0,False,0.0,0,0.2,136860,0,0,0.0,0.0,False,0.0,0,0.2,136860,0,0,0.0,0.0,False,0.0,0.0,766004,0.0,0.0,9,0,0,0,0,0.0,1378,1378,127,0.0,0.0,0,0,127,200,9.790417310781777,9.790417310781777
1,127,0,0,0,10.0,20,10.0,18.0,0,,26.0,0,,34.0,0,,48.0,0,,0,0.2,52984,20,0,0.0,200.0,False,-0.0018802647412755715,0,0.2,52984,20,0,0.0,200.0,False,-0.0018802647412755715,0,0.2,82967,0,0,0.0,0.0,False,0.0,0,0.2,82967,0,0,0.0,0.0,False,0.0,0,0.2,110091,0,0,0.0,0.0,False,0.0,0,0.2,110091,0,0,0.0,0.0,False,0.0,0,0.2,136860,0,0,0.0,0.0,False,0.0,0,0.2,136860,0,0,0.0,0.0,False,0.0,0.0,765804,0.0,0.0,9,0,0,59,0,0.0,71,130,108,1613.0,155.0,114,13,108,200,16.05650184955448,25.846919160336256
2,108,0,0,0,10.0,20,10.0,15.416666666666666,15,7.666666666666667,20.35593220338983,14,2.2142857142857144,34.0,0,,48.0,0,,10,0.30000000000000004,52729,31,0,0.0,310.0,False,-0.005640794223826715,5,0.25,52804,29,0,0.0,290.0,False,-0.004418622141997593,0,0.2,82852,5,10,1.0,280.6426553672316,False,0.0003051975807684707,14,0.34,82487,0,0,0.0,0.0,False,-0.005785432762423614,0,0.2,110074,0,5,0.5,170.0,False,0.0006176708359448093,0,0.2,110077,0,9,0.9,306.0,False,0.0012625918558283602,0,0.2,136860,0,0,0.0,0.0,False,0.0,0,0.2,136860,0,0,0.0,0.0,False,0.0,0.3,764743,0.0,0.0,9,0,0,22,7,7.0,55,77,52,798.0,219.0,60,48,52,200,6.5442892871797085,32.391208447515965
3,52,0,0,0,10.0,20,10.0,14.040697674418604,32,11.71875,19.58823529411765,3,6.0,34.0,0,,48.0,0,,17,0.4600000000000001,52422,42,0,0.0,420.0,False,-0.010379061371841155,15,0.395,52429,38,0,0.0,380.0,False,-0.010623495788206979,0,0.2,82761,11,20,1.0,546.2123803009576,False,0.0008088298980374448,3,0.35600000000000004,82128,16,0,0.0,224.65116279069767,False,-0.008758595810438563,0,0.2,110056,0,8,0.3,272.0,False,0.0009174228592709668,0,0.2,110077,0,9,0.0,306.0,False,0.0012625918558283602,0,0.2,136860,0,0,0.0,0.0,False,0.0,0,0.2,136860,0,0,0.0,0.0,False,0.0,0.1625,763593,0.0,0.0,10,0,0,12,9,9.0,45,57,31,536.0,90.0,40,12,31,200,3.86112738866359,36.252335836179554
4,31,0,0,0,10.0,20,10.0,12.583874458874458,15,5.066666666666666,19.227228588075356,1,1.0,32.775510204081634,4,19.0,48.0,20,48.0,5,0.49300000000000005,52242,54,0,0.0,540.0,False,-0.01263537906137184,10,0.48000000000000004,52139,46,0,0.0,460.0,False,-0.015324157641395908,0,0.2,82709,8,30,1.0,677.4878533132563,False,0.000973205330512392,1,0.36300000000000004,82074,24,0,0.0,302.01298701298697,False,-0.008943236545777387,0,0.2,110131,0,5,0.1,163.87755102040816,False,0.0011076180206393534,0,0.2,110077,0,9,0.0,294.9795918367347,False,0.0012125404975735772,12,0.32000000000000006,136611,0,0,0.0,0.0,False,-0.001819377466023674,8,0.28,136658,4,0,0.0,131.10204081632654,False,-0.0009969967820534441,0.1375,762641,0.0,0.0,10,0,0,10,14,14.0,23,33,28,194.0,104.0,14,17,28,276,3.1143964119255543,39.36673224810511
5,28,0,0,0,10.0,20,10.0,12.583874458874458,0,,19.724263615911827,11,21.818181818181817,33.53436807095344,1,67.0,48.0,20,48.0,0,0.4880000000000001,52112,67,0,0.0,670.0,False,-0.013857551143200962,0,0.4700000000000001,52069,53,0,0.0,530.0,False,-0.015982250300842358,0,0.2,82909,0,33,0.8,650.9006993250903,False,0.003223575031790233,6,0.42200000000000004,81923,24,0,0.0,302.01298701298697,False,-0.010763237268956484,0,0.2,110091,0,11,0.6,368.87804878048786,False,0.0016753324467054104,0,0.2,109944,0,13,0.5,435.9467849223947,False,0.0006446793331080082,11,0.41800000000000004,136400,0,0,0.0,0.0,False,-0.0033610989332164254,9,0.36200000000000004,136431,5,0,0.0,167.6718403547672,False,-0.0025220230879923204,0.23750000000000002,761879,0.0,0.0,12,0,0,11,12,12.0,25,36,21,221.0,79.0,16,12,21,467,2.4868118539452553,41.853544102050364
6,21,0,0,0,10.0,20,10.0,12.057768302828618,13,8.692307692307692,18.693755142910966,19,15.894736842105264,32.85184315567035,2,19.0,48.00000000000001,20,48.0,5,0.538,51972,75,0,0.0,750.0,False,-0.015737815884476536,8,0.55,51826,65,0,0.0,650.0,False,-0.019423134777376654,0,0.2,83044,0,38,1.0,710.3626954306167,False,0.005209075267459407,14,0.556,81479,27,0,0.0,325.5597441763727,False,-0.01597285821967549,0,0.2,109827,9,19,1.0,792.4288162439354,False,0.0012009556468918802,0,0.2,109944,0,13,0.0,427.07396102371456,False,0.0006043816525588238,7,0.47700000000000004,136294,0,0,0.0,0.0,False,-0.004135613035218471,13,0.4830000000000001,136113,7,0,0.0,229.96290208969248,False,-0.004617993197100332,0.25,760499,0.0,0.0,11,0,0,15,16,16.0,19,34,23,168.0,47.0,14,7,23,438,4.475978575646877,46.32952267769724
7,23,0,0,0,10.0,20,10.0,10.608107538129303,32,6.6875,19.94238492651145,6,33.166666666666664,33.536520262072315,7,37.285714285714285,48.00000000000001,20,48.0,16,0.6930000000000001,51598,85,0,0.0,850.0,False,-0.021829873646209388,16,0.7020000000000002,51351,75,0,0.0,750.0,False,-0.027414259927797835,0,0.2,83038,21,43,1.0,1080.2928101407078,False,0.007366138405273792,1,0.552,81439,28,0,0.0,297.0270110676205,False,-0.016626929917511742,0,0.2,109700,5,25,1.0,938.1249311843652,False,0.0007090721820329147,0,0.2,110133,0,10,0.0,335.36520262072315,False,0.0019046298181536764,9,0.56,136063,0,4,0.4,192.00000000000003,False,-0.005122022504749379,11,0.5800000000000001,135730,10,0,0.0,335.36520262072315,False,-0.007031399961198517,0.3,759052,0.0,0.0,12,0,0,13,18,18.0,18,31,29,181.0,60.0,13,10,29,651,2.307889787480235,48.637412465177476
8,29,0,0,0,10.0,20,10.0,10.413855264431723,9,8.11111111111111,22.38252230876396,19,30.42105263157895,31.191333974477125,14,24.357142857142858,48.00000000000001,20,48.0,4,0.7170000000000001,51448,98,0,0.0,980.0,False,-0.023428098676293623,5,0.736,51172,82,0,0.0,820.0,False,-0.03012184115523466,0,0.2,83603,16,38,1.0,1017.157531963938,False,0.013795590608096908,4,0.591,81255,32,0,0.0,333.2433684618151,False,-0.018626421538311524,0,0.2,109463,14,21,1.0,968.3733257867151,False,-0.0013063132963333608,0,0.2,110133,0,10,0.0,311.91333974477124,False,0.0017981185553076935,5,0.601,136039,0,9,0.9,432.00000000000006,False,-0.004420575770860733,11,0.6790000000000002,135347,15,0,0.0,467.8700096171569,False,-0.009345791284461561,0.3625,758460,0.0,0.0,17,0,0,17,11,11.0,20,37,25,229.0,82.0,17,12,25,1303,2.311305770650506,50.94871823582798
9,25,0,0,0,10.000000000000002,20,10.0,10.151870196466374,15,8.333333333333334,18.538980345384214,19,3.6842105263157894,33.82926319295465,24,39.25,48.00000000000001,20,48.0,10,0.8130000000000002,51198,109,0,0.0,1090.0000000000002,False,-0.027094614921780988,5,0.7810000000000001,50997,91,0,0.0,910.0000000000001,False,-0.0325661853188929,0,0.2,83503,16,48,1.0,1052.3009797219042,False,0.012802083838887226,19,0.7770000000000001,80575,37,0,0.0,375.61919726925584,False,-0.026567073672247633,3,0.23,110212,23,10,1.0,764.6891798733834,False,0.004572077553448442,0,0.2,110133,0,10,0.0,338.2926319295465,False,0.001917925316009195,0,0.5960000000000001,136311,0,10,1.0,480.00000000000006,False,-0.0022577816747040773,11,0.778,134349,29,0,0.0,981.0486325956848,False,-0.01476308405452401,0.375,757278,0.0,0.0,17,0,0,11,14,13.75,17,28,22,168.0,88.0,12,13,22,1442,2.104895886965096,53.05361412279308
