index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,35.0,0,,43.0,0,,0,0.2,49214,12,0,0.0,120.0,False,-0.0012161997810840393,0,0.2,49254,8,0,0.0,80.0,False,-0.0008107998540560263,0,0.2,77227,0,0,0.0,0.0,False,0.0,0,0.2,77227.0,0,0,0.0,0.0,False,0.0,0,0.2,114796,0,0,0.0,0.0,False,0.0,0,0.2,114796,0,0,0.0,0.0,False,0.0,0,0.2,144396,0,0,0.0,0.0,False,0.0,0,0.2,144396,0,0,0.0,0.0,False,0.0,0.0,771306,0.0,0.0,7,0,0,1,0,0.0,894,895,165,0.0,0.0,0,0,165,200,7.936244798824191,7.936244798824191
1,165,0,0,0,10.0,20,10.0,16.0,0,,24.0,0,,35.0,0,,43.0,0,,0,0.2,49104,23,0,0.0,230.0,False,-0.0023310495804110755,0,0.2,49164,17,0,0.0,170.0,False,-0.0017229496898690559,0,0.2,77227,0,0,0.0,0.0,False,0.0,0,0.2,77227.0,0,0,0.0,0.0,False,0.0,0,0.2,114796,0,0,0.0,0.0,False,0.0,0,0.2,114796,0,0,0.0,0.0,False,0.0,0,0.2,144396,0,0,0.0,0.0,False,0.0,0,0.2,144396,0,0,0.0,0.0,False,0.0,0.0,771106,0.0,0.0,8,0,0,24,0,0.0,30,54,39,594.0,455.0,40,125,39,200,9.61016923096031,17.5464140297845
2,39,0,0,0,10.0,20,10.0,15.3,5,9.0,16.454545454545453,32,5.84375,35.0,0,,43.0,0,,5,0.25,48944,34,0,0.0,340.0,False,-0.004459399197308145,0,0.2,49074,26,0,0.0,260.0,False,-0.0026350995256820852,5,0.25,77121,0,5,0.5,82.27272727272727,False,-0.0008399087930857393,27,0.4700000000000001,76253.0,0,0,0.0,0.0,False,-0.012612169319020549,0,0.2,114716,10,10,1.0,514.5454545454545,False,0.0015442413261152015,0,0.2,114689,2,10,1.0,382.9090909090909,False,0.0007356924061338734,0,0.2,144396,0,0,0.0,0.0,False,0.0,0,0.2,144396,0,0,0.0,0.0,False,0.0,0.3125,769589,0.0,0.0,7,0,0,12,7,7.0,21,33,38,222.0,70.0,18,21,38,200,2.1785244112834334,19.724938441067934
3,38,0,0,0,10.0,20,10.0,14.59433962264151,8,10.625,15.9535192563081,6,10.166666666666666,35.0,0,,43.0,0,,0,0.24500000000000002,48824,46,0,0.0,460.0,False,-0.005675598978392184,8,0.28,48920,34,0,0.0,340.0,False,-0.00494587910974176,0,0.24500000000000002,77156,0,5,0.1,79.7675962815405,False,-0.0004029186924162466,5,0.49300000000000005,76049.0,7,0,0.0,102.16037735849056,False,-0.014592303356607833,0,0.2,114716,0,20,1.0,700.0,False,0.002351998327467856,0,0.2,114628,0,18,0.8,630.0,False,0.0012805324227324994,0,0.2,144396,0,0,0.0,0.0,False,0.0,0,0.2,144396,0,0,0.0,0.0,False,0.0,0.23750000000000002,769085,0.0,0.0,8,0,0,12,3,3.0,21,33,44,179.0,76.0,17,21,44,236,2.4930338468402624,22.217972287908196
4,44,0,0,0,10.0,20,10.0,12.4585326953748,15,5.666666666666667,15.626906692318265,5,11.2,35.0,0,,43.0,20,43.0,10,0.34500000000000003,48594,56,0,0.0,560.0,False,-0.009324198321644302,5,0.322,48730,44,0,0.0,440.0,False,-0.007783678598937852,0,0.24500000000000002,77107,5,14,1.0,281.0693571693297,False,0.00026590024971400155,4,0.528,75953.0,7,0,0.0,87.2097288676236,False,-0.015932188684866493,0,0.2,114716,0,20,0.0,700.0,False,0.002351998327467856,0,0.2,114572,0,23,0.5,805.0,False,0.0015549322276037492,11,0.31000000000000005,144218,0,0,0.0,0.0,False,-0.0012327211280090862,9,0.29000000000000004,144257,0,0,0.0,0.0,False,-0.0009626305437823762,0.1875,768147,0.0,0.0,9,0,0,15,12,12.0,25,40,39,224.0,83.0,24,20,39,236,2.8917521852999926,25.10972447320819
5,39,0,0,0,10.0,20,10.0,11.815190370273452,20,10.0,15.687048311506286,3,17.0,35.0,0,,43.0,20,43.0,15,0.48500000000000004,48354,67,0,0.0,670.0,False,-0.013074147646653423,5,0.36700000000000005,48544,53,0,0.0,530.0,False,-0.010641748084485345,0,0.24500000000000002,77057,5,24,1.0,435.56511132751814,False,0.0006187286268242256,3,0.554,75767.0,17,0,0.0,200.8582362946487,False,-0.017604864643876835,0,0.2,114716,0,20,0.0,700.0,False,0.002351998327467856,0,0.2,114521,0,26,0.3,910.0,False,0.0015679988849785706,7,0.369,144129,0,0,0.0,0.0,False,-0.0018490816920136292,13,0.41100000000000003,144012,0,0,0.0,0.0,False,-0.002659353444693759,0.1625,767100,0.0,0.0,8,0,0,15,13,13.0,14,29,42,123.0,108.0,14,25,42,200,3.0712827779352665,28.181007251143456
6,42,0,0,0,10.0,20,10.0,10.789217815496675,21,7.428571428571429,15.289572527054192,19,14.0,42.38709677419355,17,61.94117647058823,43.0,20,43.0,9,0.56,48246,70,0,0.0,700.0,False,-0.014959257307333685,12,0.48200000000000004,48182,70,0,0.0,700.0,False,-0.016256537073823327,0,0.24500000000000002,77045,1,33,1.0,515.3451112082851,False,0.0009798717495713835,18,0.7310000000000001,75299.0,32,0,0.0,345.2549700958936,False,-0.02273003632087284,0,0.2,115283,0,11,0.0,466.2580645161291,False,0.006273119553451869,0,0.2,114741,9,28,1.0,1324.4448624209072,False,0.005289578305955362,12,0.4820000000000001,143760,0,3,0.3,129.0,False,-0.003957865868860633,8,0.4780000000000001,143018,14,0,0.0,593.4193548387098,False,-0.007488367562679276,0.2875,765574,0.0,0.0,12,0,0,20,13,13.0,19,39,38,220.0,81.0,23,19,38,1289,3.5238410588353872,31.704848309978843
7,38,0,0,0,10.0,20,10.0,10.64658295400321,7,9.0,14.638236038971428,49,13.673469387755102,46.51373626373626,17,60.05882352941177,43.0,20,43.0,5,0.6010000000000001,48126,77,0,0.0,770.0,False,-0.016682206997202742,2,0.49000000000000005,48032,83,0,0.0,830.0,False,-0.017979486763692383,0,0.24500000000000002,77036,0,38,0.6,556.2529694809143,False,0.0011281868354390656,48,1.1930000000000003,73841.0,34,0,0.0,361.9838204361091,False,-0.04150113418599638,0,0.2,115850,0,2,0.0,93.02747252747253,False,0.009586690618695186,0,0.2,114525,48,30,1.0,2098.0474177827164,False,0.006777446155714104,8,0.55,143621,0,3,0.3,129.0,False,-0.004920496412643009,9,0.56,142024,28,0,0.0,1302.3846153846152,False,-0.011917280896338457,0.2375,763055,0.0,0.0,13,0,0,10,11,10.333333333333332,20,30,29,146.0,72.0,14,24,29,1300,2.5460337065160275,34.25088201649487
8,29,0,0,0,10.0,20,10.0,9.932180207008201,8,2.875,15.617957305378214,11,25.363636363636363,46.51373626373626,0,,43.0,20,43.0,0,0.5960000000000001,48036,86,0,0.0,860.0,False,-0.01759435683301577,8,0.5680000000000001,47778,94,0,0.0,940.0,False,-0.022013216037621113,0,0.24500000000000002,77085,0,44,0.8,687.1901214366414,False,0.0026104220119688524,9,1.235,73787.0,34,0,0.0,337.69412703827885,False,-0.042357633165613924,0,0.2,115814,0,3,0.1,139.5412087912088,False,0.00947568386002647,0,0.2,114282,48,40,1.0,2610.211401207605,False,0.006891404758038631,7,0.6120000000000001,143657,0,0,0.0,0.0,False,-0.005117870301116374,10,0.6510000000000001,141872,28,0,0.0,1302.3846153846152,False,-0.01296994163486307,0.23750000000000002,762311,0.0,0.0,11,0,0,10,11,10.666666666666668,16,26,35,109.0,51.0,12,17,35,358,2.5200872104614973,36.77096922695637
9,35,0,0,0,10.000000000000002,20,10.0,9.770030793077042,10,8.5,14.472274619586358,30,10.333333333333334,46.51373626373626,0,,43.00000000000001,20,43.0,10,0.6960000000000002,47801,97,0,0.0,970.0000000000002,False,-0.02124295617626789,0,0.56,47688,103,0,0.0,1030.0000000000002,False,-0.022925365873434144,0,0.24500000000000002,77036,0,53,1.0,767.030554838077,False,0.002492849358631509,29,1.5160000000000002,72915.0,34,0,0.0,332.18104696461944,False,-0.05368471488621447,0,0.2,115778,0,4,0.1,186.05494505494505,False,0.009364677101357882,0,0.2,114008,67,50,1.0,3295.329212699099,False,0.007488628578953472,10,0.7050000000000001,143506,0,0,0.0,0.0,False,-0.006163605640045431,10,0.7410000000000001,141721,28,0,0.0,1302.3846153846152,False,-0.014015676973792126,0.2625,760453,0.0,0.0,9,0,0,9,14,14.0,20,29,37,154.0,79.0,14,21,37,236,2.4578981017693877,39.228867328725755
