index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,39.0,0,,57.0,0,,0,0.2,69852,4,0,0.0,40.0,False,-0.00028615578320837865,0,0.2,69732.0,16,0,0.0,160.0,False,-0.0011446231328335146,0,0.2,98722,0,0,0.0,0.0,False,0.0,0,0.2,98722,0,0,0.0,0.0,False,0.0,0,0.2,143933,0,0,0.0,0.0,False,0.0,0,0.2,143933,0,0,0.0,0.0,False,0.0,0,0.2,213388,0,0,0.0,0.0,False,0.0,0,0.2,213388,0,0,0.0,0.0,False,0.0,0.0,1051670,0.0,0.0,5,0,0,123,0,0.0,404,527,182,0.0,0.0,0,0,182,200,7.13929833000293,7.13929833000293
1,182,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,21.325581395348838,41,1.9268292682926829,57.0,0,,0,0.2,69782,11,0,0.0,110.0,False,-0.0007869284038230413,0,0.2,69602.0,29,0,0.0,290.0,False,-0.002074629428260745,0,0.2,98722,0,0,0.0,0.0,False,0.0,0,0.2,98722,0,0,0.0,0.0,False,0.0,0,0.2,143933,0,0,0.0,0.0,False,0.0,41,0.6100000000000001,140777,0,0,0.0,0.0,False,-0.02192686875143296,0,0.2,213378,0,10,1.0,570.0,False,0.0012887322623577708,0,0.2,213319,31,0,0.0,661.0930232558139,False,0.0012256851914255176,0.125,1048235,0.0,0.0,5,0,0,56,7,7.0,123,179,152,2643.0,135.0,169,13,152,200,27.59046842600219,34.72976675600512
2,152,0,0,0,10.0,20,10.0,15.344827586206897,13,2.6923076923076925,24.0,0,,18.10064239828694,16,2.5,57.0,0,,1,0.21000000000000002,69659,22,0,0.0,220.0,False,-0.0017598580667315287,12,0.32000000000000006,69214.0,38,0,0.0,380.0,False,-0.006982201110284439,0,0.2,98700,0,4,0.4,96.0,False,0.0002633658151171978,0,0.2,98709,0,9,0.9,216.0,False,0.0009622981706205304,0,0.2,143933,0,0,0.0,0.0,False,0.0,16,0.7290000000000001,139945,0,0,0.0,0.0,False,-0.02770733605219095,0,0.2,213378,0,10,0.0,570.0,False,0.0012887322623577708,0,0.2,213279,47,0,0.0,850.7301927194861,False,0.0014825814776826558,0.1625,1046817,0.0,0.0,5,0,0,23,6,6.0,30,53,53,597.0,458.0,43,109,53,200,7.38930724497186,42.11907400097698
3,53,0,0,0,10.0,20,10.0,13.050595238095237,15,5.066666666666666,23.36,5,17.6,18.10064239828694,0,,57.0,0,,1,0.21900000000000003,69516,35,0,0.0,350.0,False,-0.0028758656212442054,14,0.44800000000000006,68828.0,45,0,0.0,450.0,False,-0.012004235105591484,0,0.2,98736,0,3,0.0,70.08,False,0.0004967484451286805,0,0.2,98685,5,15,1.0,415.6529761904762,False,0.0017303791261849822,0,0.2,143845,0,5,0.5,90.5032119914347,False,-0.0002970020356990613,0,0.7130000000000001,139945,0,0,0.0,0.0,False,-0.02770733605219095,0,0.2,213378,0,10,0.0,570.0,False,0.0012887322623577708,0,0.2,213279,47,0,0.0,850.7301927194861,False,0.0014825814776826558,0.1875,1046212,0.0,0.0,7,0,0,15,4,4.0,27,42,47,467.0,135.0,33,20,47,288,4.533278902003076,46.652352902980056
4,47,0,0,0,10.0,20,10.0,11.658163265306122,14,5.642857142857143,24.815625,19,28.263157894736842,15.472491909385116,21,4.9523809523809526,57.0,15,57.0,4,0.258,69328,48,0,0.0,480.0,False,-0.004635723687975734,10,0.5340000000000001,68535.0,52,0,0.0,520.0,False,-0.015695644708979568,7,0.27,98755,2,10,1.0,271.47257653061223,False,0.0017092065422632298,0,0.2,98910,0,13,0.7,322.60312500000003,False,0.00353823425882779,0,0.2,143715,0,15,1.0,232.08737864077673,False,-0.0007083595192180544,21,0.923,138429,9,0,0.0,223.34062500000002,False,-0.037464165184495524,0,0.2,213378,0,10,0.0,570.0,False,0.0012887322623577708,15,0.35000000000000003,212781,68,0,0.0,1052.1294498381878,False,-0.00037928690967113817,0.3375,1043831,0.0,0.0,7,0,0,14,18,17.25,20,34,47,341.0,113.0,24,23,47,437,6.471877951989882,53.12423085496994
5,47,0,0,0,10.0,20,10.0,10.912921348314606,12,6.75,25.73440233236152,11,30.545454545454547,14.147828474355236,22,8.454545454545455,57.0,9,57.0,3,0.28400000000000003,69166,60,0,0.0,600.0,False,-0.006095118182338465,9,0.6140000000000001,68273.0,60,0,0.0,600.0,False,-0.01887197390259257,0,0.263,98873,0,8,0.5,205.87521865889215,False,0.0025722494411523403,0,0.2,99047,0,18,0.9,463.21924198250736,False,0.005638151789785968,0,0.2,143672,0,20,0.6,282.95656948710473,False,-0.0008303982773682458,21,1.1120000000000003,137067,14,0,0.0,360.28163265306125,False,-0.04645119037102997,0,0.2,213378,0,10,0.0,570.0,False,0.0012887322623577708,9,0.42500000000000004,212445,90,0,0.0,1273.3045626919713,False,-0.0014356370491968892,0.25,1041921,0.0,0.0,10,0,0,14,11,11.0,20,34,46,336.0,131.0,25,22,46,594,3.5720891159726307,56.69631997094257
6,46,0,0,0,10.0,20,10.0,9.122755434444928,19,2.4210526315789473,26.54992276799506,3,43.333333333333336,14.19796323486579,29,14.379310344827585,57.0,9,57.0,0,0.281,69046,72,0,0.0,720.0,False,-0.006953585531963601,19,0.7950000000000002,67672.0,68,0,0.0,680.0,False,-0.026898643621587594,0,0.263,98846,2,18,1.0,496.144120692801,False,0.003768886979056337,0,0.2,99158,0,22,0.7,584.0983008958913,False,0.007374740690504074,0,0.2,143993,0,4,0.1,56.79185293946316,False,0.0006141463491328135,12,1.211,136469,16,0,0.0,424.79876428792096,False,-0.050381779146242,0,0.2,213378,0,10,0.0,570.0,False,0.0012887322623577708,9,0.506,211873,119,0,0.0,1689.557624949029,False,-0.003140856971926664,0.225,1040435,0.0,0.0,9,0,0,12,9,9.0,24,36,44,349.0,108.0,26,20,44,687,3.053008464979939,59.74932843592251
7,44,0,0,0,10.0,20,10.0,8.253094750069177,14,3.2142857142857144,27.92902664938514,5,44.0,14.38918203435926,41,14.951219512195122,57.00000000000001,11,57.0,2,0.30100000000000005,68939,80,0,0.0,800.0,False,-0.00791220740571167,12,0.8960000000000001,67254.0,80,0,0.0,800.0,False,-0.03202083214101757,0,0.263,98811,5,28,1.0,823.2782199331298,False,0.005071201049072784,0,0.2,99368,0,18,0.1,502.72247968893254,False,0.009089779784085286,3,0.23,144259,0,0,0.0,0.0,False,0.0022649427164027707,34,1.539,134048,21,0,0.0,586.5095596370879,False,-0.06664034807988053,0,0.2,213204,0,13,0.3,741.0000000000001,False,0.000873994788835361,11,0.6070000000000001,211224,157,0,0.0,2259.101579394404,False,-0.004847738440318986,0.17500000000000002,1037107,0.0,0.0,8,0,0,13,13,13.0,21,34,42,361.0,74.0,25,19,42,653,3.142542357032653,62.89187079295516
8,42,0,0,0,10.0,20,10.0,6.907982266318622,31,3.1935483870967745,28.588153854758797,11,32.0,14.592043575217385,11,17.272727272727273,57.00000000000001,11,57.0,2,0.31900000000000006,68762,95,0,0.0,950.0,False,-0.0093716019000744,29,1.1740000000000002,66281.0,85,0,0.0,850.0,False,-0.04558461626509472,0,0.263,99049,13,31,1.0,976.0365389596648,False,0.008255690418344723,0,0.2,99383,3,24,1.0,706.839639313167,False,0.010275519333649894,3,0.257,144164,0,6,0.6,87.5522614513043,False,0.0019090558157313384,8,1.5850000000000002,133460,26,0,0.0,743.2920002237287,False,-0.0701809453001615,0,0.2,213146,0,14,0.1,798.0000000000001,False,0.000735748964327891,11,0.706,210872,167,0,0.0,2436.8712770613033,False,-0.006080774745858972,0.3375,1035117,0.0,0.0,11,0,0,11,16,16.0,22,33,39,342.0,85.0,23,19,39,552,2.824914277996868,65.71678507095203
9,39,0,0,0,10.000000000000002,20,10.0,6.511151473315084,13,3.3076923076923075,31.376326268233182,12,45.583333333333336,15.505082614327945,3,58.333333333333336,57.00000000000001,7,57.0,1,0.32700000000000007,68649,105,0,0.0,1050.0000000000002,False,-0.010272992617180792,12,1.2650000000000001,65895.0,95,0,0.0,950.0000000000001,False,-0.05039203342299548,0,0.263,99287,11,35,1.0,1169.7940855946274,False,0.011647829691429579,0,0.2,99649,0,26,0.8,815.7844829740627,False,0.013521730125879056,0,0.254,144267,0,5,0.2,77.52541307163972,False,0.002589834899125358,0,1.5770000000000004,132985,36,0,0.0,1129.5477456563945,False,-0.07213930180828443,0,0.2,213088,0,15,0.1,855.0000000000001,False,0.0005975031398204211,7,0.7650000000000001,210646,169,0,0.0,2620.358961821423,False,-0.006709939261295346,0.2625,1034466,0.0,0.0,11,0,0,12,6,6.0,18,30,44,301.0,95.0,21,18,44,922,2.8297646999708377,68.54654977092287
