index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,22.0,0,,36.0,0,,46.0,0,,57.0,0,,0,0.2,67674,11,0,0.0,110.0,False,-0.0008114009205712262,0,0.2,67694,9,0,0.0,90.0,False,-0.0006638734804673669,0,0.2,108811,0,0,0.0,0.0,False,0.0,0,0.2,108811,0,0,0.0,0.0,False,0.0,0,0.2,147519,0,0,0.0,0.0,False,0.0,0,0.2,147519.0,0,0,0.0,0.0,False,0.0,0,0.2,165178,0,0,0.0,0.0,False,0.0,0,0.2,165178,0,0,0.0,0.0,False,0.0,0.0,978384,0.0,0.0,6,0,0,0,0,0.0,874,874,363,0.0,0.0,0,0,363,200,20.4093791450141,20.4093791450141
1,363,0,0,0,10.0,20,10.0,22.0,0,,36.0,0,,36.4,15,7.6,57.0,0,,0,0.2,67604,18,0,0.0,180.0,False,-0.0013277469609347338,0,0.2,67564,22,0,0.0,220.0,False,-0.0016228018411424525,0,0.2,108811,0,0,0.0,0.0,False,0.0,0,0.2,108811,0,0,0.0,0.0,False,0.0,0,0.2,147519,0,0,0.0,0.0,False,0.0,15,0.35000000000000003,146657.0,0,0,0.0,0.0,False,-0.005843315098394105,0,0.2,165178,0,0,0.0,0.0,False,0.0,0,0.2,165064,15,0,0.0,546.0,False,0.0009625979246630907,0.0,977208,0.0,0.0,6,0,0,22,4,4.0,180,202,77,2670.0,727.0,192,171,77,200,58.49583997100126,78.90521911601536
2,77,0,0,0,10.0,20,10.0,20.51923076923077,7,11.0,35.630434782608695,1,19.0,28.6,17,3.823529411764706,57.0,0,,7,0.27,67419,26,0,0.0,260.0,False,-0.003466894842440694,0,0.2,67444,34,0,0.0,340.0,False,-0.0025079664817656082,0,0.2,108734,0,7,0.7,249.41304347826087,False,0.0004384347330613219,1,0.21000000000000002,108787,0,0,0.0,0.0,False,-0.0002205659354293224,0,0.2,147500,0,1,0.1,28.6,False,-3.186030274074283e-05,17,0.5050000000000001,145541.0,0,0,0.0,0.0,False,-0.013408442302347494,0,0.2,165135,0,7,0.7,399.0,False,0.000947462737168388,0,0.2,165042,25,0,0.0,715.0,False,0.0013409776120306578,0.1875,975602,0.0,0.0,5,0,0,11,7,7.0,22,33,20,323.0,411.0,22,55,20,200,6.649178991036024,85.55439810705138
3,20,0,0,0,10.0,20,10.0,15.798050139275766,25,6.96,35.630434782608695,0,,18.054702329594477,52,5.096153846153846,57.0,0,,12,0.38300000000000006,67101,37,0,0.0,370.0,False,-0.007346866517172194,13,0.33000000000000007,66989,43,0,0.0,430.0,False,-0.00855659152602384,0,0.2,108628,8,17,1.0,732.1017924185539,False,0.0016822830063989095,0,0.20900000000000002,108719,0,7,0.7,249.41304347826087,False,0.00030058102341799537,0,0.2,147500,0,1,0.0,18.054702329594477,False,-6.760247042900992e-05,52,1.0080000000000002,140365.0,0,0,0.0,0.0,False,-0.048495448043980774,0,0.2,165050,3,17,1.0,1023.1641069887835,False,0.002322234519696193,0,0.2,164862,64,0,0.0,1155.5009490940465,False,0.0015846570036387169,0.3375,969214,0.0,0.0,6,0,0,14,16,16.0,13,27,22,216.0,60.0,15,5,22,200,4.110477892972995,89.66487600002438
4,22,0,0,0,10.0,20,10.0,14.891393970626128,13,10.384615384615385,34.864055299539174,2,19.0,16.79342883614853,36,13.13888888888889,57.0,20,57.0,10,0.4710000000000001,66871,43,0,0.0,430.0,False,-0.010297415319249381,3,0.3470000000000001,66786,57,0,0.0,570.0,False,-0.01051870647940517,0,0.2,108628,0,25,0.8,871.6013824884793,False,0.0023233008725610104,0,0.20900000000000002,108622,3,15,1.0,567.635011404966,False,0.0008713963266809259,4,0.24000000000000002,147582,0,2,0.2,33.58685767229706,False,0.0005409027232841705,31,1.2660000000000002,138051.0,0,0,0.0,0.0,False,-0.06418156305289488,0,0.2,165272,6,17,1.0,1069.7605730168912,False,0.003807288419211054,10,0.30000000000000004,164567,87,0,0.0,1461.028308744922,False,0.0007235476538792992,0.375,966379,0.0,0.0,9,0,0,7,11,10.8,16,23,20,178.0,55.0,12,10,20,808,3.934695893956814,93.59957189398119
5,20,0,0,0,10.0,20,10.0,14.466715920759349,10,11.5,36.92215161143895,5,53.0,16.650957295352644,43,16.232558139534884,57.0,20,57.0,10,0.5610000000000002,66586,54,0,0.0,540.0,False,-0.013690546441638144,0,0.3440000000000001,66696,66,0,0.0,660.0,False,-0.011182579959872537,0,0.2,108628,0,25,0.0,923.0537902859737,False,0.002559731048726598,0,0.20900000000000002,108772,3,20,1.0,781.843179991057,False,0.003234246445630779,12,0.35600000000000004,147132,0,5,0.5,83.25478647676321,False,-0.0023412076190972553,29,1.5250000000000001,135898.0,0,0,0.0,0.0,False,-0.07877629322324582,0,0.2,165240,12,20,1.0,1339.8114875442318,False,0.004431012264176257,13,0.42000000000000004,163992,114,0,0.0,1898.2091316702015,False,-0.00143418272508995,0.3125,962944,0.0,0.0,9,0,0,8,15,14.6,13,21,29,109.0,63.0,9,11,29,864,4.063170428969897,97.66274232295109
6,29,0,0,0,10.0,20,10.0,13.342890619532245,11,6.0,47.76060280953498,20,69.25,16.17706893634465,35,14.114285714285712,57.0,20,57.0,5,0.601,66396,66,0,0.0,660.0,False,-0.015608403162988315,6,0.404,66466,74,0,0.0,740.0,False,-0.013985601321845863,0,0.2,109104,0,18,0.0,859.6908505716297,False,0.006643128224957228,0,0.20900000000000002,109615,4,17,1.0,865.3018102402236,False,0.011365127653639005,0,0.3440000000000001,147472,0,0,0.0,0.0,False,-0.0003186030274066391,30,1.7960000000000005,132184.0,20,0,0.0,955.2120561906996,False,-0.1007151212515313,0,0.2,165832,9,19,1.0,1228.5936204271018,False,0.007678364008606254,9,0.4970000000000001,163363,142,0,0.0,2297.14378896094,False,-0.0040346057315110454,0.25,960432,0.0,0.0,13,0,0,9,13,13.0,18,27,29,188.0,104.0,15,14,29,2552,4.431842805002816,102.0945851279539
7,29,0,0,0,10.0,20,10.0,13.192822568716698,1,2.0,52.25321086759666,15,68.33333333333333,15.483778737247041,37,12.324324324324325,57.0,20,57.0,0,0.5960000000000001,66306,75,0,0.0,750.0,False,-0.016272276643455683,1,0.4080000000000001,66332,85,0,0.0,850.0,False,-0.015151068098666351,0,0.2,109784,0,8,0.0,418.02568694077326,False,0.010862990354563236,0,0.20900000000000002,109958,0,17,0.5,888.3045847491431,False,0.014623083074087778,5,0.394,147547,0,0,0.0,0.0,False,0.00018980605888055098,32,2.0860000000000007,128698.0,35,0,0.0,1828.862380365883,False,-0.12138483049517056,0,0.2,166478,7,17,1.0,1077.3864511607294,False,0.011131586685759332,8,0.5680000000000001,162815,171,0,0.0,2647.726164069244,False,-0.0062910128344293445,0.1875,957918,0.0,0.0,11,0,0,11,9,9.0,19,30,27,245.0,74.0,19,10,27,1909,4.443441541981883,106.53802666993579
8,27,0,0,0,10.0,20,10.0,12.591382846147033,10,8.5,52.458748118445236,5,55.0,15.318434243599324,27,14.185185185185185,57.0,20,57.0,5,0.6460000000000001,66131,85,0,0.0,850.0,False,-0.018116369644753924,5,0.4570000000000001,66132,95,0,0.0,950.0,False,-0.01736397970022424,0,0.2,109784,0,8,0.0,419.6699849475619,False,0.01087054610722983,0,0.20900000000000002,110148,0,22,1.0,1154.0924586057952,False,0.01759055820921504,5,0.43900000000000006,147347,0,5,0.5,76.59217121799662,False,-0.0009063504659806079,22,2.2740000000000005,127148.0,35,0,0.0,1836.0561841455833,False,-0.13186756897706195,0,0.2,166685,13,17,1.0,1168.1396451667913,False,0.01265949353172581,10,0.6600000000000001,162609,182,0,0.0,2787.955032335077,False,-0.0071136742413182436,0.3125,955984,0.0,0.0,10,0,0,11,10,10.0,17,28,25,235.0,105.0,16,11,25,1045,3.827871005050838,110.36589767498663
9,25,0,0,0,10.000000000000002,20,10.0,12.374281498026672,6,9.833333333333334,54.40084312420809,8,69.0,16.100186711734224,18,24.388888888888893,57.00000000000001,20,57.0,5,0.6910000000000001,65946,96,0,0.0,960.0000000000002,False,-0.020034226366104094,1,0.4620000000000001,66020,104,0,0.0,1040.0000000000002,False,-0.0183524135489201,0,0.2,110336,0,0,0.0,0.0,False,0.014015127147071527,0,0.20900000000000002,110089,0,28,0.6,1523.2236074778264,False,0.01874453689184834,0,0.43400000000000005,147697,0,0,0.0,0.0,False,0.0012066242314549313,13,2.3820000000000006,125866.0,43,0,0.0,2339.2362543409477,False,-0.13885249949382472,0,0.2,166848,8,18,1.0,1154.801493693874,False,0.013605932671705371,11,0.76,162301,195,0,0.0,3139.536408788174,False,-0.007914079330212936,0.2,955103,0.0,0.0,11,0,0,10,8,8.0,18,28,23,255.0,99.0,17,8,23,1615,3.763950653024949,114.12984832801158
