index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,25.0,0,,34.0,0,,0,0.2,18546,0,5,0.5,105.0,False,0.00013443751344375136,0,0.2,18446,5,10,1.0,260.0,False,-0.0010755001075500108,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,30426,0,0,0.0,0.0,False,0.0,0,0.2,30426.0,0,0,0.0,0.0,False,0.0,0.25,146712,0.0,0.0,10,0,0,74,0,0.0,261,335,106,0.0,0.0,0,0,106,200,1.2336458089994267,1.2336458089994267
1,106,0,0,0,10.0,20,10.0,21.0,0,,25.0,0,,34.0,0,,0,0.2,18456,0,14,0.9,294.0,False,0.00037642503764250375,0,0.2,18336,6,20,1.0,480.0,False,-0.0010755001075500108,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,30426,0,0,0.0,0.0,False,0.0,0,0.2,30426.0,0,0,0.0,0.0,False,0.0,0.31666666666666665,146512,0.0,0.0,11,0,0,48,0,0.0,40,88,51,1042.0,183.0,66,40,51,200,3.702693608996924,4.936339417996351
2,51,0,0,0,10.0,20,10.0,21.0,0,,25.0,0,,34.0,0,,0,0.2,18326,3,24,1.0,534.0,False,-0.00016132501613250162,0,0.2,18266,3,30,1.0,660.0,False,0.0,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,30426,0,0,0.0,0.0,False,0.0,0,0.2,30426.0,0,0,0.0,0.0,False,0.0,0.3333333333333333,146312,0.0,0.0,11,0,0,23,0,0.0,23,46,32,282.0,130.0,24,27,32,200,2.5232187849469483,7.459558202943299
3,32,0,0,0,10.0,20,10.0,21.0,0,,24.829787234042552,2,21.0,34.0,10,34.0,0,0.2,18236,2,34,1.0,734.0,False,0.00037642503764250375,0,0.2,18156,4,40,1.0,880.0,False,0.0,2,0.22000000000000003,24416,0,0,0.0,0.0,False,-0.0007366783989522796,0,0.2,24434,0,0,0.0,0.0,False,0.0,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,30252.0,2,0,0.0,49.659574468085104,False,-0.004902721776308392,0.3333333333333333,145920,0.0,0.0,11,0,0,10,5,5.0,29,39,32,186.0,65.0,14,18,32,200,1.5443915539653972,9.003949756908696
4,32,0,0,0,10.0,20,10.0,22.403508771929825,12,27.666666666666668,24.829787234042552,0,,34.0,13,34.0,0,0.2,18486,0,32,0.8,716.9122807017544,False,0.013360730283441483,0,0.2,18038,8,48,1.0,1155.3684210526317,False,0.0010585185269045357,0,0.21800000000000003,24095,1,10,1.0,270.70138111235536,False,-0.008334669290489599,0,0.2,24423,0,1,0.1,24.829787234042552,False,5.790675358191148e-05,0,0.2,30426,0,0,0.0,0.0,False,0.0,13,0.42000000000000004,30050.0,2,0,0.0,49.659574468085104,False,-0.011541780476104619,0.48333333333333334,145518,0.0,0.0,12,0,0,13,7,7.0,24,37,30,216.0,46.0,17,15,30,532,1.7657318609999493,10.769681617908645
5,30,0,0,0,10.0,20,10.0,24.328591749644378,19,29.526315789473685,24.478260869565215,6,22.0,34.0,12,34.0,0,0.2,18387,1,41,1.0,1007.4722617354195,False,0.01584943702235481,0,0.2,18498,7,40,1.0,1043.143669985775,False,0.022777577704500247,0,0.21800000000000003,24216,0,6,0.2,146.86956521739128,False,-0.005916559605111895,0,0.2,23873,8,11,1.0,463.8896035623724,False,-0.013467103143931217,0,0.2,30426,0,0,0.0,0.0,False,0.0,12,0.5270000000000001,29735.0,8,0,0.0,195.82608695652172,False,-0.019492767913026357,0.5333333333333333,145135,0.0,0.0,16,0,0,18,7,7.0,23,41,22,187.0,51.0,18,12,22,893,1.6416565550025553,12.4113381729112
6,22,0,0,0,10.0,20,10.0,26.682564857822587,25,32.64,24.195356651901633,22,23.636363636363637,34.0,12,34.0,0,0.2,18805,2,35,1.0,953.8897700237906,False,0.036886689880183746,0,0.2,18696,6,41,1.0,1153.985159170726,False,0.03640527960773087,10,0.31800000000000006,23744,6,10,1.0,402.0489556659519,False,-0.02001209471093656,0,0.2,23717,7,15,1.0,549.7083037832826,False,-0.01809551641599236,0,0.2,30426,0,0,0.0,0.0,False,0.0,12,0.6350000000000001,29034.0,30,0,0.0,725.860699557049,False,-0.03382204858415415,0.6666666666666666,144422,0.0,0.0,16,0,0,8,10,9.25,23,31,33,126.0,54.0,9,13,33,1148,1.429004164005164,13.840342336916365
7,33,0,0,0,10.0,20,10.0,27.69024970837324,26,30.76923076923077,23.087538122770038,26,20.576923076923077,34.0,12,34.0,0,0.2,18985,6,35,1.0,1029.1587397930634,False,0.04858998547518454,0,0.2,19116,2,35,1.0,989.1587397930634,False,0.0545590110720871,8,0.38800000000000007,23096,22,10,1.0,840.0608748119116,False,-0.03756935264770582,0,0.2,23853,0,14,0.7,323.2255337187805,False,-0.01716408419172502,0,0.2,30426,0,0,0.0,0.0,False,0.0,12,0.7430000000000001,28322.0,56,0,0.0,1292.902134875122,False,-0.04790471743122462,0.6166666666666667,143798,0.0,0.0,14,0,0,12,7,6.090909090909091,23,35,26,164.0,80.0,11,22,26,1136,1.1536888879491016,14.994031224865466
8,26,0,0,0,10.0,20,10.0,28.058504659486776,18,30.0,28.450378263874992,38,39.23684210526316,34.0,9,34.0,0,0.2,19455,3,27,1.0,787.579625806143,False,0.06736877892574063,0,0.2,18986,5,45,1.0,1312.6327096769048,False,0.05626566760800446,0,0.38000000000000006,22773,30,10,1.0,1126.2589224233532,False,-0.04493208393174772,14,0.34,24707,0,0,0.0,0.0,False,0.011172955717442907,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,0.8210000000000002,26714.0,94,0,0.0,2674.3355568042493,False,-0.07805272535324646,0.5,143061,0.0,0.0,15,0,0,11,7,7.0,24,35,32,179.0,85.0,11,15,32,1573,1.144234714040067,16.138265938905533
9,32,0,0,0,10.000000000000002,20,10.0,28.931905244423316,55,30.545454545454547,28.78113720228369,14,31.214285714285715,33.99999999999999,14,34.0,0,0.2,19655,4,27,1.0,821.1614415994295,False,0.0790267111636757,0,0.2,20266,4,10,1.0,329.31905244423314,False,0.0986588258884769,4,0.42000000000000004,22456,40,10,1.0,1445.0875817997694,False,-0.05138152611525389,0,0.32600000000000007,23657,25,10,1.0,1011.1090031334197,False,-0.011109335288257817,0,0.2,30426,0,0,0.0,0.0,False,0.0,14,0.9520000000000002,26050.0,108,0,0.0,3108.362817846639,False,-0.09274365973432855,0.6666666666666666,142510,0.0,0.0,15,0,0,14,8,7.6,26,40,33,253.0,72.0,18,14,33,2064,1.388073020032607,17.52633895893814
10,33,0,0,0,10.000000000000002,20,10.0,29.296360065190456,19,32.0,28.01001739761615,19,23.736842105263158,33.99999999999999,10,34.0,0,0.2,20143,6,18,1.0,587.3344811734282,False,0.09898189076073961,0,0.2,20186,2,20,1.0,605.9272013038092,False,0.10179412780446886,4,0.45600000000000007,22282,40,10,1.0,1451.9545765837797,False,-0.05836222934059542,0,0.32600000000000007,23554,24,15,1.0,1123.2629025288131,False,-0.013029735153294354,0,0.2,30426,0,0,0.0,0.0,False,0.0,10,1.0380000000000003,25460.0,127,0,0.0,3557.272209497251,False,-0.10475790098111404,0.6666666666666666,142051,0.0,0.0,17,0,0,15,8,8.0,24,39,33,200.0,96.0,16,17,33,1163,1.4606528580188751,18.986991816957016
11,33,0,0,0,10.000000000000002,20,10.0,29.639020324127284,48,30.666666666666668,28.21667244647682,41,28.78048780487805,33.99999999999999,9,34.0,20,0.4,20611,8,10,1.0,376.39020324127284,False,0.11847682843733258,0,0.2,20426,0,20,1.0,592.7804064825457,False,0.11434664461396393,20,0.6520000000000001,21431,62,10,1.0,2119.78598456066,False,-0.07952471996888233,0,0.32600000000000007,23346,30,14,1.0,1284.204023974494,False,-0.018249078661404263,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,1.1180000000000003,24165.0,168,0,0.0,4740.400971008106,False,-0.12787745725681804,0.6666666666666666,140405,0.0,0.0,16,0,0,17,11,10.555555555555555,18,35,29,202.0,66.0,16,17,29,1443,1.351578641042579,20.338570457999595
12,29,0,0,0,10.000000000000002,20,10.0,29.639020324127284,0,,30.145230421219424,46,35.91304347826087,33.99999999999999,9,34.0,0,0.38000000000000006,20541,5,20,1.0,642.7804064825457,False,0.12187514536681401,0,0.2,20296,3,30,1.0,919.1706097238185,False,0.11613171138212036,16,0.7920000000000003,21805,52,10,1.0,1842.6813610668128,False,-0.06988865185669947,6,0.38600000000000007,23886,20,10,1.0,894.2327106947399,False,-0.004128822323509426,0,0.2,30426,0,0,0.0,0.0,False,0.0,9,1.1990000000000003,22407.0,214,0,0.0,6451.079310140956,False,-0.15754487428283445,0.6666666666666666,139361,0.0,0.0,12,0,0,12,7,6.25974025974026,22,34,32,154.0,64.0,12,17,32,539,1.5077948670368642,21.84636532503646
