index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,0,0.2,12763,0,10,1.0,170.0,False,-0.0011661354271942782,0,0.2,12763,0,10,1.0,170.0,False,-0.0011661354271942782,0,0.2,19892,0,0,0.0,0.0,False,0.0,0,0.2,19892,0,0,0.0,0.0,False,0.0,0,0.2,30410,0,0,0.0,0.0,False,0.0,0,0.2,30410,0,0,0.0,0.0,False,0.0,0.3333333333333333,126130,0.0,0.0,4,0,0,0,0,0.0,167,167,88,0.0,0.0,0,0,88,200,2.039891123014968,2.039891123014968
1,88,0,0,0,10.0,20,10.0,17.0,0,,26.0,0,,35.0,0,,0,0.2,12693,0,17,0.7,289.0,False,-0.0019824302262302727,0,0.2,12633,3,20,1.0,370.0,False,-0.0034984062815828347,0,0.2,19892,0,0,0.0,0.0,False,0.0,0,0.2,19892,0,0,0.0,0.0,False,0.0,0,0.2,30410,0,0,0.0,0.0,False,0.0,0,0.2,30410,0,0,0.0,0.0,False,0.0,0.2833333333333333,125930,0.0,0.0,5,0,0,23,0,0.0,17,40,38,503.0,352.0,30,58,38,200,2.231453804008197,4.271344927023165
2,38,0,0,0,10.0,20,10.0,16.346938775510203,4,9.0,26.0,0,,35.0,0,,0,0.2,12639,0,22,0.9,359.63265306122446,False,-0.00343494312908248,0,0.2,12523,4,30,1.0,530.408163265306,False,-0.005814811347846267,0,0.2,19883,0,1,0.1,26.0,False,0.00020108586366378444,0,0.2,19865,0,3,0.3,78.0,False,0.0006032575909913533,0,0.2,30410,0,0,0.0,0.0,False,0.0,0,0.2,30410,0,0,0.0,0.0,False,0.0,0.3833333333333333,125730,0.0,0.0,7,0,0,11,0,0.0,16,27,31,263.0,65.0,19,19,31,236,1.5372518009971827,5.808596728020348
3,31,0,0,0,10.0,20,10.0,18.03677758318739,13,23.76923076923077,26.0,0,,35.0,20,35.0,0,0.2,12518,3,31,1.0,589.1401050788091,False,-0.003920543221689803,0,0.2,12753,1,28,1.0,515.029772329247,False,0.011468155653006532,0,0.2,19574,3,11,1.0,340.1103327495622,False,-0.007437403661030422,0,0.2,19865,0,3,0.0,78.0,False,0.0006032575909913533,8,0.28,30326,0,0,0.0,0.0,False,-0.0027622492601118054,12,0.32000000000000006,30254,0,0,0.0,0.0,False,-0.005129891483064781,0.5,125290,0.0,0.0,7,0,0,6,5,5.0,11,17,29,85.0,72.0,7,24,29,509,1.3704769909963943,7.179073719016742
4,29,0,0,0,10.0,20,10.0,18.03677758318739,0,,24.58823529411765,6,14.0,35.0,20,35.0,0,0.2,12408,4,41,1.0,779.5078809106831,False,-0.005072382767990294,0,0.2,12663,0,38,1.0,685.3975481611209,False,0.01109373972483556,0,0.2,19658,0,8,0.3,196.7058823529412,False,-0.006819176494245321,0,0.2,19865,0,3,0.0,73.76470588235294,False,0.0004968003690516167,12,0.392,30163,0,0,0.0,0.0,False,-0.008122328181519237,8,0.38800000000000007,30087,6,0,0.0,147.52941176470588,False,-0.008195833413931168,0.3833333333333333,124844,0.0,0.0,6,0,0,5,5,5.0,11,16,27,57.0,84.0,6,23,27,284,1.264446967979893,8.443520686996635
5,27,0,0,0,10.0,20,10.0,19.264465459208207,11,25.0,24.22044088176353,4,20.0,35.0,20,35.0,0,0.2,12328,2,51,1.0,1002.4877384196186,False,-0.0026242813332963215,0,0.2,12818,2,37,1.0,732.7852219907037,False,0.024985820648009936,0,0.2,19463,1,14,1.0,358.35063780389765,False,-0.01255905294078286,0,0.2,19865,0,3,0.0,72.6613226452906,False,0.0004690660226545862,9,0.4700000000000001,30065,0,0,0.0,0.0,False,-0.011344952318316344,11,0.49000000000000005,29867,10,0,0.0,242.20440881763528,False,-0.01387365325850652,0.5,124406,0.0,0.0,7,0,0,5,5,5.0,9,14,36,58.0,89.0,6,21,36,555,1.296339756983798,9.739860443980433
6,36,0,0,0,10.0,20,10.0,20.342713771312052,13,25.0,27.574948338896842,18,35.94444444444444,34.99999999999999,20,35.0,0,0.2,12228,2,61,1.0,1260.9055400500351,False,-0.00035351239796173106,0,0.2,13043,2,34,1.0,711.6522682246098,False,0.04165638918699411,4,0.24000000000000002,19661,4,10,1.0,357.1203384742166,False,-0.002636227164834646,0,0.2,19865,0,3,0.0,82.72484501669052,False,0.0007220200335986338,9,0.5510000000000002,29786,0,5,0.5,174.99999999999997,False,-0.017642222952975996,11,0.5890000000000001,29275,23,0,0.0,634.2238117946274,False,-0.026895366461778602,0.5833333333333334,123858,0.0,0.0,7,0,0,13,6,5.444444444444445,11,24,35,176.0,95.0,14,22,35,929,1.317474936018698,11.057335379999131
7,35,0,0,0,10.0,20,10.0,21.16318381173514,18,24.0,30.438172583390298,18,39.44444444444444,35.0,20,35.0,0,0.2,12118,3,71,1.0,1532.586050633195,False,0.0016553700782552885,0,0.2,13385,1,26,1.0,560.2427791051136,False,0.06235881128450254,8,0.31600000000000006,19691,12,10,1.0,558.3399315747247,False,0.003929718770730014,0,0.2,19865,0,3,0.0,91.3145177501709,False,0.0009379277536238675,6,0.6020000000000001,29297,6,10,1.0,532.6290355003418,False,-0.027842337462999935,9,0.6680000000000001,29075,25,0,0.0,760.9543145847574,False,-0.03138845257177316,0.6666666666666666,123431,0.0,0.0,8,0,0,8,5,4.3,15,23,30,178.0,95.0,13,22,30,874,1.261297303950414,12.318632683949545
8,30,0,0,0,10.0,20,10.0,21.16318381173514,0,,35.8188160878308,24,50.875,35.0,20,35.0,0,0.2,12018,3,81,1.0,1744.2178887505465,False,0.0021075133619896987,0,0.2,13285,1,36,1.0,771.8746172224651,False,0.06281095456823695,11,0.41800000000000004,20442,2,10,1.0,400.5145285017782,False,0.037716532487979564,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,0,0.5960000000000001,29647,0,6,0.6,210.0,False,-0.021637619204209143,10,0.7590000000000001,27742,49,0,0.0,1755.121988303709,False,-0.058876652609278,0.6,123128,0.0,0.0,7,0,0,6,3,2.5238095238095237,12,18,32,107.0,91.0,8,22,32,679,1.0625701830140315,13.381202866963577
9,32,0,0,0,10.000000000000002,20,10.0,22.155385800407156,28,24.714285714285715,36.25982770484604,7,41.42857142857143,35.00000000000001,20,35.0,0,0.2,12380,0,73,1.0,1617.3431634297224,False,0.025318477937873087,0,0.2,13415,4,36,1.0,837.5938888146576,False,0.07547204729902275,0,0.4070000000000001,20040,20,13,1.0,914.4854761711417,False,0.030426439678542617,0,0.2,19994,0,0,0.0,0.0,False,0.005127689523426503,2,0.6160000000000001,29653,0,5,0.5,175.00000000000003,False,-0.02201578428148635,12,0.8690000000000002,27483,51,0,0.0,1849.251212947148,False,-0.06584591889268085,0.5833333333333334,122965,0.0,0.0,10,0,0,7,4,3.4,10,17,31,120.0,125.0,8,24,31,1287,1.1083632410154678,14.489566107979044
