index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,18362,1,10,1.0,220.0,False,0.0,0,0.2,18382,9,0,0.0,90.0,False,-0.00243611953226505,0,0.2,27658,0,0,0.0,0.0,False,0.0,0,0.2,27658,0,0,0.0,0.0,False,0.0,0,0.2,37715,0,0,0.0,0.0,False,0.0,0,0.2,37715,0,0,0.0,0.0,False,0.0,0.16666666666666666,167490,0.0,0.0,13,0,0,0,0,0.0,246,246,54,0.0,0.0,0,0,54,200,1.3248623550171033,1.3248623550171033
1,54,0,0,0,10.0,20,10.0,21.0,0,,30.0,0,,40.0,0,,0,0.2,18262,1,20,1.0,430.0,False,0.00027067994802945,0,0.2,18282,19,0,0.0,190.0,False,-0.00514291901255955,0,0.2,27658,0,0,0.0,0.0,False,0.0,0,0.2,27658,0,0,0.0,0.0,False,0.0,0,0.2,37715,0,0,0.0,0.0,False,0.0,0,0.2,37715,0,0,0.0,0.0,False,0.0,0.16666666666666666,167290,0.0,0.0,8,0,0,38,0,0.0,35,73,32,840.0,33.0,48,6,32,200,4.043537014978938,5.368399369996041
2,32,0,0,0,10.0,20,10.0,15.446153846153846,20,2.95,29.125,3,16.0,40.0,0,,0,0.2,18182,0,29,0.9,447.9384615384615,False,-0.00357464103674582,20,0.4,17590,31,0,0.0,310.0,False,-0.03935686444348203,3,0.23,27586,0,3,0.3,87.375,False,-0.0010236640393376237,0,0.2,27611,7,10,1.0,399.37307692307695,False,0.005520519866278746,0,0.2,37715,0,0,0.0,0.0,False,0.0,0,0.2,37667,3,0,0.0,87.375,False,-0.00011434442529497547,0.3666666666666667,166351,0.0,0.0,14,0,0,17,4,4.0,29,46,23,340.0,55.0,23,9,23,200,3.712830547010526,9.081229917006567
3,23,0,0,0,10.0,20,10.0,15.446153846153846,0,,26.08896797153025,13,16.0,40.0,20,40.0,0,0.2,18092,0,38,0.9,586.9538461538461,False,-0.004684012392977294,0,0.38000000000000006,17480,42,0,0.0,420.0,False,-0.04233434387180598,10,0.32700000000000007,27399,0,0,0.0,0.0,False,-0.009364379203123871,0,0.2,27611,0,17,0.7,443.5124555160142,False,0.006318469439511436,10,0.30000000000000004,37475,0,5,0.5,200.0,False,-0.00371205090812674,10,0.30000000000000004,37379,11,0,0.0,286.97864768683274,False,-0.00510435307322243,0.35000000000000003,165436,0.0,0.0,13,0,0,16,14,14.0,23,39,31,187.0,51.0,16,7,31,248,2.5811804379918613,11.662410354998428
4,31,0,0,0,10.0,20,10.0,17.716788321167883,10,31.0,25.34957860021986,4,16.0,40.0,20,40.0,0,0.2,18302,0,38,1.0,673.2379562043795,False,0.00902008326668414,0,0.38000000000000006,17380,52,0,0.0,520.0,False,-0.04504114335210048,4,0.35700000000000004,27009,0,10,1.0,253.4957860021986,False,-0.018882497179799753,0,0.2,27611,0,17,0.0,430.9428362037376,False,0.006091236463296986,5,0.34,37619,0,0,0.0,0.0,False,-0.002545406337001193,10,0.39,37159,15,0,0.0,380.2436790032979,False,-0.009701131128154643,0.3333333333333333,165080,0.0,0.0,16,0,0,15,10,10.0,25,40,28,202.0,93.0,15,16,28,710,1.9983032770105638,13.660713632008992
5,28,0,0,0,10.0,20,10.0,19.72801101169993,11,31.0,23.90182719108083,9,16.0,40.0,20,40.0,0,0.2,18523,2,37,1.0,749.9364074328975,False,0.023060210248833334,0,0.38000000000000006,17300,60,0,0.0,600.0,False,-0.047206582936336075,0,0.35300000000000004,26812,1,11,1.0,282.6481101135891,False,-0.02547819599910357,0,0.2,27611,0,17,0.0,406.3310622483741,False,0.00564630599190789,8,0.41500000000000004,37509,0,0,0.0,0.0,False,-0.005462017764815061,12,0.5,36803,24,0,0.0,573.64385258594,False,-0.016576377401750747,0.3333333333333333,164558,0.0,0.0,15,0,0,11,10,10.0,23,34,24,162.0,100.0,14,14,24,685,1.6266090219723992,15.287322653981391
6,24,0,0,0,10.0,20,10.0,22.16320932208533,17,31.529411764705884,22.52889442076898,11,16.0,40.0,20,40.0,0,0.2,18959,2,30,1.0,684.8962796625599,False,0.04490299587653087,0,0.38000000000000006,17200,70,0,0.0,700.0,False,-0.049913382416630576,0,0.35300000000000004,26452,8,10,1.0,402.5946187843724,False,-0.03632593429054211,0,0.2,27611,0,17,0.0,382.9912051530727,False,0.005224369172627631,12,0.5270000000000001,37189,0,7,0.7,280.0,False,-0.010234654646692298,8,0.5680000000000001,36649,28,0,0.0,630.8090437815315,False,-0.019901775901080124,0.45,164060,0.0,0.0,16,0,0,11,9,9.0,24,35,27,171.0,81.0,12,12,27,912,1.3011089370120317,16.588431590993423
7,27,0,0,0,10.0,20,10.0,23.434015490947953,11,32.0,27.897184498443256,28,38.82142857142857,40.0,20,40.0,0,0.2,19201,3,29,1.0,709.5864492374907,False,0.05867221874289436,0,0.38000000000000006,17110,79,0,0.0,790.0,False,-0.05234950194889563,18,0.533,26390,9,10,1.0,489.8779844029641,False,-0.036989695849248626,0,0.2,27611,0,17,0.0,474.25213647353536,False,0.006874179920340167,3,0.5450000000000002,36352,18,10,1.0,902.1493209719786,False,-0.024179380604905508,10,0.6600000000000001,36489,28,0,0.0,781.1211659564111,False,-0.02215138319029015,0.5,163153,0.0,0.0,16,0,0,15,12,11.285714285714285,24,39,20,244.0,45.0,17,10,20,832,1.9721490549854934,18.560580645978916
8,20,0,0,0,10.0,20,10.0,23.817336806057224,13,26.076923076923077,29.24235567683328,17,35.294117647058826,40.0,20,40.0,0,0.2,19442,2,28,1.0,686.8854305696022,False,0.07110452118258988,2,0.4,16957,90,0,0.0,900.0,False,-0.05765482893027284,6,0.5750000000000001,26383,12,10,1.0,578.2315984410195,False,-0.035645534774007226,0,0.2,27656,0,16,0.0,467.8776908293325,False,0.008385958688794009,0,0.542,36752,8,10,1.0,633.9388454146663,False,-0.017129274222263444,10,0.7500000000000002,35731,45,0,0.0,1315.9060054574977,False,-0.03515967114599636,0.5,162921,0.0,0.0,22,0,0,9,10,9.555555555555555,23,32,17,133.0,25.0,11,9,17,1072,1.2239647789974697,19.784545424976386
9,17,0,0,0,10.000000000000002,20,10.0,24.7474457951887,12,31.0,28.796012197878984,12,25.666666666666668,40.0,20,40.0,0,0.2,19754,0,24,0.8,593.9386990845288,False,0.08547906829483896,0,0.398,16817,104,0,0.0,1040.0000000000002,False,-0.06144434820268514,0,0.5690000000000001,26511,2,12,1.0,395.0470379649252,False,-0.03432918074399944,0,0.2,27464,2,22,1.0,683.007159943715,False,0.005333125315346631,4,0.5820000000000001,36980,6,10,1.0,572.7760731872739,False,-0.011894788901136558,6,0.8,35481,49,0,0.0,1411.0045976960703,False,-0.040527580568791355,0.6333333333333333,163007,0.0,0.0,23,0,0,4,7,7.0,23,27,15,92.0,44.0,6,11,15,1280,1.2551624670159072,21.039707891992293
