index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,24.0,0,,33.0,0,,0,0.2,12511,0,7,0.7,105.0,False,-0.0013909864080756697,0,0.2,12451,3,10,1.0,180.0,False,-0.003179397504172959,0,0.2,21073,0,0,0.0,0.0,False,0.0,0,0.2,21073,0,0,0.0,0.0,False,0.0,0,0.2,28675,0,0,0.0,0.0,False,0.0,0,0.2,28675,0,0,0.0,0.0,False,0.0,0.2833333333333333,124458,0.0,0.0,11,0,0,0,0,0.0,305,305,69,0.0,0.0,0,0,69,200,1.3707920690067112,1.3707920690067112
1,69,0,0,0,10.0,20,10.0,15.0,0,,24.0,0,,33.0,0,,0,0.2,12461,0,12,0.5,180.0,False,-0.0023845481281297193,0,0.2,12301,8,20,1.0,380.0,False,-0.007153644384389158,0,0.2,21073,0,0,0.0,0.0,False,0.0,0,0.2,21073,0,0,0.0,0.0,False,0.0,0,0.2,28675,0,0,0.0,0.0,False,0.0,0,0.2,28675,0,0,0.0,0.0,False,0.0,0.25,124258,0.0,0.0,8,0,0,46,0,0.0,33,79,42,921.0,96.0,57,12,42,200,3.0930483510019258,4.463840420008637
2,42,0,0,0,10.0,20,10.0,14.742424242424242,21,14.19047619047619,24.0,0,,33.0,0,,0,0.2,12561,2,12,1.0,196.9090909090909,False,0.006235954650230184,0,0.2,12299,6,19,1.0,340.1060606060606,False,-0.008898097901356806,0,0.2,21003,0,10,1.0,240.0,False,0.002372704408484791,0,0.2,20845,1,10,1.0,254.74242424242425,False,-0.004775247372409623,0,0.2,28675,0,0,0.0,0.0,False,0.0,0,0.2,28675,0,0,0.0,0.0,False,0.0,0.6666666666666666,124058,0.0,0.0,13,0,0,20,0,0.0,28,48,30,356.0,59.0,27,15,30,498,2.612921237014234,7.076761657022871
3,30,0,0,0,10.0,20,10.0,14.742424242424242,0,,23.547169811320753,8,21.0,33.0,20,33.0,0,0.2,12451,3,22,1.0,354.3333333333333,False,0.0037490395570038996,0,0.2,12209,5,29,1.0,477.530303030303,False,-0.010590163618539707,0,0.2,21003,0,10,0.0,235.47169811320754,False,0.002265261189987373,0,0.2,21013,0,3,0.1,70.64150943396226,False,-0.0011711310816219596,10,0.30000000000000004,28553,0,0,0.0,0.0,False,-0.004254577157802964,10,0.30000000000000004,28378,8,0,0.0,188.37735849056602,False,-0.007072757480548129,0.35000000000000003,123607,0.0,0.0,12,0,0,13,10,10.0,22,35,29,192.0,66.0,14,16,29,368,1.686863623035606,8.763625280058477
4,29,0,0,0,10.0,20,10.0,15.829301075268816,15,20.133333333333333,23.975270479134466,17,25.176470588235293,33.0,20,33.0,0,0.2,12617,5,19,1.0,350.7567204301075,False,0.016801395772597906,0,0.2,12145,3,37,1.0,615.6841397849462,False,-0.010186625078096109,0,0.2,21323,0,2,0.0,47.95054095826893,False,0.01300124664163315,6,0.26,20645,5,10,1.0,318.89921016768875,False,-0.012743814118357798,12,0.41000000000000003,28283,0,9,0.9,297.0,False,-0.008491717523975588,8,0.37000000000000005,27968,16,0,0.0,383.60432766615145,False,-0.01796679463528943,0.65,122981,0.0,0.0,16,0,0,14,11,10.666666666666666,22,36,32,159.0,84.0,11,18,32,822,1.2298765779705718,9.993501858029049
5,32,0,0,0,10.0,20,10.0,16.66587085038654,21,19.333333333333332,23.975270479134466,0,,33.0,20,33.0,0,0.2,12947,1,10,1.0,176.6587085038654,False,0.036112340374527714,0,0.2,12021,7,45,1.0,819.9641882673943,False,-0.011924163887314475,0,0.2,21323,0,2,0.0,47.95054095826893,False,0.01300124664163315,0,0.254,20239,16,20,1.0,746.1593431888739,False,-0.021872553903362693,1,0.40800000000000003,28574,0,0,0.0,0.0,False,-0.0035222319093286833,10,0.4620000000000001,27835,16,0,0.0,383.60432766615145,False,-0.022604981208959873,0.5,122939,0.0,0.0,21,0,0,5,8,8.0,31,36,30,181.0,101.0,13,19,30,903,1.1398799209855497,11.133381779014599
6,30,0,0,0,10.0,20,10.0,17.264108833161362,10,22.0,22.87788189796222,9,15.777777777777779,33.0,20,33.0,0,0.2,13077,0,10,1.0,172.64108833161362,False,0.04628571211873512,0,0.2,11911,8,55,1.0,1029.525985823875,False,-0.012339003822276644,0,0.2,21361,0,1,0.0,22.87788189796222,False,0.0142096019052333,0,0.254,20123,16,22,1.0,779.5391430857505,False,-0.0265852241473509,7,0.4770000000000001,28399,0,8,0.8,264.0,False,-0.005021795989537925,13,0.5820000000000001,27600,17,0,0.0,388.9239922653577,False,-0.03070751539206002,0.6333333333333333,122471,0.0,0.0,16,0,0,8,12,12.0,26,34,30,178.0,85.0,12,18,30,562,1.245296121982392,12.37867790099699
7,30,0,0,0,10.0,20,10.0,17.899681542777863,10,23.0,23.237550197538493,1,45.0,33.0,20,33.0,0,0.2,13187,2,10,1.0,198.99681542777864,False,0.056076496917088374,0,0.2,11831,6,65,1.0,1223.4793002805611,False,-0.010989615281751849,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,0.254,19893,16,32,1.0,1029.9965110056776,False,-0.03155705141636976,3,0.5,28641,0,0,0.0,0.0,False,-0.001185701830863121,9,0.6590000000000001,27446,18,0,0.0,418.2759035556929,False,-0.0355662440530829,0.5,122404,0.0,0.0,17,0,0,6,8,8.0,25,31,32,144.0,105.0,10,20,32,739,1.003518886049278,13.382196787046269
8,32,0,0,0,10.0,20,10.0,19.207182032622473,28,23.0,23.13650356459372,19,22.842105263157894,33.0,20,33.0,7,0.27,13362,1,10,1.0,202.07182032622472,False,0.07010856928408814,0,0.2,11974,7,64,1.0,1299.2596500878383,False,0.003388428983699188,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,0.254,19683,34,23,1.0,1185.1837710948198,False,-0.03784027497046418,8,0.5770000000000002,28550,0,0,0.0,0.0,False,-0.004359197907585004,12,0.77,26836,37,0,0.0,856.0506318899677,False,-0.04920574312310437,0.5,121811,0.0,0.0,15,0,0,11,13,12.411764705882353,26,37,23,236.0,99.0,14,18,23,887,2.0160191399627365,15.398215927009005
9,23,0,0,0,10.000000000000002,20,10.0,19.68001541328076,14,23.0,22.3108023595118,33,20.636363636363637,32.99999999999999,20,33.0,0,0.263,13272,0,20,1.0,393.6003082656152,False,0.07056673985635535,0,0.2,12186,8,60,1.0,1260.8009247968455,False,0.018710791065767583,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,10,0.35400000000000004,19722,38,10,1.0,970.9486092997869,False,-0.04107273266028116,11,0.6790000000000002,28031,8,10,1.0,508.4864188760944,False,-0.013592215887077748,9,0.8480000000000001,26420,52,0,0.0,1160.1617226946137,False,-0.05841043203671123,0.6666666666666666,121037,0.0,0.0,15,0,0,9,13,12.8,26,35,26,169.0,65.0,11,12,26,1023,1.1161461809533648,16.51436210796237
10,26,0,0,0,10.000000000000002,20,10.0,20.058376159275614,13,23.0,23.521501282580438,29,27.275862068965516,32.99999999999999,20,33.0,0,0.263,13182,0,29,0.9,581.6929086189928,False,0.07088835977342788,0,0.2,12375,9,57,1.0,1233.32744107871,False,0.03264158020343013,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,19,0.534,19545,41,10,1.0,1057.6084353561046,False,-0.04741592475309396,0,0.6680000000000001,28131,11,12,1.0,654.7365141083847,False,-0.007554725124526827,12,0.9590000000000003,25622,68,0,0.0,1599.4620872154699,False,-0.07857956255945127,0.65,120261,0.0,0.0,21,0,0,9,9,8.375,25,34,27,186.0,64.0,13,13,27,873,1.1104399909963831,17.624802098958753
11,27,0,0,0,10.000000000000002,20,10.0,20.51776517716376,19,23.0,25.83145382196985,43,31.58139534883721,32.99999999999999,20,33.0,0,0.263,13072,1,39,1.0,810.1928419093866,False,0.0712261681070418,0,0.2,12722,8,48,1.0,1064.8527285038606,False,0.05352725254367148,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,33,0.8450000000000002,19000,50,10,1.0,1284.2027970778865,False,-0.0679019883956274,0,0.6680000000000001,28044,17,11,1.0,802.1347149734873,False,-0.008018575153034236,9,1.0370000000000001,24604,95,0,0.0,2453.9881130871354,False,-0.09918067806299675,0.6666666666666666,118848,0.0,0.0,19,0,0,12,11,10.545454545454545,23,35,25,194.0,71.0,13,14,25,1240,1.2500984180369414,18.874900516995694
12,25,0,0,0,10.000000000000002,20,10.0,20.97915704445648,25,23.0,25.188783363776817,73,24.0,32.99999999999999,20,33.0,0,0.263,13248,1,37,1.0,786.2288106448897,False,0.08426312736049958,0,0.2,12921,8,45,1.0,1024.0620670005417,False,0.06772363353471668,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,63,1.4420000000000004,18350,65,10,1.0,1615.5330415274393,False,-0.0908856583892318,0,0.6680000000000001,26523,80,14,1.0,2477.1026691021452,False,-0.0318552280888902,13,1.1580000000000001,24401,95,0,0.0,2392.934419558798,False,-0.10732459599723107,0.6666666666666666,116849,0.0,0.0,15,0,0,15,9,8.863013698630137,24,39,24,171.0,69.0,12,13,24,1006,1.3036800759728067,20.1785805929685
13,24,0,0,0,10.000000000000002,20,10.0,21.034963729945353,7,22.0,25.188783363776817,0,,32.99999999999999,20,33.0,0,0.263,13158,0,47,1.0,988.6432953074316,False,0.08515393431791721,0,0.2,12965,9,48,1.0,1099.678259037377,False,0.07422614494226917,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,1.3790000000000002,18196,62,20,1.0,1807.9434185321481,False,-0.09362825846979188,0,0.6680000000000001,26919,70,12,1.0,2159.2148354643773,False,-0.02358823303462285,8,1.2250000000000003,24310,95,0,0.0,2392.934419558798,False,-0.11049809207395295,0.6666666666666666,116954,0.0,0.0,21,0,0,14,5,5.0,20,34,26,152.0,97.0,10,14,26,750,1.3594295660150237,21.538010158983525
14,26,0,0,0,10.000000000000002,20,10.0,21.35335761208684,32,22.5,24.90027750162455,60,24.0,32.99999999999999,20,33.0,0,0.263,13416,1,41,1.0,885.4876620955604,False,0.10156138868514275,0,0.2,13227,8,42,1.0,976.8410197076472,False,0.0901693434427966,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,40,1.7790000000000004,17756,84,10,1.0,2042.68481443154,False,-0.10893833781541458,0,0.6680000000000001,25710,120,15,1.0,3483.033300194946,False,-0.04266724847088147,13,1.3470000000000002,24109,95,0,0.0,2365.5263626543324,False,-0.11798559088658533,0.6666666666666666,115624,0.0,0.0,19,0,0,9,9,8.666666666666666,26,35,25,194.0,81.0,13,13,25,1151,1.2120184560189955,22.75002861500252
15,25,0,0,0,10.000000000000002,20,10.0,21.54091236455231,28,22.428571428571427,26.122441786509494,25,37.0,32.99999999999999,13,33.0,0,0.263,13690,0,35,1.0,753.9319327593308,False,0.11811191211983663,0,0.2,13381,9,40,1.0,951.6364945820924,False,0.10140833378038683,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,15,1.889,17618,102,10,1.0,2458.3974790494303,False,-0.10562336926281421,0,0.6680000000000001,24785,135,25,1.0,4351.529641178781,False,-0.05978152325756271,13,1.4640000000000002,23911,95,0,0.0,2481.631969718402,False,-0.12286605109470966,0.6666666666666666,114791,0.0,0.0,13,0,0,5,8,7.6,28,33,22,195.0,80.0,13,12,22,828,1.023029525007587,23.773058140010107
16,22,0,0,0,10.000000000000002,20,10.0,21.578813361496632,13,22.0,26.122441786509494,0,,32.99999999999999,13,33.0,0,0.263,13620,0,42,0.7,906.3101611828586,False,0.11860385347678472,0,0.2,13537,12,37,1.0,918.4160943753753,False,0.1124877233278505,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,1.8740000000000003,17332,105,20,1.0,2788.2242386873363,False,-0.11136942441305621,0,0.6680000000000001,24785,125,35,1.0,4420.305223313687,False,-0.05858229776262103,13,1.5810000000000002,23713,95,0,0.0,2481.631969718402,False,-0.1297710205803243,0.6166666666666667,114393,0.0,0.0,12,0,0,8,7,7.0,27,35,20,147.0,60.0,12,10,20,486,1.0313440230092965,24.804402163019404
17,20,0,0,0,10.000000000000002,20,10.0,21.65930291315931,10,22.8,25.477601771013937,16,16.5,32.99999999999999,9,33.0,0,0.263,13510,1,52,1.0,1136.283751484284,False,0.1190002285781847,0,0.2,13675,11,37,1.0,911.3942077868944,False,0.12317757760857229,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,1.8740000000000003,17368,105,14,1.0,2630.913230675922,False,-0.11339360246106582,0,0.6680000000000001,24681,123,45,1.0,4618.745017834714,False,-0.05874899707350107,9,1.6580000000000004,23444,103,0,0.0,2624.1929824144354,False,-0.1366662078044563,0.6666666666666666,114084,0.0,0.0,15,0,0,12,6,6.0,20,32,19,149.0,78.0,9,11,19,692,0.9123877399833873,25.71678990300279
18,19,0,0,0,10.000000000000002,20,10.0,21.852766243620554,30,22.733333333333334,25.383135909308212,6,22.0,32.99999999999999,9,33.0,0,0.263,13676,2,50,1.0,1112.6383121810277,False,0.13125500008667945,0,0.2,13991,10,29,1.0,733.730221064996,False,0.1412340124419759,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,1.8740000000000003,16818,125,18,1.0,3188.492226820117,False,-0.12626364953209987,0,0.6680000000000001,24681,113,55,1.0,4683.294357751827,False,-0.057623463683490306,9,1.739,23203,109,0,0.0,2766.761814114595,False,-0.14258479835894344,0.6666666666666666,113775,0.0,0.0,16,0,0,8,6,6.0,24,32,18,145.0,44.0,9,10,18,1014,1.0061051899683662,26.722895092971157
19,18,0,0,0,10.000000000000002,20,10.0,21.670364741158934,2,8.0,25.383135909308212,0,,32.99999999999999,20,33.0,0,0.263,13592,2,58,1.0,1276.8811549872182,False,0.13110568138411965,0,0.2,13891,10,39,1.0,945.1442249051985,False,0.14168763313350283,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,1.874,16802,117,28,1.0,3246.160480176225,False,-0.12565461775313855,0,0.6680000000000001,25011,103,55,1.0,4429.462998658745,False,-0.05054118572521803,10,1.8300000000000003,23074,109,0,0.0,2766.761814114595,False,-0.14708349059957115,0.6666666666666666,113776,0.0,0.0,18,0,0,8,6,6.0,18,26,21,101.0,46.0,7,11,21,546,1.2061367420246825,27.92903183499584
20,21,0,0,0,10.000000000000002,20,10.0,21.77766275693824,12,23.0,25.383135909308212,0,,32.99999999999999,20,33.0,0,0.263,13646,5,60,1.0,1356.6597654162945,False,0.13856846695081051,0,0.2,13913,7,45,1.0,1049.994824062221,False,0.14760332342668395,0,0.2,21406,0,0,0.0,0.0,False,0.015802211360508706,0,1.8740000000000003,16526,119,38,1.0,3556.1010326293626,False,-0.13139797293623684,0,0.6680000000000001,25374,93,54,1.0,4142.631639565663,False,-0.042883493643144525,9,1.9100000000000004,22968,109,0,0.0,2766.761814114595,False,-0.15078009042520324,0.6666666666666666,113833,0.0,0.0,20,0,0,6,5,5.0,26,32,23,139.0,96.0,9,12,23,839,1.2753103619907051,29.204342196986545
