index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,28.0,0,,40.0,0,,0,0.2,12390,3,10,1.0,210.0,False,-0.001996805111821086,0,0.2,12450,7,0,0.0,70.0,False,-0.0027955271565495207,0,0.2,20792,0,0,0.0,0.0,False,0.0,0,0.2,20792,0,0,0.0,0.0,False,0.0,0,0.2,30494,0,0,0.0,0.0,False,0.0,0,0.2,30494,0,0,0.0,0.0,False,0.0,0.16666666666666666,127412,0.0,0.0,11,0,0,73,0,0.0,267,340,78,0.0,0.0,0,0,78,200,1.1046092659235,1.1046092659235
1,78,0,0,0,10.0,20,10.0,18.0,0,,25.095744680851062,49,22.428571428571427,40.0,0,,0,0.2,12270,5,20,1.0,410.0,False,-0.003594249201277955,0,0.2,12370,15,0,0.0,150.0,False,-0.0059904153354632585,0,0.2,20792,0,0,0.0,0.0,False,0.0,49,0.6900000000000002,18758,0,0,0.0,0.0,False,-0.09782608695652174,0,0.2,30419,0,5,0.5,200.0,False,0.0008198334098511183,0,0.2,29470,44,0,0.0,1104.2127659574467,False,-0.01547496612518123,0.25,124079,0.0,0.0,9,0,0,42,9,9.0,50,92,41,1039.0,93.0,72,6,41,200,3.2716694185510278,4.376278684474528
2,41,0,0,0,10.0,20,10.0,12.742857142857142,25,3.28,25.498123827392117,22,27.045454545454547,40.0,0,,0,0.2,12150,7,30,1.0,452.2857142857143,False,-0.011490187129164785,25,0.45000000000000007,11611,23,0,0.0,230.0,False,-0.0634185303514377,0,0.2,20722,5,10,1.0,318.6955239882069,False,0.004297218256738364,22,0.861,18389,10,0,0.0,127.42857142857142,False,-0.11250893200681579,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,0,0.2,28875,66,0,0.0,1682.8761726078797,False,-0.025498849403032056,0.3333333333333333,122166,0.0,0.0,9,0,0,17,8,8.0,34,51,23,378.0,90.0,31,10,23,200,2.520395854488015,6.896674538962543
3,23,0,0,0,10.0,20,10.0,11.335064935064935,14,5.0,25.244651377558874,34,24.529411764705884,40.0,11,40.0,0,0.2,12123,6,33,1.0,434.0571428571428,False,-0.014374714742126916,7,0.49500000000000005,11354,34,0,0.0,340.0,False,-0.07955271565495207,0,0.2,20722,0,15,0.5,378.66977066338313,False,0.00573946158771128,34,1.1790000000000003,17416,24,0,0.0,272.04155844155844,False,-0.15582816567810792,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,11,0.31000000000000005,27857,100,0,0.0,2524.4651377558876,False,-0.04508321083236225,0.25,119891,0.0,0.0,10,0,0,16,11,11.0,23,39,14,247.0,43.0,19,4,14,263,1.607592768035829,8.504267306998372
4,14,0,0,0,10.0,20,10.0,11.188051209103842,1,1.0,25.44109027376608,25,26.36,40.0,12,40.0,0,0.2,12013,7,43,1.0,551.0862019914653,False,-0.018486972763919172,1,0.49800000000000005,11243,43,0,0.0,430.0,False,-0.08482428115015975,0,0.2,20921,0,8,0.1,203.52872219012863,False,0.011098709171559513,17,1.3150000000000002,17201,24,0,0.0,268.5132290184922,False,-0.1662535295060963,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,12,0.41900000000000004,26992,125,0,0.0,3180.13628422076,False,-0.06269862457826524,0.18333333333333335,118789,0.0,0.0,10,0,0,8,8,8.0,21,29,10,155.0,24.0,11,3,10,400,0.9066179506480694,9.410885257646441
5,10,0,0,0,10.0,20,10.0,11.488574859148425,45,11.911111111111111,25.60949942742817,9,28.0,40.0,12,40.0,0,0.2,12445,5,29,1.0,383.16867091530435,False,0.00931184788000414,21,0.7070000000000001,10550,55,0,0.0,550.0,False,-0.13538338658146964,0,0.2,20907,4,18,1.0,506.92528913030077,False,0.01772136612952828,9,1.3880000000000003,16625,55,0,0.0,631.8716172531634,False,-0.18521855479864457,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,12,0.5270000000000001,26530,134,0,0.0,3431.6729232753746,False,-0.07372478318234126,0.3333333333333333,117476,0.0,0.0,12,0,0,8,11,11.0,20,28,14,109.0,6.0,8,2,14,712,0.9929617485031486,10.40384700614959
6,14,0,0,0,10.0,20,10.0,12.370974663098767,27,15.555555555555555,25.67413566212718,6,27.0,40.0,11,40.0,0,0.2,12689,7,25,1.0,379.2743665774692,False,0.028645142435202425,13,0.8160000000000001,10220,63,0,0.0,630.0,False,-0.15854632587859424,0,0.2,20901,0,25,0.7,641.8533915531796,False,0.02067750556832389,6,1.4390000000000003,16169,79,0,0.0,977.3069983848026,False,-0.19884313682222,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,11,0.6250000000000001,26194,140,0,0.0,3594.378992697805,False,-0.08207550677677894,0.2833333333333333,116592,0.0,0.0,9,0,0,11,7,7.0,18,29,13,169.0,6.0,12,2,13,564,1.0389464301988482,11.442793436348438
7,13,0,0,0,10.0,20,10.0,12.282115434848881,53,12.09433962264151,25.868874244563546,20,27.0,40.0,6,40.0,5,0.25,13021,8,10,1.0,202.82115434848882,False,0.04811586079666495,23,1.0330000000000001,9553,72,0,0.0,720.0,False,-0.20822683706070289,0,0.2,20754,18,35,1.0,1126.488676387004,False,0.02526184773920262,20,1.6330000000000005,15395,104,0,0.0,1277.3400052242837,False,-0.22885388598441028,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,6,0.6740000000000002,25582,160,0,0.0,4139.019879130167,False,-0.09321473274857076,0.3333333333333333,114724,0.0,0.0,10,0,0,11,10,9.555555555555555,18,29,12,139.0,24.0,10,3,12,662,0.8943355344235897,12.337128970772028
8,12,0,0,0,10.0,20,10.0,12.831309314141867,27,15.851851851851851,25.656621898966456,32,24.84375,40.0,10,40.0,3,0.275,13199,10,10,1.0,228.31309314141868,False,0.06335116186667011,14,1.1500000000000004,9184,80,0,0.0,800.0,False,-0.23450479233226837,0,0.2,20604,22,37,1.0,1231.58381517288,False,0.020574832030898476,24,1.8530000000000004,14835,117,0,0.0,1501.2631897545984,False,-0.2504024819701184,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,10,0.7680000000000002,24637,192,0,0.0,4926.07140460156,False,-0.11129941292382824,0.3333333333333333,112878,0.0,0.0,11,0,0,10,12,11.23076923076923,16,26,15,118.0,39.0,9,3,15,416,0.9474584013223648,13.284587372094393
9,15,0,0,0,10.000000000000002,20,10.0,15.728340258438529,50,24.88,25.211457748129025,28,23.0,40.0,11,40.0,35,0.6220000000000001,13213,11,10,1.0,267.28340258438527,False,0.06602569499138913,5,1.1860000000000002,8994,89,0,0.0,890.0000000000001,False,-0.24608626198083067,0,0.2,20426,33,37,1.0,1451.8591652092455,False,0.01731096491942198,18,2.0090000000000003,13677,146,0,0.0,2296.337677732025,False,-0.2869772586155246,0,0.2,30419,0,5,0.0,200.0,False,0.0008198334098511183,11,0.8680000000000001,23813,220,0,0.0,5546.520704588385,False,-0.12814782080756235,0.3333333333333333,110542,0.0,0.0,10,0,0,12,12,11.375,18,30,13,160.0,60.0,10,5,13,480,0.919222847558558,14.20381021965295
