index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,22.0,0,,29.0,0,,0,0.2,15001,0,8,0.8,120.0,False,-0.0013261720045089848,0,0.2,14961,12,0,0.0,120.0,False,-0.003978516013526954,0,0.2,21345,0,0,0.0,0.0,False,0.0,0,0.2,21345,0,0,0.0,0.0,False,0.0,0,0.2,29929,0,0,0.0,0.0,False,0.0,0,0.2,29929,0,0,0.0,0.0,False,0.0,0.13333333333333333,132510,0.0,0.0,10,0,0,0,0,0.0,359,359,72,0.0,0.0,0,0,72,200,1.6281527923420072,1.6281527923420072
1,72,0,0,0,10.0,20,10.0,12.666666666666666,9,1.0,21.52857142857143,25,20.68,29.0,0,,0,0.2,14921,0,16,0.8,202.66666666666666,False,-0.003890104546559649,9,0.29000000000000004,14688,24,0,0.0,240.0,False,-0.018102247861547644,0,0.2,21336,0,9,0.9,193.75714285714287,False,0.004117056520429758,25,0.45000000000000007,20942,0,0,0.0,0.0,False,-0.018880299836027174,0,0.2,29929,0,0,0.0,0.0,False,0.0,0,0.2,29412,25,0,0.0,538.2142857142857,False,-0.008282697622468466,0.2833333333333334,131228,0.0,0.0,11,0,0,39,6,6.0,51,90,32,1129.0,9.0,69,3,32,200,3.149274689145386,4.777427481487393
2,32,0,0,0,10.0,20,10.0,11.862068965517242,21,10.000000000000002,20.59873417721519,16,16.9375,29.0,0,,0,0.2,15051,0,12,0.7,142.34482758620692,False,0.0027300851265236563,10,0.38100000000000006,14388,37,0,0.0,370.0,False,-0.033684768914528214,0,0.2,21302,3,19,1.0,426.96215626364034,False,0.007986932683617673,16,0.5850000000000001,20516,8,0,0.0,94.89655172413794,False,-0.03661521312428818,0,0.2,29845,0,7,0.7,203.0,False,0.0005847171639546928,0,0.2,29225,34,0,0.0,700.3569620253164,False,-0.011822029435909681,0.39999999999999997,130327,0.0,0.0,14,0,0,23,7,7.0,23,46,21,202.0,20.0,26,6,21,400,2.5561232417821884,7.333550723269582
3,21,0,0,0,10.0,20,10.0,10.723756906077352,17,6.529411764705882,20.598817345597894,5,20.6,29.0,20,29.0,0,0.2,15013,0,15,0.7,160.85635359116029,False,0.0008240950066693144,13,0.5010000000000001,14087,50,0,0.0,500.0,False,-0.049333598567734234,0,0.2,21302,0,22,0.3,453.17398160315366,False,0.008600936556644529,5,0.6190000000000001,20370,25,0,0.0,268.0939226519338,False,-0.03939812783668463,5,0.25,30008,0,0,0.0,0.0,False,0.0026395803401383275,8,0.28,29043,39,0,0.0,803.3538764783178,False,-0.016182400406323044,0.16666666666666666,129823,0.0,0.0,16,0,0,17,11,10.5,20,37,24,163.0,15.0,16,5,24,406,1.2705607442185283,8.60411146748811
4,24,0,0,0,10.0,20,10.0,10.723756906077352,0,,20.90310892673448,19,22.0,29.0,20,29.0,0,0.2,14943,0,22,0.7,235.92265193370173,False,-0.0013287364255121484,0,0.4880000000000001,13957,63,0,0.0,630.0,False,-0.05364365758238843,0,0.2,21302,0,22,0.0,459.86839638815854,False,0.008757751145189877,19,0.804,20152,25,0,0.0,268.0939226519338,False,-0.04961129251225268,10,0.34500000000000003,29896,0,0,0.0,0.0,False,-0.0011026095091717064,10,0.372,28513,58,0,0.0,1212.3803177505997,False,-0.027057697922573457,0.11666666666666665,128763,0.0,0.0,10,0,0,19,14,14.0,24,43,24,219.0,25.0,19,5,24,200,1.1349713858217,9.73908285330981
5,24,0,0,0,10.0,20,10.0,12.22405534858968,11,22.0,21.00367973317715,22,21.363636363636363,28.999999999999996,20,29.0,0,0.2,15095,0,20,0.9,244.4811069717936,False,0.00903392039559029,0,0.4880000000000001,13847,74,0,0.0,740.0,False,-0.057290630594788144,0,0.2,21302,0,22,0.0,462.08095412989735,False,0.008809579623562777,22,1.0050000000000001,19602,36,0,0.0,440.06599254922844,False,-0.07135005873625605,10,0.43500000000000005,29781,0,0,0.0,0.0,False,-0.004945036586588259,10,0.4620000000000001,27929,80,0,0.0,1680.294378654172,False,-0.038753476917802586,0.15,127556,0.0,0.0,12,0,0,12,17,17.0,19,31,22,182.0,32.0,13,11,22,442,1.0848747715353966,10.823957624845207
6,22,0,0,0,10.0,20,10.0,13.581693446470487,12,22.0,20.246204916889234,19,16.63157894736842,29.0,20,29.0,0,0.2,15289,0,15,0.7,203.7254016970573,False,0.02054656195534309,0,0.4880000000000001,13717,87,0,0.0,870.0,False,-0.061600689609442344,0,0.2,21302,0,22,0.0,445.4165081715631,False,0.008419220149251859,19,1.1730000000000003,19015,48,0,0.0,651.9212854305833,False,-0.09388799987279034,10,0.5250000000000001,29564,0,9,0.9,261.0,False,-0.007835209996992883,10,0.552,27602,90,0,0.0,1822.158442520031,False,-0.04730932469310645,0.26666666666666666,126489,0.0,0.0,11,0,0,12,17,17.0,22,34,13,156.0,25.0,13,9,13,464,1.0497059430927038,11.87366356793791
7,13,0,0,0,10.0,20,10.0,12.408131466022821,8,1.0,19.57050177012737,24,16.791666666666668,29.0,20,29.0,0,0.2,15219,0,22,0.7,272.9788922525021,False,0.01820101094929051,8,0.5680000000000001,13451,100,0,0.0,1000.0,False,-0.07492871825475764,0,0.2,21398,0,19,0.0,371.83953363242,False,0.011193242764872744,21,1.3640000000000003,18638,56,0,0.0,694.855362097278,False,-0.11054449842826701,5,0.5650000000000001,29567,3,10,1.0,348.7115053103821,False,-0.006269646407992509,6,0.6020000000000001,27364,101,0,0.0,1976.6206787828642,False,-0.05268100038787024,0.2833333333333333,125637,0.0,0.0,16,0,0,11,10,10.0,20,31,9,67.0,15.0,8,5,9,557,0.7375665241852403,12.61123009212315
8,9,0,0,0,10.0,20,10.0,12.408131466022821,0,,20.4164568112465,11,28.90909090909091,29.0,20,29.0,0,0.2,15139,0,30,0.8,372.24394398068466,False,0.016187386246955905,0,0.5600000000000002,13331,112,0,0.0,1120.0,False,-0.0789072342682846,0,0.2,21662,0,11,0.0,224.5810249237115,False,0.0201119940249171,3,1.3730000000000002,18614,56,0,0.0,694.855362097278,False,-0.11166888353016441,0,0.56,29593,1,10,1.0,310.4164568112465,False,-0.006040688683029061,10,0.6960000000000001,27191,104,0,0.0,2123.311508369636,False,-0.05601070018427546,0.3,125530,0.0,0.0,18,0,0,10,8,8.0,18,28,8,112.0,3.0,8,1,8,754,0.7116103051230311,13.322840397246182
9,8,0,0,0,10.000000000000002,20,10.0,13.308873619739526,8,22.0,22.14204963303711,17,33.23529411764706,29.0,20,29.0,0,0.2,15215,0,32,1.0,425.8839558316648,False,0.023005236915047574,0,0.56,13231,122,0,0.0,1220.0000000000002,False,-0.08222266427955706,0,0.2,22113,0,0,0.0,0.0,False,0.0359803232607168,6,1.4300000000000002,18396,64,0,0.0,851.7679116633296,False,-0.11820642043421574,2,0.5800000000000001,29871,0,1,0.1,29.0,False,-0.001453439807544522,8,0.766,26544,121,0,0.0,2679.1880055974902,False,-0.06834194250396788,0.18333333333333335,125370,0.0,0.0,20,0,0,6,7,7.0,20,26,6,105.0,3.0,7,1,6,1117,0.6525354962795973,13.97537589352578
