index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ind@3,spot_market_loss_07Ind@3,balance_07Ind@3,inventory_07Ind@3_input,inventory_07Ind@3_output,productivity_07Ind@3,assets_07Ind@3,bankrupt_07Ind@3,score_07Ind@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,38.0,0,,49.0,0,,0,0.2,12943,0,8,0.8,136.0,False,-0.0009214466712739,0,0.2,12903,2,10,1.0,190.0,False,-0.0019196805651539584,0,0.2,20604,0,0,0.0,0.0,False,0.0,0,0.2,20604,0,0,0.0,0.0,False,0.0,0,0.2,28231,0,0,0.0,0.0,False,0.0,0,0.2,28231,0,0,0.0,0.0,False,0.0,0,0.2,39300,0,0,0.0,0.0,False,0.0,0,0.2,39300,0,0,0.0,0.0,False,0.0,0.225,202116,0.0,0.0,10,0,0,42,0,0.0,161,203,76,0.0,0.0,0,0,76,200,0.9422312462702394,0.9422312462702394
1,76,0,0,0,10.0,20,10.0,17.0,0,,27.0,0,,36.8125,3,19.0,49.0,0,,0,0.2,12873,0,15,0.7,255.0,False,-0.0017277125086385626,0,0.2,12773,5,20,1.0,390.0,False,-0.0042232972433387085,0,0.2,20604,0,0,0.0,0.0,False,0.0,0,0.2,20604,0,0,0.0,0.0,False,0.0,0,0.2,28231,0,0,0.0,0.0,False,0.0,3,0.23,28153,0,0,0.0,0.0,False,-0.0027629201941128546,0,0.2,39243,0,3,0.3,147.0,False,0.0004198473282442748,0,0.2,39300,0,0,0.0,0.0,False,0.0,0.25,201781,0.0,0.0,9,0,0,33,1,1.0,39,72,38,990.0,168.0,55,21,38,200,2.990806990303099,3.9330382365733385
2,38,0,0,0,10.0,20,10.0,18.454545454545453,10,25.0,23.852459016393443,16,15.0,36.432126696832576,1,20.0,49.0,0,,0,0.2,13023,0,15,1.0,276.8181818181818,False,0.010628049674352305,0,0.2,12673,5,30,1.0,603.6363636363636,False,-0.003699747998296707,8,0.28,20468,0,0,0.0,0.0,False,-0.006600660066006601,8,0.28,20218,10,0,0.0,184.54545454545453,False,-0.014255837348440695,0,0.2,28231,0,0,0.0,0.0,False,0.0,1,0.23700000000000002,27888,16,0,0.0,381.6393442622951,False,-0.005390539756609863,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,0,0.2,39280,0,1,0.1,49.0,False,0.00011450381679389313,0.2625,201024,0.0,0.0,9,0,0,14,3,3.0,26,40,31,366.0,122.0,22,16,31,450,1.8141833133995533,5.747221549972892
3,31,0,0,0,10.0,20,10.0,19.73170731707317,12,25.0,22.457627118644066,10,14.8,38.617016525234476,5,56.0,49.0,0,,0,0.2,13203,2,13,1.0,276.5121951219512,False,0.024438001809181896,0,0.2,12593,3,40,1.0,819.2682926829268,False,-0.0015638373384425372,1,0.28200000000000003,20150,12,0,0.0,236.78048780487802,False,-0.016288572903201386,9,0.36200000000000004,20048,10,0,0.0,197.3170731707317,False,-0.022196731868308856,5,0.25,28258,0,2,0.2,77.23403305046895,False,0.0023242894876282574,0,0.23600000000000002,27768,24,0,0.0,538.9830508474575,False,-0.006854467591522526,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,0,0.2,39000,0,6,0.5,294.0,False,-0.0038931297709923663,0.3375,200263,0.0,0.0,10,0,0,12,4,4.0,19,31,26,237.0,153.0,14,17,26,500,1.485949458554387,7.233171008527279
4,26,0,0,0,10.0,20,10.0,21.772551189817378,35,25.0,22.457627118644066,0,,40.53558341795065,5,56.0,49.0,11,49.0,0,0.2,13448,0,10,1.0,217.72551189817378,False,0.04099383828219972,0,0.2,13023,5,28,1.0,659.6314333148866,False,0.02532563285398478,0,0.281,19550,36,0,0.0,783.8118428334255,False,-0.032134249591500984,0,0.35300000000000004,19773,21,0,0.0,457.2235749861649,False,-0.029236469253878742,3,0.275,28403,0,0,0.0,0.0,False,0.0060925932485565515,0,0.23600000000000002,27768,24,0,0.0,538.9830508474575,False,-0.006854467591522526,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,5,0.25,38948,0,5,0.5,245.0,False,-0.00583969465648855,0.3125,200156,0.0,0.0,14,0,0,12,4,3.2666666666666666,19,31,23,201.0,87.0,12,14,23,1320,1.774315900169313,9.007486908696592
5,23,0,0,0,10.0,20,10.0,22.508047286711296,24,25.0,21.002017000432215,11,13.272727272727273,39.6491661483665,11,36.36363636363637,49.0,10,49.0,1,0.21000000000000002,13592,1,10,1.0,235.08047286711297,False,0.052717517963108106,0,0.2,13258,4,25,1.0,602.7011821677823,False,0.041184872232503285,10,0.38100000000000006,19008,49,0,0.0,1102.8943170488535,False,-0.05069660461442301,1,0.36300000000000004,19480,32,0,0.0,720.2575131747615,False,-0.03707392949973893,5,0.322,28444,0,1,0.1,39.6491661483665,False,0.008247124900789327,6,0.29600000000000004,27476,34,0,0.0,714.0685780146953,False,-0.01409676281366767,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,5,0.29500000000000004,38733,1,10,1.0,529.6491661483665,False,-0.007688941906509419,0.3875,199234,0.0,0.0,14,0,0,16,10,8.757575757575758,17,33,25,171.0,108.0,12,11,25,721,2.1188495000824332,11.126336408779025
6,25,0,0,0,10.0,20,10.0,23.555111597661337,50,25.54,20.89169515826624,1,14.0,41.23371448418461,5,56.0,49.0,4,49.0,20,0.40900000000000003,13808,0,7,0.7,164.88578118362938,False,0.06660853033800307,0,0.2,13627,8,15,1.0,433.3266739649201,False,0.06301645834158484,1,0.38100000000000006,18456,70,0,0.0,1648.8578118362936,False,-0.0642385504796085,0,0.36200000000000004,18737,61,0,0.0,1436.8618074573417,False,-0.055744957108878404,4,0.35700000000000004,28530,0,1,0.1,41.23371448418461,False,0.011321485503244442,0,0.29000000000000004,27476,34,0,0.0,710.3176353810522,False,-0.014163195859497433,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,0,0.29000000000000004,38649,0,12,0.6,588.0,False,-0.009083969465648855,0.3,198526,0.0,0.0,15,0,0,10,4,3.688888888888889,19,29,26,183.0,147.0,11,14,26,1139,1.0860997224226594,12.212436131201684
7,26,0,0,0,10.0,20,10.0,23.745899927624748,27,24.666666666666668,20.65856084273055,2,14.0,42.66914173764181,5,56.0,49.0,10,49.0,0,0.389,13698,1,17,1.0,413.6802987696207,False,0.06771405585385937,12,0.32000000000000006,13933,7,10,1.0,307.4589992762475,False,0.08168083388145007,1,0.39,17772,97,0,0.0,2303.3522929796004,False,-0.08155328351340511,1,0.372,18719,61,0,0.0,1448.4998955851097,False,-0.056336150854564365,4,0.393,28630,0,0,0.0,0.0,False,0.014133399454500373,0,0.29000000000000004,27448,36,0,0.0,743.7081903382998,False,-0.014563632348512266,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,0,0.29000000000000004,38859,0,7,0.5,343.0,False,-0.006857506361323156,0.3125,198302,0.0,0.0,14,0,0,8,5,3.966666666666667,24,32,26,219.0,144.0,13,13,26,690,1.2110376516357064,13.423473782837391
8,26,0,0,0,10.0,20,10.0,24.084201745361774,25,26.0,20.417351854894118,2,14.0,34.97053371510675,21,18.0,49.0,6,49.0,0,0.389,13910,1,15,1.0,371.2630261804266,False,0.08236439477003862,3,0.3380000000000001,14107,7,10,1.0,310.84201745361776,False,0.09517169689985482,1,0.399,17754,97,0,0.0,2336.167569300092,False,-0.08163056762521612,1,0.38100000000000006,18051,86,0,0.0,2071.2413501011124,False,-0.07364489055277833,0,0.389,28602,0,2,0.2,69.9410674302135,False,0.014380310074567188,21,0.5,26673,36,0,0.0,735.0246667761883,False,-0.04216951814005545,0,0.2,39243,0,3,0.0,147.0,False,0.0004198473282442748,0,0.29000000000000004,38775,11,11,1.0,923.6758708661741,False,-0.001607177215443002,0.4,197115,0.0,0.0,14,0,0,12,6,5.166666666666667,22,34,18,255.0,123.0,15,11,18,806,1.2569590294733644,14.680432812310755
9,18,0,0,0,10.000000000000002,20,10.0,24.084201745361774,0,,20.169045091517816,2,14.0,37.981952667372845,21,46.666666666666664,48.99999999999999,12,49.0,0,0.389,13790,3,25,1.0,632.1050436340444,False,0.08316459508692485,0,0.3350000000000001,14027,5,20,1.0,531.6840349072355,False,0.0975076416688642,1,0.40800000000000003,17736,97,0,0.0,2336.167569300092,False,-0.08250418439865817,1,0.39,18033,86,0,0.0,2071.2413501011124,False,-0.07451850732622038,13,0.5190000000000001,28739,0,2,0.2,75.96390533474569,False,0.019339802085203306,6,0.5390000000000001,26507,36,0,0.0,726.0856232946414,False,-0.04820789870541888,0,0.2,39243,0,3,0.0,146.99999999999997,False,0.0004198473282442748,1,0.30000000000000004,38325,22,10,1.0,1325.6029586822026,False,-0.00794398271396696,0.4,196400,0.0,0.0,12,0,0,18,8,7.6,10,28,22,150.0,76.0,9,9,22,739,0.9530715616419911,15.633504373952746
