index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,42.0,0,,56.0,0,,0,0.2,15631,0,9,0.9,162.0,False,-0.0005724826664970422,0,0.2,15611,1,10,1.0,190.0,False,-0.0009541377774950703,0,0.2,27511,0,0,0.0,0.0,False,0.0,0,0.2,27511,0,0,0.0,0.0,False,0.0,0,0.2,36366,0,0,0.0,0.0,False,0.0,0,0.2,36366,0,0,0.0,0.0,False,0.0,0,0.2,49257,0,0,0.0,0.0,False,0.0,0,0.2,49257,0,0,0.0,0.0,False,0.0,0.2375,257510,0.0,0.0,12,0,0,68,0,0.0,262,330,104,0.0,0.0,0,0,104,200,1.4124106139643118,1.4124106139643118
1,104,0,0,0,10.0,20,10.0,18.0,0,,30.0,0,,39.55294117647059,40,36.8,56.0,0,,0,0.2,15541,0,18,0.9,324.0,False,-0.0011449653329940843,0,0.2,15501,2,20,1.0,380.0,False,-0.0019082755549901405,0,0.2,27511,0,0,0.0,0.0,False,0.0,0,0.2,27511,0,0,0.0,0.0,False,0.0,0,0.2,36366,0,0,0.0,0.0,False,0.0,40,0.6000000000000001,34484,0,0,0.0,0.0,False,-0.051751636143650664,0,0.2,49215,0,2,0.2,112.0,False,0.00028422356213330085,0,0.2,47827,38,0,0.0,1503.0117647058823,False,-0.013774572500295597,0.2625,253956,0.0,0.0,11,0,0,42,7,7.0,60,102,68,1163.0,260.0,80,24,68,200,4.199221529008355,5.611632142972667
2,68,0,0,0,10.0,20,10.0,18.916666666666668,15,21.666666666666668,26.58823529411765,6,1.0,38.37621621621622,16,32.75,56.0,0,,0,0.2,15486,0,23,1.0,435.08333333333337,False,-0.0011105103576956898,0,0.2,15681,2,20,1.0,398.33333333333337,False,0.010124461972308763,6,0.26,27294,0,0,0.0,0.0,False,-0.007887753989313366,0,0.2,27186,5,10,1.0,360.46568627450984,False,-0.005262155387399395,0,0.2,36361,0,5,0.5,191.8810810810811,False,0.0025007023192141395,16,0.7200000000000002,34045,1,0,0.0,26.58823529411765,False,-0.06345778700855041,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,0,0.2,47303,54,0,0.0,2072.315675675676,False,-0.018633740628989995,0.4375,252571,0.0,0.0,15,0,0,24,5,5.0,46,70,46,640.0,142.0,47,21,46,525,3.5112137210089713,9.122845863981638
3,46,0,0,0,10.0,20,10.0,17.4453125,10,9.5,25.46830265848671,3,8.333333333333334,37.81301662707839,22,35.68181818181818,56.0,0,,0,0.2,15451,3,23,1.0,431.2421875,False,-0.0034589979167991857,0,0.2,15611,0,29,0.9,505.9140625,False,0.009093380271611221,2,0.274,27230,0,0,0.0,0.0,False,-0.010214096179709935,0,0.2,27107,5,19,1.0,571.1243130112475,False,-0.004305108629071119,3,0.23,36418,0,3,0.3,113.43904988123518,False,0.002989592612347084,14,0.8440000000000001,33793,1,0,0.0,25.46830265848671,False,-0.07040273466069293,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,0,0.2,46518,76,0,0.0,2873.7892636579577,False,-0.026434930429604285,0.39999999999999997,251343,0.0,0.0,12,0,0,19,5,4.375,29,48,33,372.0,123.0,24,22,33,311,2.3997030099853873,11.522548873967025
4,33,0,0,0,10.0,20,10.0,16.850638977635782,5,10.0,19.77941855099216,21,7.857142857142857,37.017099171798684,23,33.73913043478261,56.0,14,56.0,0,0.2,15391,4,28,1.0,511.8178913738019,False,-0.00471287159297115,0,0.2,15521,0,38,0.9,640.3242811501598,False,0.00764341584982376,18,0.45200000000000007,26534,0,0,0.0,0.0,False,-0.03551306750027262,0,0.2,27105,0,26,1.0,514.2648823257961,False,-0.005411201295376419,13,0.35700000000000004,36145,0,6,0.6,222.1025950307921,False,-0.003023392797794701,7,0.9000000000000001,33565,16,0,0.0,316.47069681587453,False,-0.0726713042840033,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,14,0.34,45388,99,0,0.0,3664.6928180080695,False,-0.04134749560460369,0.4375,248864,0.0,0.0,15,0,0,19,13,12.625,27,46,24,262.0,63.0,22,11,24,298,2.116754443035461,13.639303317002486
5,24,0,0,0,10.0,20,10.0,21.612416107382547,42,28.0,17.204463773790717,13,5.615384615384615,36.99033529208434,17,36.8235294117647,56.0,10,56.0,0,0.2,15651,7,23,1.0,567.0855704697985,False,0.013583282566942209,0,0.2,16237,0,18,0.7,389.02348993288587,False,0.04519507314842841,9,0.524,25815,12,0,0.0,259.3489932885906,False,-0.056934517224226794,0,0.2,26389,20,32,1.0,982.7911629089539,False,-0.022921901004889857,0,0.3440000000000001,36080,0,11,0.5,406.8936882129277,False,-0.0022700642328970103,17,1.0630000000000002,33137,24,0,0.0,412.9071305709772,False,-0.08311462450405625,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,10,0.42600000000000005,44566,116,0,0.0,4290.878893881783,False,-0.05167916342974817,0.4,247090,0.0,0.0,17,0,0,13,9,9.0,24,37,28,265.0,63.0,18,6,28,1440,1.68162130395649,15.320924620958976
6,28,0,0,0,10.0,20,10.0,25.323192037147717,42,33.142857142857146,22.84025946307804,42,31.476190476190474,37.44065250918017,14,41.0,56.0,12,56.0,0,0.2,16219,5,15,1.0,429.8478805572158,False,0.045348510926697276,6,0.26,16729,2,10,1.0,273.23192037147714,False,0.07280808855580051,7,0.585,24512,42,0,0.0,1063.5740655602042,False,-0.08968096278651802,3,0.23,27253,22,10,1.0,785.5128194480302,False,0.004898273771364683,0,0.3440000000000001,35614,7,15,1.0,721.4916038792488,False,-0.010758791125237262,8,1.1260000000000001,32441,49,0,0.0,1119.172713690824,False,-0.09254285990085753,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,12,0.536,43705,130,0,0.0,4867.284826193422,False,-0.06330790723964688,0.5,245688,0.0,0.0,18,0,0,18,12,10.6875,25,43,25,272.0,62.0,20,8,25,2034,2.361057130037807,17.681981750996783
7,25,0,0,0,10.0,20,10.0,26.881570136665257,51,30.470588235294116,21.757581033586295,18,16.0,36.75164366047501,31,34.25806451612903,56.0,8,56.0,36,0.56,16583,3,10,1.0,298.81570136665255,False,0.06433482925280357,0,0.254,16609,4,20,1.0,577.6314027333051,False,0.07485628785488539,13,0.7080000000000002,23010,75,0,0.0,2016.1177602498942,False,-0.12696525462088085,0,0.227,26969,30,15,1.0,1132.8108196037522,False,0.0008871146015003114,0,0.3440000000000001,35663,6,16,1.0,718.5717847691179,False,-0.009451523610390034,22,1.338,31709,58,0,0.0,1261.939699948005,False,-0.11070863306456569,0,0.2,49215,0,2,0.0,112.0,False,0.00028422356213330085,8,0.6040000000000001,42487,161,0,0.0,5917.014629336477,False,-0.07737971629071522,0.5,242245,0.0,0.0,12,0,0,12,15,14.166666666666668,30,42,30,261.0,36.0,18,7,30,721,1.2380383309791796,18.920020081975963
8,30,0,0,0,10.0,20,10.0,27.875062219748138,29,33.06896551724138,26.212015410107323,24,45.208333333333336,36.777551233464365,24,36.916666666666664,55.99999999999999,11,56.0,0,0.524,16513,0,20,1.0,557.5012443949628,False,0.06810957459433115,9,0.3440000000000001,17240,7,10,1.0,348.7506221974814,False,0.10771422371978512,1,0.7050000000000001,22019,104,0,0.0,2899.006470853806,False,-0.14694110590575035,8,0.30700000000000005,27762,20,10,1.0,819.621398496036,False,0.024019872023845628,0,0.3440000000000001,34824,20,20,1.0,1259.7913328714337,False,-0.025081238892489758,18,1.4960000000000002,31223,58,0,0.0,1520.2968937862247,False,-0.12052058387248771,0,0.2,49215,0,2,0.0,111.99999999999999,False,0.00028422356213330085,11,0.7060000000000002,41341,185,0,0.0,6803.846978190908,False,-0.09164335040511087,0.5,240137,0.0,0.0,14,0,0,17,13,11.990683229813666,26,43,29,274.0,80.0,21,9,29,985,1.6283521060249768,20.54837218800094
9,29,0,0,0,10.000000000000002,20,10.0,28.017700908325214,46,28.52173913043478,27.027659924063645,9,37.333333333333336,37.119766514774085,16,40.0625,55.999999999999986,9,56.0,14,0.6640000000000001,17097,0,6,0.6,168.1062054499513,False,0.09287278816391925,2,0.35500000000000004,17416,11,10,1.0,390.17700908325213,False,0.12022698966615517,2,0.724,21613,116,0,0.0,3250.053305365725,False,-0.1553187215047485,0,0.29900000000000004,27120,44,13,1.0,1584.1384189791368,False,0.014578503489134077,0,0.3440000000000001,34733,18,25,1.0,1414.4920415024976,False,-0.025456579751656806,11,1.5880000000000003,31004,59,0,0.0,1594.631935519755,False,-0.1255206520442205,0,0.2,49215,0,2,0.0,111.99999999999997,False,0.00028422356213330085,9,0.7850000000000001,40516,201,0,0.0,7461.073069469591,False,-0.10172084100260272,0.45,238714,0.0,0.0,17,0,0,13,10,9.041666666666668,24,37,31,255.0,85.0,20,9,31,1214,1.5761459830100648,22.124518171011005
