index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,32.0,0,,43.0,0,,0,0.2,16804,10,0,0.0,100.0,False,-0.002957879791765263,0,0.2,16804,10,0,0.0,100.0,False,-0.002957879791765263,0,0.2,24229,0,0,0.0,0.0,False,0.0,0,0.2,24229,0,0,0.0,0.0,False,0.0,0,0.2,33582,0,0,0.0,0.0,False,0.0,0,0.2,33582,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0.0,231382,0.0,0.0,6,0,0,0,0,0.0,156,156,74,0.0,0.0,0,0,74,200,0.9778849380090833,0.9778849380090833
1,74,0,0,0,10.0,20,10.0,17.0,0,,22.58823529411765,6,12.0,32.0,0,,43.0,0,,0,0.2,16674,23,0,0.0,230.0,False,-0.006803123521060104,0,0.2,16734,17,0,0.0,170.0,False,-0.005028395646000947,0,0.2,24229,0,0,0.0,0.0,False,0.0,6,0.26,24127,0,0,0.0,0.0,False,-0.004209831194023691,0,0.2,33510,0,6,0.6,192.0,False,0.0007146685724495265,0,0.2,33582,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0.075,231008,0.0,0.0,6,0,0,22,1,1.0,35,57,34,699.0,224.0,44,30,34,200,2.2292178170755506,3.207102755084634
2,34,0,0,0,10.0,20,10.0,12.967213114754099,16,1.625,21.36416184971098,6,12.0,32.0,0,,43.0,0,,8,0.28,16464,27,0,0.0,270.0,False,-0.018043066729768104,8,0.28,16414,33,0,0.0,330.0,False,-0.019226218646474207,0,0.2,24203,6,10,1.0,291.44489718563443,False,0.0049412872422640785,6,0.31400000000000006,24025,0,0,0.0,0.0,False,-0.008419662388047382,0,0.2,33438,0,12,0.6,384.0,False,0.001429337144899053,0,0.2,33582,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0.2,230278,0.0,0.0,6,0,0,18,5,5.0,23,41,40,284.0,65.0,27,7,40,200,2.333361476659775,5.540464231744409
3,40,0,0,0,10.0,20,10.0,10.97097242380261,14,3.142857142857143,21.000193386192226,5,17.6,32.0,0,,43.0,0,,5,0.322,16279,38,0,0.0,380.0,False,-0.025733554188357786,9,0.36200000000000004,16129,42,0,0.0,420.0,False,-0.03342404164694747,0,0.2,24195,10,19,1.0,508.7133985756784,False,0.009094750063471066,4,0.3480000000000001,23961,0,0,0.0,0.0,False,-0.01106112509802303,0,0.2,33438,0,12,0.0,384.0,False,0.001429337144899053,0,0.2,33494,0,5,0.5,160.0,False,-0.0002382228574831755,0,0.2,41076,0,0,0.0,0.0,False,0.0,0,0.2,41076,0,0,0.0,0.0,False,0.0,0.1875,229648,0.0,0.0,8,0,0,15,5,5.0,19,34,33,300.0,240.0,21,19,33,236,2.1500693932175636,7.690533624961972
4,33,0,0,0,10.0,20,10.0,10.828598635137277,1,2.0,21.315719724857487,1,36.0,36.625,11,55.54545454545455,43.0,20,43.0,1,0.32700000000000007,16170,47,0,0.0,470.0,False,-0.029519640321817323,0,0.35300000000000004,16019,53,0,0.0,530.0,False,-0.036677709417889254,0,0.2,24229,1,28,1.0,607.6687509311469,False,0.012540112075016407,0,0.3440000000000001,23961,0,0,0.0,0.0,False,-0.01106112509802303,0,0.2,33804,0,6,0.0,219.75,False,0.00988252635340361,0,0.2,33703,0,1,0.1,36.625,False,0.004148427729140611,11,0.31000000000000005,40538,6,0,0.0,219.75,False,-0.01042275294575908,9,0.29000000000000004,40706,5,0,0.0,183.125,False,-0.006778593339176161,0.1375,229130,0.0,0.0,10,0,0,15,7,7.0,18,33,25,294.0,172.0,19,14,25,847,1.5203592739999294,9.210892898961902
5,25,0,0,0,10.0,20,10.0,8.240907105502366,28,3.0,20.76443832235662,6,16.833333333333332,36.625,0,,43.0,20,43.0,2,0.3460000000000001,16044,56,0,0.0,560.0,False,-0.034311405584477046,26,0.6130000000000002,15441,64,0,0.0,640.0,False,-0.0676171320397539,0,0.2,24246,19,32,1.0,821.0392613199568,False,0.017644955658920266,0,0.3440000000000001,23961,0,0,0.0,0.0,False,-0.01106112509802303,0,0.2,33804,0,6,0.0,219.75,False,0.00988252635340361,0,0.2,33602,0,7,0.6,256.375,False,0.004412706211661009,7,0.369,40455,6,0,0.0,219.75,False,-0.01244339760444055,13,0.41100000000000003,40469,5,0,0.0,183.125,False,-0.012548385918784691,0.2,228022,0.0,0.0,9,0,0,12,8,8.0,18,30,16,234.0,110.0,17,8,16,301,1.1486211214214563,10.359514020383358
6,16,0,0,0,10.0,20,10.0,7.918342501855656,5,3.0,19.236711951990095,13,14.076923076923077,41.089576547231275,11,61.54545454545455,43.0,20,43.0,5,0.394,15844,67,0,0.0,670.0,False,-0.042889256980596306,0,0.5870000000000002,15351,73,0,0.0,730.0,False,-0.07027922385234264,0,0.2,24267,14,41,1.0,899.5619850575731,False,0.020132114099995355,12,0.464,23703,0,0,0.0,0.0,False,-0.021709521647612365,0,0.2,33861,0,5,0.0,205.44788273615637,False,0.01136692101030552,3,0.23,33925,3,10,1.0,468.60590132828304,False,0.017190844817585007,10,0.4620000000000001,39628,17,0,0.0,698.5228013029316,False,-0.02674891906097324,10,0.4980000000000001,40334,5,0,0.0,205.44788273615637,False,-0.015563250039729283,0.25,226913,0.0,0.0,10,0,0,8,11,10.6,17,25,22,174.0,82.0,11,5,22,608,0.8665099255740643,11.226023945957422
7,22,0,0,0,10.0,20,10.0,7.918342501855656,0,,19.866722091172285,2,36.0,41.47902595094206,1,63.0,43.0,20,43.0,0,0.389,15744,77,0,0.0,770.0,False,-0.045847136772361574,0,0.5870000000000002,15251,83,0,0.0,830.0,False,-0.0732371036441079,0,0.2,24339,4,49,1.0,1005.1427524748646,False,0.025282569492650647,0,0.45200000000000007,23703,0,0,0.0,0.0,False,-0.021709521647612365,0,0.2,33825,0,6,0.1,248.87415570565236,False,0.010941488828920987,0,0.227,33952,0,13,0.4,539.2273373622468,False,0.019046324479814258,9,0.542,39443,18,0,0.0,746.6224671169571,False,-0.03066726960856751,11,0.5980000000000001,40162,5,0,0.0,207.3951297547103,False,-0.019726907077676534,0.1875,226419,0.0,0.0,9,0,0,8,7,7.0,19,27,24,176.0,119.0,13,9,24,335,1.1971129570156336,12.423136902973056
8,24,0,0,0,10.0,20,10.0,6.63230615972077,38,4.157894736842105,19.337437212008442,4,13.0,41.95645568693488,4,48.0,43.0,20,43.0,38,0.7690000000000001,14842,82,0,0.0,820.0,False,-0.09772834831992427,0,0.5870000000000002,15101,98,0,0.0,980.0,False,-0.0776739233317558,0,0.2,24181,32,59,1.0,1353.1425926195627,False,0.025942931871302286,4,0.4920000000000001,23639,0,0,0.0,0.0,False,-0.024350984357588014,0,0.2,34017,0,2,0.0,83.91291137386976,False,0.01420274122109872,0,0.227,33900,0,17,0.4,713.259746677893,False,0.020089032021289636,10,0.6330000000000001,39291,18,0,0.0,755.2162023648278,False,-0.03426311955442561,10,0.687,39823,9,0,0.0,377.6081011824139,False,-0.025907974228473882,0.175,224794,0.0,0.0,7,0,0,11,10,10.0,16,27,30,202.0,146.0,14,10,30,392,1.3376778038218617,13.760814706794918
9,30,0,0,0,10.000000000000002,20,10.0,6.364108412246024,5,1.0,20.07449528180511,48,20.791666666666668,43.083465371564486,7,51.0,43.00000000000001,20,43.0,0,0.7310000000000001,14752,91,0,0.0,910.0000000000001,False,-0.10039044013251301,5,0.6370000000000001,14891,109,0,0.0,1090.0000000000002,False,-0.08684335068622812,0,0.2,24176,27,69,1.0,1556.971101575195,False,0.029942859828618523,48,0.9680000000000002,22593,0,0,0.0,0.0,False,-0.06752239052375253,0,0.2,34078,0,1,0.0,43.083465371564486,False,0.015411283803399997,0,0.227,33198,38,21,1.0,1667.5835935114483,False,0.013393835886954985,10,0.7230000000000001,39020,20,0,0.0,861.6693074312898,False,-0.03956483947522527,10,0.7770000000000001,39438,14,0,0.0,603.1685152019028,False,-0.03253519676694535,0.25,222146,0.0,0.0,10,0,0,11,11,11.0,19,30,26,258.0,126.0,18,12,26,557,1.3833144875243306,15.144129194319248
