index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,31.0,0,,47.0,0,,55.0,0,,0,0.2,11128,13,0,0.0,130.0,False,-0.005773672055427252,0,0.2,11188,7,0,0.0,70.0,False,-0.0031089003375377507,0,0.2,19630,0,0,0.0,0.0,False,0.0,0,0.2,19630,0,0,0.0,0.0,False,0.0,0,0.2,24485,0,0,0.0,0.0,False,0.0,0,0.2,24485.0,0,0,0.0,0.0,False,0.0,0,0.2,35214,0,0,0.0,0.0,False,0.0,0,0.2,35214,0,0,0.0,0.0,False,0.0,0.0,180974,0.0,0.0,12,0,0,0,0,0.0,319,319,109,0.0,0.0,0,0,109,200,1.691477986983955,1.691477986983955
1,109,0,0,0,10.0,20,10.0,17.24137931034483,13,7.6923076923076925,31.0,0,,37.45454545454545,76,31.80263157894737,55.0,0,,8,0.28,10936,21,0,0.0,210.0,False,-0.019275182092734055,5,0.25,10968,19,0,0.0,190.0,False,-0.017321016166281754,0,0.2,19630,0,0,0.0,0.0,False,0.0,0,0.2,19530,3,10,1.0,361.7241379310345,False,0.004119310696154769,0,0.2,24485,0,0,0.0,0.0,False,0.0,76,0.9600000000000002,16424.0,0,0,0.0,0.0,False,-0.3292219726363079,0,0.2,34271,41,0,0.0,1535.6363636363635,False,-0.004974777593622315,0,0.2,33740,35,0,0.0,1310.9090909090908,False,-0.02324488710585153,0.125,169984,0.0,0.0,11,0,0,17,16,16.0,80,97,27,1188.0,171.0,75,34,27,200,4.594148799020331,6.285626786004286
2,27,0,0,0,10.0,20,10.0,15.245664739884392,17,9.117647058823529,31.0,0,,36.11530815109344,42,32.642857142857146,55.0,0,,12,0.392,10593,35,0,0.0,350.0,False,-0.043524604725528514,5,0.29500000000000004,10823,25,0,0.0,250.0,False,-0.027535974418191507,0,0.2,19545,0,10,1.0,310.0,False,0.003565970453387672,0,0.2,19460,0,20,1.0,620.0,False,0.007131940906775344,0,0.2,24485,0,0,0.0,0.0,False,0.0,42,1.3040000000000003,13727.0,0,0,0.0,0.0,False,-0.43937104349601797,0,0.2,33880,58,0,0.0,2094.6878727634194,False,-0.008140400511679765,0,0.2,32760,60,0,0.0,2166.918489065606,False,-0.03892033723709883,0.25,165273,0.0,0.0,10,0,0,13,10,10.0,34,47,38,349.0,6.0,25,2,38,200,1.7282808480085805,8.013907634012867
3,38,0,0,0,10.0,20,10.0,12.613275940190304,26,6.3076923076923075,31.9,5,40.0,35.6278138462472,29,33.3448275862069,55.0,0,,12,0.5,10300,44,0,0.0,440.0,False,-0.06555338426008173,14,0.43000000000000005,10349,36,0,0.0,360.0,False,-0.06475395274471486,0,0.2,19660,5,15,1.0,541.5663797009515,False,0.015322628112607099,0,0.2,19381,1,30,1.0,969.6132759401903,False,0.012012564338771983,0,0.2,24469,0,1,0.1,35.6278138462472,False,7.408237382568823e-05,29,1.5520000000000005,12072.0,4,0,0.0,127.6,False,-0.5043577700633041,0,0.2,33500,74,0,0.0,2636.4582246222926,False,-0.011239021062328904,0,0.2,32173,73,0,0.0,2600.8304107760455,False,-0.04942877249423456,0.2625,161904,0.0,0.0,11,0,0,12,13,13.0,32,44,35,345.0,59.0,22,16,35,400,1.5825965749681927,9.59650420898106
4,35,0,0,0,10.0,20,10.0,12.517761568701749,5,11.0,33.05102040816327,4,46.0,36.21075230442372,31,39.0,55.0,20,55.0,5,0.5380000000000001,10085,59,0,0.0,590.0,False,-0.07798898561023272,0,0.41600000000000004,10299,41,0,0.0,410.0,False,-0.06697459584295612,0,0.2,19789,0,21,1.0,694.0714285714287,False,0.025778691507168303,0,0.2,19381,0,31,0.1,1024.5816326530612,False,0.013412675309553288,4,0.24000000000000002,24605,0,0,0.0,0.0,False,0.004900959771288544,26,1.7830000000000004,10745.0,8,0,0.0,264.40816326530614,False,-0.5557605030985234,11,0.31000000000000005,32554,94,0,0.0,3403.8107166158297,False,-0.02720777650059877,9,0.29000000000000004,31497,84,0,0.0,3041.7031935715927,False,-0.06236577506713817,0.1375,158955,0.0,0.0,11,0,0,13,16,15.8,28,41,37,317.0,84.0,21,14,37,384,1.5500245270086452,11.146528735989705
5,37,0,0,0,10.0,20,10.0,12.362357234207499,5,10.0,33.23710482529118,16,33.75,36.493784273942595,29,38.06896551724138,55.0,20,55.0,5,0.5830000000000002,9905,70,0,0.0,700.0,False,-0.08909220110143898,0,0.41600000000000004,10209,50,0,0.0,500.0,False,-0.07097175341979037,0,0.2,19829,0,20,0.5,664.7420965058236,False,0.02706933511222176,0,0.2,19831,0,21,0.0,697.9792013311148,False,0.02801780950919807,5,0.28600000000000003,24685,0,0,0.0,0.0,False,0.008168266285480907,24,1.9970000000000006,9104.0,24,0,0.0,797.6905158069884,False,-0.6118911473186238,10,0.399,31569,116,0,0.0,4233.278975777341,False,-0.043402070543287576,10,0.38100000000000006,30959,91,0,0.0,3320.934368928776,False,-0.07367901446968851,0.0625,156091,0.0,0.0,14,0,0,12,17,17.0,28,40,37,319.0,99.0,20,17,37,740,1.6573942590039223,12.803922994993627
6,37,0,0,0,10.0,20,10.0,11.480586874950243,11,5.636363636363637,36.47277329320016,19,45.68421052631579,37.928557481248866,40,44.075,55.0,20,55.0,5,0.6280000000000001,9770,77,0,0.0,770.0,False,-0.09797477349440398,6,0.4760000000000001,9937,63,0,0.0,630.0,False,-0.08935867827322792,0,0.2,20139,1,22,1.0,813.8815993253539,False,0.04666025469499114,0,0.2,20327,0,10,0.0,364.72773293200163,False,0.04479693665134994,12,0.401,24729,0,0,0.0,0.0,False,0.009965284868286706,28,2.2530000000000006,6944.0,43,0,0.0,1568.329251607607,False,-0.6843714671920031,8,0.46900000000000003,30861,129,0,0.0,4892.783915081104,False,-0.05414346687281898,12,0.4910000000000001,29470,118,0,0.0,4475.569782787366,False,-0.09956878254689376,0.125,152177,0.0,0.0,15,0,0,17,20,20.0,30,47,31,360.0,43.0,25,12,31,1068,1.5746800279594027,14.37860302295303
7,31,0,0,0,10.0,20,10.0,11.480586874950243,0,,37.07621702182543,4,47.0,38.696619553823254,30,43.56666666666667,55.0,20,55.0,0,0.623,9680,86,0,0.0,860.0,False,-0.10197193107123823,0,0.4700000000000001,9827,74,0,0.0,740.0,False,-0.09424409308935867,0,0.2,20327,0,19,0.1,704.4481234146831,False,0.0534500286147397,0,0.2,20327,0,10,0.0,370.76217021825425,False,0.044950641116104216,5,0.43900000000000006,24844,0,0,0.0,0.0,False,0.014662037982438227,25,2.4750000000000005,5782.0,47,0,0.0,1742.5822000257951,False,-0.7282707331013724,11,0.571,30387,138,0,0.0,5340.133498427609,False,-0.06125215115539837,9,0.5690000000000002,28228,139,0,0.0,5378.8301179814325,False,-0.12201354407364358,0.0125,149402,0.0,0.0,11,0,0,9,14,14.0,30,39,24,290.0,54.0,17,14,24,388,1.270488202048,15.64909122500103
8,24,0,0,0,10.0,20,10.0,11.36591915000961,10,10.5,38.54176394152533,11,46.90909090909091,38.10429140707346,23,33.0,55.0,20,55.0,10,0.7230000000000001,9430,95,0,0.0,950.0,False,-0.12018120447681649,0,0.4700000000000001,9717,85,0,0.0,850.0,False,-0.09912950790548943,0,0.2,20268,0,28,1.0,1079.1693903627092,False,0.05998903184826055,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,0,0.43400000000000005,24798,0,1,0.1,38.10429140707346,False,0.01356145173385892,23,2.6800000000000006,4306.0,57,0,0.0,2196.880544666944,False,-0.7792754636580163,11,0.67,29843,151,0,0.0,5753.748002468093,False,-0.07082768213681928,9,0.6500000000000001,27590,149,0,0.0,5677.5394196539455,False,-0.13588999517728828,0.1375,146749,0.0,0.0,14,0,0,9,18,18.0,29,38,21,264.0,44.0,18,6,21,716,1.191816973965615,16.840908198966645
9,21,0,0,0,10.000000000000002,20,10.0,10.886879409392838,10,7.2,39.0221912394329,4,47.0,38.8981341129426,20,46.8,55.00000000000001,20,55.0,5,0.7630000000000001,9285,103,0,0.0,1030.0000000000002,False,-0.12950790548942973,5,0.52,9488,97,0,0.0,970.0000000000002,False,-0.11414105524960029,0,0.2,20384,0,34,1.0,1326.7545021407186,False,0.07220464855172493,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,3,0.464,24806,0,4,0.4,155.5925364517704,False,0.01628737056262544,16,2.817000000000001,3788.0,57,0,0.0,2224.2649006476754,False,-0.7998720665581444,7,0.7290000000000001,29585,157,0,0.0,6107.007055731988,False,-0.0731384242668827,13,0.7710000000000001,26463,163,0,0.0,6340.395860409644,False,-0.15848248054169306,0.175,144596,0.0,0.0,11,0,0,4,18,17.75,32,36,16,226.0,22.0,16,5,16,388,0.9950468750321306,17.835955073998775
10,16,0,0,0,10.000000000000002,20,10.0,10.77476697344216,1,2.0,39.9163094523396,8,47.0,38.72472520512882,32,37.65624999999999,55.0,20,55.0,0,0.758,9205,111,0,0.0,1110.0000000000002,False,-0.13306093444661574,1,0.5250000000000001,9346,109,0,0.0,1090.0000000000002,False,-0.12142476461183159,0,0.2,20758,0,27,0.1,1077.740355213169,False,0.08491442575683068,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,4,0.5010000000000001,24762,0,4,0.4,154.89890082051528,False,0.014476187478466759,24,3.041000000000001,2584.0,61,0,0.0,2434.8948765927153,False,-0.8447438252686805,11,0.8320000000000001,28950,173,0,0.0,6699.377460487286,False,-0.08276001788369272,9,0.8480000000000003,25482,179,0,0.0,6931.725811718059,False,-0.17794448498156898,0.0625,141884,0.0,0.0,13,0,0,4,16,15.333333333333332,28,32,16,154.0,38.0,12,4,16,764,0.8553736829780973,18.691328756976873
11,16,0,0,0,10.000000000000002,20,10.0,10.740987252142295,10,10.5,40.427824025453816,5,47.0,37.73046416206651,22,28.40909090909091,55.0,20,55.0,10,0.8580000000000001,8925,123,0,0.0,1230.0000000000002,False,-0.15260259371113874,0,0.524,9266,117,0,0.0,1170.0000000000002,False,-0.12497779356901759,0,0.2,20888,0,32,1.0,1293.6903688145221,False,0.09703745208391557,0,0.2,20797,0,0,0.0,0.0,False,0.05944982170147733,1,0.5070000000000001,24698,0,4,0.4,150.92185664826604,False,0.011781128377542716,17,3.187000000000001,1840.0,62,0,0.0,2506.5250895781364,False,-0.873667039216293,7,0.891,28430,189,0,0.0,7131.057726630571,False,-0.09139748783678978,13,0.9690000000000003,24931,185,0,0.0,6980.135869982305,False,-0.19290430127247254,0.175,139775,0.0,0.0,12,0,0,3,17,16.2,31,34,12,160.0,40.0,11,5,12,435,0.8962437529698946,19.587572509946767
