index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
205,f1c4bff7-7eba-4800-b2ed-7d9bc3410095,SELLER,01Ran@0,_SystemAgent,RandomAgent,0,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,0,,-1,-1
138,32251415-f2ed-4d9e-b607-5c8767c1e768,SELLER,01Ran@0,_SystemAgent,RandomAgent,0,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,0,,-1,-1
109,e17b1342-dfd4-467e-b397-38751bc6249e,SELLER,00Ran@0,_SystemAgent,RandomAgent,0,5,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,0,,-1,-1
123,98f033a3-5615-46ed-85d7-ccc6f7fd5724,SELLER,00Ran@0,_SystemAgent,RandomAgent,0,4,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,0,,-1,-1
195,ac655597-dd25-49af-8bf6-d6eedd753c94,SELLER,00Ran@0,_SystemAgent,RandomAgent,0,2,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,0,,-1,-1
232,197b9446-aa82-45a4-ac4f-71d7c3977586,SELLER,01Ran@0,_SystemAgent,RandomAgent,0,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,0,,-1,-1
166,44bc5ac9-eccd-4bc6-8e25-3c1cd39d1472,SELLER,00Ran@0,_SystemAgent,RandomAgent,1,2,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,1,,-1,-1
259,dedc465e-d2c8-42a2-8564-71728d6d9529,03Buy@1,05MyA@2,BuyCheapSellExpensiveAgent,MyAgent,1,6,12,1,-1,1,05MyA@2|03Buy@1,"[quantity: (1, 10), time: (1, 2), unit_price: (1, 24)]",03Buy@1,05MyA@2,p2,05MyA@2,True,2,17,-1,03Buy@1:product(1.0),-1,-1
331,fce5b509-6ff2-4284-b36a-8d11e3e926f7,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,1,9,17,-1,-1,1,,"[quantity: (1, 9), time: (1, 3), unit_price: (1, 35)]",04Ind@2,07Buy@3,p3,07Buy@3,True,3,17,-1,,-1,-1
303,456f4131-aa6e-4944-89fa-aebbe08a564f,01Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,1,1,2,-1,-1,1,,"[quantity: (1, 5), time: (1, 2), unit_price: (1, 17)]",01Ran@0,02Dec@1,p1,02Dec@1,True,1,16,-1,,-1,-1
168,aec37d81-f512-4dab-902b-583a2a90e1e9,SELLER,00Ran@0,_SystemAgent,RandomAgent,1,4,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,False,0,0,1,,-1,-1
182,80885438-7071-4c0b-87c6-5ac9f676b923,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,1,,-1,-1
287,04724196-0ed6-4e43-b469-3d7286e54cdc,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,7,34,-1,-1,1,,"[quantity: (1, 7), time: (1, 2), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,9,-1,,-1,-1
300,f55d928f-e40e-4d65-9c71-96905ddbd45d,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,1,12,17,-1,-1,1,,"[quantity: (1, 12), time: (1, 6), unit_price: (1, 35)]",04Ind@2,07Buy@3,p3,07Buy@3,True,3,17,-1,,-1,-1
305,bc42edd2-35db-459e-be4e-5df395e85d64,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,7,35,-1,-1,1,,"[quantity: (1, 8), time: (1, 6), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,10,-1,,-1,-1
198,4a2ed183-6f17-4d13-ac18-c3eaf9731580,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,1,,-1,-1
228,6a79a7e7-bd8b-44b9-a0ea-04b5073d7aaf,SELLER,01Ran@0,_SystemAgent,RandomAgent,1,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,1,,-1,-1
289,f26ef9e1-38b4-4507-b7fc-bb7884740846,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,11,29,-1,-1,1,,"[quantity: (1, 11), time: (1, 4), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,13,-1,,-1,-1
61,25bf145a-7205-4bce-99ce-a84276d00682,SELLER,00Ran@0,_SystemAgent,RandomAgent,1,5,10,0,-1,-1,00Ran@0|SELLER,[],SELLER,00Ran@0,p0,SELLER,True,0,0,1,,-1,-1
293,8d2f431f-5666-4a1f-a6e8-5aa3687fb334,01Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,1,4,3,-1,-1,1,,"[quantity: (1, 5), time: (1, 1), unit_price: (1, 17)]",01Ran@0,02Dec@1,p1,02Dec@1,True,1,13,-1,,-1,-1
301,3b603e80-3e98-4ece-b55d-3eea6a3bf91e,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,2,35,-1,-1,1,,"[quantity: (1, 11), time: (1, 17), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,11,-1,,-1,-1
329,6dd16ff3-19f3-4e75-aa04-2db59f760ec6,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,9,27,-1,-1,1,,"[quantity: (1, 11), time: (1, 3), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,14,-1,,-1,-1
291,c9d2e68e-06c2-4345-bd7a-644f6a016099,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,6,27,-1,-1,1,,"[quantity: (1, 7), time: (1, 3), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,15,-1,,-1,-1
320,5913448f-16ea-4053-b954-e0c3b36b5284,00Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,1,2,1,-1,-1,1,,"[quantity: (1, 5), time: (1, 2), unit_price: (1, 17)]",00Ran@0,02Dec@1,p1,02Dec@1,True,1,8,-1,,-1,-1
273,16155b52-e3fe-48fb-9e7d-b471f12cfab9,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,1,31,-1,-1,1,,"[quantity: (1, 11), time: (1, 7), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,13,-1,,-1,-1
326,9d544808-4bed-4de4-abad-081b5131558e,00Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,1,2,1,-1,-1,1,,"[quantity: (1, 5), time: (1, 1), unit_price: (1, 17)]",00Ran@0,02Dec@1,p1,02Dec@1,True,1,14,-1,,-1,-1
282,000ab80b-0b2a-4bb5-b543-fedd8194d575,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,2,32,-1,-1,1,,"[quantity: (1, 10), time: (1, 1), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,13,-1,,-1,-1
325,9cb0b6f9-5f01-4582-a8b3-786582e94317,04Ind@2,07Buy@3,IndDecentralizingAgent,BuyCheapSellExpensiveAgent,1,8,17,-1,-1,1,,"[quantity: (1, 10), time: (1, 1), unit_price: (1, 35)]",04Ind@2,07Buy@3,p3,07Buy@3,True,3,17,-1,,-1,-1
277,904f368c-5bc5-4889-bc4a-f7ab3afa0108,04Ind@2,06Ran@3,IndDecentralizingAgent,RandomAgent,1,6,30,-1,-1,1,,"[quantity: (1, 10), time: (1, 2), unit_price: (1, 35)]",04Ind@2,06Ran@3,p3,06Ran@3,True,3,13,-1,,-1,-1
276,2bd528b2-11b5-4ba3-a1d3-3e268ac549d0,00Ran@0,02Dec@1,RandomAgent,DecentralizingAgent,1,1,1,-1,-1,1,,"[quantity: (1, 5), time: (1, 3), unit_price: (1, 17)]",00Ran@0,02Dec@1,p1,02Dec@1,True,1,12,-1,,-1,-1
