index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,spot_market_quantity_06Ran@3,spot_market_loss_06Ran@3,balance_06Ran@3,inventory_06Ran@3_input,inventory_06Ran@3_output,productivity_06Ran@3,assets_06Ran@3,bankrupt_06Ran@3,score_06Ran@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,35.0,0,,54.0,0,,0,0.2,11856,11,0,0.0,110.0,False,-0.004596356342971754,0,0.2,11876,9,0,0.0,90.0,False,-0.003760655189704162,0,0.2,17350,0,0,0.0,0.0,False,0.0,0,0.2,17350,0,0,0.0,0.0,False,0.0,0,0.2,25512,0,0,0.0,0.0,False,0.0,0,0.2,25512,0,0,0.0,0.0,False,0.0,0,0.2,37776,0,0,0.0,0.0,False,0.0,0,0.2,37776,0,0,0.0,0.0,False,0.0,0.0,185008,0.0,0.0,6,0,0,0,0,0.0,235,235,88,0.0,0.0,0,0,88,200,1.717618914321065,1.717618914321065
1,88,0,0,0,10.0,20,10.0,17.0,0,,22.58823529411765,6,12.0,35.0,0,,54.0,0,,0,0.2,11746,22,0,0.0,220.0,False,-0.009192712685943507,0,0.2,11786,18,0,0.0,180.0,False,-0.007521310379408324,0,0.2,17350,0,0,0.0,0.0,False,0.0,6,0.26,17248,0,0,0.0,0.0,False,-0.005878962536023055,0,0.2,25512,0,0,0.0,0.0,False,0.0,0,0.2,25440,0,6,0.6,210.0,False,0.0012935089369708374,0,0.2,37776,0,0,0.0,0.0,False,0.0,0,0.2,37776,0,0,0.0,0.0,False,0.0,0.075,184634,0.0,0.0,6,0,0,59,1,1.0,38,97,46,1328.0,40.0,83,5,46,200,4.296743076294661,6.0143619906157255
2,46,0,0,0,10.0,20,10.0,14.035714285714286,11,1.9090909090909092,20.76565295169946,10,12.4,35.0,0,,54.0,0,,5,0.25,11536,34,0,0.0,340.0,False,-0.021728229984957378,6,0.26,11582,26,0,0.0,260.0,False,-0.021226809292996824,0,0.2,17329,1,10,1.0,221.6922438027089,False,0.005178450830049292,10,0.35400000000000004,17052,0,0,0.0,0.0,False,-0.01717579250720461,0,0.2,25460,0,4,0.4,140.0,False,0.0007055503292568204,0,0.2,25368,0,12,0.6,420.0,False,0.0025870178739416747,0,0.2,37776,0,0,0.0,0.0,False,0.0,0,0.2,37776,0,0,0.0,0.0,False,0.0,0.25,183879,0.0,0.0,7,0,0,12,5,5.0,28,40,37,419.0,51.0,29,17,37,200,1.9983953973278403,8.012757387943566
3,37,0,0,0,10.0,20,10.0,12.949458483754512,5,2.0,19.407992418259358,13,14.153846153846153,35.0,0,,54.0,0,,0,0.24500000000000002,11446,43,0,0.0,430.0,False,-0.02548888517466154,5,0.30400000000000005,11377,37,0,0.0,370.0,False,-0.0337623265920107,0,0.2,17355,0,15,0.6,291.11988627389036,False,0.008677806520861362,12,0.464,16812,0,0,0.0,0.0,False,-0.03100864553314121,0,0.2,25276,3,14,1.0,548.2239772547781,False,0.0014938847847047743,0,0.2,25368,0,12,0.0,420.0,False,0.0025870178739416747,0,0.2,37776,0,0,0.0,0.0,False,0.0,0,0.2,37776,0,0,0.0,0.0,False,0.0,0.2,183186,0.0,0.0,6,0,0,9,3,3.0,23,32,33,295.0,59.0,20,17,33,236,1.718510820530355,9.73126820847392
4,33,0,0,0,10.0,20,10.0,11.2972692706533,8,1.0,18.451275773003474,10,13.0,38.3,5,68.0,54.0,20,54.0,8,0.32500000000000007,11154,55,0,0.0,550.0,False,-0.044877151930469664,0,0.29900000000000004,11297,45,0,0.0,450.0,False,-0.03710513120508106,0,0.2,17412,0,18,0.8,332.12296391406255,False,0.013144754003287193,5,0.5020000000000001,16732,0,0,0.0,0.0,False,-0.035619596541786744,0,0.2,25146,3,24,1.0,974.5538273190103,False,0.004753720353539716,0,0.2,25708,0,7,0.0,268.09999999999997,False,0.012937049231734058,10,0.30000000000000004,37248,5,0,0.0,191.5,False,-0.011442450232952138,10,0.30000000000000004,37586,0,0,0.0,0.0,False,-0.005029648454044897,0.225,182283,0.0,0.0,8,0,0,14,9,9.0,17,31,28,266.0,46.0,19,14,28,605,1.5459208525717258,11.277189061045647
5,28,0,0,0,10.0,20,10.0,10.246368960964215,7,2.4285714285714284,17.670613208361726,15,14.533333333333333,38.3,0,,54.0,20,54.0,2,0.337,10994,67,0,0.0,670.0,False,-0.05323416346314558,5,0.34900000000000003,11127,53,0,0.0,530.0,False,-0.04796924619755975,0,0.2,17496,0,19,0.7,335.7416509588728,False,0.01809053749161017,9,0.587,16564,0,0,0.0,0.0,False,-0.04530259365994236,0,0.2,24928,8,34,1.0,1443.5649056668935,False,0.0054006919423583355,0,0.2,25708,0,7,0.0,268.09999999999997,False,0.012937049231734058,7,0.36000000000000004,37145,5,0,0.0,191.5,False,-0.014169049131723847,13,0.42000000000000004,37301,0,0,0.0,0.0,False,-0.012574121135112241,0.2125,181263,0.0,0.0,9,0,0,11,9,9.0,17,28,30,215.0,59.0,15,13,30,301,1.3974836869165301,12.674672747962177
6,30,0,0,0,10.0,20,10.0,8.439978255400728,16,2.4375,17.873673731736165,6,20.166666666666668,35.75,17,29.0,54.0,20,54.0,13,0.4650000000000001,10604,78,0,0.0,780.0,False,-0.08123015209760989,3,0.374,10980,62,0,0.0,620.0,False,-0.05649339796088919,0,0.2,17529,6,27,1.0,533.2290602892808,False,0.025683834590469242,4,0.6180000000000001,16491,0,0,0.0,0.0,False,-0.04951008645533141,0,0.2,25035,4,32,1.0,1215.4946949269447,False,0.0051249352251282404,0,0.2,25973,0,2,0.0,71.5,False,0.019471229225462527,11,0.4630000000000001,36927,5,0,0.0,178.75,False,-0.020108666878441338,9,0.4970000000000001,36662,17,0,0.0,607.75,False,-0.021445494493858533,0.25,180201,0.0,0.0,10,0,0,10,13,13.0,19,29,27,221.0,39.0,17,13,27,765,1.364885175600648,14.039557923562825
7,27,0,0,0,10.0,20,10.0,7.617835253565608,10,2.5,18.34908094886769,7,22.857142857142858,39.496200607902736,10,60.4,54.0,20,54.0,7,0.522,10349,90,0,0.0,900.0,False,-0.09752632458632793,3,0.401,10845,70,0,0.0,700.0,False,-0.06443255891693131,0,0.2,17612,6,34,1.0,669.5757637828951,False,0.03439699607443498,4,0.6540000000000001,16427,0,0,0.0,0.0,False,-0.05319884726224784,0,0.2,25515,0,32,1.0,1263.8784194528876,False,0.024887864915586495,0,0.2,25937,0,3,0.1,118.48860182370821,False,0.01898104033050542,12,0.5720000000000001,36267,11,0,0.0,434.4582066869301,False,-0.03419554470183538,8,0.5680000000000001,36327,21,0,0.0,829.4202127659574,False,-0.027379550339290133,0.2625,179279,0.0,0.0,12,0,0,8,12,12.0,15,23,27,158.0,56.0,11,16,27,912,1.8472251119092107,15.886783035472035
8,27,0,0,0,10.0,20,10.0,7.617835253565608,0,,18.612370620915062,1,36.0,41.24828713796325,5,62.0,54.0,20,54.0,0,0.5150000000000001,10259,99,0,0.0,990.0,False,-0.10128697977603209,0,0.398,10735,81,0,0.0,810.0,False,-0.06902891525990305,0,0.2,17648,0,39,0.6,725.8824542156874,False,0.038094595222354095,0,0.6500000000000001,16427,0,0,0.0,0.0,False,-0.05319884726224784,0,0.2,25789,0,28,0.1,1154.952039862971,False,0.03349310206692867,0,0.2,25937,0,3,0.0,123.74486141388977,False,0.019084055766186346,7,0.6300000000000001,35859,16,0,0.0,659.972594207412,False,-0.04201116324905476,13,0.6900000000000002,36030,21,0,0.0,866.2140298972283,False,-0.0347546851188953,0.0875,178684,0.0,0.0,8,0,0,9,6,6.0,15,24,24,196.0,53.0,13,14,24,546,1.2167633771896362,17.10354641266167
9,24,0,0,0,10.000000000000002,20,10.0,6.5972753211372,14,1.8571428571428572,18.45145897360485,6,16.833333333333332,35.528786087045944,20,19.0,54.0,20,54.0,4,0.5550000000000002,10069,110,0,0.0,1100.0000000000002,False,-0.11256894534514458,10,0.49800000000000005,10435,90,0,0.0,900.0000000000001,False,-0.09033929466822664,0,0.2,17658,4,48,1.0,912.0591320175816,False,0.044036286225290516,5,0.7,16347,0,0,0.0,0.0,False,-0.05780979827089337,0,0.2,26068,0,14,0.6,497.4030052186432,False,0.03154207833997026,0,0.2,25937,0,3,0.0,106.58635826113783,False,0.018747772778714616,8,0.7030000000000001,35719,16,0,0.0,568.4605773927351,False,-0.046928465462294414,12,0.7970000000000002,35389,41,0,0.0,1456.6802295688838,False,-0.043907769091898516,0.2,177622,0.0,0.0,9,0,0,8,12,12.0,17,25,25,162.0,48.0,12,12,25,616,1.194072674959898,18.29761908762157
