index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,84ae3900-a493-4be7-a474-2a18a5a8746f,SELLER,01Ran@0,_SystemAgent,RandomAgent,6,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,6,,-1,-1
1,ed220567-11e5-4ae0-91c5-6de62e165f48,SELLER,01Ran@0,_SystemAgent,RandomAgent,6,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,6,,-1,-1
2,01f7b7b1-7a92-4e1a-8123-429c5aa58dfd,SELLER,01Ran@0,_SystemAgent,RandomAgent,21,3,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,21,,-1,-1
3,0e05c0fa-528a-4d9a-9b21-e89554110505,SELLER,01Ran@0,_SystemAgent,RandomAgent,5,5,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,5,,-1,-1
4,7f0be53f-1145-4dc5-b794-26da99b37826,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,6,4,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,True,4,0,-1,06Buy@3:product(1.0),-1,-1
5,814503ee-6383-4eb7-8df6-83454462344d,SELLER,01Ran@0,_SystemAgent,RandomAgent,16,1,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,16,,-1,-1
6,05889098-0ca8-4878-8088-05d5bfe875d9,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,9,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,9,,-1,-1
7,907e6433-d3d5-4d15-9dc8-74b08a69438d,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,7,4,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,7,,-1,-1
8,1bbf3afc-8f35-46aa-9e74-25dca8d5a060,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,7,4,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,False,4,0,-1,06Buy@3:product(1.0),-1,-1
9,ad569f63-1207-439c-9011-9505e4507aa8,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,11,2,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,False,4,0,-1,06Buy@3:product(1.0),-1,-1
10,98e0cbe8-db66-4518-ab95-2e2636c8cdb9,SELLER,01Ran@0,_SystemAgent,RandomAgent,16,2,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,16,,-1,-1
11,85f43564-ffc7-4d64-872f-4f5b48f4e644,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,13,5,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,True,4,0,-1,06Buy@3:product(1.0),-1,-1
12,634fdeab-8a0c-4a97-a32d-3db1a1241716,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,5,4,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,True,4,0,-1,06Buy@3:product(1.0),-1,-1
13,b447bc87-06a5-40f2-a8df-9516495608b7,07Ran@3,BUYER,RandomAgent,_SystemAgent,5,4,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
14,4945e5ce-1593-49d7-a5c4-ce176c1ec99f,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,17,1,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,False,4,0,-1,06Buy@3:product(1.0),-1,-1
15,b361238c-7629-4520-9133-0931097a4c64,SELLER,01Ran@0,_SystemAgent,RandomAgent,5,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,5,,-1,-1
16,a6454347-e3c9-4aa3-aa44-96975cc2aeeb,07Ran@3,BUYER,RandomAgent,_SystemAgent,21,1,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
17,a5493fd1-954b-4cdc-ba79-71c7557f2fea,SELLER,01Ran@0,_SystemAgent,RandomAgent,3,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,True,0,0,3,,-1,-1
18,aadc60de-a470-4a6b-a4e8-3033c23713f5,07Ran@3,BUYER,RandomAgent,_SystemAgent,13,3,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
19,97ff5b81-b10c-471d-932a-f09eb12dfa87,07Ran@3,BUYER,RandomAgent,_SystemAgent,8,2,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
20,95d79b8a-a849-41a3-8909-40a7145437ec,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,21,3,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,True,4,0,-1,06Buy@3:product(1.0),-1,-1
21,1a488d9a-4778-4f1e-9f20-955a8e171fe6,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,18,1,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,18,,-1,-1
22,c8fdb53c-fcbf-473e-9f9b-c73eec04327b,SELLER,01Ran@0,_SystemAgent,RandomAgent,18,4,10,0,-1,-1,01Ran@0|SELLER,[],SELLER,01Ran@0,p0,SELLER,False,0,0,18,,-1,-1
23,647b20da-dc23-41e6-b45d-aa305b87bd0a,07Ran@3,BUYER,RandomAgent,_SystemAgent,7,2,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
24,bea6bc4f-a375-4693-b6c1-4b724284fe89,07Ran@3,BUYER,RandomAgent,_SystemAgent,5,2,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,True,4,0,-1,07Ran@3:product(1.0),-1,-1
25,bf49e783-99d2-4ca4-b3c0-dbbcc247cd3d,07Ran@3,BUYER,RandomAgent,_SystemAgent,9,5,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
26,bbf42882-62a5-419c-9aef-b0f11525ffef,07Ran@3,BUYER,RandomAgent,_SystemAgent,14,6,44,0,-1,-1,BUYER|07Ran@3,[],07Ran@3,BUYER,p4,BUYER,False,4,0,-1,07Ran@3:product(1.0),-1,-1
27,de70e7b0-e451-4aa2-94de-bb17b5ccd7db,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,8,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,False,0,0,8,,-1,-1
28,44097c89-9508-4974-9700-8c497e99ed87,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,16,3,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,True,4,0,-1,06Buy@3:product(1.0),-1,-1
29,2ef8f07e-1107-4474-bfe7-f205d0a937fc,06Buy@3,BUYER,BuyCheapSellExpensiveAgent,_SystemAgent,15,1,44,0,-1,-1,BUYER|06Buy@3,[],06Buy@3,BUYER,p4,BUYER,True,4,0,-1,06Buy@3:product(1.0),-1,-1
30,0a25be90-38c6-4a76-8f98-e9bda62dee50,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,20,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,20,,-1,-1
31,8600bc68-e9b8-4437-870d-20fb4ee33fa0,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,2,3,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,2,,-1,-1
