index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Ind@1,spot_market_loss_03Ind@1,balance_03Ind@1,inventory_03Ind@1_input,inventory_03Ind@1_output,productivity_03Ind@1,assets_03Ind@1,bankrupt_03Ind@1,score_03Ind@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,spot_market_quantity_06Buy@3,spot_market_loss_06Buy@3,balance_06Buy@3,inventory_06Buy@3_input,inventory_06Buy@3_output,productivity_06Buy@3,assets_06Buy@3,bankrupt_06Buy@3,score_06Buy@3,spot_market_quantity_07Ran@3,spot_market_loss_07Ran@3,balance_07Ran@3,inventory_07Ran@3_input,inventory_07Ran@3_output,productivity_07Ran@3,assets_07Ran@3,bankrupt_07Ran@3,score_07Ran@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,34.0,0,,44.0,0,,0,0.2,11532,10,0,0.0,100.0,False,-0.004298486932599725,0,0.2,11532,10,0,0.0,100.0,False,-0.004298486932599725,0,0.2,19242,0,0,0.0,0.0,False,0.0,0,0.2,19242,0,0,0.0,0.0,False,0.0,0,0.2,27723,0,0,0.0,0.0,False,0.0,0,0.2,27723.0,0,0,0.0,0.0,False,0.0,0,0.2,34702,0,0,0.0,0.0,False,0.0,0,0.2,34702,0,0,0.0,0.0,False,0.0,0.0,186398,0.0,0.0,7,0,0,0,0,0.0,345,345,96,0.0,0.0,0,0,96,200,2.8259104900062084,2.8259104900062084
1,96,0,0,0,10.0,20,10.0,15.0,0,,23.0,0,,26.606299212598426,82,22.54878048780488,44.0,0,,0,0.2,11422,21,0,0.0,210.0,False,-0.009026822558459423,0,0.2,11442,19,0,0.0,190.0,False,-0.008167125171939477,0,0.2,19242,0,0,0.0,0.0,False,0.0,0,0.2,19242,0,0,0.0,0.0,False,0.0,0,0.2,27723,0,0,0.0,0.0,False,0.0,82,1.0200000000000002,20928.0,0,0,0.0,0.0,False,-0.2451033437939617,0,0.2,33953,43,0,0.0,1144.0708661417323,False,-0.005099549505190908,0,0.2,33602,39,0,0.0,1037.6456692913387,False,-0.01674765619717402,0.0,177554,0.0,0.0,7,0,0,24,17,17.0,79,103,55,1413.0,156.0,87,9,55,200,5.535613814019598,8.361524304025806
2,55,0,0,0,10.0,20,10.0,13.88,5,3.8,23.0,0,,26.732914375490967,13,27.846153846153847,44.0,0,,2,0.22000000000000003,11311,30,0,0.0,300.0,False,-0.014700825309491058,3,0.23,11279,30,0,0.0,300.0,False,-0.01745185694635488,0,0.2,19234,0,1,0.1,23.0,False,0.00018189377403596298,0,0.2,19231,0,4,0.4,92.0,False,0.00181893774035963,0,0.2,27723,0,0,0.0,0.0,False,0.0,13,1.068,20703.0,0,0,0.0,0.0,False,-0.25321934855535116,0,0.2,33953,43,0,0.0,1149.5153181461117,False,-0.005021103709496478,0,0.2,33240,52,0,0.0,1390.1115475255303,False,-0.022100865259559455,0.0625,176674,0.0,0.0,7,0,0,18,6,6.0,28,46,36,514.0,165.0,30,25,36,200,2.8539983480004594,11.215522652026266
3,36,0,0,0,10.0,20,10.0,11.725,11,2.909090909090909,23.0,0,,25.084976621264484,33,19.363636363636363,44.0,0,,0,0.21800000000000003,11231,38,0,0.0,380.0,False,-0.018139614855570838,11,0.337,10965,42,0,0.0,420.0,False,-0.039288170563961486,0,0.2,19232,0,2,0.1,46.0,False,0.0006756054464192911,0,0.2,19201,0,14,1.0,322.0,False,0.006236357966947303,0,0.2,27723,0,0,0.0,0.0,False,0.0,33,1.3850000000000002,19358.0,0,0,0.0,0.0,False,-0.3017350214623237,0,0.2,33429,71,0,0.0,1781.0333401097785,False,-0.011021939079739293,0,0.2,33125,57,0,0.0,1429.8436674120755,False,-0.02484231935605909,0.1375,174264,0.0,0.0,8,0,0,11,7,7.0,25,36,32,319.0,106.0,20,16,32,200,1.8791683950112201,13.094691047037486
4,32,0,0,0,10.0,20,10.0,10.847292418772565,5,2.0,22.56896551724138,13,21.076923076923077,25.59296423574318,38,27.36842105263158,44.0,20,44.0,0,0.21800000000000003,11121,49,0,0.0,490.0,False,-0.022867950481430536,5,0.37600000000000006,10791,51,0,0.0,510.0,False,-0.05037826685006878,3,0.23,19308,0,5,0.5,112.8448275862069,False,0.006362249963262919,0,0.2,19305,0,6,0.0,135.41379310344828,False,0.00679279163037754,0,0.2,27723,0,0,0.0,0.0,False,0.0,38,1.7320000000000002,17664.0,13,0,0.0,293.39655172413796,False,-0.3575479466196996,9,0.29000000000000004,33288,71,0,0.0,1817.1004607377658,False,-0.014565436275462956,11,0.31000000000000005,31896,95,0,0.0,2431.331602395602,False,-0.04582831533635526,0.0625,171096,0.0,0.0,9,0,0,10,16,15.6,25,35,29,312.0,63.0,21,11,29,304,2.0084949620068073,15.103186009044293
5,29,0,0,0,10.0,20,10.0,9.814137573453165,8,3.375,24.210443037974684,11,32.0,25.322336225311847,36,24.166666666666668,44.0,20,44.0,2,0.23800000000000002,11051,54,0,0.0,540.0,False,-0.02673658872077029,6,0.43100000000000005,10539,66,0,0.0,660.0,False,-0.06559491059147181,0,0.227,19461,0,3,0.3,72.63132911392405,False,0.01326866565621877,0,0.2,19477,0,5,0.5,121.05221518987342,False,0.01535838829617183,0,0.2,27723,0,0,0.0,0.0,False,0.0,36,2.0540000000000003,15940.0,24,0,0.0,581.0506329113924,False,-0.4145465744524151,10,0.38100000000000006,32791,89,0,0.0,2253.6879240527546,False,-0.022596854301585662,10,0.399,31204,113,0,0.0,2861.4239934602388,False,-0.05957258957033835,0.1,168186,0.0,0.0,10,0,0,11,15,15.0,25,36,32,290.0,73.0,20,9,32,552,2.2481878669932485,17.351373876037542
6,32,0,0,0,10.0,20,10.0,9.006693299928903,7,3.0,25.7489533492823,10,34.5,25.23456542826576,17,24.352941176470587,43.99999999999999,20,44.0,2,0.256,10931,64,0,0.0,640.0,False,-0.0327544704264099,5,0.4750000000000001,10354,76,0,0.0,760.0,False,-0.07720082530949106,0,0.227,19461,0,3,0.0,77.2468600478469,False,0.013388599419183193,5,0.25,19661,0,7,0.7,180.2426734449761,False,0.026458857536767914,0,0.2,27723,0,0,0.0,0.0,False,0.0,17,2.1880000000000006,15136.0,34,0,0.0,875.4644138755982,False,-0.4382378455817264,14,0.5110000000000001,32351,98,0,0.0,2472.9874119700444,False,-0.03211648590902484,6,0.44900000000000007,30879,121,0,0.0,3053.3824168201572,False,-0.06617223190565164,0.0875,166496,0.0,0.0,9,0,0,15,14,14.0,23,38,22,306.0,52.0,23,9,22,375,1.8588473820127547,19.210221258050296
7,22,0,0,0,10.0,20,10.0,8.023362581445097,12,3.6666666666666665,27.461445366528356,15,34.333333333333336,24.757558984668254,14,19.0,43.99999999999999,20,44.0,2,0.274,10801,75,0,0.0,750.0,False,-0.039202200825309494,10,0.5700000000000001,10086,85,0,0.0,850.0,False,-0.09637207702888584,2,0.24700000000000003,19565,0,4,0.4,109.84578146611342,False,0.01964052025429051,3,0.275,19888,0,8,0.8,219.69156293222684,False,0.03928104050858083,0,0.2,27723,0,0,0.0,0.0,False,0.0,14,2.3110000000000004,14313.0,49,0,0.0,1345.6108229598894,False,-0.4594450307874348,11,0.6070000000000001,31910,112,0,0.0,2772.8466062828443,False,-0.04050419851474213,9,0.533,30741,121,0,0.0,2995.6646371448587,False,-0.07098056830809667,0.15000000000000002,165027,0.0,0.0,9,0,0,6,16,15.0,23,29,19,264.0,57.0,16,6,19,375,1.1445924729923718,20.354813731042668
8,19,0,0,0,10.0,20,10.0,7.905619586541077,1,1.0,27.461445366528356,0,,23.99871825075056,24,18.791666666666668,43.99999999999999,20,44.0,0,0.272,10711,84,0,0.0,840.0,False,-0.043070839064649244,1,0.5700000000000001,9959,96,0,0.0,960.0,False,-0.10256189821182944,0,0.24500000000000002,19564,0,5,0.1,137.3072268326418,False,0.02030213145288024,0,0.272,19888,0,8,0.0,219.69156293222684,False,0.03928104050858083,0,0.2,27723,0,0,0.0,0.0,False,0.0,24,2.537000000000001,13459.0,49,0,0.0,1345.6108229598894,False,-0.4902497777484419,9,0.6860000000000002,31425,133,0,0.0,3191.8295273498243,False,-0.04844346828209005,11,0.6340000000000001,30451,124,0,0.0,2975.8410630930694,False,-0.07962306116228075,0.0125,163180,0.0,0.0,7,0,0,7,13,13.0,22,29,21,232.0,30.0,14,5,21,200,1.1495637629996054,21.504377494042274
9,21,0,0,0,10.000000000000002,20,10.0,7.555817817400736,5,3.8,25.15981254003925,11,11.0,24.207596485720043,17,26.294117647058822,43.99999999999999,20,44.0,1,0.28200000000000003,10601,94,0,0.0,940.0000000000001,False,-0.048229023383768915,4,0.6090000000000001,9796,106,0,0.0,1060.0000000000002,False,-0.11227647867950481,6,0.30500000000000005,19498,0,5,0.5,125.79906270019626,False,0.016573096941591123,0,0.272,19888,0,8,0.0,201.278500320314,False,0.03880258030143221,0,0.2,27723,0,0,0.0,0.0,False,0.0,17,2.6830000000000007,12914.0,60,0,0.0,1509.588752402355,False,-0.5069511100457679,9,0.7670000000000001,31235,136,0,0.0,3292.233122057926,False,-0.05247200273675982,11,0.7330000000000001,29879,138,0,0.0,3340.6483150293657,False,-0.09084997528918558,0.0625,161534,0.0,0.0,8,0,0,5,16,15.545454545454545,24,29,23,216.0,52.0,14,7,23,200,1.210191467020195,22.71456896106247
