index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,33.0,0,,48.0,0,,0,0.2,13607,7,0,0.0,70.0,False,-0.002559040725305257,0,0.2,13547,13,0,0.0,130.0,False,-0.004752504204138334,0,0.2,22824,0,0,0.0,0.0,False,0.0,0,0.2,22824,0,0,0.0,0.0,False,0.0,0,0.2,34706,0,0,0.0,0.0,False,0.0,0,0.2,34706,0,0,0.0,0.0,False,0.0,0.0,142214,0.0,0.0,10,0,0,0,0,0.0,247,247,42,0.0,0.0,0,0,42,200,1.494393183849752,1.494393183849752
1,42,0,0,0,10.0,20,10.0,19.0,0,,33.0,0,,48.0,0,,0,0.2,13507,17,0,0.0,170.0,False,-0.006214813190027053,0,0.2,13447,23,0,0.0,230.0,False,-0.00840827666886013,0,0.2,22824,0,0,0.0,0.0,False,0.0,0,0.2,22824,0,0,0.0,0.0,False,0.0,0,0.2,34706,0,0,0.0,0.0,False,0.0,0,0.2,34706,0,0,0.0,0.0,False,0.0,0.0,142014,0.0,0.0,12,0,0,32,0,0.0,32,64,15,590.0,8.0,41,1,15,200,1.7315393947064877,3.2259325785562396
2,15,0,0,0,10.0,20,10.0,12.625,27,2.0,33.0,0,,48.0,0,,11,0.31000000000000005,13103,31,0,0.0,310.0,False,-0.030635373254368648,16,0.36000000000000004,12981,29,0,0.0,290.0,False,-0.04028661256123419,0,0.2,22789,4,10,1.0,380.5,False,0.00680205047318612,0,0.2,22805,3,10,1.0,367.875,False,0.007226494041359972,0,0.2,34706,0,0,0.0,0.0,False,0.0,0,0.2,34706,0,0,0.0,0.0,False,0.0,0.3333333333333333,141090,0.0,0.0,12,0,0,13,6,6.0,24,37,12,170.0,3.0,14,1,12,200,1.3707093270495534,4.596641905605793
3,12,0,0,0,10.0,20,10.0,11.67245989304813,10,5.5,33.0,0,,48.0,20,48.0,10,0.399,12803,41,0,0.0,410.0,False,-0.048914235577977624,0,0.3440000000000001,12881,39,0,0.0,390.0,False,-0.04394238502595599,0,0.2,22734,4,20,1.0,706.6898395721926,False,0.011538070442783793,0,0.2,22805,0,13,0.3,429.0,False,0.008565545040308447,13,0.33000000000000007,34416,0,0,0.0,0.0,False,-0.008355903878291939,7,0.27,34598,0,0,0.0,0.0,False,-0.003111853858122515,0.21666666666666667,140237,0.0,0.0,11,0,0,8,16,16.0,24,32,15,133.0,9.0,9,3,15,200,0.650985081680119,5.247626987285912
4,15,0,0,0,10.0,20,10.0,11.67245989304813,0,,32.673469387755105,4,29.0,48.0,20,48.0,0,0.389,12683,53,0,0.0,530.0,False,-0.05330116253564378,0,0.3440000000000001,12801,47,0,0.0,470.0,False,-0.04686700299773342,0,0.2,22850,0,20,0.4,653.4693877551022,False,0.015454551957481237,0,0.2,22805,0,13,0.0,424.7551020408164,False,0.008472553059078462,9,0.4070000000000001,34257,0,0,0.0,0.0,False,-0.012937244280527862,11,0.37300000000000005,34265,4,0,0.0,130.69387755102042,False,-0.01082386507302742,0.06666666666666667,139661,0.0,0.0,14,0,0,10,12,12.0,21,31,15,121.0,15.0,10,5,15,316,0.7359083294868469,5.983535316772759
5,15,0,0,0,10.0,20,10.0,10.131847609561754,13,2.1538461538461537,33.989816700611,5,45.6,48.00000000000001,20,48.0,8,0.46900000000000003,12377,66,0,0.0,660.0,False,-0.07092198581560284,5,0.394,12621,54,0,0.0,540.0,False,-0.05746874314542663,0,0.2,23050,3,25,1.0,880.1409603439603,False,0.029182898710654586,0,0.2,22805,0,13,0.0,441.86761710794303,False,0.008847432901944058,9,0.4880000000000001,33901,0,4,0.4,192.00000000000003,False,-0.020428744309341326,11,0.47200000000000003,34012,5,0,0.0,169.94908350305502,False,-0.01754813168467903,0.2333333333333333,138766,0.0,0.0,15,0,0,5,16,16.0,27,32,14,115.0,21.0,8,7,14,428,0.622280053794384,6.605815370567143
6,14,0,0,0,10.0,20,10.0,9.670466307835628,5,3.0,40.23549599607779,17,56.470588235294116,48.00000000000001,20,48.0,0,0.4610000000000001,12347,69,0,0.0,690.0,False,-0.07201871755501937,5,0.43900000000000006,12351,71,0,0.0,710.0,False,-0.07099510126489728,0,0.2,23365,0,26,0.8,1046.1228958980225,False,0.0466202877650285,0,0.2,23435,0,3,0.0,120.70648798823336,False,0.02941435523984032,8,0.5590000000000002,33957,0,0,0.0,0.0,False,-0.021581282775312627,8,0.541,32921,22,0,0.0,885.1809119137113,False,-0.038679465914917915,0.13333333333333333,138376,0.0,0.0,20,0,0,12,11,10.5,15,27,19,80.0,21.0,7,7,19,1256,0.6409260835498571,7.246741454117
7,19,0,0,0,10.0,20,10.0,9.22313946501572,5,3.0,41.29794742887583,5,53.0,48.00000000000001,20,48.0,5,0.5110000000000001,12147,79,0,0.0,790.0,False,-0.08298603494918476,0,0.43400000000000005,12251,81,0,0.0,810.0,False,-0.07465087372961907,0,0.2,23550,0,27,0.5,1115.0445805796473,False,0.056235641880907114,0,0.2,23500,0,2,0.0,82.59589485775166,False,0.031427354864566985,7,0.6210000000000001,33648,0,4,0.4,192.00000000000003,False,-0.02771855010660981,13,0.663,32573,23,0,0.0,949.852790864144,False,-0.04777484021690571,0.15,137669,0.0,0.0,12,0,0,9,12,12.0,24,33,17,129.0,33.0,10,9,17,465,0.7795105874538422,8.026252041570842
8,17,0,0,0,10.0,20,10.0,8.548219860996662,6,1.0,42.93077282097827,4,65.0,48.00000000000001,20,48.0,0,0.506,12047,89,0,0.0,890.0,False,-0.08664180741390656,6,0.49400000000000005,12019,91,0,0.0,910.0,False,-0.08795788550120641,0,0.2,23804,0,29,0.6,1244.9924118083698,False,0.0702110149800292,0,0.2,23500,0,2,0.0,85.86154564195654,False,0.031498894708244775,6,0.6740000000000002,33764,0,0,0.0,0.0,False,-0.027142280873624157,10,0.7500000000000002,32132,27,0,0.0,1159.1308661664132,False,-0.05746656390586044,0.09999999999999999,137266,0.0,0.0,13,0,0,5,9,8.666666666666668,26,31,12,135.0,23.0,9,8,12,556,0.7024015439674258,8.728653585538268
9,12,0,0,0,10.000000000000002,20,10.0,8.156357415354003,5,3.0,43.43340631321934,4,50.0,48.0,20,48.0,0,0.506,11947,99,0,0.0,990.0000000000002,False,-0.09029757987862835,5,0.538,11819,101,0,0.0,1010.0000000000002,False,-0.0989252028953718,0,0.2,23989,0,30,0.5,1303.0021893965802,False,0.07958732451359495,0,0.2,23500,0,2,0.0,86.86681262643869,False,0.031520916855644024,8,0.748,33436,0,4,0.4,192.0,False,-0.03382700397625771,12,0.8600000000000001,31874,27,0,0.0,1172.7019704569223,False,-0.06470492176486883,0.15,136565,0.0,0.0,15,0,0,4,13,13.0,27,31,8,130.0,12.0,8,4,8,400,0.5998815931379795,9.328535178676248
