index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,19.0,0,,34.0,0,,0,0.2,10514,13,0,0.0,130.0,False,-0.006106726794438181,0,0.2,10574,7,0,0.0,70.0,False,-0.003288237504697482,0,0.2,17252,0,0,0.0,0.0,False,0.0,0,0.2,17252,0,0,0.0,0.0,False,0.0,0,0.2,24569,0,0,0.0,0.0,False,0.0,0,0.2,24569,0,0,0.0,0.0,False,0.0,0.0,104730,0.0,0.0,13,0,0,0,0,0.0,303,303,56,0.0,0.0,0,0,56,200,0.794073379598558,0.794073379598558
1,56,0,0,0,10.0,20,10.0,15.0,0,,19.0,0,,34.0,0,,0,0.2,10444,20,0,0.0,200.0,False,-0.009394964299135663,0,0.2,10444,20,0,0.0,200.0,False,-0.009394964299135663,0,0.2,17252,0,0,0.0,0.0,False,0.0,0,0.2,17252,0,0,0.0,0.0,False,0.0,0,0.2,24569,0,0,0.0,0.0,False,0.0,0,0.2,24569,0,0,0.0,0.0,False,0.0,0.0,104530,0.0,0.0,12,0,0,14,0,0.0,32,46,13,264.0,202.0,21,35,13,200,0.9212035089731216,1.7152768885716796
2,13,0,0,0,10.0,20,10.0,10.098591549295774,26,1.6153846153846154,19.0,0,,34.0,0,,11,0.31000000000000005,10165,28,0,0.0,280.0,False,-0.0318489289740699,15,0.35000000000000003,10018,32,0,0.0,320.0,False,-0.04378053363397219,0,0.2,17216,10,10,1.0,290.98591549295776,False,0.006346681993187983,0,0.2,17246,0,6,0.6,114.0,False,0.0029561789937398563,0,0.2,24569,0,0,0.0,0.0,False,0.0,0,0.2,24569,0,0,0.0,0.0,False,0.0,0.26666666666666666,103783,0.0,0.0,12,0,0,11,6,6.0,19,30,12,139.0,38.0,10,3,12,200,0.543559025041759,2.2588359136134386
3,12,0,0,0,10.0,20,10.0,9.690582959641256,3,1.0,20.6,5,35.0,34.0,20,34.0,0,0.29900000000000004,10085,36,0,0.0,360.0,False,-0.035606914693724165,3,0.36500000000000005,9847,44,0,0.0,440.0,False,-0.054208944006012776,0,0.2,17216,0,20,1.0,412.0,False,0.009853929979132854,0,0.2,17418,0,4,0.3,82.4,False,0.012010201715743145,9,0.29000000000000004,24453,0,0,0.0,0.0,False,-0.00472139688224999,11,0.31000000000000005,24234,5,0,0.0,103.0,False,-0.011538931173429932,0.21666666666666667,103253,0.0,0.0,14,0,0,12,14,14.0,16,28,13,121.0,20.0,8,4,13,375,0.5160237783566117,2.7748596919700503
4,13,0,0,0,10.0,20,10.0,8.788594047793579,8,2.0,20.6,0,,34.0,20,34.0,4,0.3390000000000001,9925,46,0,0.0,460.0,False,-0.04594137542277339,4,0.402,9679,54,0,0.0,540.0,False,-0.06529500187899286,0,0.2,17216,0,20,0.0,412.0,False,0.009853929979132854,0,0.2,17402,0,12,0.8,247.20000000000002,False,0.01585903083700432,9,0.37100000000000005,24338,0,0,0.0,0.0,False,-0.009402092067239205,11,0.40900000000000003,24078,5,0,0.0,103.0,False,-0.01788839594611095,0.13333333333333333,102638,0.0,0.0,11,0,0,7,13,13.0,22,29,13,97.0,39.0,8,5,13,200,0.5279349414631724,3.3027946334332228
5,13,0,0,0,10.0,20,10.0,8.425709360294459,3,1.0,22.893333333333334,30,26.333333333333332,34.0,20,34.0,3,0.36500000000000005,9734,60,0,0.0,600.0,False,-0.057309282224727545,0,0.398,9619,60,0,0.0,600.0,False,-0.06811349116873355,0,0.2,17506,0,10,0.0,228.93333333333334,False,0.0213579101939872,8,0.28,17715,0,3,0.3,68.68,False,0.028827961975423148,7,0.43200000000000005,23826,5,10,1.0,454.4666666666667,False,-0.020992578723866107,13,0.528,23517,20,0,0.0,457.8666666666667,False,-0.03350021029210248,0.21666666666666667,101917,0.0,0.0,14,0,0,13,13,12.8,20,33,10,175.0,9.0,12,1,10,810,0.5499729905277491,3.852767623960972
6,10,0,0,0,10.0,20,10.0,6.836998239633653,18,1.7222222222222223,23.935172413793104,5,38.0,34.0,20,34.0,9,0.45200000000000007,9405,76,0,0.0,760.0,False,-0.08070274332957535,9,0.4880000000000001,9421,64,0,0.0,640.0,False,-0.08483652762119503,0,0.2,17506,0,10,0.0,239.35172413793106,False,0.02165985752776288,2,0.29200000000000004,17828,8,10,1.0,294.04771005500027,False,0.041909567298139286,2,0.44500000000000006,24151,0,5,0.5,170.0,False,-0.013553665187838333,8,0.5950000000000001,23244,25,0,0.0,598.3793103448276,False,-0.04175222210214445,0.25,101555,0.0,0.0,16,0,0,7,11,10.4,23,30,8,101.0,6.0,8,2,8,540,0.45916962437331676,4.311937248334289
7,8,0,0,0,10.0,20,10.0,5.812851720032542,16,1.4375,24.865053380782918,5,37.0,34.0,20,34.0,11,0.5530000000000002,9100,85,0,0.0,850.0,False,-0.10512965050732807,5,0.5290000000000001,9231,75,0,0.0,750.0,False,-0.09751972942502818,0,0.2,17506,0,10,0.0,248.65053380782916,False,0.02192935699651715,0,0.29000000000000004,17990,14,15,1.0,454.35572479219934,False,0.05594585337329585,4,0.48300000000000004,24286,0,0,0.0,0.0,False,-0.011518580324799544,11,0.6970000000000001,22901,30,0,0.0,745.9516014234875,False,-0.052709682904809096,0.16666666666666666,101014,0.0,0.0,14,0,0,5,13,12.5,18,23,11,28.0,19.0,3,5,11,521,0.38031093776226044,4.692248186096549
8,11,0,0,0,10.0,20,10.0,5.302773067144549,9,1.0,24.865053380782918,0,,34.0,20,34.0,5,0.5920000000000001,8895,97,0,0.0,970.0,False,-0.11875234874107478,4,0.5640000000000001,9083,83,0,0.0,830.0,False,-0.1076662908680947,0,0.2,17506,0,10,0.0,248.65053380782916,False,0.02192935699651715,0,0.29000000000000004,17981,13,25,1.0,690.5623843924521,False,0.062269950857652884,8,0.559,24191,0,0,0.0,0.0,False,-0.015385241564573243,12,0.806,22716,30,0,0.0,745.9516014234875,False,-0.060239496898052615,0.16666666666666666,100372,0.0,0.0,11,0,0,5,15,15.0,27,32,14,116.0,9.0,8,3,14,200,0.4407496554777026,5.132997841574252
9,14,0,0,0,10.000000000000002,20,10.0,5.085585871343339,7,2.7142857142857144,26.306999087868654,19,31.105263157894736,33.99999999999999,20,34.0,3,0.6170000000000001,8744,107,0,0.0,1070.0000000000002,False,-0.1282412626832018,4,0.6000000000000001,8927,93,0,0.0,930.0000000000001,False,-0.1176249530251785,0,0.2,17776,0,0,0.0,0.0,False,0.03037329005332715,0,0.29000000000000004,18283,10,26,1.0,734.8378349980184,False,0.08105836526194121,15,0.7010000000000001,23657,0,10,1.0,339.99999999999994,False,-0.030200659367495625,5,0.8440000000000001,22351,39,0,0.0,1025.9729644268775,False,-0.06939694402647888,0.3333333333333333,99738,0.0,0.0,13,0,0,3,12,12.0,25,28,16,72.0,49.0,6,8,16,791,0.46121727768331766,5.594215119257569
