index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00MyA@0,spot_market_loss_00MyA@0,balance_00MyA@0,inventory_00MyA@0_input,inventory_00MyA@0_output,productivity_00MyA@0,assets_00MyA@0,bankrupt_00MyA@0,score_00MyA@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,16,10.0,16.0,0,,24.0,0,,29.0,0,,0,0.2,13783,0,6,0.6,96.0,False,-0.000866864119049339,0,0.2,13743,10,0,0.0,100.0,False,-0.0036119338293722457,0,0.2,20813,0,0,0.0,0.0,False,0.0,0,0.2,20813,0,0,0.0,0.0,False,0.0,0,0.2,24076,0,0,0.0,0.0,False,0.0,0,0.2,24076,0,0,0.0,0.0,False,0.0,0.09999999999999999,117304,0.0,0.0,7,0,0,71,0,0.0,220,291,68,0.0,0.0,0,0,68,160,0.7011934900656343,0.7011934900656343
1,68,0,0,0,10.0,19,10.0,16.0,0,,24.0,0,,29.0,0,,0,0.2,13713,0,13,0.7,208.0,False,-0.0018782055912735678,0,0.2,13623,22,0,0.0,220.0,False,-0.00794625442461894,0,0.2,20813,0,0,0.0,0.0,False,0.0,0,0.2,20813,0,0,0.0,0.0,False,0.0,0,0.2,24076,0,0,0.0,0.0,False,0.0,0,0.2,24076,0,0,0.0,0.0,False,0.0,0.11666666666666665,117114,0.0,0.0,8,0,0,29,0,0.0,32,61,35,756.0,183.0,42,26,35,190,2.2937717474997044,2.9949652375653386
2,35,0,0,0,10.0,15,10.0,14.163934426229508,16,9.0,22.705882352941178,6,13.0,29.0,0,,0,0.2,13653,0,19,0.6,269.11475409836066,False,-0.004005101708503864,16,0.36000000000000004,13319,31,0,0.0,310.0,False,-0.026656071660767174,6,0.26,20618,11,0,0.0,155.80327868852459,False,-0.005626212494870435,0,0.2,20768,0,5,0.5,113.52941176470588,False,0.0005652575737449265,0,0.2,24076,0,0,0.0,0.0,False,0.0,0,0.2,23998,0,6,0.6,174.0,False,0.00037381624854627017,0.2833333333333334,116432,0.0,0.0,8,0,0,21,4,4.0,13,34,33,220.0,81.0,13,22,33,150,1.0453037740662694,4.040269011631608
3,33,0,0,0,10.0,16,10.0,13.291217257318952,10,8.5,20.898032200357783,10,12.6,29.0,20,29.0,0,0.2,13573,0,27,0.8,358.8628659476117,False,-0.006542553422393535,10,0.44400000000000006,13114,39,0,0.0,390.0,False,-0.038575453297695586,10,0.35400000000000004,20424,11,0,0.0,146.20338983050846,False,-0.01517793230599844,0,0.2,20683,0,15,1.0,313.47048300536676,False,0.001284545308349757,9,0.29000000000000004,23904,0,6,0.6,174.0,False,-0.0035304867918258846,5,0.25,24084,0,4,0.4,116.0,False,0.002741319156005981,0.4666666666666666,115782,0.0,0.0,10,0,0,18,11,10.75,10,28,33,165.0,84.0,10,23,33,305,1.1499624820426106,5.190231493674219
4,33,0,0,0,10.0,13,10.0,13.891216294410372,28,15.142857142857142,17.86185030007927,38,13.842105263157896,29.0,20,29.0,0,0.2,13872,0,14,0.0,194.4770281217452,False,0.009119303190123027,15,0.5840000000000001,12764,52,0,0.0,520.0,False,-0.05916347612511739,21,0.554,19578,24,0,0.0,333.38919106584893,False,-0.05132875628054943,2,0.22000000000000003,20767,5,10,1.0,248.07458447284455,False,0.003749449490050556,5,0.33100000000000007,23899,0,9,0.9,261.0,False,-0.0019313839508223957,5,0.29500000000000004,23772,19,10,1.0,629.3751557015062,False,0.00044391002869051583,0.48333333333333334,114652,0.0,0.0,13,0,0,15,14,12.619047619047619,12,27,37,168.0,80.0,11,22,37,837,1.1768648838624358,6.3670963775366545
5,37,0,0,0,10.0,9,10.0,13.046954854035679,14,8.357142857142858,17.887204873472804,9,18.11111111111111,28.999999999999996,20,29.0,0,0.2,13872,0,14,0.0,182.6573679564995,False,0.008692384886097696,14,0.7090000000000001,12489,61,0,0.0,610.0,False,-0.07577837174022972,7,0.6030000000000002,19394,33,0,0.0,430.5495101831774,False,-0.057835258968356874,0,0.21800000000000003,20794,0,18,1.0,321.96968772251046,False,0.006821930709712846,1,0.336,24027,0,8,0.8,231.99999999999997,False,0.0027828542947333445,0,0.29000000000000004,24026,10,10,1.0,468.87204873472797,False,0.007660575858421892,0.4666666666666666,114602,0.0,0.0,15,0,0,17,4,3.25,14,31,23,189.0,69.0,13,24,23,626,0.9689303115010262,7.336026689037681
6,23,0,0,0,9.999999999999998,7,10.0,12.070745822840914,23,8.565217391304348,17.160657370229593,24,14.75,29.0,20,29.0,0,0.2,13872,0,14,0.0,168.9904415197728,False,0.008198744546694153,23,0.925,12023,68,0,0.0,679.9999999999999,False,-0.10691324134941847,22,0.8160000000000001,18749,41,0,0.0,494.9005787364775,False,-0.08727957097159275,0,0.21800000000000003,20741,5,26,1.0,506.53082074017397,False,0.00870923991592216,5,0.385,24149,0,2,0.2,58.0,False,0.004236584150191062,0,0.29000000000000004,23947,22,13,1.0,754.5344621450511,False,0.010311813884055688,0.3666666666666667,113481,0.0,0.0,13,0,0,14,10,10.0,13,27,13,114.0,45.0,8,15,13,577,0.7953558778390288,8.13138256687671
7,13,0,0,0,10.0,11,10.0,12.60097560294735,11,17.181818181818183,16.90099749263018,18,15.555555555555555,29.0,20,29.0,0,0.2,14016,0,8,0.0,100.8078048235788,False,0.01613840225469841,5,0.952,11863,79,0,0.0,790.0,False,-0.11449830239110019,16,0.9540000000000002,18260,47,0,0.0,592.2458533385255,False,-0.10843593299047401,0,0.21800000000000003,20768,0,34,1.0,574.633914749426,False,0.011642577109244922,8,0.4600000000000001,24025,0,6,0.6,174.0,False,0.0014952649941850807,0,0.29000000000000004,24058,24,13,1.0,782.6239398231243,False,0.015505564458862071,0.43333333333333335,112990,0.0,0.0,13,0,0,13,8,7.5,8,21,11,75.0,24.0,5,8,11,616,0.5436412617564201,8.67502382863313
8,11,0,0,0,10.0,7,10.0,13.45453537125962,32,16.0,17.274970075490895,2,36.0,29.0,20,29.0,0,0.2,14016,0,8,0.0,107.63628297007696,False,0.016385042366903035,32,1.2670000000000001,11697,86,0,0.0,860.0,False,-0.12396156902405547,0,0.9380000000000002,18260,47,0,0.0,632.3631624492022,False,-0.1074721769459183,0,0.21800000000000003,20328,22,42,1.0,1021.5485213383292,False,0.0012383731643282807,0,0.45200000000000007,24134,0,2,0.1,58.0,False,0.0036135570692806115,2,0.31000000000000005,24386,15,10,1.0,549.1245511323634,False,0.024279875210424594,0.35000000000000003,112821,0.0,0.0,15,0,0,17,3,3.0,8,25,10,75.0,18.0,5,6,10,664,0.500718136318028,9.175741964951158
9,10,0,0,0,10.0,9,10.0,13.914564288946396,44,15.113636363636363,19.74383913780136,74,22.81081081081081,29.0,20,29.0,0,0.2,14208,0,0,0.0,0.0,False,0.026367116954417395,36,1.5950000000000002,11095,95,0,0.0,950.0,False,-0.1641985118832623,74,1.6780000000000004,16897,64,0,0.0,890.5321144925693,False,-0.16675798504558284,0,0.21800000000000003,19936,39,52,1.0,1569.3476424345804,False,-0.004435986104007614,7,0.522,22542,56,10,1.0,1395.654991716876,False,-0.03473054095952662,1,0.31800000000000006,24566,13,10,1.0,546.6699087914177,False,0.03170522322627132,0.5,109244,0.0,0.0,11,0,0,6,10,8.833333333333332,17,23,13,90.0,15.0,5,5,13,543,0.476037404499948,9.651779369451106
