index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,27.0,0,,37.0,0,,0,0.2,18910,0,10,1.0,200.0,False,0.0,0,0.2,18910,10,0,0.0,100.0,False,-0.0026301946344029457,0,0.2,31188,0,0,0.0,0.0,False,0.0,0,0.2,31188,0,0,0.0,0.0,False,0.0,0,0.2,39207,0,0,0.0,0.0,False,0.0,0,0.2,39207,0,0,0.0,0.0,False,0.0,0.16666666666666666,178610,0.0,0.0,6,0,0,59,0,0.0,208,267,82,0.0,0.0,0,0,82,200,0.8309302581474185,0.8309302581474185
1,82,0,0,0,10.0,20,10.0,20.0,0,,24.454545454545453,10,13.0,37.0,0,,0,0.2,18820,0,19,0.9,380.0,False,0.0,0,0.2,18800,21,0,0.0,210.0,False,-0.005523408732246186,10,0.30000000000000004,30998,0,0,0.0,0.0,False,-0.0060920867000128255,0,0.2,31188,0,0,0.0,0.0,False,0.0,0,0.2,39207,0,0,0.0,0.0,False,0.0,0,0.2,39077,0,10,1.0,370.0,False,0.0014028107225750504,0.31666666666666665,178090,0.0,0.0,7,0,0,22,1,1.0,34,56,56,756.0,405.0,42,40,56,200,2.7520000552758574,3.582930313423276
2,56,0,0,0,10.0,20,10.0,17.894736842105264,12,10.0,21.666666666666668,18,14.0,37.0,0,,0,0.2,18770,0,24,1.0,429.47368421052636,False,-0.0013289404468562153,7,0.27,18602,31,0,0.0,310.0,False,-0.013308784850078905,18,0.4700000000000001,30487,7,0,0.0,125.26315789473685,False,-0.02046839877685744,0,0.2,31138,0,5,0.5,108.33333333333334,False,0.0001335983925441798,0,0.2,38955,8,10,1.0,543.3333333333334,False,0.0005016111068601077,0,0.2,39077,0,10,0.0,370.0,False,0.0014028107225750504,0.4166666666666667,177029,0.0,0.0,7,0,0,15,3,3.0,24,39,36,442.0,228.0,26,30,36,250,2.496687738224864,6.07961805164814
3,36,0,0,0,10.0,20,10.0,17.385697538100818,34,16.61764705882353,19.865203761755485,19,14.105263157894736,37.0,8,37.0,0,0.2,19025,1,19,1.0,340.3282532239155,False,0.009740353845973626,19,0.45300000000000007,18121,40,0,0.0,400.0,False,-0.036244082062072594,19,0.6420000000000001,29660,21,0,0.0,365.09964830011717,False,-0.04313999537802818,0,0.2,30923,10,15,1.0,471.83503180734044,False,-0.0009324895503504136,0,0.2,38983,17,12,1.0,781.7084639498432,False,0.004255725558571809,0,0.2,39077,0,10,0.0,370.0,False,0.0014028107225750504,0.5,175789,0.0,0.0,12,0,0,12,7,7.0,15,27,22,219.0,139.0,13,23,22,861,1.3840179685503244,7.463636020198464
4,22,0,0,0,10.0,20,10.0,19.535535365543005,41,23.5609756097561,19.3107397090684,9,14.88888888888889,37.0,10,37.0,10,0.30000000000000004,19526,1,10,1.0,205.35535365543006,False,0.03254485412034276,12,0.554,17823,50,0,0.0,500.0,False,-0.049289847448711205,9,0.7130000000000001,28994,42,0,0.0,820.4924853528062,False,-0.057193592321521,0,0.2,30433,20,25,1.0,873.4792000375701,False,-0.010204578683507,0,0.2,39219,16,12,1.0,752.9718353450944,False,0.009908585652371873,0,0.2,39077,0,10,0.0,370.0,False,0.0014028107225750504,0.5,175072,0.0,0.0,10,0,0,13,6,5.666666666666666,10,23,21,135.0,78.0,10,12,21,976,1.0604326082393527,8.524068628437817
5,21,0,0,0,10.0,20,10.0,18.881475695838475,31,16.645161290322584,18.699991144957053,12,15.0,36.99999999999999,13,37.0,0,0.29000000000000004,19726,0,10,1.0,188.81475695838475,False,0.0426305827711305,21,0.7520000000000002,17262,61,0,0.0,610.0,False,-0.07590741714886902,12,0.8240000000000003,28379,63,0,0.0,1189.532968837824,False,-0.07099632921575885,0,0.2,30328,20,35,1.0,1032.1292039902664,False,-0.011027811914995043,1,0.21000000000000002,39476,18,10,1.0,706.5998406092269,False,0.01587216365201655,0,0.2,39077,0,10,0.0,369.99999999999994,False,0.0014028107225750504,0.5,174248,0.0,0.0,10,0,0,11,7,6.166666666666667,10,21,18,144.0,96.0,8,13,18,749,1.0458122855052352,9.569880913943052
6,18,0,0,0,10.0,20,10.0,19.63077930153245,20,24.25,18.699991144957053,0,,36.99999999999999,11,37.0,5,0.34,19931,1,10,1.0,206.30779301532448,False,0.05387448166794643,5,0.7810000000000001,17102,70,0,0.0,700.0,False,-0.08195686480799579,0,0.812,28329,68,0,0.0,1334.8929925042066,False,-0.0702691260660478,0,0.2,29893,25,45,1.0,1332.2690840613786,False,-0.020163699434696366,1,0.21900000000000003,39839,8,10,1.0,519.5999291596563,False,0.022745937321902374,0,0.2,39077,0,10,0.0,369.99999999999994,False,0.0014028107225750504,0.5,174171,0.0,0.0,10,0,0,10,3,2.333333333333333,10,20,22,114.0,60.0,8,10,22,570,1.143986857496202,10.713867771439254
7,22,0,0,0,10.0,20,10.0,20.485912969903602,20,26.0,23.812227872297864,25,39.4,37.0,12,37.0,5,0.385,20176,1,10,1.0,214.85912969903603,False,0.06698735217514556,5,0.8260000000000003,16937,80,0,0.0,800.0,False,-0.08800631246712257,0,0.812,27864,83,0,0.0,1700.330776501999,False,-0.07932007861193408,0,0.2,30823,20,30,1.0,1124.085095567008,False,0.006317896235202807,2,0.23800000000000002,39415,18,10,1.0,798.6201017013616,False,0.015489837295653409,0,0.2,38872,0,15,0.5,555.0,False,-0.0014665748463284617,0.5833333333333334,174087,0.0,0.0,11,0,0,11,3,2.0,15,26,23,162.0,54.0,14,8,23,1518,1.681541302241385,12.39540907368064
8,23,0,0,0,10.0,20,10.0,18.9823697724023,24,10.583333333333334,25.26517425286901,25,30.56,37.0,11,37.0,0,0.38000000000000006,20211,0,8,0.8,151.8589581792184,False,0.06717146128824877,14,0.9610000000000003,16555,93,0,0.0,930.0,False,-0.10468174644923724,10,0.9120000000000001,27576,92,0,0.0,1746.3780190610116,False,-0.08781617899414819,0,0.2,31283,25,25,1.0,1106.1886006317827,False,0.02078024561741343,1,0.24600000000000002,39014,33,10,1.0,1203.7507503446773,False,0.010428632008884678,0,0.2,38872,0,15,0.0,555.0,False,-0.0014665748463284617,0.4666666666666666,173511,0.0,0.0,14,0,0,7,6,5.5,17,24,21,150.0,99.0,10,13,21,1253,1.2418566048145294,13.637265678495169
9,21,0,0,0,10.000000000000002,20,10.0,20.808392330886743,51,25.901960784313726,26.316604512442634,32,29.75,36.99999999999999,11,37.0,21,0.5900000000000001,20386,3,10,1.0,238.08392330886744,False,0.07864502691501499,22,1.1670000000000003,16339,100,0,0.0,1000.0000000000002,False,-0.11420305102577591,12,1.022,27294,94,0,0.0,1955.9888791033538,False,-0.09349767732616147,0,0.2,30764,64,15,1.0,1726.4861768633912,False,0.014083720932143657,1,0.255,38425,55,10,1.0,1817.4132481843449,False,0.0032317347435960515,0,0.2,38872,0,15,0.0,554.9999999999999,False,-0.0014665748463284617,0.5,172080,0.0,0.0,9,0,0,6,7,5.628571428571429,19,25,26,183.0,105.0,11,10,26,1202,1.1114531252533197,14.748718803748488
