index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Buy@2,spot_market_loss_04Buy@2,balance_04Buy@2,inventory_04Buy@2_input,inventory_04Buy@2_output,productivity_04Buy@2,assets_04Buy@2,bankrupt_04Buy@2,score_04Buy@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,29.0,0,,40.0,0,,0,0.2,12320,3,10,1.0,220.0,False,-0.001606425702811245,0,0.2,12380,7,0,0.0,70.0,False,-0.002811244979919679,0,0.2,16624.0,0,0,0.0,0.0,False,0.0,0,0.2,16624,0,0,0.0,0.0,False,0.0,0,0.2,18785,0,0,0.0,0.0,False,0.0,0,0.2,18785,0,0,0.0,0.0,False,0.0,0,0.2,24167,0,0,0.0,0.0,False,0.0,0,0.2,24167,0,0,0.0,0.0,False,0.0,0.125,143852,0.0,0.0,7,0,0,97,0,0.0,286,383,86,0.0,0.0,0,0,86,200,1.0207139737904072,1.0207139737904072
1,86,0,0,0,10.0,20,10.0,19.0,0,,24.0,0,,26.272727272727273,10,14.0,40.0,0,,0,0.2,12210,4,20,1.0,420.0,False,-0.0024096385542168677,0,0.2,12290,16,0,0.0,160.0,False,-0.00642570281124498,0,0.2,16624.0,0,0,0.0,0.0,False,0.0,0,0.2,16624,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,18575,0,0,0.0,0.0,False,-0.011179132286398722,0,0.2,18785,0,0,0.0,0.0,False,0.0,0,0.2,24167,0,0,0.0,0.0,False,0.0,0,0.2,24027,0,10,1.0,400.0,False,0.0024827243762155005,0.25,143302,0.0,0.0,8,0,0,36,1,1.0,44,80,34,1083.0,286.0,63,23,34,200,3.6484918547794223,4.6692058285698295
2,34,0,0,0,10.0,20,10.0,19.0,0,,18.15714285714286,25,7.64,23.88372093023256,15,16.0,40.0,0,,0,0.2,12100,5,30,1.0,620.0,False,-0.00321285140562249,0,0.2,12200,25,0,0.0,250.0,False,-0.010040160642570281,14,0.34,16206.0,0,0,0.0,0.0,False,-0.02514436958614052,11,0.31000000000000005,16397,0,0,0.0,0.0,False,-0.013654956689124158,15,0.44000000000000006,18077,19,0,0.0,344.9857142857143,False,-0.028507167572911513,0,0.2,18729,0,6,0.6,143.30232558139537,False,0.0008331734251103772,0,0.2,23927,5,10,1.0,519.4186046511628,False,0.0008155460886986474,0,0.2,24027,0,10,0.0,400.0,False,0.0024827243762155005,0.325,141663,0.0,0.0,9,0,0,10,8,8.0,34,44,22,426.0,32.0,27,7,22,200,1.5965980272740126,6.265803855843842
3,22,0,0,0,10.0,20,10.0,20.551724137931036,13,25.923076923076923,15.825925925925928,18,7.666666666666667,21.44646333549643,19,14.0,40.0,0,,0,0.2,12356,3,28,1.0,605.448275862069,False,0.01676499099847666,1,0.21000000000000002,12058,37,0,0.0,370.0,False,-0.016626506024096384,9,0.41600000000000004,15951.0,0,0,0.0,0.0,False,-0.04048363811357074,9,0.389,15907,13,0,0.0,267.1724137931035,False,-0.035094669941256464,19,0.6150000000000001,17448,29,0,0.0,458.9518518518519,False,-0.05895789587831109,0,0.2,18700,0,14,0.8,300.25048669695,False,0.0034668748122690073,0,0.2,23661,14,20,1.0,1100.25048669695,False,0.0018258469544615926,0,0.2,24027,0,10,0.0,400.0,False,0.0024827243762155005,0.35,140108,0.0,0.0,11,0,0,19,7,7.0,16,35,13,204.0,27.0,18,4,13,536,1.7269309666007757,7.992734822444618
4,13,0,0,0,10.0,20,10.0,20.522556390977442,1,19.0,13.989874857792946,15,5.066666666666666,20.374138629914874,17,16.0,40.0,12,40.0,0,0.2,12256,3,38,1.0,809.8571428571428,False,0.016942053930005675,1,0.21900000000000003,11954,47,0,0.0,470.0,False,-0.020963855421686748,11,0.5170000000000001,15583.0,1,0,0.0,20.522556390977442,False,-0.06200305111913568,4,0.42000000000000004,15843,13,0,0.0,266.79323308270676,False,-0.03895593018880215,17,0.7660000000000002,17009,37,0,0.0,517.625369738339,False,-0.08076589380520798,0,0.2,18644,0,21,0.7,427.85691122821237,False,0.003882270727394543,0,0.2,23869,21,18,1.0,1147.8569112282123,False,0.011417571714077316,0,0.2,24027,0,10,0.0,400.0,False,0.0024827243762155005,0.3375,139185,0.0,0.0,16,0,0,9,9,9.0,15,24,21,96.0,51.0,8,5,21,680,0.8230514694005251,8.815786291845143
5,21,0,0,0,10.0,20,10.0,23.181104493773688,26,28.076923076923077,13.148115520842792,31,11.0,20.96994658564254,10,25.6,40.0,7,40.0,0,0.2,12864,2,24,1.0,576.3465078505685,False,0.05639945814660919,2,0.23800000000000002,11830,58,0,0.0,580.0,False,-0.02650602409638554,6,0.5660000000000001,15002.0,16,0,0.0,370.897671900379,False,-0.08641429042648038,25,0.6660000000000001,14859,24,0,0.0,556.3465078505685,False,-0.08943856749727597,6,0.8090000000000002,16616,60,0,0.0,788.8869312505675,False,-0.09446667736889619,0,0.2,18742,0,25,0.8,524.2486646410634,False,0.011664856658000043,0,0.2,23893,21,21,1.0,1280.3688782984932,False,0.01515225055444387,0,0.2,24027,0,10,0.0,400.0,False,0.0024827243762155005,0.35,137833,0.0,0.0,13,0,0,18,8,8.0,14,32,15,209.0,77.0,15,6,15,1350,1.0477049546316266,9.86349124647677
6,15,0,0,0,10.0,20,10.0,23.059014191438415,2,19.0,12.006364507489822,23,7.086956521739131,21.800874631712073,8,30.0,40.0,9,40.0,0,0.2,12802,2,32,1.0,757.8884541260293,False,0.05871037968377632,0,0.23600000000000002,11730,68,0,0.0,680.0,False,-0.030522088353413655,16,0.7200000000000002,14507.0,18,0,0.0,415.0622554458915,False,-0.11486217951618463,7,0.7110000000000001,14732,24,0,0.0,553.4163405945219,False,-0.09716625539597805,4,0.8430000000000002,16378,82,0,0.0,984.5218896141654,False,-0.10192914853302723,0,0.2,18917,0,22,0.1,479.61924189766563,False,0.019792899704489334,0,0.2,24013,19,22,1.0,1294.2166180025295,False,0.020404200314530777,0,0.2,24027,0,10,0.0,400.0,False,0.0024827243762155005,0.2625,137106,0.0,0.0,15,0,0,12,6,6.0,12,24,21,89.0,58.0,8,7,21,774,1.0474401684477925,10.910931414924562
7,21,0,0,0,10.0,20,10.0,27.728694998563594,40,34.925,11.898248808205205,11,10.818181818181818,22.737809627078363,5,37.4,39.99999999999999,8,40.0,8,0.28,13895,4,10,1.0,317.28694998563594,False,0.1288067048187002,0,0.23600000000000002,11650,76,0,0.0,760.0,False,-0.033734939759036145,2,0.7240000000000002,13402.0,46,0,0.0,1275.5199699339253,False,-0.1554523589408709,9,0.7940000000000003,14240,36,0,0.0,998.2330199482893,False,-0.11338327057422132,1,0.8490000000000002,16241,91,0,0.0,1082.7406415466737,False,-0.10660791478449093,0,0.2,19087,0,20,0.2,454.75619254156726,False,0.02818089413206188,0,0.2,24318,10,24,1.0,1187.3780962707833,False,0.0308142942084409,0,0.2,23855,0,14,0.4,559.9999999999999,False,-0.0013241196673149337,0.32499999999999996,136688,0.0,0.0,16,0,0,18,4,3.6666666666666665,13,31,18,227.0,76.0,14,7,18,1741,0.8052787855267525,11.716210200451314
8,18,0,0,0,10.0,20,10.0,27.728694998563594,0,,11.676568811688126,12,9.666666666666666,23.341969616377245,8,29.0,40.0,10,40.0,0,0.272,13795,4,20,1.0,594.5738999712719,False,0.1319105983924205,0,0.23600000000000002,11550,86,0,0.0,860.0,False,-0.03775100401606426,5,0.7720000000000002,13282.0,46,0,0.0,1275.5199699339253,False,-0.16267083824789688,7,0.8550000000000002,14118,36,0,0.0,998.2330199482893,False,-0.12072205786969774,4,0.8880000000000003,16131,93,0,0.0,1085.9208994869957,False,-0.11237900187684326,0,0.2,19173,0,26,1.0,606.8912100258084,False,0.03680838993946791,0,0.2,24486,8,24,1.0,1146.735756931018,False,0.03692505807363386,0,0.2,23855,0,14,0.0,560.0,False,-0.0013241196673149337,0.375,136390,0.0,0.0,14,0,0,12,4,4.0,14,26,20,183.0,66.0,11,7,20,776,0.9183092592284083,12.634519459679723
9,20,0,0,0,10.000000000000002,20,10.0,27.728694998563594,0,,11.193254316771005,8,4.625,22.45689933405045,22,19.454545454545453,40.00000000000001,12,40.0,0,0.272,13735,0,30,1.0,831.8608499569078,False,0.13662091766895218,0,0.23600000000000002,11410,100,0,0.0,1000.0000000000002,False,-0.043373493975903614,6,0.8270000000000002,13114.0,46,0,0.0,1275.5199699339253,False,-0.17277670927773325,2,0.8680000000000001,14086,36,0,0.0,998.2330199482893,False,-0.12264698568490467,18,1.0640000000000003,15561,95,0,0.0,1063.3591600932455,False,-0.14332288634300652,0,0.2,19338,0,28,0.6,628.7931813534126,False,0.04617495824736268,0,0.2,24538,20,22,1.0,1329.1379866810091,False,0.04285053971699031,0,0.2,23855,0,14,0.0,560.0000000000001,False,-0.0013241196673149337,0.325,135637,0.0,0.0,15,0,0,11,7,7.0,17,28,19,150.0,43.0,10,10,19,856,1.0004561766982079,13.63497563637793
