index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Buy@1,spot_market_loss_02Buy@1,balance_02Buy@1,inventory_02Buy@1_input,inventory_02Buy@1_output,productivity_02Buy@1,assets_02Buy@1,bankrupt_02Buy@1,score_02Buy@1,spot_market_quantity_03Ran@1,spot_market_loss_03Ran@1,balance_03Ran@1,inventory_03Ran@1_input,inventory_03Ran@1_output,productivity_03Ran@1,assets_03Ran@1,bankrupt_03Ran@1,score_03Ran@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06Dec@3,spot_market_loss_06Dec@3,balance_06Dec@3,inventory_06Dec@3_input,inventory_06Dec@3_output,productivity_06Dec@3,assets_06Dec@3,bankrupt_06Dec@3,score_06Dec@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,37.0,0,,49.0,0,,0,0.2,18219,1,10,1.0,200.0,False,-0.0005455835015549129,0,0.2,18239,0,9,0.9,171.0,False,-0.00024551257569971086,0,0.2,27386,0,0,0.0,0.0,False,0.0,0,0.2,27386,0,0,0.0,0.0,False,0.0,0,0.2,37252,0,0,0.0,0.0,False,0.0,0,0.2,37252,0,0,0.0,0.0,False,0.0,0,0.2,44636,0,0,0.0,0.0,False,0.0,0,0.2,44636,0,0,0.0,0.0,False,0.0,0.2375,255006,0.0,0.0,9,0,0,100,0,0.0,325,425,58,0.0,0.0,0,0,58,200,1.036321115680039,1.036321115680039
1,58,0,0,0,10.0,20,10.0,19.0,0,,30.0,0,,34.0,5,7.0,49.0,0,,0,0.2,18089,4,20,1.0,420.0,False,-0.001636750504664739,0,0.2,18169,0,16,0.7,304.0,False,-0.0004364668012439304,0,0.2,27386,0,0,0.0,0.0,False,0.0,0,0.2,27386,0,0,0.0,0.0,False,0.0,0,0.2,37252,0,0,0.0,0.0,False,0.0,5,0.25,37067,0,0,0.0,0.0,False,-0.004966176312681199,0,0.2,44636,0,0,0.0,0.0,False,0.0,0,0.2,44601,0,5,0.5,245.0,False,0.0019603011022493056,0.275,254586,0.0,0.0,10,0,0,34,1,1.0,39,73,21,899.0,29.0,56,2,21,200,3.204064669087529,4.240385784767568
2,21,0,0,0,10.0,20,10.0,19.0,0,,26.185185185185187,9,7.111111111111111,27.839285714285715,11,2.6363636363636362,49.0,0,,0,0.2,17979,5,30,1.0,620.0,False,-0.0021823340062196517,0,0.2,18079,0,25,0.9,475.0,False,-0.0006819793769436412,0,0.2,27386,0,0,0.0,0.0,False,0.0,9,0.29000000000000004,27096,0,0,0.0,0.0,False,-0.010589352223763967,0,0.2,37188,0,9,0.9,250.55357142857144,False,0.0016449260634135777,11,0.35500000000000004,36576,0,0,0.0,0.0,False,-0.018146676688499945,0,0.2,44607,1,10,1.0,517.8392857142857,False,0.005150991192247175,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.475,253512,0.0,0.0,10,0,0,21,4,4.0,18,39,25,160.0,6.0,19,2,25,200,2.7743487264961004,7.0147345112636685
3,25,0,0,0,10.0,20,10.0,19.0,0,,23.454212454212456,6,1.3333333333333333,25.090425531914896,6,2.0,49.0,0,,0,0.2,17869,6,40,1.0,820.0,False,-0.002727917507774565,0,0.2,17989,0,34,0.9,646.0,False,-0.000927491952643352,0,0.2,27386,0,0,0.0,0.0,False,0.0,6,0.341,26881,0,0,0.0,0.0,False,-0.018440078872416565,0,0.2,37180,0,15,0.6,376.35638297872345,False,0.0031187101763491395,6,0.404,36324,0,0,0.0,0.0,False,-0.02491141415226028,0,0.2,44595,0,17,0.7,833.0,False,0.008412492158795592,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.39999999999999997,252825,0.0,0.0,10,0,0,19,3,3.0,19,38,17,223.0,18.0,19,6,17,200,2.006632834672928,9.021367345936596
4,17,0,0,0,10.0,20,10.0,20.894736842105264,12,28.0,23.454212454212456,0,,21.984680043383953,23,15.130434782608695,49.0,13,49.0,0,0.2,18115,5,38,1.0,844.0,False,0.01134813683234219,0,0.2,17879,1,44,1.0,929.3684210526316,False,0.0008011462996517402,0,0.2,27050,12,0,0.0,250.73684210526318,False,-0.0076912137204181025,0,0.3350000000000001,26881,0,0,0.0,0.0,False,-0.018440078872416565,0,0.2,37360,0,6,0.0,131.90808026030373,False,0.0046696563977813065,14,0.538,35876,0,0,0.0,0.0,False,-0.03693761408783421,0,0.2,44884,13,14,1.0,971.8008405639914,False,0.016441894889371637,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.375,252646,0.0,0.0,16,0,0,17,1,1.0,14,31,18,149.0,12.0,13,4,18,1353,1.689322479069233,10.71068982500583
5,18,0,0,0,10.0,20,10.0,21.784530386740332,3,37.0,22.89311253293188,4,16.0,20.34098840066844,15,13.066666666666666,49.0,11,49.0,0,0.2,18035,3,48,1.0,1075.657458563536,False,0.013302893190123274,0,0.2,17870,3,51,1.0,1141.011049723757,False,0.006083557469686145,4,0.24000000000000002,26970,12,0,0.0,261.414364640884,False,-0.010417469425237627,0,0.3350000000000001,26770,3,0,0.0,65.353591160221,False,-0.021300051282402997,3,0.23,37344,0,4,0.4,81.36395360267376,False,0.0035617410287055043,6,0.5840000000000001,35612,0,0,0.0,0.0,False,-0.044024481907011706,0,0.2,45227,18,13,1.0,1003.137791212032,False,0.02447730297531182,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.425,252429,0.0,0.0,15,0,0,18,4,3.333333333333333,15,33,24,137.0,32.0,13,5,24,850,1.7416870491579175,12.452376874163747
6,24,0,0,0,10.0,20,10.0,27.170387353686497,34,34.911764705882355,22.842423823193723,10,22.6,23.00301720221691,6,55.5,49.00000000000001,10,49.0,0,0.2,18568,9,37,1.0,1095.3043320864003,False,0.042918444325560634,0,0.2,18324,0,45,0.7,1222.6674309158923,False,0.03308056715903463,7,0.30600000000000005,26667,21,0,0.0,570.5781344274164,False,-0.015836958036452665,3,0.36500000000000005,25750,28,0,0.0,760.7708459032219,False,-0.04584877590916487,2,0.24700000000000003,37573,0,3,0.3,69.00905160665073,False,0.00954323327078621,0,0.5780000000000001,35402,7,0,0.0,159.89696676235607,False,-0.047515610346258445,0,0.2,45384,14,13,1.0,959.0422408310369,False,0.02750069720439825,0,0.2,44601,0,5,0.0,245.00000000000003,False,0.0019603011022493056,0.375,252269,0.0,0.0,19,0,0,19,4,3.6666666666666665,21,40,16,230.0,26.0,20,4,16,2045,1.984952594153583,14.43732946831733
7,16,0,0,0,10.0,20,10.0,28.019044119623956,37,29.72972972972973,22.274318378190568,13,20.0,21.700368451277296,17,16.235294117647058,49.0,12,49.0,0,0.2,19238,13,20,1.0,690.3808823924792,False,0.06842656125245451,0,0.2,18554,0,41,0.6,1148.7808089045823,False,0.04361342159704783,4,0.3390000000000001,25811,49,0,0.0,1372.9331618615738,False,-0.032444804610721245,9,0.45200000000000007,25290,37,0,0.0,1036.7046324260864,False,-0.057607817271122325,1,0.255,37684,0,5,0.5,108.50184225638648,False,0.013053015170412166,13,0.7080000000000002,34634,15,0,0.0,334.1147756728585,False,-0.06579358456360919,0,0.2,45696,21,11,1.0,994.7077374768232,False,0.0348900857769158,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.3875,251508,0.0,0.0,18,0,0,15,6,6.0,16,31,21,136.0,30.0,12,4,21,2056,1.5614222390577197,15.99875170737505
8,21,0,0,0,10.0,20,10.0,28.01747777238594,9,28.0,21.81779323658289,7,18.0,21.347634021069286,26,20.26923076923077,49.0,10,49.0,0,0.2,19138,13,30,1.0,970.5243331715783,False,0.07061280847759221,0,0.2,18706,0,42,1.0,1176.7340664402095,False,0.052668832626990215,5,0.385,25499,58,0,0.0,1625.0137107983846,False,-0.03923512541447486,2,0.4630000000000001,25224,37,0,0.0,1036.6466775782799,False,-0.06001886588807634,0,0.254,37846,0,4,0.2,85.39053608427714,False,0.0170915727489031,23,0.925,33699,20,0,0.0,436.3558647316578,False,-0.08952061815833172,0,0.2,45659,37,11,1.0,1328.8624587795634,False,0.037804266273630746,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.4,250372,0.0,0.0,14,0,0,16,4,4.0,21,37,22,208.0,54.0,17,4,22,1110,1.698423913680017,17.697175621055067
9,22,0,0,0,10.000000000000002,20,10.0,29.071353574926842,31,32.41935483870968,21.448322472943392,4,16.0,21.148271098881843,13,19.692307692307693,49.0,6,49.0,0,0.2,19503,12,27,1.0,904.9265465230247,False,0.0887371527776482,0,0.2,19146,1,34,1.0,998.4260215475126,False,0.0718104103210081,4,0.42000000000000004,25100,69,0,0.0,2005.9233966699521,False,-0.04685015342383053,0,0.4610000000000001,24538,57,0,0.0,1657.06715377083,False,-0.07374083192560373,0,0.254,37950,0,5,0.4,105.74135549440922,False,0.02015651985791913,10,1.002,33299,20,0,0.0,428.9664494588678,False,-0.1003574781292432,0,0.2,45697,40,15,1.0,1580.9308439552738,False,0.04147919665690552,0,0.2,44601,0,5,0.0,245.0,False,0.0019603011022493056,0.425,249834,0.0,0.0,16,0,0,16,3,3.0,21,37,16,263.0,54.0,18,4,16,1667,1.3309900220483541,19.02816564310342
