index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05MyA@2,spot_market_loss_05MyA@2,balance_05MyA@2,inventory_05MyA@2_input,inventory_05MyA@2_output,productivity_05MyA@2,assets_05MyA@2,bankrupt_05MyA@2,score_05MyA@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,43.0,0,,0,0.2,16755,10,0,0.0,100.0,False,-0.0029664787896766538,0,0.2,16755,10,0,0.0,100.0,False,-0.0029664787896766538,0,0.2,27389,0,0,0.0,0.0,False,0.0,0,0.2,27389,0,0,0.0,0.0,False,0.0,0,0.2,36424,0,0,0.0,0.0,False,0.0,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.0,161136,0.0,0.0,9,0,0,59,0,0.0,184,243,56,0.0,0.0,0,0,56,200,0.5945328818634152,0.5945328818634152
1,56,0,0,0,10.0,20,10.0,23.0,0,,31.0,0,,43.0,0,,0,0.2,16635,22,0,0.0,220.0,False,-0.006526253337288638,0,0.2,16675,18,0,0.0,180.0,False,-0.005339661821417977,0,0.2,27389,0,0,0.0,0.0,False,0.0,0,0.2,27389,0,0,0.0,0.0,False,0.0,0,0.2,36424,0,0,0.0,0.0,False,0.0,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.0,160936,0.0,0.0,8,0,0,39,0,0.0,32,71,35,918.0,15.0,51,5,35,200,2.1801436012610793,2.7746764831244946
2,35,0,0,0,10.0,20,10.0,22.53191489361702,2,12.0,29.551724137931036,13,24.53846153846154,43.0,0,,1,0.21000000000000002,16509,33,0,0.0,330.0,False,-0.010738653218629487,1,0.21000000000000002,16569,27,0,0.0,270.0,False,-0.008958765944823494,9,0.29000000000000004,27179,0,1,0.1,29.551724137931036,False,-0.007127830075250511,4,0.24000000000000002,27413,0,1,0.1,29.551724137931036,False,0.0014157458128797606,0,0.2,36105,3,10,1.0,518.6551724137931,False,-0.001638271848042539,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.19999999999999998,160199,0.0,0.0,9,0,0,21,4,4.0,14,35,30,231.0,46.0,17,18,30,200,2.0521428864449263,4.826819369569421
3,30,0,0,0,10.0,20,10.0,22.056433408577877,2,12.0,30.722419928825623,4,46.0,43.0,9,43.0,1,0.21900000000000003,16413,41,0,0.0,410.0,False,-0.014061109463067338,1,0.21900000000000003,16433,39,0,0.0,390.0,False,-0.013467813705132009,3,0.31100000000000005,27252,0,0,0.0,0.0,False,-0.005002008105443791,0,0.23600000000000002,27389,0,3,0.2,92.16725978647688,False,0.0016825597828776966,0,0.2,36308,0,8,0.7,344.0,False,0.0015374478365912585,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.15,160219,0.0,0.0,13,0,0,20,3,2.75,12,32,31,177.0,48.0,14,16,31,587,1.6022971319034696,6.42911650147289
4,31,0,0,0,10.0,20,10.0,22.056433408577877,0,,30.90789874961878,15,31.533333333333335,43.0,10,43.0,0,0.21800000000000003,16323,50,0,0.0,500.0,False,-0.01673094037377633,0,0.21800000000000003,16323,50,0,0.0,500.0,False,-0.01673094037377633,11,0.41800000000000004,27090,0,0,0.0,0.0,False,-0.010916791412610902,1,0.24600000000000002,27536,0,0,0.0,0.0,False,0.005367118186133119,2,0.22000000000000003,36163,5,10,1.0,584.539493748094,False,0.0008584929407545673,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.16666666666666666,159859,0.0,0.0,11,0,0,22,4,3.25,13,35,29,236.0,57.0,17,14,29,544,1.4622195297852159,7.891336031258106
5,29,0,0,0,10.0,20,10.0,21.352694191742476,3,12.0,31.86579289771825,4,46.0,43.0,12,43.0,1,0.228,16197,61,0,0.0,610.0,False,-0.020943340255117175,2,0.23800000000000002,16200,59,0,0.0,590.0,False,-0.021358647285671908,0,0.4070000000000001,27078,0,1,0.1,31.86579289771825,False,-0.010773197398632315,4,0.28500000000000003,27548,0,2,0.2,63.7315857954365,False,0.006968702504571875,2,0.23800000000000002,36393,0,9,0.9,387.0,False,0.004461344168679991,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.20000000000000004,159840,0.0,0.0,11,0,0,17,5,4.5,17,34,27,229.0,72.0,15,14,27,544,1.3123140381649137,9.20365006942302
6,27,0,0,0,10.0,20,10.0,20.677945314190893,3,12.0,35.08564930046562,16,46.5,42.99999999999999,8,43.0,2,0.24700000000000003,16074,70,0,0.0,700.0,False,-0.025571047167012757,1,0.24600000000000002,16074,70,0,0.0,700.0,False,-0.025571047167012757,7,0.47700000000000004,27159,0,1,0.1,35.08564930046562,False,-0.007757025643497965,6,0.341,27662,0,2,0.2,70.17129860093124,False,0.011248517627531669,0,0.23600000000000002,35993,6,11,1.0,683.5138958027936,False,-0.002450116738924933,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.21666666666666667,159386,0.0,0.0,14,0,0,16,7,6.25,15,31,28,171.0,44.0,12,15,28,544,1.2529344111680984,10.456584480591118
7,28,0,0,0,10.0,20,10.0,20.237716456941964,2,12.0,36.32891023858843,8,46.5,42.99999999999999,5,43.0,1,0.255,15948,81,0,0.0,810.0,False,-0.029783447048353603,1,0.255,15968,79,0,0.0,790.0,False,-0.029190151290418274,3,0.5000000000000001,27212,0,2,0.2,72.65782047717686,False,-0.005136043293344418,2,0.35500000000000004,27772,0,0,0.0,0.0,False,0.013983716090401256,0,0.23600000000000002,35836,4,16,1.0,833.3156409543536,False,-0.004704101129003419,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.19999999999999998,159160,0.0,0.0,12,0,0,24,4,3.25,12,36,30,213.0,51.0,16,12,30,415,1.426140139810741,11.88272462040186
8,30,0,0,0,10.0,20,10.0,20.011915664146624,1,12.0,36.93779054197337,4,47.0,43.0,11,43.0,0,0.254,15878,88,0,0.0,880.0,False,-0.03185998220112726,1,0.264,15822,92,0,0.0,920.0,False,-0.03399584692969445,0,0.4970000000000001,27200,0,3,0.1,110.81337162592011,False,-0.004877626572238525,4,0.393,27812,0,0,0.0,0.0,False,0.015444156413158567,0,0.23600000000000002,36121,0,13,0.8,559.0,False,-0.0006451790028552603,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.15,159257,0.0,0.0,15,0,0,14,2,2.0,18,32,25,204.0,50.0,13,17,25,673,1.1290528075769544,13.011777427978814
9,25,0,0,0,10.000000000000002,20,10.0,19.551910264012978,2,12.0,36.294468647470026,2,16.0,43.0,13,43.0,1,0.264,15792,95,0,0.0,950.0000000000001,False,-0.03488579056659745,1,0.273,15676,105,0,0.0,1050.0000000000002,False,-0.03880154256897063,0,0.4970000000000001,27232,0,1,0.0,36.294468647470026,False,-0.00506965444799969,0,0.389,27788,0,2,0.2,72.58893729494005,False,0.01589303985714956,0,0.23600000000000002,36648,0,2,0.2,86.0,False,0.007330331649461893,0,0.2,36424,0,0,0.0,0.0,False,0.0,0.06666666666666667,159560,0.0,0.0,16,0,0,14,2,2.0,15,29,27,165.0,50.0,10,15,27,791,0.9587911441922188,13.970568572171032
