index,id,seller_name,buyer_name,seller_type,buyer_type,delivery_time,quantity,unit_price,signed_at,nullified_at,concluded_at,signatures,issues,seller,buyer,product_name,caller,is_buy,product,n_neg_steps,executed_at,breaches,erred_at,dropped_at
0,4d7a28b2-717e-4b45-8e70-eab4d6afdf52,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,10,5,46,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(0.2),-1,-1
1,ad209a74-485d-4162-9182-f4a7c62ad649,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,17,1,46,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
2,4fdb1582-5bf9-40f1-aa92-9eed33b6bd47,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,15,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,15,,-1,-1
3,f75b65bf-2f01-47c1-8ecf-2235f6fb3319,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,15,5,46,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
4,dc109ca0-befb-497b-88a3-6a4c3a5aff91,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,7,3,46,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,7,,-1,-1
5,dfaffc0b-661d-498a-8435-2bedade4ccf1,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,5,5,46,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,True,3,0,-1,05Dec@2:product(1.0),-1,-1
6,5930ff02-7991-45f2-b244-b92953c5639a,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,10,1,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,10,,-1,-1
7,1f9f6358-299e-4086-9f4e-df64f6ddaf09,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,18,1,46,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,True,3,0,-1,04Ind@2:product(1.0),-1,-1
8,032c58da-abb5-429a-8622-2edcb1fd21cd,SELLER,00Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,10,2,10,0,-1,-1,00Buy@0|SELLER,[],SELLER,00Buy@0,p0,SELLER,True,0,0,10,,-1,-1
9,7225f4c3-3b44-4e63-b861-8de92eddef25,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,13,4,46,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,13,,-1,-1
10,12932e64-2b3a-45d3-afe7-4cccd0b2b9d6,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,0,1,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,0,,-1,-1
11,a0fb260f-bcbf-4074-930b-d53f2551188e,SELLER,01Buy@0,_SystemAgent,BuyCheapSellExpensiveAgent,3,3,10,0,-1,-1,01Buy@0|SELLER,[],SELLER,01Buy@0,p0,SELLER,True,0,0,3,,-1,-1
12,4211842a-b0b2-4880-8eaa-33597442beb0,04Ind@2,BUYER,IndDecentralizingAgent,_SystemAgent,12,1,46,0,-1,-1,BUYER|04Ind@2,[],04Ind@2,BUYER,p3,BUYER,False,3,0,12,,-1,-1
13,77af1972-751c-4350-8958-50e7cb13f632,05Dec@2,BUYER,DecentralizingAgent,_SystemAgent,3,2,46,0,-1,-1,BUYER|05Dec@2,[],05Dec@2,BUYER,p3,BUYER,False,3,0,-1,05Dec@2:product(1.0),-1,-1
