index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,32.0,0,,46.0,0,,0,0.2,18475,8,0,0.0,80.0,False,-0.002155753166262463,0,0.2,18435,12,0,0.0,120.0,False,-0.0032336297493936943,0,0.2,34141,0,0,0.0,0.0,False,0.0,0,0.2,34141,0,0,0.0,0.0,False,0.0,0,0.2,49295,0,0,0.0,0.0,False,0.0,0,0.2,49295,0,0,0.0,0.0,False,0.0,0.0,203782,0.0,0.0,8,0,0,0,0,0.0,279,279,50,0.0,0.0,0,0,50,200,0.8033466329798102,0.8033466329798102
1,50,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,32.0,0,,46.0,0,,0,0.2,18405,15,0,0.0,150.0,False,-0.004042037186742118,2,0.22000000000000003,18277,25,0,0.0,250.0,False,-0.008245755860953921,0,0.2,34119,0,2,0.2,64.0,False,0.00029290296124893824,0,0.2,34141,0,0,0.0,0.0,False,0.0,0,0.2,49295,0,0,0.0,0.0,False,0.0,0,0.2,49295,0,0,0.0,0.0,False,0.0,0.03333333333333333,203532,0.0,0.0,7,0,0,15,1,1.0,20,35,22,360.0,180.0,20,30,22,200,1.3671986795961857,2.170545312575996
2,22,0,0,0,10.0,20,10.0,19.385093167701864,6,11.0,32.0,0,,46.0,0,,4,0.24000000000000002,18254,24,0,0.0,240.0,False,-0.009754783077337644,2,0.23800000000000002,18138,36,0,0.0,360.0,False,-0.012772837510105092,0,0.2,34075,0,6,0.4,192.0,False,0.0008787088837468147,0,0.2,34119,0,2,0.2,64.0,False,0.00029290296124893824,0,0.2,49295,0,0,0.0,0.0,False,0.0,0,0.2,49295,0,0,0.0,0.0,False,0.0,0.10000000000000002,203176,0.0,0.0,7,0,0,13,5,5.0,11,24,16,162.0,113.0,9,13,16,200,0.8724141856655478,3.0429594982415438
3,16,0,0,0,10.0,20,10.0,19.196536991230044,1,11.0,32.0,0,,46.0,20,46.0,1,0.24600000000000002,18200,28,0,0.0,280.0,False,-0.011587173268660739,0,0.23600000000000002,17978,52,0,0.0,520.0,False,-0.01708434384263002,0,0.2,34075,0,6,0.0,192.0,False,0.0008787088837468147,0,0.2,34108,0,3,0.1,96.0,False,0.00043935444187340737,9,0.29000000000000004,49153,0,0,0.0,0.0,False,-0.0028806166954052134,11,0.31000000000000005,49097,0,0,0.0,0.0,False,-0.004016634547114312,0.016666666666666666,202611,0.0,0.0,7,0,0,9,9,9.0,10,19,15,72.0,51.0,4,12,15,200,0.6632538149133325,3.7062133131548762
4,15,0,0,0,10.0,20,10.0,18.996733539721625,1,11.0,32.70175438596491,12,35.333333333333336,46.0,20,46.0,1,0.255,18086,38,0,0.0,380.0,False,-0.015036378334680679,0,0.23600000000000002,17878,62,0,0.0,620.0,False,-0.019779035300458096,0,0.2,34169,0,4,0.0,130.80701754385964,False,0.0027358164310339835,7,0.27,34146,0,1,0.1,32.70175438596491,False,0.0006253735155087615,7,0.35100000000000003,48636,2,10,1.0,525.4035087719299,False,-0.008039319314616858,13,0.42900000000000005,48828,0,0,0.0,0.0,False,-0.00947357744193123,0.18333333333333335,201743,0.0,0.0,9,0,0,9,11,10.4,11,20,12,72.0,45.0,4,11,12,294,0.5904430327937007,4.296656345948577
5,12,0,0,0,10.0,20,10.0,18.996733539721625,0,,33.97158081705151,5,47.0,45.99999999999999,20,46.0,0,0.254,17986,48,0,0.0,480.0,False,-0.01773106979250876,0,0.23600000000000002,17778,72,0,0.0,720.0,False,-0.022473726758286176,0,0.2,34169,0,4,0.0,135.88632326820604,False,0.0028102036154214164,4,0.30300000000000005,34229,0,0,0.0,0.0,False,0.0025775460589906565,0,0.34400000000000003,48815,0,8,0.7,367.99999999999994,False,-0.006004665787605234,11,0.526,48643,0,0,0.0,0.0,False,-0.013226493559184501,0.11666666666666665,201620,0.0,0.0,11,0,0,7,4,3.8,11,18,13,72.0,52.0,4,8,13,614,0.5873810388147831,4.88403738476336
6,13,0,0,0,10.0,20,10.0,18.996733539721625,0,,37.25201766407797,15,48.333333333333336,45.99999999999999,20,46.0,0,0.254,17886,58,0,0.0,580.0,False,-0.020425761250336835,0,0.23600000000000002,17678,82,0,0.0,820.0,False,-0.025168418216114256,0,0.2,34169,0,4,0.0,149.00807065631187,False,0.003002373548758336,15,0.44900000000000007,34264,0,0,0.0,0.0,False,0.0036027064233619403,3,0.374,48907,0,5,0.5,229.99999999999997,False,-0.005538087027081854,9,0.6050000000000001,48019,0,10,1.0,459.99999999999994,False,-0.021219190587280657,0.25,200923,0.0,0.0,9,0,0,13,8,7.5,9,22,17,93.0,66.0,6,7,17,522,0.7767980499193072,5.660835434682667
7,17,0,0,0,10.0,20,10.0,18.996733539721625,0,,38.80737449893637,10,48.0,45.99999999999999,20,46.0,0,0.254,17746,72,0,0.0,720.0,False,-0.024198329291296148,0,0.23600000000000002,17618,88,0,0.0,880.0,False,-0.026785233090811104,0,0.2,34169,0,4,0.0,155.22949799574548,False,0.003093487273304113,10,0.534,34324,0,0,0.0,0.0,False,0.005360124190855569,4,0.41100000000000003,48615,0,10,1.0,459.99999999999994,False,-0.009128714879805254,1,0.6060000000000001,48470,0,0,0.0,0.0,False,-0.016735977279642964,0.16666666666666666,200942,0.0,0.0,12,0,0,8,5,4.25,15,23,19,144.0,87.0,8,9,19,752,0.7758575342595577,6.436692968942225
8,19,0,0,0,10.0,20,10.0,18.5858090938755,2,11.0,39.417011074119664,5,47.0,46.0,20,46.0,1,0.264,17632,82,0,0.0,820.0,False,-0.027647534357316088,1,0.24600000000000002,17504,98,0,0.0,980.0,False,-0.030234438156831044,0,0.2,34169,0,4,0.0,157.66804429647866,False,0.0031292001449352925,5,0.5740000000000001,34347,0,2,0.2,78.83402214823933,False,0.00718833692844726,0,0.40700000000000003,48840,0,5,0.5,230.0,False,-0.006897251242519525,10,0.7050000000000001,48303,0,0,0.0,0.0,False,-0.020123744801704025,0.11666666666666665,200795,0.0,0.0,11,0,0,10,6,6.0,14,24,14,147.0,90.0,9,10,14,660,0.7606284078210592,7.197321376763284
9,14,0,0,0,10.000000000000002,20,10.0,18.17608239894374,2,11.0,39.94950881316536,4,48.0,46.0,20,46.0,1,0.273,17528,91,0,0.0,910.0000000000001,False,-0.03082727027755322,1,0.255,17380,109,0,0.0,1090.0000000000002,False,-0.03395311236863379,0,0.2,34361,0,0,0.0,0.0,False,0.006443865147476641,0,0.5690000000000001,34325,0,4,0.2,159.79803525266144,False,0.007729680373343849,6,0.4670000000000001,48803,0,4,0.4,184.0,False,-0.00811441322649356,9,0.7850000000000001,48154,0,0,0.0,0.0,False,-0.02314636372857288,0.10000000000000002,200551,0.0,0.0,10,0,0,9,8,8.0,10,19,12,78.0,54.0,6,8,12,622,0.7740384945645928,7.971359871327877
