index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04MyA@2,spot_market_loss_04MyA@2,balance_04MyA@2,inventory_04MyA@2_input,inventory_04MyA@2_output,productivity_04MyA@2,assets_04MyA@2,bankrupt_04MyA@2,score_04MyA@2,spot_market_quantity_05Ind@2,spot_market_loss_05Ind@2,balance_05Ind@2,inventory_05Ind@2_input,inventory_05Ind@2_output,productivity_05Ind@2,assets_05Ind@2,bankrupt_05Ind@2,score_05Ind@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,20.0,0,,29.0,0,,45.0,0,,0,0.2,16361,8,0,0.0,80.0,False,-0.0024329420351560122,0,0.2,16321,12,0,0.0,120.0,False,-0.0036494130527340188,0,0.2,22334,0,0,0.0,0.0,False,0.0,0,0.2,22334,0,0,0.0,0.0,False,0.0,0,0.2,34161,0,0,0.0,0.0,False,0.0,0,0.2,34161,0,0,0.0,0.0,False,0.0,0.0,145672,0.0,0.0,10,0,0,85,0,0.0,281,366,64,0.0,0.0,0,0,64,200,0.7445195029722527,0.7445195029722527
1,64,0,0,0,10.0,20,10.0,20.0,0,,26.272727272727273,10,14.0,45.0,0,,0,0.2,16281,16,0,0.0,160.0,False,-0.0048658840703120244,0,0.2,16201,24,0,0.0,240.0,False,-0.0072988261054680375,0,0.2,22334,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,22124,0,0,0.0,0.0,False,-0.009402704396883675,0,0.2,34021,0,10,1.0,450.0,False,0.0024882175580340153,0,0.2,34161,0,0,0.0,0.0,False,0.0,0.16666666666666666,145122,0.0,0.0,9,0,0,22,1,1.0,41,63,19,749.0,75.0,44,20,19,200,2.1741867249947973,2.91870622796705
2,19,0,0,0,10.0,20,10.0,15.34920634920635,18,3.7222222222222223,23.49056603773585,30,18.9,45.0,0,,9,0.29000000000000004,15976,26,0,0.0,260.0,False,-0.020375889544431605,9,0.29000000000000004,15910,34,0,0.0,340.0,False,-0.02195730186728301,4,0.24000000000000002,22360,0,2,0.2,46.9811320754717,False,0.002215929347082348,26,0.55,21234,16,0,0.0,245.5873015873016,False,-0.04375420207783424,0,0.2,34021,0,10,0.0,450.0,False,0.0024882175580340153,0,0.2,33594,20,10,1.0,919.8113207547169,False,-0.0031349884260602153,0.19999999999999998,143095,0.0,0.0,10,0,0,14,10,10.0,19,33,10,164.0,20.0,14,5,10,200,1.3229568320093676,4.241663059976418
3,10,0,0,0,10.0,20,10.0,11.551390568319226,26,3.269230769230769,21.679841897233203,17,14.058823529411764,45.0,14,45.0,20,0.4810000000000001,15358,35,0,0.0,350.0,False,-0.05522778419804148,6,0.341,15688,45,0,0.0,450.0,False,-0.03211483486405936,0,0.23600000000000002,22323,0,8,0.6,173.43873517786562,False,0.003390318240750966,17,0.6940000000000002,20718,36,0,0.0,415.8500604594921,False,-0.06304625099714571,0,0.2,34021,0,10,0.0,450.0,False,0.0024882175580340153,4,0.24000000000000002,33759,27,10,1.0,1035.3557312252965,False,0.0033862552505092946,0.26666666666666666,141867,0.0,0.0,16,0,0,16,10,9.25,15,31,13,53.0,27.0,7,3,13,515,1.0306165340007283,5.272279593977146
4,13,0,0,0,10.0,20,10.0,10.47933199099846,10,2.5,22.250682869725182,10,26.8,45.0,10,45.0,6,0.5210000000000001,15110,46,0,0.0,460.0,False,-0.06696672951766924,4,0.37500000000000006,15513,54,0,0.0,540.0,False,-0.0400218964783164,0,0.23600000000000002,22482,0,8,0.4,178.00546295780146,False,0.010611745835000465,6,0.7370000000000001,20592,42,0,0.0,440.1319436219353,False,-0.06814426561247572,0,0.2,34021,0,10,0.0,450.0,False,0.0024882175580340153,0,0.23600000000000002,33941,27,10,1.0,1050.7684374825799,False,0.008939557353159695,0.2333333333333333,141659,0.0,0.0,16,0,0,12,5,5.0,15,27,16,132.0,33.0,9,4,16,822,0.6795060099684633,5.951785603945609
5,16,0,0,0,10.0,20,10.0,9.376917441008525,10,1.0,19.98885118347342,37,15.054054054054054,45.00000000000001,9,45.0,10,0.6150000000000001,14715,60,0,0.0,600.0,False,-0.08673438355331184,0,0.37100000000000005,15453,60,0,0.0,600.0,False,-0.041846603004683416,0,0.23600000000000002,22472,0,18,1.0,359.7993213025216,False,0.014233888271302014,37,1.1010000000000002,19140,42,0,0.0,393.83053252235806,False,-0.1341938181131379,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,33789,54,11,1.0,1574.3979639075649,False,0.01215418114088536,0.3333333333333333,139590,0.0,0.0,13,0,0,17,7,7.0,14,31,20,133.0,46.0,11,5,20,605,0.7707855830085464,6.722571186954156
6,20,0,0,0,10.0,20,10.0,8.578536257141975,10,2.4,21.087660680927723,18,27.555555555555557,45.000000000000014,5,45.0,2,0.6250000000000001,14565,71,0,0.0,710.0,False,-0.09251262088680737,8,0.45100000000000007,15180,69,0,0.0,690.0,False,-0.055714372605072685,0,0.23600000000000002,22810,0,13,0.3,274.1395888520604,False,0.027450066912601052,10,1.1640000000000001,18888,49,0,0.0,420.34827659995676,False,-0.14488340027312713,0,0.2,34021,0,10,0.0,450.0000000000001,False,0.0024882175580340153,0,0.23600000000000002,33518,62,16,1.0,2027.4349622175191,False,0.010852067594881902,0.21666666666666667,138982,0.0,0.0,14,0,0,20,5,5.0,17,37,17,147.0,75.0,13,7,17,773,0.8600072400295176,7.582578426983673
7,17,0,0,0,10.0,20,10.0,8.41030970562332,3,4.0,20.47638079731029,13,15.23076923076923,45.00000000000001,13,45.0,0,0.623,14445,83,0,0.0,830.0,False,-0.0961620339395414,3,0.47300000000000003,15040,77,0,0.0,770.0,False,-0.06179672769296272,0,0.23600000000000002,22798,0,16,0.3,327.62209275696466,False,0.02811010326759574,13,1.2840000000000003,18575,49,0,0.0,412.10517557554266,False,-0.15908244883192577,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,33905,65,13,1.0,1915.964751825169,False,0.020549233802072145,0.21666666666666667,138784,0.0,0.0,20,0,0,15,3,3.0,17,32,24,146.0,93.0,9,8,24,785,1.3747894180123694,8.957367844996043
8,24,0,0,0,10.0,20,10.0,7.712681689878778,13,3.769230769230769,20.135590016091296,31,18.903225806451612,45.000000000000014,8,45.0,11,0.7330000000000001,14092,93,0,0.0,930.0,False,-0.11459156985584819,2,0.49000000000000005,14894,87,0,0.0,870.0,False,-0.06763578857733714,0,0.23600000000000002,22925,3,22,1.0,466.1210254236449,False,0.036897130505588856,27,1.5410000000000004,17651,49,0,0.0,377.9214028040601,False,-0.2012196336795008,0,0.2,34021,0,10,0.0,450.0000000000001,False,0.0024882175580340153,0,0.23600000000000002,33679,86,15,1.0,2406.660741383852,False,0.021115610511750975,0.3333333333333333,137262,0.0,0.0,15,0,0,17,9,9.0,17,34,22,163.0,96.0,12,12,22,736,0.8894729900057428,9.846840835001785
9,22,0,0,0,10.000000000000002,20,10.0,7.3075030259734435,5,1.0,20.824320106577623,4,43.0,45.00000000000001,11,45.0,5,0.7720000000000002,13857,105,0,0.0,1050.0000000000002,False,-0.12523569125965575,0,0.4880000000000001,14814,95,0,0.0,950.0000000000001,False,-0.07006873061249316,0,0.23600000000000002,23092,0,26,0.8,541.4323227710182,False,0.04606054273240394,0,1.5140000000000002,17651,49,0,0.0,358.0676482726987,False,-0.2016641074533738,0,0.2,34021,0,10,0.0,450.00000000000006,False,0.0024882175580340153,0,0.23600000000000002,34002,80,14,1.0,2295.94560852621,False,0.028950347011595188,0.3,137437,0.0,0.0,17,0,0,17,1,1.0,20,37,20,184.0,88.0,12,10,20,867,0.9622575389803387,10.809098373982124
