index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ind@0,spot_market_loss_00Ind@0,balance_00Ind@0,inventory_00Ind@0_input,inventory_00Ind@0_output,productivity_00Ind@0,assets_00Ind@0,bankrupt_00Ind@0,score_00Ind@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Dec@1,spot_market_loss_02Dec@1,balance_02Dec@1,inventory_02Dec@1_input,inventory_02Dec@1_output,productivity_02Dec@1,assets_02Dec@1,bankrupt_02Dec@1,score_02Dec@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,26.0,0,,0,0.2,17869,1,10,1.0,160.0,False,-0.0016686133822793258,0,0.2,17889,0,9,0.9,135.0,False,-0.0012514600367094944,0,0.2,23096,0,0,0.0,0.0,False,0.0,0,0.2,23096,0,0,0.0,0.0,False,0.0,0,0.2,33263,0,0,0.0,0.0,False,0.0,0,0.2,33263,0,0,0.0,0.0,False,0.0,0.31666666666666665,148476,0.0,0.0,6,0,0,3,0,0.0,283,286,133,0.0,0.0,0,0,133,200,1.848259793012403,1.848259793012403
1,133,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,26.0,0,,0,0.2,17769,1,20,1.0,310.0,False,-0.003059124534178764,0,0.2,17789,0,19,1.0,285.0,False,-0.0026419711886089326,0,0.2,23096,0,0,0.0,0.0,False,0.0,0,0.2,23096,0,0,0.0,0.0,False,0.0,0,0.2,33263,0,0,0.0,0.0,False,0.0,0,0.2,33263,0,0,0.0,0.0,False,0.0,0.3333333333333333,148276,0.0,0.0,6,0,0,62,0,0.0,34,96,79,1490.0,189.0,85,48,79,200,5.374876311980188,7.223136104992591
2,79,0,0,0,10.0,20,10.0,15.0,0,,20.0,0,,26.0,0,,0,0.2,17709,0,27,0.7,405.0,False,-0.003754380110128483,0,0.2,17649,4,29,1.0,475.0,False,-0.0051448912620279215,0,0.2,23096,0,0,0.0,0.0,False,0.0,0,0.2,23096,0,0,0.0,0.0,False,0.0,0,0.2,33263,0,0,0.0,0.0,False,0.0,0,0.2,33263,0,0,0.0,0.0,False,0.0,0.2833333333333333,148076,0.0,0.0,6,0,0,27,0,0.0,19,46,61,250.0,136.0,34,45,61,200,4.896780739014503,12.119916844007093
3,61,0,0,0,10.0,20,10.0,14.847826086956522,1,8.0,20.0,0,,26.0,20,26.0,0,0.2,17647,0,33,0.7,489.9782608695652,False,-0.004839583378676018,0,0.2,17519,7,39,1.0,649.0652173913044,False,-0.007534756733096834,0,0.2,23088,0,1,0.1,20.0,False,8.659508139937652e-05,0,0.2,23096,0,0,0.0,0.0,False,0.0,10,0.30000000000000004,33171,0,0,0.0,0.0,False,-0.0027658359137780718,10,0.30000000000000004,33176,0,0,0.0,0.0,False,-0.0026155187445510027,0.3,147697,0.0,0.0,7,0,0,29,6,6.0,14,43,46,280.0,87.0,32,29,46,208,3.0812851330265403,15.201201977033634
4,46,0,0,0,10.0,20,10.0,16.721498371335507,20,20.6,20.0,0,,26.0,20,26.0,0,0.2,17563,0,41,1.0,685.5814332247558,False,-0.004071932998922251,0,0.2,17815,7,31,1.0,588.3664495114007,False,0.007240849032521246,0,0.2,22676,10,11,1.0,387.2149837133551,False,-0.009802238835440017,0,0.2,23096,0,0,0.0,0.0,False,0.0,10,0.39,33080,0,0,0.0,0.0,False,-0.00550160839371073,10,0.39,33084,0,0,0.0,0.0,False,-0.005381354658329074,0.5,147314,0.0,0.0,8,0,0,16,6,6.0,7,23,40,126.0,89.0,12,34,40,612,1.9617216569604352,17.16292363399407
5,40,0,0,0,10.0,20,10.0,16.132804589942626,4,8.0,20.0,0,,26.0,20,26.0,0,0.2,17499,0,47,0.8,758.2418157273034,False,-0.0056109401043632585,0,0.2,17711,9,39,1.0,719.1793790077625,False,0.005094259386166208,0,0.2,22644,4,21,1.0,484.5312183597705,False,-0.009080983322658238,0,0.2,23096,0,0,0.0,0.0,False,0.0,11,0.49000000000000005,32973,0,0,0.0,0.0,False,-0.008718395815170008,9,0.4700000000000001,33011,0,0,0.0,0.0,False,-0.0075759853290442835,0.4666666666666666,146934,0.0,0.0,7,0,0,14,5,5.0,10,24,42,167.0,93.0,14,26,42,232,1.8351493959780782,18.998073029972147
6,42,0,0,0,10.0,20,10.0,17.953642641011715,24,22.0,20.0,0,,26.0,20,26.0,0,0.2,17651,0,45,0.9,807.9139188455272,False,0.004224759965669117,0,0.2,17887,10,36,1.0,746.3311350764218,False,0.01563855428768062,0,0.2,22116,18,31,1.0,943.1655675382109,False,-0.022013215112179307,0,0.2,23096,0,0,0.0,0.0,False,0.0,5,0.5290000000000001,32940,0,0,0.0,0.0,False,-0.009710489132068664,15,0.6110000000000001,32833,0,0,0.0,0.0,False,-0.012927276553527944,0.48333333333333334,146523,0.0,0.0,8,0,0,15,6,6.0,10,25,36,179.0,167.0,13,29,36,728,1.6158033910323866,20.613876421004534
7,36,0,0,0,10.0,20,10.0,18.69574856067235,12,23.0,20.0,2,20.0,26.0,20,26.0,0,0.2,17541,1,55,1.0,1038.2661708369792,False,0.004512658402496742,0,0.2,18073,9,34,1.0,725.6554510628599,False,0.025408961873932448,0,0.2,21880,20,39,1.0,1153.914971213447,False,-0.027668969275774034,0,0.2,23096,0,0,0.0,0.0,False,0.0,6,0.5840000000000001,32858,2,0,0.0,40.0,False,-0.011574422030484323,14,0.7360000000000002,32670,0,0,0.0,0.0,False,-0.017827616270330398,0.5,146118,0.0,0.0,8,0,0,11,6,6.0,12,23,24,179.0,158.0,12,24,24,516,1.3798080399865285,21.993684460991062
8,24,0,0,0,10.0,20,10.0,18.69574856067235,0,,20.0,0,,26.0,20,26.0,0,0.2,17421,3,65,1.0,1245.2236564437028,False,0.003593738707483853,0,0.2,17993,7,44,1.0,892.6129366695834,False,0.02560245110043891,0,0.2,21880,10,49,1.0,1166.9574856067234,False,-0.027386614876889363,0,0.2,23096,0,0,0.0,0.0,False,0.0,11,0.6880000000000001,32754,2,0,0.0,40.0,False,-0.01470101915040736,9,0.812,32589,0,0,0.0,0.0,False,-0.020262754411808918,0.5,145733,0.0,0.0,5,0,0,14,6,6.0,9,23,23,163.0,37.0,12,12,23,200,1.432827170996461,23.426511631987523
9,23,0,0,0,10.000000000000002,20,10.0,18.69574856067235,0,,18.75666074600355,14,15.0,25.999999999999996,20,26.0,0,0.2,17331,2,75,1.0,1422.1811420504262,False,0.003509125703610425,0,0.2,17883,8,54,1.0,1089.570422276307,False,0.02496163363580591,0,0.2,22090,0,45,1.0,844.0497335701598,False,-0.025284687097978906,0,0.2,23096,0,0,0.0,0.0,False,0.0,9,0.7670000000000001,32465,16,0,0.0,300.1065719360568,False,-0.01947950317265346,11,0.9130000000000003,32482,0,0,0.0,0.0,False,-0.023479541833268197,0.5,145347,0.0,0.0,7,0,0,16,6,6.0,8,24,25,172.0,40.0,13,10,25,410,1.2621746969525702,24.688686328940094
