index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Ran@0,spot_market_loss_00Ran@0,balance_00Ran@0,inventory_00Ran@0_input,inventory_00Ran@0_output,productivity_00Ran@0,assets_00Ran@0,bankrupt_00Ran@0,score_00Ran@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02MyA@1,spot_market_loss_02MyA@1,balance_02MyA@1,inventory_02MyA@1_input,inventory_02MyA@1_output,productivity_02MyA@1,assets_02MyA@1,bankrupt_02MyA@1,score_02MyA@1,spot_market_quantity_03Buy@1,spot_market_loss_03Buy@1,balance_03Buy@1,inventory_03Buy@1_input,inventory_03Buy@1_output,productivity_03Buy@1,assets_03Buy@1,bankrupt_03Buy@1,score_03Buy@1,spot_market_quantity_04Ind@2,spot_market_loss_04Ind@2,balance_04Ind@2,inventory_04Ind@2_input,inventory_04Ind@2_output,productivity_04Ind@2,assets_04Ind@2,bankrupt_04Ind@2,score_04Ind@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,28.0,0,,40.0,0,,0,0.2,14910,5,0,0.0,50.0,False,-0.0016711229946524064,0,0.2,14810,15,0,0.0,150.0,False,-0.005013368983957219,0,0.2,23588,0,0,0.0,0.0,False,0.0,0,0.2,23588,0,0,0.0,0.0,False,0.0,0,0.2,33510,0,0,0.0,0.0,False,0.0,0,0.2,33510,0,0,0.0,0.0,False,0.0,0.0,143916,0.0,0.0,8,0,0,0,0,0.0,263,263,27,0.0,0.0,0,0,27,200,0.6843382040387951,0.6843382040387951
1,27,0,0,0,10.0,20,10.0,14.735849056603774,8,2.0,28.0,0,,40.0,0,,8,0.28,14688,12,0,0.0,120.0,False,-0.014171122994652407,0,0.2,14680,28,0,0.0,280.0,False,-0.009358288770053475,0,0.2,23572,0,8,0.8,224.0,False,0.004069866033576394,0,0.2,23588,0,0,0.0,0.0,False,0.0,0,0.2,33510,0,0,0.0,0.0,False,0.0,0,0.2,33510,0,0,0.0,0.0,False,0.0,0.13333333333333333,143548,0.0,0.0,7,0,0,17,1,1.0,26,43,16,482.0,0.0,27,0,16,200,1.173575037973933,1.857913242012728
2,16,0,0,0,10.0,20,10.0,9.858958068614992,31,2.3548387096774195,25.943396226415093,8,14.375,40.0,0,,8,0.35200000000000004,14434,21,0,0.0,210.0,False,-0.028141711229946523,23,0.43000000000000005,13994,39,0,0.0,390.0,False,-0.05153743315508021,0,0.2,23535,3,18,1.0,496.5580062813167,False,0.008278743562008584,8,0.28,23375,18,0,0.0,177.46124523506987,False,-0.005268330396068547,0,0.2,33395,0,8,0.8,320.0,False,0.0013428827215756492,0,0.2,33510,0,0,0.0,0.0,False,0.0,0.3,142243,0.0,0.0,8,0,0,9,8,8.0,20,29,7,163.0,9.0,13,3,7,200,0.5498327750246972,2.407746017037425
3,7,0,0,0,10.0,20,10.0,9.858958068614992,0,,23.21371610845295,15,14.533333333333333,40.0,20,40.0,0,0.3440000000000001,14314,33,0,0.0,330.0,False,-0.0321524064171123,0,0.40700000000000003,13914,47,0,0.0,470.0,False,-0.05421122994652407,0,0.2,23535,0,21,0.3,487.4880382775119,False,0.008086485464590372,15,0.42200000000000004,22971,18,0,0.0,177.46124523506987,False,-0.022395683287369208,0,0.2,33532,0,11,1.0,440.0,False,0.007221724858251268,13,0.33000000000000007,33207,0,5,0.5,200.0,False,-0.006057893166219039,0.3,141473,0.0,0.0,11,0,0,8,8,8.0,10,18,11,72.0,9.0,4,3,11,480,0.5013214949867688,2.909067512024194
4,11,0,0,0,10.0,20,10.0,9.526073411892185,3,1.6666666666666667,20.671660581644215,23,14.434782608695652,40.0,20,40.0,1,0.35400000000000004,14186,44,0,0.0,440.0,False,-0.03703208556149733,2,0.42700000000000005,13784,56,0,0.0,560.0,False,-0.059893048128342244,0,0.2,23535,0,21,0.0,434.1048722145285,False,0.006954910806650158,23,0.6370000000000001,22230,21,0,0.0,200.04754164973588,False,-0.05333119506423318,1,0.21000000000000002,33722,7,10,1.0,544.7016240715095,False,0.014453918592532327,3,0.3470000000000001,33293,0,6,0.6,240.0,False,-0.0028946583109519548,0.26666666666666666,140750,0.0,0.0,14,0,0,10,9,8.25,12,22,13,93.0,14.0,6,5,13,760,0.5765393070178106,3.4856068190420046
5,13,0,0,0,10.0,20,10.0,8.588532347210624,9,1.6666666666666667,20.165823639583625,7,15.0,40.0,20,40.0,9,0.44300000000000006,13885,55,0,0.0,550.0,False,-0.053475935828877004,0,0.42500000000000004,13694,65,0,0.0,650.0,False,-0.06290106951871657,0,0.2,23535,0,21,0.0,423.48229643125615,False,0.006729741742226031,7,0.6840000000000002,22082,30,0,0.0,257.6559704163187,False,-0.05838443338951341,0,0.20900000000000002,34017,4,10,1.0,480.6632945583345,False,0.022301750142619228,4,0.38400000000000006,33493,0,0,0.0,0.0,False,-0.000507311250373023,0.16666666666666666,140706,0.0,0.0,13,0,0,10,6,6.0,13,23,13,83.0,17.0,7,6,13,840,0.6297397839953192,4.115346603037324
6,13,0,0,0,10.0,20,10.0,7.665769816809001,10,1.4,19.41568860927681,12,15.0,40.0,20,40.0,2,0.45400000000000007,13725,67,0,0.0,670.0,False,-0.06016042780748663,8,0.5050000000000001,13446,73,0,0.0,730.0,False,-0.07680481283422459,0,0.2,23535,0,21,0.0,407.729460794813,False,0.006395825436552767,12,0.7970000000000002,21791,40,0,0.0,306.63079267236003,False,-0.06968308477462354,0,0.20900000000000002,34342,0,9,0.9,360.0,False,0.030199940316323486,10,0.48000000000000004,33238,0,7,0.7,280.0,False,-0.003939122649955237,0.26666666666666666,140077,0.0,0.0,11,0,0,11,9,9.0,9,20,6,90.0,21.0,5,8,6,600,0.47829437104519457,4.593640974082518
7,6,0,0,0,10.0,20,10.0,7.288615398297501,5,2.0,18.84675301644625,11,15.0,40.0,20,40.0,0,0.45200000000000007,13605,79,0,0.0,790.0,False,-0.06417112299465241,5,0.5470000000000002,13271,81,0,0.0,810.0,False,-0.0858288770053476,0,0.2,23535,0,21,0.0,395.78181334537123,False,0.006142568537929653,11,0.8950000000000002,21532,45,0,0.0,327.98769292338756,False,-0.08021053728753207,3,0.23900000000000002,34603,0,5,0.5,200.0,False,0.03560131304088332,1,0.48000000000000004,33420,0,6,0.6,240.0,False,0.0008952551477170994,0.18333333333333335,139966,0.0,0.0,13,0,0,8,5,5.0,10,18,2,21.0,10.0,2,4,2,840,0.40242248901631683,4.996063463098835
8,2,0,0,0,10.0,20,10.0,7.288615398297501,0,,19.82483565516391,18,24.0,40.0,20,40.0,0,0.45200000000000007,13585,81,0,0.0,810.0,False,-0.06483957219251336,0,0.542,13091,99,0,0.0,990.0,False,-0.09184491978609625,0,0.2,23787,0,15,0.0,297.37253482745865,False,0.01473996385508437,12,1.0040000000000002,21255,45,0,0.0,327.98769292338756,False,-0.09195379657191396,2,0.256,34460,1,10,1.0,419.8248356551639,False,0.03461391876537098,7,0.5490000000000002,33469,0,7,0.7,280.0,False,0.0029543419874664277,0.2833333333333333,139647,0.0,0.0,13,0,0,6,6,5.0,10,16,3,36.0,0.0,2,0,3,692,0.3675410150317475,5.363604478130583
9,3,0,0,0,10.000000000000002,20,10.0,7.021397047228725,3,1.0,23.837178007884884,52,30.423076923076923,40.0,20,40.0,0,0.45200000000000007,13505,89,0,0.0,890.0000000000001,False,-0.06751336898395723,3,0.5720000000000001,12911,111,0,0.0,1110.0000000000002,False,-0.09986631016042781,0,0.2,24165,0,6,0.0,143.0230680473093,False,0.027493281924014554,43,1.4220000000000002,20994,48,0,0.0,337.0270582669788,False,-0.10282713544456977,2,0.274,34466,0,10,1.0,400.0,False,0.03449716502536556,1,0.552,32537,33,10,1.0,1186.626874260201,False,-0.011330544997609715,0.3333333333333333,138578,0.0,0.0,14,0,0,9,4,2.9166666666666665,10,19,2,54.0,0.0,3,0,2,1098,0.37872713000979275,5.7423316081403755
10,2,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,24.990171514645194,54,27.62962962962963,40.0,20,40.0,0,0.45200000000000007,13435,96,0,0.0,960.0000000000002,False,-0.06985294117647059,0,0.5690000000000001,12781,124,0,0.0,1240.0000000000002,False,-0.10421122994652407,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,48,1.8590000000000004,20158,48,0,0.0,337.0270582669788,False,-0.1382688854869642,0,0.272,34374,4,13,1.0,619.9606860585808,False,0.03503373151385523,3,0.5810000000000001,31793,63,10,1.0,1974.3808054226472,False,-0.021778859960867595,0.3333333333333333,136958,0.0,0.0,14,0,0,4,4,3.75,13,17,3,36.0,0.0,2,0,3,1092,0.9300326579832472,6.672364266123623
11,3,0,0,0,10.000000000000002,20,10.0,7.021397047228725,0,,25.0207095047603,54,25.11111111111111,40.0,20,40.0,0,0.45200000000000007,13315,108,0,0.0,1080.0000000000002,False,-0.07386363636363637,0,0.5690000000000001,12701,132,0,0.0,1320.0000000000002,False,-0.10688502673796792,0,0.2,24417,0,0,0.0,0.0,False,0.03514498897744616,54,2.3510000000000004,18929,48,0,0.0,337.0270582669788,False,-0.19037164960431202,0,0.272,34674,6,11,1.0,590.1242570285618,False,0.0435410960463827,0,0.5780000000000001,30937,95,12,1.0,2856.9674029522284,False,-0.034154470263320975,0.3333333333333333,134973,0.0,0.0,15,0,0,6,3,3.0,11,17,2,54.0,0.0,3,0,2,1000,0.3632579919649288,7.0356222580885515
