index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Ran@0,spot_market_loss_01Ran@0,balance_01Ran@0,inventory_01Ran@0_input,inventory_01Ran@0_output,productivity_01Ran@0,assets_01Ran@0,bankrupt_01Ran@0,score_01Ran@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03MyA@1,spot_market_loss_03MyA@1,balance_03MyA@1,inventory_03MyA@1_input,inventory_03MyA@1_output,productivity_03MyA@1,assets_03MyA@1,bankrupt_03MyA@1,score_03MyA@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Buy@2,spot_market_loss_05Buy@2,balance_05Buy@2,inventory_05Buy@2_input,inventory_05Buy@2_output,productivity_05Buy@2,assets_05Buy@2,bankrupt_05Buy@2,score_05Buy@2,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,36.0,0,,0,0.2,19051,0,8,0.8,136.0,False,-0.0006272541947624275,0,0.2,19011,12,0,0.0,120.0,False,-0.0031362709738121373,0,0.2,28970,0,0,0.0,0.0,False,0.0,0,0.2,28970,0,0,0.0,0.0,False,0.0,0,0.2,41952,0,0,0.0,0.0,False,0.0,0,0.2,41952,0,0,0.0,0.0,False,0.0,0.13333333333333333,179906,0.0,0.0,8,0,0,0,0,0.0,180,180,64,0.0,0.0,0,0,64,200,0.8852437548339367,0.8852437548339367
1,64,0,0,0,10.0,20,10.0,17.0,0,,24.0,0,,36.0,0,,0,0.2,18961,0,17,0.9,289.0,False,-0.0013329151638701584,0,0.2,18901,23,0,0.0,230.0,False,-0.00601118603313993,0,0.2,28970,0,0,0.0,0.0,False,0.0,0,0.2,28970,0,0,0.0,0.0,False,0.0,0,0.2,41952,0,0,0.0,0.0,False,0.0,0,0.2,41952,0,0,0.0,0.0,False,0.0,0.15,179706,0.0,0.0,8,0,0,45,0,0.0,31,76,27,954.0,15.0,59,5,27,200,2.2108550257980824,3.096098780632019
2,27,0,0,0,10.0,20,10.0,13.290322580645162,17,3.4705882352941178,22.18867924528302,8,12.0,36.0,0,,0,0.2,18891,0,24,0.7,318.9677419354839,False,-0.004208673306793038,17,0.37000000000000005,18409,36,0,0.0,360.0,False,-0.028330981130102975,8,0.28,28830,0,2,0.2,44.37735849056604,False,-0.00406666623247213,0,0.2,28915,5,10,1.0,288.338405356056,False,0.0030779842139464705,0,0.2,41952,0,0,0.0,0.0,False,0.0,0,0.2,41856,8,0,0.0,177.50943396226415,False,-0.00017270411467559105,0.31666666666666665,178853,0.0,0.0,9,0,0,9,4,4.0,30,39,21,288.0,31.0,21,6,21,200,1.3891411982476711,4.48523997887969
3,21,0,0,0,10.0,20,10.0,13.290322580645162,0,,22.18867924528302,0,,36.0,20,36.0,0,0.2,18811,0,32,0.8,425.2903225806452,False,-0.005611564409057446,0,0.35300000000000004,18289,48,0,0.0,480.0,False,-0.031467252103915114,0,0.272,28830,0,2,0.0,44.37735849056604,False,-0.00406666623247213,0,0.2,28915,0,15,0.5,332.8301886792453,False,0.0038458782996072995,12,0.32000000000000006,41787,0,0,0.0,0.0,False,-0.003933066361556064,8,0.28,41776,8,0,0.0,177.50943396226415,False,-0.002079645380884592,0.21666666666666667,178408,0.0,0.0,8,0,0,13,5,5.0,18,31,22,177.0,45.0,16,5,22,200,0.9302160330116749,5.415456011891365
4,22,0,0,0,10.0,20,10.0,13.109154929577464,1,3.0,21.012797074954296,7,13.0,36.0,20,36.0,0,0.2,18751,0,38,0.6,498.1478873239436,False,-0.0068436598368107615,1,0.36300000000000004,18131,62,0,0.0,620.0,False,-0.03606711619883958,5,0.322,28773,0,1,0.1,21.012797074954296,False,-0.0064374732986718555,0,0.2,28915,0,15,0.0,315.19195612431446,False,0.0035414559220626877,6,0.36800000000000005,41726,0,0,0.0,0.0,False,-0.005387109077040427,14,0.41200000000000003,41448,15,0,0.0,315.19195612431446,False,-0.008257151552675533,0.11666666666666665,177744,0.0,0.0,9,0,0,11,10,9.714285714285715,16,27,25,126.0,55.0,12,10,25,200,0.9231476057320833,6.338603617623448
5,25,0,0,0,10.0,20,10.0,15.054646596858637,10,25.0,20.495902297927046,13,18.53846153846154,36.0,20,36.0,0,0.2,18881,2,38,1.0,592.0765706806283,False,0.002406475633281765,0,0.36200000000000004,18051,70,0,0.0,700.0,False,-0.03815796351471434,12,0.43700000000000006,28376,0,10,1.0,204.95902297927046,False,-0.016966533949270387,0,0.2,28915,0,15,0.0,307.4385344689057,False,0.0034076378058147594,13,0.49200000000000005,41357,8,0,0.0,163.96721838341637,False,-0.012228651573424162,7,0.4680000000000001,41304,20,0,0.0,409.9180459585409,False,-0.010560664021279705,0.3333333333333333,176884,0.0,0.0,9,0,0,9,9,8.875,19,28,26,203.0,81.0,13,12,26,450,0.8785965535789728,7.217200171202421
6,26,0,0,0,10.0,20,10.0,16.955740501117514,13,25.0,21.071141821003774,11,24.0,36.0,20,36.0,0,0.2,19106,2,35,1.0,613.450917539113,False,0.014726122982047828,0,0.36200000000000004,17951,80,0,0.0,800.0,False,-0.04077152265955779,0,0.42500000000000004,28140,3,14,1.0,345.86320699740537,False,-0.022680994011090704,0,0.2,29090,0,10,0.0,210.71141821003775,False,0.007778933693649315,11,0.5890000000000002,41175,9,0,0.0,189.64027638903397,False,-0.016260961618170332,9,0.5510000000000002,40953,30,0,0.0,632.1342546301132,False,-0.016278910962169664,0.3333333333333333,176415,0.0,0.0,12,0,0,16,8,8.0,19,35,23,259.0,66.0,19,7,23,789,1.028241889551282,8.245442060753703
7,23,0,0,0,10.0,20,10.0,18.33353737577416,11,26.0,24.13415982914717,17,35.0,36.0,20,36.0,0,0.2,19302,1,34,1.0,633.3402707763214,False,0.025491094840215448,0,0.36200000000000004,17841,91,0,0.0,910.0,False,-0.04364643771888558,3,0.45500000000000007,28362,4,10,1.0,314.67574779456834,False,-0.015556165899299883,0,0.2,29090,0,10,0.0,241.34159829147168,False,0.008307587129642285,10,0.6780000000000002,41042,9,0,0.0,217.20743846232452,False,-0.019102695479806368,10,0.6420000000000001,40225,47,0,0.0,1134.305511969917,False,-0.027647007151388337,0.3333333333333333,175862,0.0,0.0,10,0,0,14,9,8.176470588235293,19,33,18,174.0,63.0,17,6,18,486,0.8835418466478586,9.128983907401562
8,18,0,0,0,10.0,20,10.0,19.355916693249238,10,26.0,27.935529281073528,23,39.43478260869565,36.0,20,36.0,0,0.2,19502,0,31,0.7,600.0334174907264,False,0.035074837109683905,0,0.36200000000000004,17701,105,0,0.0,1050.0,False,-0.047305420521666405,7,0.522,28523,4,10,1.0,356.7789595837322,False,-0.009272023479742299,0,0.2,29360,0,4,0.0,111.74211712429411,False,0.015390785590685137,14,0.8080000000000003,40354,19,0,0.0,530.775056340397,False,-0.03176517142996285,6,0.6920000000000002,39706,60,0,0.0,1676.1317568644117,False,-0.03356059595651679,0.2833333333333333,175146,0.0,0.0,10,0,0,9,12,11.454545454545455,19,28,22,147.0,65.0,11,7,22,910,0.8474336639046669,9.976417571306229
9,22,0,0,0,10.000000000000002,20,10.0,18.197856333512615,21,14.476190476190476,31.617713363452317,23,44.95652173913044,36.0,20,36.0,0,0.2,19698,0,29,0.9,527.7378336718658,False,0.04343050111525452,10,0.4620000000000001,17379,116,0,0.0,1160.0000000000002,False,-0.061261826355130417,13,0.645,28876,15,10,1.0,589.1449786372124,False,0.006923454929879365,0,0.2,29360,0,4,0.0,126.47085345380927,False,0.015644992292954914,13,0.9240000000000002,39157,41,0,0.0,1296.326247901545,False,-0.05117364788446869,7,0.756,39594,61,0,0.0,1928.6805151705914,False,-0.03322034092331007,0.31666666666666665,174064,0.0,0.0,12,0,0,12,12,11.722222222222221,17,29,17,189.0,52.0,14,8,17,710,0.9449946619570255,10.921412233263254
