index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Buy@0,spot_market_loss_00Buy@0,balance_00Buy@0,inventory_00Buy@0_input,inventory_00Buy@0_output,productivity_00Buy@0,assets_00Buy@0,bankrupt_00Buy@0,score_00Buy@0,spot_market_quantity_01Dec@0,spot_market_loss_01Dec@0,balance_01Dec@0,inventory_01Dec@0_input,inventory_01Dec@0_output,productivity_01Dec@0,assets_01Dec@0,bankrupt_01Dec@0,score_01Dec@0,spot_market_quantity_02Ind@1,spot_market_loss_02Ind@1,balance_02Ind@1,inventory_02Ind@1_input,inventory_02Ind@1_output,productivity_02Ind@1,assets_02Ind@1,bankrupt_02Ind@1,score_02Ind@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Ran@2,spot_market_loss_04Ran@2,balance_04Ran@2,inventory_04Ran@2_input,inventory_04Ran@2_output,productivity_04Ran@2,assets_04Ran@2,bankrupt_04Ran@2,score_04Ran@2,spot_market_quantity_05Ran@2,spot_market_loss_05Ran@2,balance_05Ran@2,inventory_05Ran@2_input,inventory_05Ran@2_output,productivity_05Ran@2,assets_05Ran@2,bankrupt_05Ran@2,score_05Ran@2,spot_market_quantity_06MyA@3,spot_market_loss_06MyA@3,balance_06MyA@3,inventory_06MyA@3_input,inventory_06MyA@3_output,productivity_06MyA@3,assets_06MyA@3,bankrupt_06MyA@3,score_06MyA@3,spot_market_quantity_07Buy@3,spot_market_loss_07Buy@3,balance_07Buy@3,inventory_07Buy@3_input,inventory_07Buy@3_output,productivity_07Buy@3,assets_07Buy@3,bankrupt_07Buy@3,score_07Buy@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,34.0,0,,45.0,0,,0,0.2,16107,10,0,0.0,100.0,False,-0.0030850866909360153,0,0.2,16107,0,10,1.0,210.0,False,0.0003085086690936015,0,0.2,21021,0,0,0.0,0.0,False,0.0,0,0.2,21021,0,0,0.0,0.0,False,0.0,0,0.2,28790.0,0,0,0.0,0.0,False,0.0,0,0.2,28790.0,0,0,0.0,0.0,False,0.0,0,0.2,38561,0,0,0.0,0.0,False,0.0,0,0.2,38561,0,0,0.0,0.0,False,0.0,0.125,208958,0.0,0.0,6,0,0,52,0,0.0,186,238,108,0.0,0.0,0,0,108,200,2.373877638950944,2.373877638950944
1,108,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,25.26984126984127,18,3.4444444444444446,45.0,0,,0,0.2,16017,19,0,0.0,190.0,False,-0.005861664712778429,0,0.2,15997,1,20,1.0,430.0,False,0.0003085086690936015,0,0.2,21021,0,0,0.0,0.0,False,0.0,0,0.2,21021,0,0,0.0,0.0,False,0.0,13,0.33000000000000007,28226.0,0,0,0.0,0.0,False,-0.019590135463702675,5,0.25,28591.0,0,0,0.0,0.0,False,-0.0069121222646752346,0,0.2,38550,0,5,0.5,225.0,False,0.0026321931485179324,0,0.2,38510,13,0,0.0,328.5079365079365,False,0.0029370080717297745,0.1875,207933,0.0,0.0,5,0,0,28,6,6.0,77,105,62,1350.0,117.0,94,14,62,200,5.338697921484709,7.712575560435653
2,62,0,0,0,10.0,20,10.0,21.0,0,,27.0,0,,11.000544365813827,127,4.6299212598425195,45.0,0,,0,0.2,15937,27,0,0.0,270.0,False,-0.008329734065527242,0,0.2,15877,3,30,1.0,660.0,False,0.0,0,0.2,21021,0,0,0.0,0.0,False,0.0,0,0.2,21021,0,0,0.0,0.0,False,0.0,74,1.0570000000000002,21473.0,0,0,0.0,0.0,False,-0.25415074678707883,53,0.7750000000000001,24816.0,0,0,0.0,0.0,False,-0.13803403959708233,0,0.2,38550,0,5,0.0,225.0,False,0.0026321931485179324,0,0.2,37922,140,0,0.0,1540.0762112139357,False,0.0033982029928416612,0.125,196617,0.0,0.0,5,0,0,22,14,14.0,29,51,34,519.0,117.0,41,21,34,200,2.5657541416585445,10.278329702094197
3,34,0,0,0,10.0,20,10.0,20.574468085106382,2,11.0,26.914893617021278,2,25.0,10.524595251642271,28,7.714285714285714,45.0,0,,2,0.22000000000000003,15798,38,0,0.0,380.0,False,-0.013512679706299748,0,0.2,15787,2,40,1.0,842.9787234042553,False,9.189619930449854e-05,2,0.22000000000000003,20996,0,1,0.1,26.914893617021278,False,-0.0005490962937770785,0,0.2,21010,0,1,0.1,26.914893617021278,False,0.00011690437222358743,0,0.9830000000000003,21423.0,2,0,0.0,53.829787234042556,False,-0.2549525913992004,28,1.0020000000000002,23520.0,0,0,0.0,0.0,False,-0.183049670024314,0,0.2,38550,0,5,0.0,225.0,False,0.0026321931485179324,0,0.2,37706,168,0,0.0,1768.1320022759016,False,0.0007537667886712323,0.15,194790,0.0,0.0,5,0,0,8,6,6.0,23,31,24,287.0,40.0,22,12,24,200,1.6675576232373714,11.945887325331569
4,24,0,0,0,10.0,20,10.0,20.574468085106382,0,,26.914893617021278,0,,8.220134960350748,68,2.323529411764706,45.0,8,45.0,0,0.21800000000000003,15718,46,0,0.0,460.0,False,-0.01598074905904856,0,0.2,15667,4,50,1.0,1068.723404255319,False,-0.0003478927545098633,0,0.21800000000000003,20996,0,1,0.0,26.914893617021278,False,-0.0005490962937770785,0,0.2,21010,0,1,0.0,26.914893617021278,False,0.00011690437222358743,49,1.4730000000000003,17940.0,2,0,0.0,53.829787234042556,False,-0.37593209817238554,19,1.1640000000000001,22596.0,0,0,0.0,0.0,False,-0.21514414727335882,0,0.2,38550,0,5,0.0,225.0,False,0.0026321931485179324,8,0.28,37446,236,0,0.0,1939.9518506427767,False,-0.003760900253588207,0.125,189923,0.0,0.0,5,0,0,5,10,10.0,20,25,21,213.0,27.0,15,9,21,200,1.365201124921441,13.31108845025301
5,21,0,0,0,10.0,20,10.0,23.34910277324633,19,29.526315789473685,25.281425891181986,11,19.0,7.335000015745425,68,4.5,45.0,10,45.0,2,0.23800000000000002,15629,52,0,0.0,520.0,False,-0.019621151354353057,0,0.2,16066,8,43,1.0,1084.011419249592,False,0.02474274755505613,10,0.31800000000000006,20346,7,10,1.0,416.2579783245442,False,-0.02220974315388075,0,0.2,20988,0,3,0.2,75.84427767354596,False,0.0002341534102456224,17,1.5940000000000003,16986.0,13,0,0.0,328.6585365853658,False,-0.4042956141614212,51,1.6550000000000002,18984.0,0,0,0.0,0.0,False,-0.3406043765196249,0,0.2,38550,0,5,0.0,225.0,False,0.0026321931485179324,10,0.372,36995,304,0,0.0,2229.8400047866094,False,-0.011697829351072117,0.275,184544,0.0,0.0,8,0,0,5,13,12.90909090909091,19,24,16,178.0,21.0,14,7,16,739,1.0788769032806158,14.389965353533626
6,16,0,0,0,10.0,20,10.0,24.562412342215993,9,32.0,26.884938359835623,8,36.5,7.232309226382667,19,5.842105263157895,44.99999999999999,11,45.0,0,0.23600000000000002,15559,59,0,0.0,590.0,False,-0.021780712038008267,0,0.2,16224,11,44,1.0,1190.7461430575036,False,0.03778448025721928,0,0.30800000000000005,20300,6,13,1.0,496.87867273115904,False,-0.022480408336160034,0,0.2,21038,0,2,0.0,53.769876719671245,False,0.002087671298217752,19,1.7670000000000001,16013.0,16,0,0.0,430.15901375736996,False,-0.4363292981285625,0,1.6040000000000003,18834.0,5,0,0.0,134.4246917991781,False,-0.34347994630428663,0,0.2,38550,0,5,0.0,224.99999999999997,False,0.0026321931485179324,11,0.47200000000000003,36701,323,0,0.0,2336.0358801216016,False,-0.017945127458810637,0.25,183219,0.0,0.0,10,0,0,5,6,6.0,16,21,19,139.0,18.0,10,6,19,780,1.1123219411820173,15.502287294715643
7,19,0,0,0,10.0,20,10.0,25.126231000524125,51,25.764705882352942,28.49411160618157,10,36.6,7.302792367287209,28,7.928571428571429,45.0,11,45.0,26,0.4960000000000001,15355,69,0,0.0,690.0,False,-0.0312827790460912,0,0.2,16892,11,29,1.0,838.6606990151996,False,0.06813909727325228,0,0.30800000000000005,19790,21,15,1.0,955.0625251037302,False,-0.03584362006793856,0,0.2,20600,16,10,1.0,686.9608120702017,False,-0.003687721514908823,15,1.8980000000000004,15299.0,18,0,0.0,512.8940089112682,False,-0.45969270564586195,13,1.7340000000000002,18115.0,13,0,0.0,370.4234508803604,False,-0.364355271780473,0,0.2,38550,0,5,0.0,225.0,False,0.0026321931485179324,11,0.571,36296,351,0,0.0,2563.28012091781,False,-0.025501411777212542,0.375,180897,0.0,0.0,11,0,0,9,8,8.0,12,21,19,172.0,24.0,11,8,19,1334,1.288735058158636,16.79102235287428
8,19,0,0,0,10.0,20,10.0,26.630666411987228,44,29.977272727272727,29.57045673579993,57,30.596491228070175,7.308316862659821,15,7.4,45.0,13,45.0,1,0.4800000000000001,15221,81,0,0.0,810.0,False,-0.0358487073486765,14,0.34,17716,9,10,1.0,356.30666411987227,False,0.10410028580612929,29,0.5980000000000001,18983,38,10,1.0,1307.669891013514,False,-0.06584677486766766,3,0.23,20373,23,10,1.0,908.2098948337056,False,-0.009223873868186386,9,1.9730000000000003,13920.0,56,0,0.0,1655.945577204796,False,-0.4877397433621953,6,1.7810000000000001,17246.0,32,0,0.0,946.2546155455977,False,-0.3845388222378326,0,0.2,38550,0,5,0.0,225.0,False,0.0026321931485179324,13,0.6900000000000002,35965,366,0,0.0,2674.8439717334945,False,-0.032638624883515745,0.375,177974,0.0,0.0,10,0,0,6,14,12.066844919786096,18,24,26,172.0,15.0,14,5,26,1126,1.1151276677846909,17.90615002065897
9,26,0,0,0,10.000000000000002,20,10.0,26.71346904111985,2,32.0,35.71009844162412,49,48.265306122448976,6.997265739004815,41,5.195121951219512,44.99999999999999,13,45.0,0,0.4790000000000001,15111,92,0,0.0,920.0000000000001,False,-0.039242302708706114,0,0.32600000000000007,17690,8,18,1.0,560.8424427401574,False,0.10880614681125918,10,0.6690000000000002,19617,30,10,1.0,1158.5050556498368,False,-0.03923445469649781,19,0.41700000000000004,21026,13,10,1.0,704.3760819507993,False,0.016991962369792172,27,2.2340000000000004,10688.0,90,0,0.0,3213.9088597461705,False,-0.5729435765935018,14,1.9150000000000003,16113.0,47,0,0.0,1678.3746267563336,False,-0.41117793284549614,0,0.2,38550,0,5,0.0,224.99999999999997,False,0.0026321931485179324,13,0.8070000000000002,35524,407,0,0.0,2847.88715577496,False,-0.0418312912557381,0.375,174319,0.0,0.0,9,0,0,16,13,12.25,13,29,26,219.0,36.0,19,7,26,999,1.2224021293222904,19.12855214998126
10,26,0,0,0,10.000000000000002,20,10.0,25.64349871929153,48,23.041666666666668,35.86110749381371,2,46.0,6.095817696745131,52,1.75,44.999999999999986,14,45.0,31,0.7890000000000001,14665,102,0,0.0,1020.0000000000002,False,-0.06367618930091935,0,0.32600000000000007,18100,8,11,1.0,362.0784859122068,False,0.12797181729845766,0,0.6590000000000001,19096,38,20,1.0,1691.6751012093523,False,-0.05133735071572827,0,0.398,20533,33,18,1.0,1491.7353926252672,False,0.01226714696316229,13,2.3370000000000006,10115.0,92,0,0.0,3299.2218894308617,False,-0.5913646771547263,39,2.2910000000000004,13638.0,47,0,0.0,1685.4720522092446,False,-0.49702202062853,0,0.2,38550,0,5,0.0,224.99999999999994,False,0.0026321931485179324,14,0.9340000000000002,35157,459,0,0.0,2797.980322806015,False,-0.05199579467848319,0.375,169854,0.0,0.0,8,0,0,9,12,12.0,16,25,26,224.0,30.0,16,10,26,802,1.239986427128315,20.368538577109575
11,26,0,0,0,10.000000000000002,20,10.0,26.048434790636094,20,29.05,39.52288324247156,38,51.3421052631579,6.056024763636982,15,5.333333333333333,44.99999999999998,10,45.0,1,0.768,14541,113,0,0.0,1130.0000000000002,False,-0.06793360893441105,8,0.406,18380,7,10,1.0,330.48434790636094,False,0.14427359622096514,0,0.659,19919,29,14,1.0,1308.7249743230486,False,-0.021294777262664728,4,0.43800000000000006,20952,42,10,1.0,1489.2630936314315,False,0.032140790010737615,6,2.3840000000000003,9829.0,93,0,0.0,3675.6281415498547,False,-0.5947615814249765,9,2.3420000000000005,11426.0,84,0,0.0,3319.922192367611,False,-0.5454685273989647,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,10,1.0200000000000002,34933,474,0,0.0,2870.5557379639295,False,-0.056863725811520244,0.375,168530,0.0,0.0,10,0,0,8,8,6.656346749226007,19,27,24,243.0,42.0,17,9,24,1301,2.05721602961421,22.425754606723785
12,24,0,0,0,10.000000000000002,20,10.0,25.949707301254996,1,11.0,41.31746746160677,30,49.96666666666667,6.177906023182914,42,6.928571428571429,44.99999999999998,9,45.0,1,0.7770000000000001,14427,123,0,0.0,1230.0000000000002,False,-0.07188251989880916,0,0.398,18280,7,20,1.0,588.9941460250999,False,0.14607867421561976,13,0.7890000000000001,20765,20,10,1.0,932.1688206411676,False,0.009994025513561936,0,0.43400000000000005,21102,32,17,1.0,1532.7875804874748,False,0.040311773476225644,2,2.3980000000000006,8613.0,116,0,0.0,4792.826225546385,False,-0.6175959321718238,40,2.733000000000001,8673.0,91,0,0.0,3759.8895390062157,False,-0.6334510326674849,0,0.2,38550,0,5,0.0,224.9999999999999,False,0.0026321931485179324,9,1.1,34522,516,0,0.0,3187.799507962384,False,-0.06340863167497757,0.375,164932,0.0,0.0,9,0,0,12,13,12.375,16,28,21,227.0,27.0,17,7,21,557,1.082279635593295,23.50803424231708
