index,n_registered_negotiations_before,n_contracts_dropped,n_contracts_nullified_now,n_bankrupt,trading_price_0,sold_quantity_0,unit_price_0,trading_price_1,sold_quantity_1,unit_price_1,trading_price_2,sold_quantity_2,unit_price_2,trading_price_3,sold_quantity_3,unit_price_3,trading_price_4,sold_quantity_4,unit_price_4,spot_market_quantity_00Dec@0,spot_market_loss_00Dec@0,balance_00Dec@0,inventory_00Dec@0_input,inventory_00Dec@0_output,productivity_00Dec@0,assets_00Dec@0,bankrupt_00Dec@0,score_00Dec@0,spot_market_quantity_01Buy@0,spot_market_loss_01Buy@0,balance_01Buy@0,inventory_01Buy@0_input,inventory_01Buy@0_output,productivity_01Buy@0,assets_01Buy@0,bankrupt_01Buy@0,score_01Buy@0,spot_market_quantity_02Ran@1,spot_market_loss_02Ran@1,balance_02Ran@1,inventory_02Ran@1_input,inventory_02Ran@1_output,productivity_02Ran@1,assets_02Ran@1,bankrupt_02Ran@1,score_02Ran@1,spot_market_quantity_03Dec@1,spot_market_loss_03Dec@1,balance_03Dec@1,inventory_03Dec@1_input,inventory_03Dec@1_output,productivity_03Dec@1,assets_03Dec@1,bankrupt_03Dec@1,score_03Dec@1,spot_market_quantity_04Dec@2,spot_market_loss_04Dec@2,balance_04Dec@2,inventory_04Dec@2_input,inventory_04Dec@2_output,productivity_04Dec@2,assets_04Dec@2,bankrupt_04Dec@2,score_04Dec@2,spot_market_quantity_05Dec@2,spot_market_loss_05Dec@2,balance_05Dec@2,inventory_05Dec@2_input,inventory_05Dec@2_output,productivity_05Dec@2,assets_05Dec@2,bankrupt_05Dec@2,score_05Dec@2,spot_market_quantity_06Ind@3,spot_market_loss_06Ind@3,balance_06Ind@3,inventory_06Ind@3_input,inventory_06Ind@3_output,productivity_06Ind@3,assets_06Ind@3,bankrupt_06Ind@3,score_06Ind@3,spot_market_quantity_07MyA@3,spot_market_loss_07MyA@3,balance_07MyA@3,inventory_07MyA@3_input,inventory_07MyA@3_output,productivity_07MyA@3,assets_07MyA@3,bankrupt_07MyA@3,score_07MyA@3,productivity,market_size,production_failures,bankruptcy,n_contracts_executed,n_contracts_erred,n_contracts_nullified,n_contracts_cancelled,n_breaches,breach_level,n_contracts_signed,n_contracts_concluded,n_negotiations,n_negotiation_rounds_successful,n_negotiation_rounds_failed,n_negotiation_successful,n_negotiation_failed,n_registered_negotiations_after,activity_level,step_time,total_time
0,0,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,45.0,0,,53.0,0,,0,0.2,20148,0,9,0.9,207.0,False,0.0006670619626445301,0,0.2,20128,11,0,0.0,110.0,False,-0.0027176598478110487,0,0.2,31931.0,0,0,0.0,0.0,False,0.0,0,0.2,31931,0,0,0.0,0.0,False,0.0,0,0.2,40700,0,0,0.0,0.0,False,0.0,0,0.2,40700,0,0,0.0,0.0,False,0.0,0,0.2,52168,0,0,0.0,0.0,False,0.0,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.1125,289874,0.0,0.0,9,0,0,49,0,0.0,169,218,112,0.0,0.0,0,0,112,200,2.2345542809925973,2.2345542809925973
1,112,0,0,0,10.0,20,10.0,23.0,0,,30.0,0,,45.0,0,,53.0,0,,0,0.2,20098,0,14,0.5,322.0,False,0.0010376519418914913,0,0.2,19978,26,0,0.0,260.0,False,-0.00642355964028066,0,0.2,31931.0,0,0,0.0,0.0,False,0.0,0,0.2,31931,0,0,0.0,0.0,False,0.0,0,0.2,40700,0,0,0.0,0.0,False,0.0,0,0.2,40700,0,0,0.0,0.0,False,0.0,0,0.2,52168,0,0,0.0,0.0,False,0.0,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.0625,289674,0.0,0.0,9,0,0,34,0,0.0,43,77,71,1000.0,301.0,61,51,71,200,5.9485489970538765,8.183103278046474
2,71,0,0,0,10.0,20,10.0,24.660377358490567,8,34.0,24.945454545454545,10,2.2,45.0,0,,53.0,0,,0,0.2,20230,4,16,1.0,434.5660377358491,False,0.010341091949200782,0,0.2,19918,32,0,0.0,320.0,False,-0.007905919557268505,10,0.30000000000000004,31549.0,0,0,0.0,0.0,False,-0.01196329585669099,0,0.2,31659,0,8,0.8,199.56363636363636,False,-0.005393447803644784,0,0.2,40687,0,7,0.7,315.0,False,0.0035503685503685506,0,0.2,40691,0,3,0.3,135.0,False,0.0014373464373464374,0,0.2,52168,0,0,0.0,0.0,False,0.0,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.35,289070,0.0,0.0,10,0,0,21,4,4.0,21,42,72,327.0,229.0,25,46,72,472,3.465630898019299,11.648734176065773
3,72,0,0,0,10.0,20,10.0,24.40041067761807,1,12.0,18.777358490566037,30,8.6,45.0,0,,53.0,0,,0,0.2,20160,1,26,1.0,644.4106776180698,False,0.012066673525498336,1,0.21000000000000002,19772,45,0,0.0,450.0,False,-0.011908291333135685,30,0.5900000000000001,30251.0,0,0,0.0,0.0,False,-0.05261344774670383,0,0.2,31647,0,9,0.1,168.99622641509433,False,-0.006247906009597314,0,0.2,40630,5,17,1.0,858.8867924528302,False,0.00883153307681611,0,0.2,40490,5,13,1.0,678.8867924528302,False,0.003180427425710458,0,0.2,52168,0,0,0.0,0.0,False,0.0,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.3875,287286,0.0,0.0,8,0,0,19,7,7.0,19,38,65,264.0,212.0,21,51,65,200,3.3034881250350736,14.952222301100846
4,65,0,0,0,10.0,20,10.0,26.343939131938438,14,32.42857142857143,17.026609442060085,10,4.5,45.93617021276596,2,67.0,53.0,11,53.0,0,0.2,20407,0,27,0.9,711.2863565623378,False,0.02592366727350383,6,0.269,19606,57,0,0.0,570.0,False,-0.01714596303982607,10,0.6600000000000001,29459.0,12,0,0.0,316.12726958326124,False,-0.07246676788100499,0,0.2,31623,0,11,0.2,187.29270386266094,False,-0.006713026465462113,0,0.2,40655,4,26,1.0,1262.4468633001552,False,0.014403524119166492,0,0.2,40554,0,18,0.6,826.8510638297872,False,0.006570651889800841,11,0.31000000000000005,51800,0,2,0.2,106.0,False,-0.006038184327557123,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.36250000000000004,286272,0.0,0.0,11,0,0,17,12,12.0,16,33,63,237.0,194.0,17,48,63,661,3.097119703015778,18.049342004116625
5,63,0,0,0,10.0,20,10.0,28.168409010217367,24,32.125,16.80806173863129,5,13.6,46.42263279445727,1,67.0,53.00000000000001,8,53.0,0,0.2,21046,2,14,1.0,414.3577261430431,False,0.0501620151730171,1,0.273,19510,65,0,0.0,650.0,False,-0.019913034884870045,1,0.6600000000000001,28967.0,22,0,0.0,619.7049982247821,False,-0.08312133979166351,0,0.2,31376,4,17,1.0,398.4106855976014,False,-0.01114260928881653,0,0.2,40591,0,34,0.8,1578.3695150115473,False,0.01671215620407313,0,0.2,40617,0,18,0.1,835.6073903002309,False,0.008226135015973282,6,0.35900000000000004,51756,0,1,0.1,53.00000000000001,False,-0.007389587486581813,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.375,286031,0.0,0.0,13,0,0,18,5,4.5,17,35,67,171.0,177.0,17,46,67,1143,3.497793657006696,21.54713566112332
6,67,0,0,0,10.0,20,10.0,29.767445588163554,32,33.1875,17.84599677934709,8,27.0,44.45582286565893,8,34.875,53.0,12,53.0,3,0.23,21647,0,10,1.0,297.67445588163554,False,0.07697584879636415,15,0.42200000000000004,19228,77,0,0.0,770.0,False,-0.030882498270580098,8,0.7390000000000001,27833.0,54,0,0.0,1607.4420617608318,False,-0.10316867524097532,0,0.2,31376,0,21,0.4,374.7659323662889,False,-0.011512856904477023,0,0.2,40659,0,33,0.0,1467.0421545667448,False,0.017015259884112392,0,0.2,40612,0,19,0.8,844.6606344475197,False,0.008214504108691829,11,0.463,51291,0,8,0.8,424.0,False,-0.012747278024842816,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.375,284814,0.0,0.0,13,0,0,12,9,7.843137254901961,23,35,66,240.0,204.0,19,48,66,479,2.5457353459787555,24.092871007102076
7,66,0,0,0,10.0,20,10.0,31.62090486666399,12,45.583333333333336,18.452220998997184,18,20.833333333333332,45.496826508255594,2,67.5,52.99999999999999,9,53.0,2,0.24700000000000003,22058,0,8,0.8,252.96723893331193,False,0.09617964321902643,0,0.40700000000000003,19108,89,0,0.0,890.0,False,-0.033847218104555786,13,0.861,26896.0,66,0,0.0,2086.9797211998234,False,-0.12500423223200302,0,0.2,31596,0,16,0.0,295.23553598395495,False,-0.005868348376437371,0,0.2,40641,0,39,0.6,1774.376233821968,False,0.020348602381105252,0,0.2,40390,2,27,1.0,1265.3187577208953,False,0.007927748866349978,1,0.4620000000000001,51570,0,2,0.2,105.99999999999999,False,-0.010447017328630579,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.325,284427,0.0,0.0,16,0,0,16,5,3.7333333333333334,19,35,53,233.0,171.0,19,47,53,1195,2.4803643689956516,26.573235376097728
8,53,0,0,0,10.0,20,10.0,32.799578049194665,58,34.672413793103445,18.372826590697066,17,18.0,46.04775778111282,1,68.0,52.99999999999999,10,53.0,23,0.4750000000000001,22638,0,9,0.9,295.196202442752,False,0.12588191032816357,27,0.6770000000000002,18863,100,0,0.0,1000.0,False,-0.043235497578812135,17,1.0180000000000002,25200.0,97,0,0.0,3181.5590707718825,False,-0.16097900048899377,0,0.2,30975,17,26,1.0,1035.286318194433,False,-0.013728252823362343,0,0.2,40641,0,39,0.0,1795.8625534634,False,0.02061256208186001,0,0.2,40152,9,36,1.0,1823.074719436335,False,0.008932121860397244,8,0.5410000000000001,51467,0,1,0.1,52.99999999999999,False,-0.012929381996626285,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.375,282104,0.0,0.0,9,0,0,12,8,6.666666666666666,18,30,51,213.0,129.0,15,38,51,268,1.7075156399514526,28.28075101604918
9,51,0,0,0,10.000000000000002,20,10.0,30.26550244673931,62,24.741935483870968,19.207191303697677,40,21.025,46.04775778111282,0,,52.99999999999999,7,53.0,0,0.45200000000000007,22893,0,6,0.6,181.59301468043586,False,0.1356752894228787,53,1.1800000000000002,17758,114,0,0.0,1140.0000000000002,False,-0.09437691471489278,35,1.3510000000000002,23853.0,97,0,0.0,2935.7537373337127,False,-0.20701271902956828,0,0.2,29661,69,31,1.0,2683.74259923964,False,-0.029066696952183797,0,0.2,40226,11,49,1.0,2467.619235615203,False,0.018668540978073737,0,0.2,39726,18,46,1.0,2463.926301397748,False,0.006338160950832273,6,0.5930000000000001,51430,0,0,0.0,0.0,False,-0.01414660328170526,0,0.2,52168,0,0,0.0,0.0,False,0.0,0.45,277715,0.0,0.0,11,0,0,9,11,10.5,23,32,48,173.0,168.0,15,36,48,735,1.6106863380409777,29.891437354090158
